<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HERD.US,D,20190507,000000,23.659,23.659,23.567,23.567,577,0
HERD.US,D,20190508,000000,23.609,23.609,23.609,23.609,213,0
HERD.US,D,20190513,000000,22.781,22.781,22.781,22.781,212,0
HERD.US,D,20190516,000000,23.248,23.248,23.248,23.248,106,0
HERD.US,D,20190517,000000,23.115,23.115,23.115,23.115,106,0
HERD.US,D,20190528,000000,22.428,22.428,22.428,22.428,209,0
HERD.US,D,20190529,000000,21.997,21.997,21.974,21.974,262,0
HERD.US,D,20190530,000000,22.041,22.041,22.041,22.041,301,0
HERD.US,D,20190606,000000,22.4,22.4,22.4,22.4,106,0
HERD.US,D,20190607,000000,22.647,22.676,22.647,22.676,734,0
HERD.US,D,20190613,000000,22.83,22.83,22.83,22.83,527,0
HERD.US,D,20190617,000000,22.596,22.596,22.596,22.596,183,0
HERD.US,D,20190620,000000,23.134,23.134,23.134,23.134,209,0
HERD.US,D,20190625,000000,23.015,23.015,23.015,23.015,602,0
HERD.US,D,20190626,000000,23.018,23.018,23.018,23.018,205,0
HERD.US,D,20190627,000000,23.114,23.114,23.114,23.114,416,0
HERD.US,D,20190628,000000,23.217,23.217,23.217,23.217,272,0
HERD.US,D,20190701,000000,23.383,23.383,23.383,23.383,418,0
HERD.US,D,20190703,000000,23.465,23.465,23.465,23.465,105,0
HERD.US,D,20190705,000000,23.403,23.403,23.403,23.403,478,0
HERD.US,D,20190708,000000,23.283,23.289,23.254,23.254,2395,0
HERD.US,D,20190710,000000,23.269,23.355,23.269,23.336,4826,0
HERD.US,D,20190711,000000,23.279,23.279,23.279,23.279,105,0
HERD.US,D,20190712,000000,23.457,23.519,23.457,23.519,2394,0
HERD.US,D,20190715,000000,23.496,23.496,23.496,23.496,547,0
HERD.US,D,20190716,000000,23.469,23.469,23.459,23.459,743,0
HERD.US,D,20190717,000000,23.279,23.279,23.279,23.279,901,0
HERD.US,D,20190724,000000,23.531,23.531,23.531,23.531,1276,0
HERD.US,D,20190725,000000,23.432,23.432,23.432,23.432,199,0
HERD.US,D,20190729,000000,23.423,23.423,23.423,23.423,411,0
HERD.US,D,20190730,000000,23.423,23.423,23.423,23.423,265,0
HERD.US,D,20190731,000000,23.46,23.468,23.403,23.403,1321,0
HERD.US,D,20190801,000000,23.239,23.239,22.886,22.934,4011,0
HERD.US,D,20190805,000000,22.085,22.085,21.991,21.991,708,0
HERD.US,D,20190806,000000,22.213,22.213,22.213,22.213,631,0
HERD.US,D,20190807,000000,22.089,22.223,22.044,22.223,970,0
HERD.US,D,20190812,000000,22.367,22.367,22.099,22.099,302,0
HERD.US,D,20190813,000000,22.37,22.37,22.37,22.37,155,0
HERD.US,D,20190816,000000,21.963,21.986,21.963,21.986,270,0
HERD.US,D,20190819,000000,22.278,22.278,22.278,22.278,261,0
HERD.US,D,20190827,000000,21.982,21.982,21.944,21.944,240,0
HERD.US,D,20190828,000000,22.001,22.001,21.991,21.991,8776,0
HERD.US,D,20190830,000000,22.301,22.301,22.29,22.29,1055,0
HERD.US,D,20190904,000000,22.42,22.42,22.42,22.42,329,0
HERD.US,D,20190905,000000,22.906,22.906,22.848,22.851,807,0
HERD.US,D,20190909,000000,23.069,23.121,23.069,23.121,860,0
HERD.US,D,20190910,000000,23.364,23.364,23.357,23.362,665,0
HERD.US,D,20190911,000000,23.612,23.612,23.589,23.589,340,0
HERD.US,D,20190917,000000,23.704,23.704,23.704,23.704,443,0
HERD.US,D,20190919,000000,23.648,23.672,23.603,23.603,990,0
HERD.US,D,20190920,000000,23.528,23.528,23.528,23.528,105,0
HERD.US,D,20190923,000000,23.509,23.509,23.509,23.509,833,0
HERD.US,D,20190925,000000,23.37,23.37,23.37,23.37,328,0
HERD.US,D,20191002,000000,22.648,22.648,22.6,22.6,380,0
HERD.US,D,20191010,000000,22.834,22.834,22.834,22.834,104,0
HERD.US,D,20191015,000000,23.441,23.441,23.441,23.441,207,0
HERD.US,D,20191018,000000,23.431,23.431,23.431,23.431,104,0
HERD.US,D,20191021,000000,23.624,23.624,23.624,23.624,123,0
HERD.US,D,20191022,000000,23.604,23.865,23.604,23.855,725,0
HERD.US,D,20191023,000000,23.848,23.848,23.848,23.848,312,0
HERD.US,D,20191029,000000,24.175,24.175,24.175,24.175,259,0
HERD.US,D,20191104,000000,24.456,24.515,24.456,24.508,1469,0
HERD.US,D,20191111,000000,24.61,24.61,24.61,24.61,108,0
HERD.US,D,20191112,000000,24.633,24.633,24.591,24.591,333,0
