<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HERO.US,D,20191104,000000,15.429,15.429,15.37,15.37,552,0
HERO.US,D,20191105,000000,15.479,15.479,15.253,15.35,1393,0
HERO.US,D,20191106,000000,15.269,15.269,15.171,15.211,1146,0
HERO.US,D,20191107,000000,15.247,15.26,15.201,15.24,1518,0
HERO.US,D,20191108,000000,15.25,15.33,15.25,15.33,2205,0
HERO.US,D,20191111,000000,15.151,15.22,15.151,15.22,11813,0
HERO.US,D,20191112,000000,15.537,15.537,15.342,15.342,1374,0
HERO.US,D,20191113,000000,15.449,15.449,15.259,15.259,5680,0
HERO.US,D,20191114,000000,15.22,15.26,15.22,15.26,302,0
HERO.US,D,20191115,000000,15.31,15.36,15.303,15.32,1357,0
HERO.US,D,20191118,000000,15.331,15.331,15.294,15.33,1743,0
HERO.US,D,20191120,000000,15.479,15.479,15.469,15.469,478,0
HERO.US,D,20191121,000000,15.419,15.453,15.419,15.439,1892,0
HERO.US,D,20191122,000000,15.525,15.545,15.459,15.459,942,0
HERO.US,D,20191125,000000,15.715,15.715,15.625,15.647,698,0
HERO.US,D,20191126,000000,15.644,15.646,15.644,15.646,216,0
HERO.US,D,20191127,000000,15.695,15.825,15.688,15.785,3373,0
HERO.US,D,20191129,000000,15.656,15.705,15.645,15.645,1024,0
HERO.US,D,20191202,000000,15.636,15.636,15.602,15.602,732,0
HERO.US,D,20191203,000000,15.498,15.616,15.49,15.583,2198,0
HERO.US,D,20191206,000000,15.933,15.933,15.646,15.848,11702,0
HERO.US,D,20191209,000000,15.844,15.844,15.705,15.705,605,0
HERO.US,D,20191210,000000,15.844,15.844,15.79,15.79,660,0
HERO.US,D,20191213,000000,16.071,16.101,16.056,16.056,1429,0
HERO.US,D,20191216,000000,16.17,16.17,16.101,16.136,2036,0
HERO.US,D,20191217,000000,16.101,16.131,16.101,16.131,377,0
HERO.US,D,20191218,000000,16.131,16.131,16.091,16.091,2948,0
HERO.US,D,20191219,000000,16.145,16.177,16.14,16.155,2736,0
HERO.US,D,20191220,000000,16.14,16.245,16.14,16.245,3453,0
HERO.US,D,20191223,000000,16.309,16.309,16.25,16.28,2320,0
HERO.US,D,20191224,000000,16.299,16.299,16.201,16.255,1711,0
HERO.US,D,20191226,000000,16.27,16.349,16.251,16.319,2103,0
HERO.US,D,20191227,000000,16.339,16.354,16.309,16.309,3752,0
HERO.US,D,20191230,000000,16.379,16.379,16.22,16.22,2246,0
HERO.US,D,20191231,000000,16.243,16.243,16.243,16.243,529,0
HERO.US,D,20200102,000000,16.488,16.607,16.488,16.583,3615,0
HERO.US,D,20200103,000000,16.546,16.627,16.533,16.576,4048,0
HERO.US,D,20200106,000000,16.468,16.662,16.468,16.649,3032,0
HERO.US,D,20200107,000000,16.765,16.765,16.677,16.731,1386,0
HERO.US,D,20200108,000000,16.854,16.964,16.805,16.914,5099,0
HERO.US,D,20200109,000000,16.993,17.055,16.987,17.055,4461,0
HERO.US,D,20200110,000000,17.083,17.093,16.961,16.97,3989,0
HERO.US,D,20200113,000000,17.222,17.312,17.137,17.307,8914,0
HERO.US,D,20200114,000000,17.242,17.273,17.113,17.222,13556,0
HERO.US,D,20200115,000000,17.232,17.272,17.198,17.227,5564,0
HERO.US,D,20200116,000000,17.342,17.342,17.212,17.282,3248,0
HERO.US,D,20200117,000000,17.342,17.342,17.183,17.292,6860,0
HERO.US,D,20200121,000000,17.262,17.262,17.118,17.118,10818,0
HERO.US,D,20200122,000000,17.274,17.274,17.138,17.138,1273,0
HERO.US,D,20200123,000000,17.143,17.183,17.143,17.163,2336,0
HERO.US,D,20200124,000000,17.302,17.302,17.004,17.004,4892,0
HERO.US,D,20200127,000000,16.588,16.865,16.548,16.707,8224,0
HERO.US,D,20200128,000000,16.815,16.984,16.815,16.975,4838,0
HERO.US,D,20200129,000000,17.133,17.133,16.944,16.944,6461,0
HERO.US,D,20200130,000000,16.706,16.855,16.643,16.855,2634,0
HERO.US,D,20200131,000000,16.617,16.617,16.46,16.493,1256,0
HERO.US,D,20200203,000000,16.736,16.742,16.716,16.731,4856,0
HERO.US,D,20200204,000000,16.825,17.099,16.825,17.08,23510,0
HERO.US,D,20200205,000000,17.093,17.251,17.093,17.138,3535,0
HERO.US,D,20200206,000000,17.193,17.378,17.193,17.378,2028,0
HERO.US,D,20200207,000000,17.342,17.342,17.063,17.137,3935,0
HERO.US,D,20200210,000000,17.133,17.285,17.083,17.285,891531,0
HERO.US,D,20200211,000000,17.461,17.461,17.301,17.307,3436,0
HERO.US,D,20200212,000000,17.361,17.52,17.361,17.486,8608,0
HERO.US,D,20200213,000000,17.481,17.66,17.411,17.411,8667,0
HERO.US,D,20200214,000000,17.61,17.758,17.575,17.749,4991,0
