<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEWG.US,D,20140220,000000,19.936,19.943,19.936,19.943,4077,0
HEWG.US,D,20140221,000000,20.033,20.033,20.033,20.033,432,0
HEWG.US,D,20140314,000000,18.738,18.769,18.714,18.769,2348,0
HEWG.US,D,20140317,000000,18.965,19.038,18.965,19.038,4941,0
HEWG.US,D,20140321,000000,19.295,19.295,19.183,19.19,4554,0
HEWG.US,D,20140324,000000,19.125,19.125,19.125,19.125,1852,0
HEWG.US,D,20140328,000000,19.792,19.831,19.774,19.783,3515,0
HEWG.US,D,20140331,000000,19.831,19.903,19.758,19.758,1112,0
HEWG.US,D,20140401,000000,19.913,19.913,19.913,19.913,866,0
HEWG.US,D,20140411,000000,19.19,19.19,19.19,19.19,494,0
HEWG.US,D,20140422,000000,19.846,19.863,19.846,19.863,2472,0
HEWG.US,D,20140425,000000,19.426,19.434,19.426,19.434,2224,0
HEWG.US,D,20140508,000000,19.815,19.815,19.815,19.815,125,0
HEWG.US,D,20140522,000000,20.033,20.081,20.033,20.058,2326584,0
HEWG.US,D,20140523,000000,20.13,20.196,20.121,20.187,54805,0
HEWG.US,D,20140527,000000,20.534,20.534,20.485,20.485,49742,0
HEWG.US,D,20140528,000000,20.477,20.493,20.469,20.469,2544,0
HEWG.US,D,20140529,000000,20.461,20.552,20.461,20.534,2820,0
HEWG.US,D,20140530,000000,20.453,20.511,20.453,20.511,2323,0
HEWG.US,D,20140602,000000,20.477,20.614,20.477,20.511,1298,0
HEWG.US,D,20140603,000000,20.461,20.461,20.405,20.405,9609,0
HEWG.US,D,20140604,000000,20.411,20.445,20.388,20.445,2793,0
HEWG.US,D,20140605,000000,20.543,20.552,20.511,20.552,4767,0
HEWG.US,D,20140606,000000,20.614,20.614,20.599,20.607,1168,0
HEWG.US,D,20140609,000000,20.517,20.654,20.517,20.654,9746,0
HEWG.US,D,20140610,000000,20.648,20.68,20.648,20.654,1483,0
HEWG.US,D,20140611,000000,20.526,20.534,20.526,20.534,437,0
HEWG.US,D,20140612,000000,20.485,20.526,20.42,20.42,3269,0
HEWG.US,D,20140613,000000,20.388,20.477,20.388,20.388,51133,0
HEWG.US,D,20140616,000000,20.445,20.445,20.42,20.437,1414,0
HEWG.US,D,20140617,000000,20.388,20.477,20.388,20.477,1121,0
HEWG.US,D,20140618,000000,20.477,20.614,20.477,20.614,437,0
HEWG.US,D,20140619,000000,20.614,20.631,20.607,20.607,1222,0
HEWG.US,D,20140620,000000,20.59,20.59,20.566,20.575,5585,0
HEWG.US,D,20140623,000000,20.485,20.485,20.461,20.469,1185,0
HEWG.US,D,20140624,000000,20.469,20.517,20.461,20.461,1606,0
HEWG.US,D,20140625,000000,20.363,20.363,20.315,20.363,1897,0
HEWG.US,D,20140626,000000,20.196,20.284,20.196,20.284,3548,0
HEWG.US,D,20140630,000000,20.307,20.307,20.267,20.275,1812,0
HEWG.US,D,20140701,000000,20.388,20.453,20.388,20.411,1120,0
HEWG.US,D,20140702,000000,20.441,20.441,20.416,20.425,1210,0
HEWG.US,D,20140703,000000,20.624,20.672,20.624,20.664,2336,0
HEWG.US,D,20140707,000000,20.515,20.515,20.327,20.327,1695,0
HEWG.US,D,20140708,000000,20.285,20.285,20.13,20.146,5186,0
HEWG.US,D,20140709,000000,20.138,20.196,20.138,20.196,1982,0
HEWG.US,D,20140710,000000,19.816,19.956,19.816,19.889,4145,0
HEWG.US,D,20140711,000000,19.88,19.898,19.88,19.889,1583,0
HEWG.US,D,20140714,000000,20.105,20.146,20.105,20.146,6364,0
HEWG.US,D,20140715,000000,20.096,20.096,20.015,20.015,2023,0
HEWG.US,D,20140716,000000,20.301,20.301,20.269,20.269,14033,0
HEWG.US,D,20140717,000000,20.196,20.196,20.03,20.039,7139,0
HEWG.US,D,20140718,000000,20.046,20.055,20.046,20.055,1453,0
HEWG.US,D,20140721,000000,19.816,19.865,19.816,19.865,2392,0
