<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLAL.US,D,20190717,000000,24.525,24.525,24.301,24.301,3897,0
HLAL.US,D,20190718,000000,24.437,24.437,24.311,24.437,4562,0
HLAL.US,D,20190719,000000,24.515,24.515,24.407,24.446,6333,0
HLAL.US,D,20190722,000000,24.407,24.422,24.379,24.407,15793,0
HLAL.US,D,20190723,000000,24.457,24.561,24.447,24.561,9497,0
HLAL.US,D,20190724,000000,24.643,24.663,24.614,24.643,7806,0
HLAL.US,D,20190725,000000,24.614,24.614,24.54,24.584,9849,0
HLAL.US,D,20190726,000000,24.563,24.584,24.535,24.576,3285,0
HLAL.US,D,20190729,000000,24.634,24.634,24.505,24.614,4606,0
HLAL.US,D,20190730,000000,24.535,24.564,24.535,24.564,9895,0
HLAL.US,D,20190731,000000,24.702,24.702,24.447,24.447,7658,0
HLAL.US,D,20190801,000000,24.359,24.495,24.037,24.037,6904,0
HLAL.US,D,20190802,000000,24.015,24.015,23.702,23.712,3815,0
HLAL.US,D,20190805,000000,23.311,23.35,23.017,23.017,13192,0
HLAL.US,D,20190806,000000,23.113,23.274,23.093,23.238,10641,0
HLAL.US,D,20190807,000000,23.123,23.123,22.94,23.089,5471,0
HLAL.US,D,20190808,000000,23.536,23.741,23.536,23.741,3039,0
HLAL.US,D,20190809,000000,23.712,23.712,23.579,23.579,1523,0
HLAL.US,D,20190812,000000,23.42,23.526,23.3,23.3,2230,0
HLAL.US,D,20190813,000000,23.81,23.83,23.75,23.803,5128,0
HLAL.US,D,20190814,000000,23.3,23.32,23.073,23.073,9221,0
HLAL.US,D,20190815,000000,23.055,23.057,22.889,22.889,8587,0
HLAL.US,D,20190816,000000,23.278,23.381,23.278,23.381,2413,0
HLAL.US,D,20190819,000000,23.702,23.721,23.673,23.702,8134,0
HLAL.US,D,20190820,000000,23.721,23.721,23.574,23.574,12211,0
HLAL.US,D,20190821,000000,23.741,23.749,23.741,23.749,2333,0
HLAL.US,D,20190822,000000,23.869,23.869,23.664,23.78,4155,0
HLAL.US,D,20190823,000000,23.694,23.741,22.997,22.997,3644,0
HLAL.US,D,20190826,000000,23.34,23.34,23.202,23.222,2164,0
HLAL.US,D,20190827,000000,23.31,23.323,23.222,23.271,9520,0
HLAL.US,D,20190828,000000,23.212,23.369,23.143,23.369,2840,0
HLAL.US,D,20190829,000000,23.692,23.746,23.673,23.746,2054,0
HLAL.US,D,20190830,000000,23.83,23.85,23.654,23.654,1637,0
HLAL.US,D,20190903,000000,23.448,23.536,23.448,23.506,5449,0
HLAL.US,D,20190904,000000,23.75,23.76,23.721,23.721,4398,0
HLAL.US,D,20190905,000000,24.064,24.221,24.064,24.181,15378,0
HLAL.US,D,20190906,000000,24.191,24.236,24.181,24.231,6778,0
HLAL.US,D,20190909,000000,24.251,24.34,24.211,24.211,22276,0
HLAL.US,D,20190910,000000,24.124,24.311,24.124,24.311,10488,0
HLAL.US,D,20190911,000000,24.407,24.614,24.407,24.614,8551,0
HLAL.US,D,20190912,000000,24.762,24.762,24.634,24.732,12502,0
