<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HNDL.US,D,20180117,000000,21.563,21.579,21.559,21.575,83102,0
HNDL.US,D,20180118,000000,21.975,21.975,21.555,21.563,4954,0
HNDL.US,D,20180119,000000,21.563,21.563,21.535,21.545,34852,0
HNDL.US,D,20180122,000000,21.544,21.586,21.544,21.579,7518,0
HNDL.US,D,20180123,000000,21.579,21.655,21.579,21.655,3563,0
HNDL.US,D,20180124,000000,21.682,21.682,21.632,21.638,12978,0
HNDL.US,D,20180125,000000,21.638,21.647,21.604,21.638,5850,0
HNDL.US,D,20180126,000000,21.622,21.674,21.622,21.639,8068,0
HNDL.US,D,20180129,000000,21.699,21.699,21.612,21.622,9006,0
HNDL.US,D,20180130,000000,21.604,21.604,21.518,21.528,8865,0
HNDL.US,D,20180131,000000,21.549,21.549,21.492,21.492,6622,0
HNDL.US,D,20180201,000000,21.535,21.535,21.501,21.501,2484,0
HNDL.US,D,20180202,000000,21.398,21.398,21.281,21.281,13712,0
HNDL.US,D,20180205,000000,21.218,21.218,21.105,21.105,3805,0
HNDL.US,D,20180206,000000,20.953,21.045,20.95,21.045,2693,0
HNDL.US,D,20180207,000000,21.124,21.124,21.057,21.086,992,0
HNDL.US,D,20180208,000000,21.086,21.086,20.839,20.839,4214,0
HNDL.US,D,20180209,000000,21.095,21.095,20.548,20.701,1888,0
HNDL.US,D,20180212,000000,20.788,20.822,20.768,20.813,1768,0
HNDL.US,D,20180213,000000,20.831,20.872,20.831,20.872,2541,0
HNDL.US,D,20180214,000000,20.817,20.924,20.817,20.924,7510,0
HNDL.US,D,20180215,000000,21.02,21.038,20.997,21.029,1269,0
HNDL.US,D,20180216,000000,21.126,21.159,21.097,21.107,10362,0
HNDL.US,D,20180220,000000,21.126,21.139,21.116,21.116,465,0
HNDL.US,D,20180221,000000,21.123,21.134,21.116,21.116,2366,0
HNDL.US,D,20180222,000000,21.072,21.072,21.038,21.064,748,0
HNDL.US,D,20180223,000000,21.097,21.142,21.097,21.142,264,0
HNDL.US,D,20180226,000000,21.264,21.274,21.264,21.274,433,0
HNDL.US,D,20180227,000000,21.284,21.296,21.239,21.255,2595,0
HNDL.US,D,20180228,000000,21.212,21.212,21.159,21.159,8243,0
HNDL.US,D,20180301,000000,21.134,21.134,21.126,21.126,224,0
HNDL.US,D,20180302,000000,20.97,21.029,20.97,21.027,948,0
HNDL.US,D,20180305,000000,21.038,21.116,21.038,21.116,2400,0
HNDL.US,D,20180306,000000,21.3,21.3,21.134,21.169,4197,0
HNDL.US,D,20180308,000000,21.203,21.203,21.183,21.203,1388,0
HNDL.US,D,20180309,000000,21.255,21.274,21.255,21.274,2209,0
HNDL.US,D,20180312,000000,21.454,21.454,21.316,21.324,1358,0
HNDL.US,D,20180313,000000,21.377,21.377,21.338,21.351,529,0
HNDL.US,D,20180314,000000,21.328,21.328,21.307,21.307,2158,0
