<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYLS.US,D,20130301,000000,33.269,33.285,33.118,33.159,18665,0
HYLS.US,D,20130304,000000,33.417,33.417,33.159,33.192,25659,0
HYLS.US,D,20130305,000000,33.188,33.188,33.188,33.188,3772,0
HYLS.US,D,20130306,000000,33.221,33.221,33.132,33.159,24892,0
HYLS.US,D,20130307,000000,33.206,33.353,33.205,33.215,25895,0
HYLS.US,D,20130308,000000,33.53,33.53,33.259,33.325,8978,0
HYLS.US,D,20130311,000000,33.561,33.561,33.337,33.337,3168,0
HYLS.US,D,20130312,000000,33.502,33.502,33.337,33.357,6289,0
HYLS.US,D,20130313,000000,33.466,33.518,33.39,33.39,6949,0
HYLS.US,D,20130314,000000,33.451,33.485,33.451,33.485,5737,0
HYLS.US,D,20130315,000000,33.417,33.423,33.302,33.376,14795,0
HYLS.US,D,20130318,000000,33.579,33.592,33.451,33.457,11808,0
HYLS.US,D,20130319,000000,33.457,33.526,33.457,33.467,19785,0
HYLS.US,D,20130320,000000,33.467,34.002,33.467,33.481,12400,0
HYLS.US,D,20130321,000000,33.7,33.867,33.638,33.646,6755,0
HYLS.US,D,20130322,000000,33.601,33.601,33.547,33.563,21378,0
HYLS.US,D,20130325,000000,33.636,33.754,33.628,33.646,5344,0
HYLS.US,D,20130326,000000,33.646,33.646,33.619,33.646,7128,0
HYLS.US,D,20130327,000000,34.205,34.238,33.716,33.716,3688,0
HYLS.US,D,20130328,000000,33.83,34.225,33.456,33.63,18443,0
HYLS.US,D,20130401,000000,33.5,33.679,33.5,33.605,6712,0
HYLS.US,D,20130402,000000,33.609,33.991,33.609,33.734,4544,0
HYLS.US,D,20130403,000000,33.692,34.294,33.638,33.767,17497,0
HYLS.US,D,20130404,000000,33.767,33.767,33.666,33.722,7365,0
HYLS.US,D,20130405,000000,33.709,33.836,33.7,33.829,61841,0
HYLS.US,D,20130408,000000,33.646,33.746,33.646,33.745,12833,0
HYLS.US,D,20130409,000000,33.836,33.836,33.72,33.724,1374,0
HYLS.US,D,20130410,000000,33.716,33.716,33.66,33.66,14752,0
HYLS.US,D,20130411,000000,34.004,34.036,33.911,33.979,13295,0
HYLS.US,D,20130412,000000,34.097,34.102,33.979,34.01,5830,0
HYLS.US,D,20130415,000000,33.979,33.979,33.973,33.973,4575,0
HYLS.US,D,20130416,000000,33.948,34.01,33.909,33.909,46826,0
HYLS.US,D,20130417,000000,33.988,34.044,33.94,33.979,19888,0
HYLS.US,D,20130418,000000,34.001,34.044,33.983,33.983,3417,0
HYLS.US,D,20130419,000000,34.148,34.148,33.955,33.991,38234,0
HYLS.US,D,20130422,000000,34.081,34.173,34.004,34.081,1122,0
HYLS.US,D,20130423,000000,34.238,34.273,34.098,34.238,2482,0
HYLS.US,D,20130424,000000,34.28,34.297,34.238,34.238,2017,0
HYLS.US,D,20130425,000000,34.366,34.383,34.161,34.273,15547,0
HYLS.US,D,20130426,000000,34.383,34.383,34.365,34.366,4186,0
HYLS.US,D,20130429,000000,34.366,34.564,34.273,34.542,106682,0
HYLS.US,D,20130430,000000,34.586,34.621,34.383,34.621,4577,0
HYLS.US,D,20130501,000000,34.677,34.957,34.657,34.697,5085,0
HYLS.US,D,20130502,000000,34.855,34.855,34.851,34.855,2430,0
HYLS.US,D,20130503,000000,34.843,35.217,34.843,34.995,9161,0
HYLS.US,D,20130506,000000,35.007,35.007,34.995,35.007,3160,0
HYLS.US,D,20130507,000000,35.052,35.063,35.019,35.022,7933,0
HYLS.US,D,20130508,000000,35.126,35.126,35.104,35.104,5941,0
HYLS.US,D,20130509,000000,35.112,35.112,35.098,35.098,2788,0
HYLS.US,D,20130510,000000,35.724,35.724,34.975,34.975,21689,0
HYLS.US,D,20130513,000000,35.032,35.039,34.992,35.039,4515,0
HYLS.US,D,20130514,000000,38.19,38.19,34.843,35.046,9250,0
HYLS.US,D,20130515,000000,35.007,35.075,34.901,35.046,11164,0
HYLS.US,D,20130516,000000,34.967,34.975,34.967,34.975,9549,0
HYLS.US,D,20130517,000000,35.022,35.031,35.018,35.022,4554,0
HYLS.US,D,20130520,000000,35.09,35.09,35.007,35.058,126242,0
HYLS.US,D,20130521,000000,35.063,35.095,34.913,35.095,12885,0
HYLS.US,D,20130522,000000,35.189,35.189,35.095,35.146,18275,0
HYLS.US,D,20130523,000000,35.038,35.045,34.995,35.038,6972,0
HYLS.US,D,20130524,000000,35.001,35.001,34.733,34.906,28349,0
HYLS.US,D,20130528,000000,35.021,35.038,34.869,34.974,14468,0
HYLS.US,D,20130529,000000,34.738,34.738,34.45,34.485,18479,0
HYLS.US,D,20130530,000000,34.533,34.7,34.533,34.7,25485,0
HYLS.US,D,20130531,000000,34.869,34.869,34.464,34.469,20347,0
HYLS.US,D,20130603,000000,34.089,34.391,33.979,34.391,5300,0
HYLS.US,D,20130604,000000,34.316,34.362,34.05,34.239,9019,0
HYLS.US,D,20130605,000000,38.403,38.403,31.951,34.097,9266,0
HYLS.US,D,20130606,000000,33.946,33.979,33.925,33.952,74442,0
HYLS.US,D,20130607,000000,33.979,34.142,33.979,34.044,32137,0
HYLS.US,D,20130610,000000,34.205,34.283,34.161,34.26,11867,0
HYLS.US,D,20130611,000000,34.601,34.601,34.03,34.179,9353,0
HYLS.US,D,20130612,000000,34.081,37.97,34.043,34.168,71425,0
HYLS.US,D,20130613,000000,34.015,34.426,34.015,34.021,13804,0
HYLS.US,D,20130614,000000,34.205,34.239,34.187,34.239,11258,0
HYLS.US,D,20130617,000000,34.089,34.695,34.05,34.307,26176,0
HYLS.US,D,20130618,000000,34.332,34.571,34.138,34.307,34972,0
HYLS.US,D,20130619,000000,34.135,34.332,34.097,34.289,20853,0
HYLS.US,D,20130620,000000,34.097,34.232,33.632,34.128,33029,0
HYLS.US,D,20130621,000000,33.725,34.064,33.48,33.978,77440,0
HYLS.US,D,20130624,000000,32.871,33.469,32.798,33.202,12536,0
HYLS.US,D,20130625,000000,33.251,34.142,33.251,33.564,30502,0
HYLS.US,D,20130626,000000,33.417,33.839,33.133,33.666,17544,0
HYLS.US,D,20130627,000000,33.652,33.742,33.644,33.725,27494,0
HYLS.US,D,20130628,000000,33.538,33.839,33.538,33.792,60375,0
HYLS.US,D,20130701,000000,33.877,33.96,33.636,33.938,17137,0
HYLS.US,D,20130702,000000,33.83,34.056,33.796,33.885,49216,0
HYLS.US,D,20130703,000000,33.83,34.142,33.709,34.142,20410,0
HYLS.US,D,20130705,000000,33.528,33.636,33.23,33.55,18874,0
HYLS.US,D,20130708,000000,33.885,34.168,33.571,33.853,2379,0
HYLS.US,D,20130709,000000,33.814,33.827,33.538,33.792,14534,0
HYLS.US,D,20130710,000000,33.619,34.306,33.467,33.846,36217,0
HYLS.US,D,20130711,000000,34.161,34.2,34.064,34.064,18712,0
HYLS.US,D,20130712,000000,34.003,34.213,33.937,34.187,7851,0
HYLS.US,D,20130715,000000,34.677,34.677,34.213,34.295,8242,0
HYLS.US,D,20130716,000000,34.397,34.45,34.291,34.392,56835,0
HYLS.US,D,20130717,000000,34.457,34.554,34.34,34.437,29731,0
HYLS.US,D,20130718,000000,34.471,34.888,34.42,34.507,19325,0
HYLS.US,D,20130719,000000,34.569,34.569,34.528,34.563,37646,0
HYLS.US,D,20130722,000000,34.69,34.698,34.656,34.698,22629,0
HYLS.US,D,20130723,000000,34.866,34.866,34.762,34.789,24786,0
HYLS.US,D,20130724,000000,34.64,34.64,34.594,34.604,6440,0
HYLS.US,D,20130725,000000,34.553,34.586,34.526,34.544,7726,0
HYLS.US,D,20130726,000000,34.54,34.574,34.512,34.518,81120,0
HYLS.US,D,20130729,000000,34.427,34.427,34.396,34.427,12331,0
HYLS.US,D,20130730,000000,34.448,36.104,34.396,34.743,28771,0
HYLS.US,D,20130731,000000,34.574,34.574,34.429,34.429,29887,0
HYLS.US,D,20130801,000000,34.505,34.54,34.391,34.539,40620,0
HYLS.US,D,20130802,000000,34.518,34.562,34.492,34.492,29073,0
HYLS.US,D,20130805,000000,34.592,34.671,34.592,34.64,29032,0
HYLS.US,D,20130806,000000,34.534,34.553,34.413,34.413,20346,0
HYLS.US,D,20130807,000000,34.338,34.399,34.338,34.376,20761,0
HYLS.US,D,20130808,000000,34.409,34.448,34.409,34.419,18220,0
HYLS.US,D,20130809,000000,34.405,34.42,34.389,34.413,13437,0
HYLS.US,D,20130812,000000,34.314,34.369,34.314,34.369,7359,0
HYLS.US,D,20130813,000000,34.391,34.399,34.325,34.399,9719,0
HYLS.US,D,20130814,000000,34.376,34.413,34.376,34.413,101877,0
HYLS.US,D,20130815,000000,34.431,34.435,34.302,34.345,5384,0
HYLS.US,D,20130816,000000,34.391,34.413,34.294,34.399,7161,0
HYLS.US,D,20130819,000000,34.586,34.717,34.281,34.6,5599,0
HYLS.US,D,20130820,000000,34.386,34.42,34.386,34.418,14611,0
HYLS.US,D,20130821,000000,34.391,34.842,34.336,34.416,12229,0
HYLS.US,D,20130822,000000,34.535,34.634,34.33,34.612,59274,0
HYLS.US,D,20130823,000000,34.391,34.435,34.273,34.273,5384,0
HYLS.US,D,20130826,000000,34.47,34.47,34.391,34.391,6660,0
HYLS.US,D,20130827,000000,34.391,34.391,34.273,34.367,5021,0
HYLS.US,D,20130828,000000,34.273,34.28,34.223,34.259,5152,0
HYLS.US,D,20130829,000000,34.305,34.313,34.204,34.273,6084,0
HYLS.US,D,20130830,000000,34.311,34.355,34.241,34.355,6114,0
HYLS.US,D,20130903,000000,34.249,34.361,34.249,34.355,6419,0
HYLS.US,D,20130904,000000,34.284,34.441,34.284,34.441,10873,0
HYLS.US,D,20130905,000000,34.592,34.726,34.592,34.611,3221,0
HYLS.US,D,20130906,000000,34.355,34.444,34.345,34.444,36426,0
HYLS.US,D,20130909,000000,34.409,34.506,34.361,34.368,16171,0
HYLS.US,D,20130910,000000,34.399,34.457,34.372,34.436,12288,0
HYLS.US,D,20130911,000000,34.492,34.506,34.448,34.498,10982,0
HYLS.US,D,20130912,000000,34.47,34.48,34.391,34.464,15540,0
HYLS.US,D,20130913,000000,34.512,34.519,34.438,34.486,34184,0
HYLS.US,D,20130916,000000,34.605,34.95,34.464,34.87,23949,0
HYLS.US,D,20130917,000000,34.877,34.877,34.545,34.554,16460,0
HYLS.US,D,20130918,000000,34.692,34.848,34.569,34.848,1846,0
HYLS.US,D,20130919,000000,34.854,34.862,34.616,34.842,12542,0
HYLS.US,D,20130920,000000,35.242,35.242,34.891,35.034,5047,0
HYLS.US,D,20130923,000000,34.965,34.998,34.943,34.968,14732,0
HYLS.US,D,20130924,000000,34.91,34.965,34.899,34.91,23102,0
HYLS.US,D,20130925,000000,34.833,34.899,34.754,34.792,5080,0
HYLS.US,D,20130926,000000,34.77,34.883,34.748,34.754,7848,0
HYLS.US,D,20130927,000000,34.883,34.883,34.754,34.877,5814,0
HYLS.US,D,20130930,000000,34.748,34.77,34.579,34.579,11533,0
HYLS.US,D,20131001,000000,34.664,34.664,34.477,34.648,19927,0
HYLS.US,D,20131002,000000,34.672,34.678,34.641,34.662,3057,0
HYLS.US,D,20131003,000000,34.744,34.744,34.648,34.668,8515,0
HYLS.US,D,20131004,000000,34.748,34.784,34.626,34.731,3343,0
HYLS.US,D,20131007,000000,34.825,34.87,34.8,34.87,19259,0
HYLS.US,D,20131008,000000,34.731,34.848,34.672,34.848,3053,0
HYLS.US,D,20131009,000000,34.87,34.907,34.719,34.719,2904,0
HYLS.US,D,20131010,000000,34.91,35.184,34.744,34.943,15695,0
HYLS.US,D,20131011,000000,35.436,35.436,34.991,35.118,11770,0
HYLS.US,D,20131014,000000,35.009,35.009,34.854,35.004,6396,0
HYLS.US,D,20131015,000000,35.027,35.051,34.998,35.051,21075,0
HYLS.US,D,20131016,000000,35.078,35.118,34.998,34.998,29084,0
HYLS.US,D,20131017,000000,35.14,35.184,35.111,35.184,8571,0
HYLS.US,D,20131018,000000,35.267,35.383,35.102,35.375,23767,0
HYLS.US,D,20131021,000000,35.769,35.769,35.303,35.495,27032,0
HYLS.US,D,20131022,000000,35.412,35.452,35.367,35.431,53540,0
HYLS.US,D,20131023,000000,35.367,35.383,35.267,35.374,19188,0
HYLS.US,D,20131024,000000,35.407,35.419,35.375,35.412,16354,0
HYLS.US,D,20131025,000000,35.46,35.472,35.412,35.419,196905,0
HYLS.US,D,20131028,000000,35.488,35.495,35.375,35.375,7120,0
HYLS.US,D,20131029,000000,35.531,35.542,35.383,35.507,7120,0
HYLS.US,D,20131030,000000,35.502,35.988,35.419,35.632,9443,0
HYLS.US,D,20131031,000000,35.583,35.598,35.476,35.583,16788,0
HYLS.US,D,20131101,000000,35.742,35.774,35.436,35.625,28193,0
HYLS.US,D,20131104,000000,35.769,35.774,35.436,35.673,14239,0
HYLS.US,D,20131105,000000,35.612,35.612,35.537,35.57,21046,0
HYLS.US,D,20131106,000000,35.774,35.774,35.523,35.621,30848,0
HYLS.US,D,20131107,000000,35.612,35.612,35.472,35.472,13826,0
