<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYXF.US,D,20170117,000000,42.112,42.112,42.112,42.112,240,0
HYXF.US,D,20170119,000000,42.153,42.153,42.153,42.153,245,0
HYXF.US,D,20170130,000000,42.184,42.19,42.184,42.19,245,0
HYXF.US,D,20170206,000000,42.348,42.348,42.348,42.348,193,0
HYXF.US,D,20170207,000000,42.402,42.402,42.402,42.402,116,0
HYXF.US,D,20170216,000000,42.497,42.497,42.497,42.497,472,0
HYXF.US,D,20170223,000000,42.819,42.819,42.819,42.819,924,0
HYXF.US,D,20170228,000000,42.852,42.852,42.852,42.852,455,0
HYXF.US,D,20170303,000000,42.871,42.885,42.87,42.885,995,0
HYXF.US,D,20170310,000000,42.244,42.244,42.244,42.244,452,0
HYXF.US,D,20170324,000000,42.274,42.277,42.272,42.274,3034,0
HYXF.US,D,20170405,000000,42.883,42.884,42.883,42.884,2269,0
HYXF.US,D,20170412,000000,42.836,42.836,42.836,42.836,408,0
HYXF.US,D,20170424,000000,43.159,43.159,43.159,43.159,284,0
HYXF.US,D,20170425,000000,43.202,43.202,43.184,43.184,1211,0
HYXF.US,D,20170426,000000,43.175,43.175,43.175,43.175,116,0
HYXF.US,D,20170428,000000,43.246,43.254,43.246,43.254,5196,0
HYXF.US,D,20170501,000000,43.297,43.297,43.297,43.297,117,0
HYXF.US,D,20170503,000000,43.331,43.331,43.297,43.297,966,0
HYXF.US,D,20170505,000000,43.167,43.167,43.167,43.167,1151,0
HYXF.US,D,20170509,000000,43.247,43.247,43.247,43.247,534,0
HYXF.US,D,20170510,000000,43.297,43.297,43.297,43.297,253,0
HYXF.US,D,20170519,000000,43.226,43.226,43.226,43.226,4811,0
HYXF.US,D,20170522,000000,43.305,43.317,43.305,43.317,268,0
HYXF.US,D,20170531,000000,43.483,43.483,43.483,43.483,241,0
HYXF.US,D,20170601,000000,43.558,43.558,43.558,43.558,603,0
HYXF.US,D,20170619,000000,43.741,43.741,43.741,43.741,169,0
HYXF.US,D,20170620,000000,43.637,43.661,43.637,43.661,1314,0
HYXF.US,D,20170621,000000,43.606,43.606,43.585,43.585,356,0
HYXF.US,D,20170622,000000,46.356,46.356,43.479,43.541,5233,0
HYXF.US,D,20170626,000000,43.691,43.691,43.678,43.678,2285,0
HYXF.US,D,20170703,000000,43.764,43.764,43.747,43.747,475,0
HYXF.US,D,20170718,000000,43.943,43.943,43.943,43.943,229,0
HYXF.US,D,20170720,000000,44.068,44.068,44.068,44.068,485,0
HYXF.US,D,20170725,000000,44.086,44.086,44.068,44.068,573,0
HYXF.US,D,20170726,000000,44.086,44.086,44.086,44.086,279,0
HYXF.US,D,20170801,000000,44.098,44.098,44.098,44.098,250,0
HYXF.US,D,20170802,000000,44.117,44.124,44.117,44.124,375,0
HYXF.US,D,20170804,000000,44.012,44.029,44.012,44.029,372,0
HYXF.US,D,20170807,000000,44.028,44.028,44.014,44.014,240,0
HYXF.US,D,20170808,000000,44.039,44.039,44.039,44.039,205,0
HYXF.US,D,20170809,000000,43.871,43.871,43.803,43.803,3198,0
HYXF.US,D,20170810,000000,43.64,43.64,43.625,43.625,713,0
HYXF.US,D,20170811,000000,43.602,43.611,43.602,43.606,740,0
HYXF.US,D,20170814,000000,43.751,43.751,43.751,43.751,174,0
HYXF.US,D,20170817,000000,43.721,43.721,43.721,43.721,553,0
HYXF.US,D,20170818,000000,43.666,43.676,43.657,43.657,961,0
HYXF.US,D,20170821,000000,43.676,43.704,43.676,43.704,278,0
HYXF.US,D,20170822,000000,43.768,43.768,43.768,43.768,1204,0
HYXF.US,D,20170825,000000,43.871,43.871,43.871,43.871,116,0
HYXF.US,D,20170828,000000,43.915,43.915,43.915,43.915,2085,0
HYXF.US,D,20170829,000000,43.907,43.907,43.907,43.907,116,0
HYXF.US,D,20170830,000000,43.956,43.956,43.956,43.956,139,0
HYXF.US,D,20170901,000000,44.133,44.133,44.133,44.133,237,0
HYXF.US,D,20170905,000000,44.083,44.083,44.028,44.028,383,0
HYXF.US,D,20170911,000000,44.057,44.057,44.057,44.057,116,0
HYXF.US,D,20170912,000000,44.074,44.074,44.06,44.06,414,0
HYXF.US,D,20170913,000000,44.004,44.004,44.004,44.004,149,0
HYXF.US,D,20171002,000000,44.253,44.253,44.253,44.253,138,0
HYXF.US,D,20171012,000000,44.243,44.243,44.243,44.243,185,0
HYXF.US,D,20171013,000000,44.248,44.248,44.248,44.248,116,0
HYXF.US,D,20171101,000000,44.292,44.292,44.264,44.264,7555,0
HYXF.US,D,20171103,000000,44.209,44.209,44.209,44.209,584,0
HYXF.US,D,20171108,000000,43.91,43.91,43.91,43.91,116,0
HYXF.US,D,20171109,000000,43.657,43.657,43.657,43.657,203,0
HYXF.US,D,20171110,000000,43.665,43.665,43.665,43.665,404,0
HYXF.US,D,20171114,000000,43.561,43.561,43.561,43.561,203,0
HYXF.US,D,20171121,000000,43.965,43.965,43.965,43.965,235,0
HYXF.US,D,20171122,000000,43.99,43.99,43.99,43.99,146,0
