<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYZD.US,D,20131220,000000,18.049,18.096,18.049,18.081,4156,0
HYZD.US,D,20131223,000000,18.04,18.074,18.04,18.074,5813,0
HYZD.US,D,20131226,000000,18.07,18.084,18.07,18.07,1593,0
HYZD.US,D,20131230,000000,18.133,18.133,18.133,18.133,279,0
HYZD.US,D,20131231,000000,18.147,18.147,18.029,18.029,690,0
HYZD.US,D,20140103,000000,18.149,18.149,18.141,18.141,662,0
HYZD.US,D,20140106,000000,18.123,18.169,18.123,18.169,85337,0
HYZD.US,D,20140107,000000,18.157,18.159,18.157,18.159,833,0
HYZD.US,D,20140108,000000,18.123,18.123,18.123,18.123,3735,0
HYZD.US,D,20140109,000000,18.123,18.123,18.123,18.123,3458,0
HYZD.US,D,20140110,000000,18.037,18.092,18.037,18.092,8296,0
HYZD.US,D,20140113,000000,18.092,18.092,18.092,18.092,109,0
HYZD.US,D,20140114,000000,17.955,17.955,17.955,17.955,551,0
HYZD.US,D,20140116,000000,18.059,18.287,18.059,18.127,13418,0
HYZD.US,D,20140121,000000,18.062,18.127,18.062,18.127,833,0
HYZD.US,D,20140122,000000,18.176,18.176,18.169,18.169,7747,0
HYZD.US,D,20140123,000000,18.176,18.185,18.176,18.185,3737,0
HYZD.US,D,20140127,000000,18.227,18.227,18.218,18.218,2757,0
HYZD.US,D,20140128,000000,18.12,18.12,18.088,18.088,3831,0
HYZD.US,D,20140130,000000,18.058,18.058,18.058,18.058,409,0
HYZD.US,D,20140131,000000,18.033,18.096,18.033,18.054,24981,0
HYZD.US,D,20140204,000000,17.966,17.966,17.966,17.966,1484,0
HYZD.US,D,20140205,000000,17.972,17.98,17.972,17.972,2346,0
HYZD.US,D,20140210,000000,18.058,18.058,18.058,18.058,1519,0
HYZD.US,D,20140212,000000,18.12,18.12,18.12,18.12,112,0
HYZD.US,D,20140218,000000,18.125,18.125,18.124,18.125,5297,0
HYZD.US,D,20140219,000000,18.125,18.125,18.125,18.125,11537,0
HYZD.US,D,20140220,000000,18.125,18.164,18.125,18.144,6140,0
HYZD.US,D,20140221,000000,18.13,18.13,18.13,18.13,3038,0
HYZD.US,D,20140225,000000,18.169,18.169,18.116,18.169,6759,0
HYZD.US,D,20140226,000000,18.161,18.169,18.161,18.169,278,0
HYZD.US,D,20140227,000000,18.127,18.127,18.127,18.127,237,0
HYZD.US,D,20140303,000000,18.161,18.161,18.16,18.16,2622,0
HYZD.US,D,20140304,000000,18.19,18.312,18.19,18.238,3680,0
HYZD.US,D,20140310,000000,18.16,18.16,18.16,18.16,686,0
HYZD.US,D,20140317,000000,18.252,18.252,18.238,18.238,451,0
HYZD.US,D,20140318,000000,18.116,18.357,18.116,18.336,26629,0
HYZD.US,D,20140319,000000,18.33,18.33,18.33,18.33,4494,0
HYZD.US,D,20140321,000000,18.33,18.33,18.33,18.33,206,0
HYZD.US,D,20140325,000000,18.344,18.344,18.344,18.344,277,0
HYZD.US,D,20140326,000000,18.344,18.344,18.202,18.202,3160,0
HYZD.US,D,20140327,000000,18.316,18.316,18.202,18.202,1787,0
HYZD.US,D,20140328,000000,18.301,18.301,18.301,18.301,410,0
HYZD.US,D,20140402,000000,18.285,18.285,18.285,18.285,405,0
HYZD.US,D,20140403,000000,18.415,18.571,18.415,18.571,11876,0
HYZD.US,D,20140408,000000,18.496,18.503,18.496,18.503,1641,0
HYZD.US,D,20140409,000000,18.526,18.526,18.517,18.526,406,0
HYZD.US,D,20140410,000000,18.536,18.738,18.339,18.738,6450,0
HYZD.US,D,20140411,000000,18.767,18.767,18.392,18.509,6636,0
HYZD.US,D,20140414,000000,18.536,18.536,18.536,18.536,1087,0
HYZD.US,D,20140415,000000,18.368,18.368,18.368,18.368,931,0
HYZD.US,D,20140416,000000,18.353,18.392,18.353,18.392,14141,0
HYZD.US,D,20140417,000000,18.4,18.4,18.4,18.4,109,0
HYZD.US,D,20140421,000000,18.405,18.405,18.405,18.405,813,0
HYZD.US,D,20140422,000000,18.419,18.443,18.419,18.419,7691,0
HYZD.US,D,20140423,000000,18.425,18.425,18.425,18.425,434,0
HYZD.US,D,20140424,000000,18.433,18.433,18.382,18.405,5478,0
