<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBB.US,D,20050225,000000,22.851,23.308,22.851,23.308,2824650,0
IBB.US,D,20050228,000000,22.393,22.572,22.095,22.329,7498746,0
IBB.US,D,20050301,000000,22.279,22.432,22.233,22.393,2285050,0
IBB.US,D,20050302,000000,22.661,22.671,22.221,22.319,1096027,0
IBB.US,D,20050303,000000,22.23,22.451,22.003,22.033,5067176,0
IBB.US,D,20050304,000000,22.164,22.226,21.792,21.805,4715401,0
IBB.US,D,20050307,000000,21.836,22.057,21.725,21.739,4818790,0
IBB.US,D,20050308,000000,21.739,21.836,21.605,21.611,3917614,0
IBB.US,D,20050309,000000,21.608,21.657,21.38,21.522,6323185,0
IBB.US,D,20050310,000000,21.512,21.625,21.285,21.41,3969918,0
IBB.US,D,20050311,000000,21.446,21.566,21.146,21.243,2453899,0
IBB.US,D,20050314,000000,21.282,21.95,21.282,21.902,15037266,0
IBB.US,D,20050315,000000,22.017,22.023,21.39,21.396,12472011,0
IBB.US,D,20050316,000000,21.249,21.509,21.11,21.157,4762491,0
IBB.US,D,20050317,000000,21.04,21.38,21.04,21.272,2521196,0
IBB.US,D,20050318,000000,21.233,21.35,21.174,21.216,3185915,0
IBB.US,D,20050321,000000,21.446,21.446,21.08,21.216,3203960,0
IBB.US,D,20050322,000000,21.298,21.446,21.167,21.249,3043668,0
IBB.US,D,20050323,000000,21.184,21.406,21.086,21.314,3403709,0
IBB.US,D,20050324,000000,21.314,21.578,21.314,21.479,4229019,0
IBB.US,D,20050328,000000,21.608,21.608,21.11,21.14,2988612,0
IBB.US,D,20050329,000000,21.086,21.157,20.596,20.695,8142051,0
IBB.US,D,20050330,000000,20.726,21.027,20.726,21.02,3040918,0
IBB.US,D,20050331,000000,20.922,20.942,20.758,20.774,4658496,0
IBB.US,D,20050401,000000,21.02,21.1,20.504,20.596,3775981,0
IBB.US,D,20050404,000000,20.547,20.71,20.411,20.606,3898044,0
IBB.US,D,20050405,000000,20.646,20.863,20.629,20.824,2893176,0
IBB.US,D,20050406,000000,21.02,21.383,20.994,21.181,7121882,0
IBB.US,D,20050407,000000,21.249,21.522,21.06,21.479,2933843,0
IBB.US,D,20050408,000000,21.821,21.824,21.285,21.37,2220507,0
IBB.US,D,20050411,000000,21.446,21.522,21.35,21.38,1405589,0
IBB.US,D,20050412,000000,21.347,21.674,21.077,21.654,5763083,0
IBB.US,D,20050413,000000,21.641,21.664,21.4,21.479,1999945,0
IBB.US,D,20050414,000000,21.413,21.547,21.12,21.12,3172760,0
IBB.US,D,20050415,000000,21.136,21.446,21.086,21.12,6115175,0
IBB.US,D,20050418,000000,21.2,21.265,20.912,21.037,3441030,0
IBB.US,D,20050419,000000,21.167,21.239,21.057,21.2,1661326,0
IBB.US,D,20050420,000000,21.278,21.282,20.954,20.954,1946728,0
IBB.US,D,20050421,000000,21.249,21.41,21.133,21.396,3448678,0
IBB.US,D,20050422,000000,21.223,21.416,21.096,21.216,2084072,0
IBB.US,D,20050425,000000,21.249,21.36,21.103,21.265,1366135,0
IBB.US,D,20050426,000000,21.33,21.528,21.216,21.229,2715744,0
IBB.US,D,20050427,000000,21.167,21.167,20.925,21.106,3262689,0
IBB.US,D,20050428,000000,21.004,21.004,20.573,20.596,5286806,0
IBB.US,D,20050429,000000,20.652,20.771,20.365,20.749,2219285,0
IBB.US,D,20050502,000000,20.774,20.954,20.774,20.889,1865048,0
IBB.US,D,20050503,000000,20.967,21.167,20.892,21.004,2409237,0
IBB.US,D,20050504,000000,21.053,21.406,21.014,21.33,1393357,0
IBB.US,D,20050505,000000,21.314,21.452,21.171,21.393,2876647,0
IBB.US,D,20050506,000000,21.272,21.575,21.272,21.416,1118364,0
IBB.US,D,20050509,000000,21.528,21.788,21.41,21.788,2037269,0
IBB.US,D,20050510,000000,21.772,21.997,21.703,21.902,5108468,0
IBB.US,D,20050511,000000,22.05,22.05,21.647,22.033,3830740,0
IBB.US,D,20050512,000000,22.033,22.168,21.826,21.915,1867191,0
IBB.US,D,20050513,000000,22,22,21.56,21.739,3269115,0
IBB.US,D,20050516,000000,21.788,21.872,21.611,21.872,1739936,0
IBB.US,D,20050517,000000,21.852,21.852,21.575,21.755,3627629,0
IBB.US,D,20050518,000000,21.869,22.057,21.821,21.937,4107887,0
IBB.US,D,20050519,000000,22.066,22.066,21.836,21.967,2050119,0
IBB.US,D,20050520,000000,21.821,21.957,21.821,21.889,2580546,0
IBB.US,D,20050523,000000,21.885,22.023,21.843,21.934,2481741,0
IBB.US,D,20050524,000000,21.967,22.057,21.821,21.876,4490562,0
IBB.US,D,20050525,000000,21.917,21.927,21.66,21.705,1334926,0
IBB.US,D,20050526,000000,21.83,21.947,21.745,21.885,1337071,0
IBB.US,D,20050527,000000,21.96,22.033,21.843,21.977,966017,0
IBB.US,D,20050531,000000,22,22,21.755,21.805,1125089,0
IBB.US,D,20050601,000000,21.869,22.003,21.772,21.892,1112855,0
IBB.US,D,20050602,000000,21.902,21.912,21.821,21.852,1204618,0
IBB.US,D,20050603,000000,21.805,21.889,21.19,21.43,3669531,0
IBB.US,D,20050606,000000,21.495,21.495,21.206,21.233,4412557,0
IBB.US,D,20050607,000000,21.249,21.416,21.086,21.155,2974228,0
IBB.US,D,20050608,000000,21.233,21.233,21.014,21.047,1307706,0
IBB.US,D,20050609,000000,21.12,21.41,21.034,21.347,2628575,0
IBB.US,D,20050610,000000,21.347,21.387,21.268,21.347,1031172,0
IBB.US,D,20050613,000000,21.38,21.472,21.295,21.347,811539,0
IBB.US,D,20050614,000000,21.34,21.462,21.317,21.436,2523345,0
IBB.US,D,20050615,000000,21.512,21.512,21.249,21.416,1088378,0
IBB.US,D,20050616,000000,21.591,22.207,21.55,22.066,8259208,0
IBB.US,D,20050617,000000,22.197,22.309,22.07,22.23,4024375,0
IBB.US,D,20050620,000000,22.393,22.487,22.246,22.415,4641067,0
IBB.US,D,20050621,000000,22.506,22.539,22.263,22.329,4812063,0
IBB.US,D,20050622,000000,22.425,22.461,22.181,22.217,2897143,0
IBB.US,D,20050623,000000,22.312,22.348,21.99,22.017,2365499,0
IBB.US,D,20050624,000000,21.984,22.115,21.934,22.089,2523032,0
IBB.US,D,20050627,000000,22.164,22.164,21.876,21.95,2582985,0
IBB.US,D,20050628,000000,22.033,22.361,21.997,22.361,1831099,0
IBB.US,D,20050629,000000,22.409,22.409,22.221,22.329,2165133,0
