<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBBJ.US,D,20200805,000000,24.891,24.911,24.643,24.653,8875,0
IBBJ.US,D,20200806,000000,24.96,25.446,24.663,24.749,6120,0
IBBJ.US,D,20200807,000000,24.822,25,24.554,24.691,3922,0
IBBJ.US,D,20200810,000000,25.01,25.01,24.713,24.755,7193,0
IBBJ.US,D,20200811,000000,24.98,24.98,24.083,24.083,8234,0
IBBJ.US,D,20200812,000000,24.147,24.336,24.147,24.32,6300,0
IBBJ.US,D,20200813,000000,24.48,24.673,24.369,24.643,31282,0
IBBJ.US,D,20200814,000000,24.663,24.663,24.286,24.316,3091,0
IBBJ.US,D,20200817,000000,24.792,25.02,24.792,24.987,5990,0
IBBJ.US,D,20200818,000000,24.999,25.03,24.683,24.881,8918,0
IBBJ.US,D,20200819,000000,25.01,25.258,24.931,25.031,30200,0
IBBJ.US,D,20200820,000000,24.802,25.003,24.802,25.003,5540,0
IBBJ.US,D,20200821,000000,24.861,24.861,24.742,24.742,1675,0
IBBJ.US,D,20200824,000000,24.901,24.901,24.37,24.427,4740,0
IBBJ.US,D,20200825,000000,24.415,24.832,24.415,24.781,4084,0
IBBJ.US,D,20200826,000000,24.891,24.891,24.425,24.427,1866,0
IBBJ.US,D,20200827,000000,24.142,24.286,24.098,24.286,1138,0
IBBJ.US,D,20200828,000000,24.395,24.543,24.395,24.541,1052,0
IBBJ.US,D,20200831,000000,24.851,25.289,24.851,25.163,4394,0
IBBJ.US,D,20200901,000000,25.07,25.159,24.727,24.727,6768,0
IBBJ.US,D,20200902,000000,24.564,24.673,24.484,24.673,2079,0
IBBJ.US,D,20200903,000000,24.722,24.722,23.81,23.83,4489,0
IBBJ.US,D,20200904,000000,23.632,23.651,22.848,23.625,4298,0
IBBJ.US,D,20200908,000000,23.265,23.969,23.265,23.483,3366,0
IBBJ.US,D,20200909,000000,24.018,24.197,24.005,24.114,5579,0
IBBJ.US,D,20200910,000000,24.306,24.544,23.714,23.714,5415,0
IBBJ.US,D,20200911,000000,23.939,24.078,23.542,23.657,2501,0
IBBJ.US,D,20200914,000000,25.03,25.774,25.03,25.734,13018,0
IBBJ.US,D,20200915,000000,25.978,26.269,25.853,26.042,21690,0
IBBJ.US,D,20200916,000000,26.309,26.865,26.309,26.575,2881,0
IBBJ.US,D,20200917,000000,26.279,26.577,26.279,26.557,4674,0
IBBJ.US,D,20200918,000000,26.736,26.886,26.428,26.886,10650,0
IBBJ.US,D,20200921,000000,26.626,26.626,25.714,25.936,13539,0
IBBJ.US,D,20200922,000000,25.873,26.111,25.585,26.111,6225,0
IBBJ.US,D,20200923,000000,26.131,26.131,25.962,25.972,1067,0
IBBJ.US,D,20200924,000000,25.015,25.362,25.015,25.133,4086,0
