<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTA.US,D,20200303,000000,25.142,25.161,25.142,25.161,2705,0
IBTA.US,D,20200306,000000,25.264,25.264,25.241,25.241,210,0
IBTA.US,D,20200309,000000,25.291,25.301,25.281,25.281,6612,0
IBTA.US,D,20200310,000000,25.451,25.451,25.281,25.281,302,0
IBTA.US,D,20200312,000000,25.276,25.291,25.276,25.281,5238,0
IBTA.US,D,20200313,000000,25.291,25.311,25.261,25.261,4062,0
IBTA.US,D,20200316,000000,25.351,25.371,25.351,25.371,4168,0
IBTA.US,D,20200317,000000,25.331,25.351,25.274,25.274,801,0
IBTA.US,D,20200324,000000,25.271,25.271,25.271,25.271,701,0
IBTA.US,D,20200330,000000,25.401,25.401,25.327,25.356,49567,0
IBTA.US,D,20200401,000000,25.361,25.391,25.361,25.361,211,0
IBTA.US,D,20200403,000000,25.421,25.421,25.371,25.371,200,0
IBTA.US,D,20200406,000000,25.411,25.411,25.361,25.361,211,0
IBTA.US,D,20200408,000000,25.321,25.356,25.321,25.356,202,0
IBTA.US,D,20200413,000000,25.371,25.371,25.356,25.356,392,0
IBTA.US,D,20200416,000000,25.351,25.391,25.351,25.366,1034,0
IBTA.US,D,20200417,000000,25.381,25.423,25.366,25.366,7699,0
IBTA.US,D,20200420,000000,25.391,25.401,25.366,25.366,3056,0
IBTA.US,D,20200424,000000,25.381,25.391,25.381,25.391,801,0
IBTA.US,D,20200430,000000,25.366,25.401,25.341,25.376,4777,0
IBTA.US,D,20200501,000000,25.371,26.689,25.361,25.371,15039,0
IBTA.US,D,20200504,000000,25.371,25.821,25.361,25.371,13174,0
IBTA.US,D,20200506,000000,25.361,25.376,25.361,25.371,4072,0
IBTA.US,D,20200507,000000,25.501,25.591,25.381,25.381,5002,0
IBTA.US,D,20200508,000000,25.391,25.391,25.371,25.371,3062,0
IBTA.US,D,20200511,000000,25.381,25.691,25.371,25.371,11930,0
IBTA.US,D,20200512,000000,25.371,25.371,25.371,25.371,2389,0
IBTA.US,D,20200513,000000,25.371,25.376,25.361,25.361,1116,0
IBTA.US,D,20200514,000000,25.381,25.381,25.331,25.361,621,0
IBTA.US,D,20200515,000000,25.331,25.361,25.331,25.361,501,0
IBTA.US,D,20200518,000000,25.356,25.356,25.331,25.331,401,0
IBTA.US,D,20200519,000000,25.341,25.341,25.341,25.341,200,0
IBTA.US,D,20200527,000000,25.361,25.361,25.346,25.346,4956,0
IBTA.US,D,20200528,000000,25.331,25.351,25.331,25.351,795,0
IBTA.US,D,20200601,000000,25.364,25.364,25.344,25.344,262,0
IBTA.US,D,20200603,000000,25.354,25.354,25.339,25.339,203,0
