<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTB.US,D,20200303,000000,25.278,25.278,25.218,25.218,2610,0
IBTB.US,D,20200306,000000,25.348,25.348,25.331,25.331,159,0
IBTB.US,D,20200309,000000,25.438,25.458,25.393,25.393,10163,0
IBTB.US,D,20200310,000000,25.378,25.378,25.303,25.303,100,0
IBTB.US,D,20200311,000000,25.348,25.348,25.308,25.308,200,0
IBTB.US,D,20200312,000000,25.398,25.398,25.358,25.358,5740,0
IBTB.US,D,20200313,000000,25.368,25.388,25.328,25.328,2158,0
IBTB.US,D,20200316,000000,25.368,25.478,25.368,25.438,240,0
IBTB.US,D,20200318,000000,25.318,25.398,25.308,25.308,400,0
IBTB.US,D,20200319,000000,25.358,25.403,25.318,25.358,1658,0
IBTB.US,D,20200324,000000,25.388,25.488,25.388,25.433,408,0
IBTB.US,D,20200325,000000,25.388,25.453,25.388,25.453,204,0
IBTB.US,D,20200327,000000,25.448,25.483,25.448,25.483,241,0
IBTB.US,D,20200331,000000,25.557,25.557,25.513,25.513,1007,0
IBTB.US,D,20200424,000000,25.428,25.548,25.428,25.518,1203,0
IBTB.US,D,20200427,000000,25.488,25.513,25.488,25.513,299,0
IBTB.US,D,20200430,000000,25.558,25.568,25.533,25.533,3595,0
IBTB.US,D,20200505,000000,25.538,25.538,25.523,25.523,101,0
IBTB.US,D,20200506,000000,25.528,25.538,25.528,25.538,2615,0
IBTB.US,D,20200507,000000,25.538,25.558,25.538,25.553,573,0
IBTB.US,D,20200508,000000,25.568,25.568,25.543,25.543,752,0
IBTB.US,D,20200511,000000,25.548,25.548,25.538,25.538,2465,0
IBTB.US,D,20200518,000000,25.608,25.608,25.508,25.518,3554,0
IBTB.US,D,20200519,000000,25.538,25.828,25.538,25.543,2410,0
IBTB.US,D,20200526,000000,25.538,25.538,25.528,25.528,101,0
IBTB.US,D,20200527,000000,25.538,25.538,25.523,25.523,5214,0
IBTB.US,D,20200604,000000,25.524,25.524,25.514,25.514,779,0
IBTB.US,D,20200605,000000,25.514,25.514,25.504,25.504,468,0
IBTB.US,D,20200608,000000,25.514,25.514,25.514,25.514,1005,0
IBTB.US,D,20200610,000000,25.514,25.529,25.514,25.529,1004,0
IBTB.US,D,20200616,000000,25.514,25.514,25.514,25.514,215,0
IBTB.US,D,20200617,000000,25.534,25.534,25.534,25.534,228,0
IBTB.US,D,20200622,000000,25.534,25.534,25.534,25.534,236,0
IBTB.US,D,20200716,000000,25.554,25.564,25.549,25.549,2005,0
IBTB.US,D,20200728,000000,25.564,25.564,25.554,25.554,675,0
IBTB.US,D,20200807,000000,25.57,25.57,25.56,25.56,11728,0
IBTB.US,D,20200812,000000,25.55,25.55,25.544,25.545,353,0
IBTB.US,D,20200813,000000,25.55,25.55,25.54,25.54,635,0
IBTB.US,D,20200814,000000,25.56,25.56,25.55,25.55,16554,0
IBTB.US,D,20200817,000000,25.56,25.56,25.54,25.55,7413,0
IBTB.US,D,20200818,000000,25.55,25.56,25.55,25.55,6202,0
IBTB.US,D,20200819,000000,25.56,25.56,25.55,25.55,274,0
IBTB.US,D,20200820,000000,25.55,25.55,25.546,25.55,653,0
IBTB.US,D,20200821,000000,25.56,25.56,25.55,25.55,147,0
IBTB.US,D,20200824,000000,25.56,25.56,25.55,25.55,2367,0
IBTB.US,D,20200825,000000,25.55,25.55,25.55,25.55,782,0
IBTB.US,D,20200826,000000,25.55,25.55,25.55,25.55,775,0
IBTB.US,D,20200827,000000,25.57,25.57,25.55,25.56,2444,0
IBTB.US,D,20200901,000000,25.55,25.55,25.54,25.54,416,0
IBTB.US,D,20200928,000000,25.56,25.56,25.55,25.55,5971,0
IBTB.US,D,20201002,000000,25.54,25.54,25.525,25.54,402,0
IBTB.US,D,20201005,000000,25.53,25.53,25.525,25.525,2203,0
IBTB.US,D,20201008,000000,25.53,25.539,25.526,25.53,1229,0
IBTB.US,D,20201009,000000,25.53,25.53,25.525,25.525,2570,0
IBTB.US,D,20201019,000000,25.53,25.54,25.53,25.54,18552,0
IBTB.US,D,20201020,000000,25.53,25.53,25.526,25.53,2293,0
IBTB.US,D,20201021,000000,25.54,25.54,25.53,25.53,812,0
IBTB.US,D,20201022,000000,25.52,25.53,25.52,25.525,11281,0
IBTB.US,D,20201023,000000,25.525,25.525,25.52,25.525,28430,0
IBTB.US,D,20201026,000000,25.52,25.53,25.52,25.53,7441,0
IBTB.US,D,20201027,000000,25.539,25.539,25.52,25.53,670,0
IBTB.US,D,20201030,000000,25.53,25.53,25.525,25.525,410,0
IBTB.US,D,20201102,000000,25.53,25.53,25.52,25.52,1891,0
IBTB.US,D,20201103,000000,25.52,25.52,25.513,25.52,19408,0
IBTB.US,D,20201104,000000,25.529,25.53,25.525,25.525,960,0
IBTB.US,D,20201105,000000,25.53,25.53,25.516,25.52,2301,0
IBTB.US,D,20201106,000000,25.53,25.53,25.51,25.52,2350,0
IBTB.US,D,20201109,000000,25.51,25.51,25.51,25.51,16484,0
IBTB.US,D,20201110,000000,25.52,25.52,25.519,25.52,2262,0
IBTB.US,D,20201112,000000,25.51,25.52,25.51,25.515,15899,0
IBTB.US,D,20201117,000000,25.51,25.52,25.51,25.515,892,0
IBTB.US,D,20201123,000000,25.53,25.53,25.51,25.51,399,0
IBTB.US,D,20201124,000000,25.53,25.53,25.51,25.51,800,0
IBTB.US,D,20201201,000000,25.46,25.46,25.41,25.415,6268,0
IBTB.US,D,20201202,000000,25.42,25.42,25.42,25.42,493,0
IBTB.US,D,20201203,000000,25.43,25.43,25.42,25.42,1486,0
IBTB.US,D,20201207,000000,25.429,25.43,25.425,25.425,100327,0
IBTB.US,D,20201210,000000,25.42,25.425,25.42,25.425,902,0
IBTB.US,D,20201215,000000,25.43,25.43,25.43,25.43,185,0
IBTB.US,D,20201216,000000,25.44,25.44,25.43,25.43,5648,0
IBTB.US,D,20201218,000000,25.41,25.41,25.41,25.41,2,0
IBTB.US,D,20201221,000000,25.42,25.42,25.415,25.415,339,0
IBTB.US,D,20201222,000000,25.42,25.42,25.41,25.42,486,0
IBTB.US,D,20201223,000000,25.42,25.42,25.415,25.415,100,0
IBTB.US,D,20201224,000000,25.41,25.41,25.41,25.41,2,0
IBTB.US,D,20201229,000000,25.415,25.415,25.415,25.415,226,0
IBTB.US,D,20201230,000000,25.419,25.419,25.41,25.415,211,0
IBTB.US,D,20201231,000000,25.41,25.43,25.41,25.42,6820,0
IBTB.US,D,20210104,000000,25.43,25.43,25.42,25.42,368,0
IBTB.US,D,20210105,000000,25.42,25.42,25.411,25.42,709,0
IBTB.US,D,20210106,000000,25.42,25.42,25.41,25.41,535,0
IBTB.US,D,20210107,000000,25.41,25.41,25.4,25.41,7503,0
IBTB.US,D,20210111,000000,25.419,25.419,25.415,25.415,606,0
