<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTD.US,D,20200303,000000,25.282,25.282,25.225,25.262,2707,0
IBTD.US,D,20200306,000000,25.412,25.412,25.382,25.382,159,0
IBTD.US,D,20200309,000000,25.532,25.552,25.482,25.482,7379,0
IBTD.US,D,20200310,000000,25.452,25.452,25.452,25.452,100,0
IBTD.US,D,20200311,000000,25.362,25.362,25.312,25.312,600,0
IBTD.US,D,20200312,000000,25.372,25.372,25.372,25.372,1907,0
IBTD.US,D,20200313,000000,25.352,27.855,25.292,25.292,380316,0
IBTD.US,D,20200316,000000,25.482,25.502,25.422,25.432,31166,0
IBTD.US,D,20200317,000000,25.447,25.447,25.324,25.324,537,0
IBTD.US,D,20200318,000000,25.302,25.362,25.193,25.235,5367,0
IBTD.US,D,20200319,000000,25.262,25.354,25.262,25.337,4748,0
IBTD.US,D,20200320,000000,25.366,25.502,25.366,25.452,2709,0
IBTD.US,D,20200323,000000,25.692,25.692,25.552,25.562,3164,0
IBTD.US,D,20200324,000000,25.522,25.522,25.452,25.457,5529,0
IBTD.US,D,20200325,000000,25.522,25.522,25.462,25.492,859,0
IBTD.US,D,20200327,000000,25.541,25.602,25.541,25.602,2076,0
IBTD.US,D,20200330,000000,25.642,25.715,25.588,25.602,52834,0
IBTD.US,D,20200331,000000,25.672,25.672,25.627,25.627,3465,0
IBTD.US,D,20200401,000000,25.627,25.661,25.627,25.632,895,0
IBTD.US,D,20200402,000000,25.662,25.662,25.627,25.627,1406,0
IBTD.US,D,20200403,000000,25.672,25.682,25.572,25.632,1014,0
IBTD.US,D,20200406,000000,25.672,25.672,25.582,25.587,458,0
IBTD.US,D,20200407,000000,25.622,25.622,25.562,25.562,129,0
IBTD.US,D,20200408,000000,25.602,25.602,25.552,25.577,589,0
IBTD.US,D,20200409,000000,25.622,25.632,25.607,25.607,416,0
IBTD.US,D,20200413,000000,25.622,25.622,25.572,25.597,774,0
IBTD.US,D,20200414,000000,25.642,25.642,25.627,25.627,339,0
IBTD.US,D,20200416,000000,25.642,25.692,25.642,25.657,2698,0
IBTD.US,D,20200417,000000,25.682,25.682,25.647,25.647,1318,0
IBTD.US,D,20200420,000000,25.672,25.672,25.647,25.647,972,0
IBTD.US,D,20200421,000000,25.682,25.682,25.657,25.657,463,0
IBTD.US,D,20200422,000000,25.627,25.652,25.627,25.637,805,0
IBTD.US,D,20200427,000000,25.602,25.617,25.602,25.617,366,0
IBTD.US,D,20200428,000000,25.602,25.652,25.602,25.637,643,0
IBTD.US,D,20200429,000000,25.682,25.682,25.682,25.682,331,0
IBTD.US,D,20200430,000000,25.622,25.682,25.622,25.647,4757,0
IBTD.US,D,20200501,000000,25.652,25.652,25.637,25.637,310,0
IBTD.US,D,20200504,000000,25.662,25.662,25.652,25.652,844,0
IBTD.US,D,20200505,000000,25.652,25.652,25.642,25.642,358,0
IBTD.US,D,20200506,000000,25.622,25.657,25.622,25.652,2748,0
IBTD.US,D,20200508,000000,25.677,25.712,25.677,25.677,1293,0
IBTD.US,D,20200511,000000,25.672,25.672,25.667,25.667,378,0
IBTD.US,D,20200513,000000,25.672,25.712,25.672,25.682,837,0
IBTD.US,D,20200514,000000,25.712,25.722,25.662,25.697,1837,0
IBTD.US,D,20200515,000000,25.662,25.702,25.662,25.692,1365,0
IBTD.US,D,20200518,000000,25.742,25.742,25.662,25.662,4204,0
IBTD.US,D,20200519,000000,25.667,25.682,25.667,25.677,2570,0
IBTD.US,D,20200521,000000,25.682,25.682,25.672,25.672,1049,0
IBTD.US,D,20200522,000000,25.692,25.692,25.687,25.687,497,0
IBTD.US,D,20200526,000000,25.652,25.652,25.652,25.652,208,0
IBTD.US,D,20200527,000000,25.677,25.692,25.661,25.667,5499,0
IBTD.US,D,20200528,000000,25.672,25.672,25.672,25.672,362,0
IBTD.US,D,20200529,000000,25.672,25.702,25.672,25.687,1212,0
IBTD.US,D,20200601,000000,25.666,25.686,25.666,25.686,685,0
IBTD.US,D,20200602,000000,25.696,25.696,25.676,25.676,3315,0
IBTD.US,D,20200603,000000,25.671,25.671,25.643,25.643,4042,0
IBTD.US,D,20200604,000000,25.656,25.656,25.641,25.641,743,0
IBTD.US,D,20200605,000000,25.626,25.626,25.621,25.626,1465,0
IBTD.US,D,20200608,000000,25.616,25.636,25.616,25.626,576,0
IBTD.US,D,20200609,000000,25.641,25.656,25.641,25.656,348,0
IBTD.US,D,20200610,000000,25.661,25.687,25.661,25.687,1146,0
IBTD.US,D,20200611,000000,25.696,25.696,25.666,25.671,314,0
IBTD.US,D,20200612,000000,25.686,25.686,25.671,25.671,300,0
IBTD.US,D,20200615,000000,25.696,25.696,25.696,25.696,215,0
IBTD.US,D,20200616,000000,25.676,25.676,25.656,25.665,928,0
IBTD.US,D,20200617,000000,25.686,25.686,25.656,25.671,1118,0
IBTD.US,D,20200618,000000,25.686,25.686,25.671,25.671,1621,0
IBTD.US,D,20200619,000000,25.686,25.686,25.676,25.676,264,0
IBTD.US,D,20200622,000000,25.696,25.696,25.676,25.676,2810,0
IBTD.US,D,20200623,000000,25.666,25.686,25.666,25.681,633,0
IBTD.US,D,20200624,000000,25.686,25.686,25.686,25.686,2458,0
IBTD.US,D,20200625,000000,25.691,25.691,25.686,25.686,304,0
IBTD.US,D,20200626,000000,25.706,25.716,25.703,25.703,400,0
IBTD.US,D,20200629,000000,25.716,25.716,25.711,25.711,227,0
IBTD.US,D,20200630,000000,25.726,25.726,25.711,25.711,407,0
IBTD.US,D,20200702,000000,25.696,25.706,25.696,25.706,185,0
IBTD.US,D,20200706,000000,25.706,25.706,25.696,25.696,927,0
IBTD.US,D,20200707,000000,25.696,25.696,25.696,25.696,322,0
IBTD.US,D,20200708,000000,25.716,25.716,25.701,25.706,786,0
IBTD.US,D,20200709,000000,25.716,25.716,25.706,25.706,261,0
IBTD.US,D,20200710,000000,25.711,25.711,25.701,25.701,494,0
IBTD.US,D,20200713,000000,25.706,25.706,25.706,25.706,454,0
IBTD.US,D,20200714,000000,25.716,25.716,25.703,25.703,134,0
IBTD.US,D,20200716,000000,25.726,25.726,25.706,25.716,1833,0
IBTD.US,D,20200720,000000,25.716,25.716,25.711,25.711,1141,0
IBTD.US,D,20200721,000000,25.716,25.726,25.716,25.716,4418,0
IBTD.US,D,20200722,000000,25.726,25.726,25.711,25.711,14648,0
IBTD.US,D,20200723,000000,25.726,25.726,25.711,25.711,311,0
IBTD.US,D,20200724,000000,25.716,25.716,25.706,25.716,373,0
IBTD.US,D,20200727,000000,25.706,25.716,25.706,25.711,1647,0
IBTD.US,D,20200728,000000,25.726,25.726,25.716,25.716,379,0
IBTD.US,D,20200730,000000,25.746,25.746,25.726,25.736,927,0
IBTD.US,D,20200731,000000,25.746,25.746,25.746,25.746,264,0
IBTD.US,D,20200803,000000,25.74,25.75,25.74,25.75,304,0
IBTD.US,D,20200804,000000,25.76,25.76,25.75,25.75,368,0
IBTD.US,D,20200805,000000,25.76,25.76,25.745,25.745,1030,0
IBTD.US,D,20200806,000000,25.76,25.76,25.745,25.745,1354,0
IBTD.US,D,20200807,000000,25.75,25.75,25.73,25.735,766,0
IBTD.US,D,20200810,000000,25.73,25.73,25.73,25.73,237,0
IBTD.US,D,20200811,000000,25.72,25.72,25.71,25.71,2483,0
IBTD.US,D,20200812,000000,25.71,25.71,25.7,25.7,7387,0
IBTD.US,D,20200813,000000,25.71,25.71,25.695,25.695,955,0
IBTD.US,D,20200814,000000,25.71,25.72,25.71,25.71,5951,0
IBTD.US,D,20200817,000000,25.72,25.72,25.71,25.71,12014,0
IBTD.US,D,20200818,000000,25.71,25.73,25.7,25.715,13012,0
IBTD.US,D,20200819,000000,25.73,25.73,25.71,25.71,858,0
IBTD.US,D,20200820,000000,25.72,25.73,25.71,25.72,1699,0
IBTD.US,D,20200821,000000,25.73,25.73,25.72,25.72,497,0
IBTD.US,D,20200824,000000,25.72,25.72,25.7,25.71,3426,0
IBTD.US,D,20200825,000000,25.71,25.71,25.7,25.71,1224,0
IBTD.US,D,20200826,000000,25.72,25.72,25.71,25.71,1006,0
IBTD.US,D,20200827,000000,25.74,25.74,25.7,25.705,6313,0
IBTD.US,D,20200828,000000,25.725,25.73,25.725,25.725,1055,0
IBTD.US,D,20200831,000000,25.72,25.734,25.72,25.73,540,0
IBTD.US,D,20200901,000000,25.73,25.73,25.716,25.72,467,0
IBTD.US,D,20200902,000000,25.73,25.73,25.71,25.715,888,0
IBTD.US,D,20200903,000000,25.73,25.73,25.72,25.72,335,0
IBTD.US,D,20200904,000000,25.71,25.71,25.695,25.695,748,0
IBTD.US,D,20200908,000000,25.7,25.72,25.7,25.705,2380,0
IBTD.US,D,20200909,000000,25.69,25.71,25.69,25.71,969,0
IBTD.US,D,20200910,000000,25.71,25.71,25.71,25.71,543,0
IBTD.US,D,20200911,000000,25.73,25.73,25.7,25.72,591,0
IBTD.US,D,20200914,000000,25.73,25.73,25.715,25.715,226,0
IBTD.US,D,20200915,000000,25.73,25.73,25.7,25.72,1409,0
IBTD.US,D,20200916,000000,25.73,25.73,25.71,25.71,85109,0
IBTD.US,D,20200917,000000,25.71,25.73,25.71,25.715,1046,0
IBTD.US,D,20200918,000000,25.72,25.73,25.72,25.73,860,0
IBTD.US,D,20200921,000000,25.73,25.73,25.717,25.717,268,0
IBTD.US,D,20200922,000000,25.73,25.73,25.71,25.71,690,0
IBTD.US,D,20200924,000000,25.72,25.72,25.72,25.72,532,0
IBTD.US,D,20200925,000000,25.73,25.73,25.72,25.72,445,0
