<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTE.US,D,20200302,000000,25.26,25.26,25.26,25.26,4412,0
IBTE.US,D,20200303,000000,25.363,25.43,25.33,25.42,2806,0
IBTE.US,D,20200306,000000,25.606,25.61,25.566,25.566,557,0
IBTE.US,D,20200309,000000,25.75,25.75,25.68,25.68,10468,0
IBTE.US,D,20200310,000000,25.64,25.64,25.64,25.64,200,0
IBTE.US,D,20200311,000000,25.55,25.55,25.49,25.49,716,0
IBTE.US,D,20200312,000000,25.61,25.61,25.61,25.61,1916,0
IBTE.US,D,20200313,000000,25.53,26.87,25.46,25.46,303285,0
IBTE.US,D,20200316,000000,25.68,25.74,25.62,25.74,26907,0
IBTE.US,D,20200317,000000,25.67,25.67,25.464,25.464,426,0
IBTE.US,D,20200318,000000,25.447,25.59,25.29,25.345,3814,0
IBTE.US,D,20200319,000000,25.4,25.53,25.4,25.421,2407,0
IBTE.US,D,20200320,000000,25.541,25.66,25.541,25.625,475,0
IBTE.US,D,20200323,000000,25.68,25.802,25.68,25.802,725,0
IBTE.US,D,20200324,000000,25.77,25.77,25.66,25.66,2813,0
IBTE.US,D,20200325,000000,25.71,25.71,25.673,25.673,682,0
IBTE.US,D,20200326,000000,25.75,25.78,25.71,25.71,470,0
IBTE.US,D,20200327,000000,25.749,25.815,25.749,25.815,442,0
IBTE.US,D,20200330,000000,25.88,25.885,25.82,25.84,3922,0
IBTE.US,D,20200331,000000,25.91,25.91,25.85,25.85,1149,0
IBTE.US,D,20200401,000000,25.9,25.9,25.85,25.86,1148,0
IBTE.US,D,20200402,000000,25.89,25.89,25.845,25.845,1439,0
IBTE.US,D,20200403,000000,25.91,25.91,25.85,25.85,905,0
IBTE.US,D,20200406,000000,25.79,25.8,25.79,25.8,198,0
IBTE.US,D,20200407,000000,25.81,25.81,25.74,25.74,100,0
IBTE.US,D,20200408,000000,25.8,25.8,25.75,25.77,440,0
IBTE.US,D,20200409,000000,25.83,25.85,25.815,25.815,731,0
IBTE.US,D,20200413,000000,25.83,25.84,25.77,25.8,607,0
IBTE.US,D,20200414,000000,25.85,25.85,25.825,25.825,192,0
IBTE.US,D,20200416,000000,25.87,25.89,25.87,25.885,1213,0
IBTE.US,D,20200417,000000,25.92,25.92,25.87,25.87,1011,0
IBTE.US,D,20200420,000000,25.89,25.9,25.87,25.88,735,0
IBTE.US,D,20200421,000000,25.93,25.93,25.895,25.895,368,0
IBTE.US,D,20200422,000000,25.89,25.89,25.865,25.865,586,0
IBTE.US,D,20200424,000000,25.83,25.89,25.83,25.84,758,0
IBTE.US,D,20200428,000000,25.83,25.88,25.83,25.865,895,0
IBTE.US,D,20200430,000000,25.86,25.93,25.86,25.875,4521,0
IBTE.US,D,20200504,000000,25.88,25.88,25.865,25.865,559,0
IBTE.US,D,20200505,000000,25.88,25.88,25.87,25.87,170,0
IBTE.US,D,20200506,000000,25.87,25.87,25.849,25.86,2079,0
IBTE.US,D,20200508,000000,25.94,25.96,25.915,25.915,1163,0
IBTE.US,D,20200511,000000,25.91,25.91,25.88,25.88,298,0
IBTE.US,D,20200513,000000,25.91,25.95,25.91,25.92,652,0
IBTE.US,D,20200514,000000,25.969,25.969,25.925,25.925,1230,0
IBTE.US,D,20200515,000000,25.91,25.94,25.91,25.932,418,0
IBTE.US,D,20200518,000000,25.93,25.95,25.875,25.875,3378,0
IBTE.US,D,20200522,000000,25.927,25.93,25.925,25.925,373,0
IBTE.US,D,20200527,000000,25.93,25.93,25.91,25.91,957,0
IBTE.US,D,20200528,000000,25.9,25.92,25.9,25.91,1587,0
IBTE.US,D,20200529,000000,25.92,25.945,25.92,25.945,877,0
IBTE.US,D,20200602,000000,25.91,25.91,25.91,25.91,233,0
IBTE.US,D,20200603,000000,25.87,25.87,25.859,25.859,3205,0
IBTE.US,D,20200604,000000,25.839,25.843,25.839,25.843,388,0
IBTE.US,D,20200605,000000,25.79,25.79,25.78,25.79,950,0
IBTE.US,D,20200608,000000,25.78,25.81,25.78,25.8,524,0
IBTE.US,D,20200609,000000,25.835,25.86,25.835,25.86,299,0
IBTE.US,D,20200611,000000,25.93,25.93,25.905,25.905,455,0
IBTE.US,D,20200612,000000,25.92,25.92,25.905,25.905,235,0
IBTE.US,D,20200615,000000,25.92,25.92,25.9,25.9,591,0
IBTE.US,D,20200616,000000,25.9,25.9,25.88,25.89,654,0
IBTE.US,D,20200617,000000,25.91,25.91,25.895,25.895,904,0
IBTE.US,D,20200619,000000,25.9,25.92,25.9,25.905,1160,0
IBTE.US,D,20200622,000000,25.92,25.92,25.9,25.9,1235,0
IBTE.US,D,20200623,000000,25.91,25.91,25.89,25.905,2356,0
IBTE.US,D,20200624,000000,25.91,25.92,25.91,25.92,911,0
