<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTF.US,D,20200302,000000,25.312,25.312,25.292,25.292,4014,0
IBTF.US,D,20200303,000000,25.372,25.53,25.372,25.5,3335,0
IBTF.US,D,20200306,000000,25.73,25.73,25.67,25.67,802,0
IBTF.US,D,20200309,000000,25.91,25.91,25.82,25.82,8674,0
IBTF.US,D,20200310,000000,25.76,25.77,25.62,25.62,5516,0
IBTF.US,D,20200311,000000,25.66,25.66,25.52,25.52,140256,0
IBTF.US,D,20200312,000000,25.615,25.71,25.48,25.48,20364,0
IBTF.US,D,20200313,000000,25.451,26.24,25.411,25.411,307358,0
IBTF.US,D,20200316,000000,25.66,25.73,25.59,25.73,20132,0
IBTF.US,D,20200317,000000,25.74,25.74,25.49,25.49,1541,0
IBTF.US,D,20200318,000000,25.433,25.49,25.242,25.339,6761,0
IBTF.US,D,20200319,000000,25.401,25.552,25.392,25.392,3847,0
IBTF.US,D,20200320,000000,25.59,25.67,25.59,25.67,578,0
IBTF.US,D,20200323,000000,25.75,25.905,25.75,25.905,1121,0
IBTF.US,D,20200324,000000,25.789,25.789,25.72,25.72,2911,0
IBTF.US,D,20200325,000000,25.77,25.77,25.7,25.742,680,0
IBTF.US,D,20200327,000000,25.841,25.93,25.84,25.93,845,0
IBTF.US,D,20200330,000000,25.985,26.01,25.92,25.935,50839,0
IBTF.US,D,20200331,000000,25.965,26.04,25.965,26.04,2853,0
IBTF.US,D,20200401,000000,26.05,26.05,25.985,25.985,846,0
IBTF.US,D,20200402,000000,25.98,26.02,25.97,25.97,2047,0
IBTF.US,D,20200403,000000,26.04,26.09,25.98,25.98,1391,0
IBTF.US,D,20200406,000000,25.925,25.99,25.895,25.9,1707,0
IBTF.US,D,20200407,000000,25.89,25.89,25.86,25.86,105,0
IBTF.US,D,20200408,000000,25.85,25.865,25.85,25.865,371,0
IBTF.US,D,20200409,000000,25.93,25.94,25.9,25.927,731,0
IBTF.US,D,20200413,000000,25.925,25.96,25.88,25.902,878,0
IBTF.US,D,20200414,000000,25.96,25.97,25.9,25.9,2096,0
IBTF.US,D,20200415,000000,26.01,26.035,26.01,26.035,422,0
IBTF.US,D,20200416,000000,26.02,26.07,26.01,26.025,2496,0
IBTF.US,D,20200417,000000,26.05,26.06,25.98,25.98,1214,0
IBTF.US,D,20200420,000000,25.98,26.04,25.98,26.019,1103,0
IBTF.US,D,20200421,000000,26.07,26.07,26.02,26.045,565,0
IBTF.US,D,20200422,000000,25.98,26.03,25.98,26.005,1031,0
IBTF.US,D,20200423,000000,25.99,25.99,25.98,25.98,402,0
IBTF.US,D,20200424,000000,25.97,26.04,25.97,26.005,638,0
IBTF.US,D,20200427,000000,25.98,25.98,25.93,25.955,790,0
IBTF.US,D,20200428,000000,25.96,26.02,25.96,26.005,913,0
IBTF.US,D,20200429,000000,26,26.023,26,26.023,322,0
IBTF.US,D,20200430,000000,26.01,26.07,26,26.014,1117,0
IBTF.US,D,20200501,000000,25.99,26.02,25.99,25.997,972,0
IBTF.US,D,20200504,000000,25.97,26.005,25.97,26.005,821,0
IBTF.US,D,20200505,000000,25.97,26.03,25.97,25.995,1076,0
IBTF.US,D,20200506,000000,25.94,25.99,25.94,25.985,3251,0
IBTF.US,D,20200507,000000,25.98,26.075,25.98,26.075,419,0
IBTF.US,D,20200508,000000,26.085,26.11,26.048,26.048,728,0
IBTF.US,D,20200511,000000,26.02,26.04,26.01,26.01,700,0
IBTF.US,D,20200512,000000,25.99,26.035,25.99,26.035,423,0
IBTF.US,D,20200513,000000,26.05,26.09,26.04,26.04,1066,0
IBTF.US,D,20200514,000000,26.06,26.11,26.06,26.075,1574,0
IBTF.US,D,20200515,000000,26.05,26.09,26.05,26.073,645,0
IBTF.US,D,20200518,000000,26.1,26.1,26.1,26.1,2303,0
IBTF.US,D,20200519,000000,26.03,26.045,26.03,26.045,3427,0
IBTF.US,D,20200521,000000,26.05,26.05,26.04,26.04,1781,0
IBTF.US,D,20200522,000000,26.064,26.07,26.055,26.055,397,0
IBTF.US,D,20200526,000000,26.04,26.04,26.04,26.04,3382,0
IBTF.US,D,20200527,000000,26.049,26.055,26.035,26.035,1510,0
IBTF.US,D,20200528,000000,26.05,26.05,26.04,26.04,1744,0
IBTF.US,D,20200529,000000,26.05,26.085,26.05,26.085,1052,0
IBTF.US,D,20200601,000000,26.06,26.065,26.06,26.065,157,0
IBTF.US,D,20200603,000000,26,26,25.979,25.979,635,0
IBTF.US,D,20200604,000000,25.96,25.96,25.945,25.945,234,0
IBTF.US,D,20200605,000000,25.87,25.875,25.87,25.875,585,0
IBTF.US,D,20200608,000000,25.86,25.895,25.86,25.895,427,0
IBTF.US,D,20200609,000000,25.945,25.96,25.945,25.96,300,0
IBTF.US,D,20200611,000000,26.08,26.08,26.052,26.052,1594,0
IBTF.US,D,20200612,000000,26.06,26.06,26.05,26.05,456,0
IBTF.US,D,20200615,000000,26.07,26.07,26.07,26.07,315,0
IBTF.US,D,20200616,000000,26.04,26.04,26.025,26.025,770,0
IBTF.US,D,20200617,000000,26.05,26.05,26.03,26.03,938,0
IBTF.US,D,20200618,000000,26.06,26.06,26.045,26.045,1358,0
IBTF.US,D,20200619,000000,26.06,26.06,26.05,26.05,160,0
IBTF.US,D,20200622,000000,26.06,26.07,26.04,26.04,1075,0
IBTF.US,D,20200623,000000,26.03,26.06,26.03,26.045,436,0
IBTF.US,D,20200624,000000,26.06,26.06,26.06,26.06,164,0
IBTF.US,D,20200625,000000,26.09,26.09,26.06,26.06,279,0
IBTF.US,D,20200626,000000,26.1,26.1,26.09,26.09,232,0
IBTF.US,D,20200629,000000,26.12,26.12,26.12,26.12,176,0
IBTF.US,D,20200630,000000,26.12,26.12,26.11,26.11,227,0
IBTF.US,D,20200702,000000,26.09,26.115,26.09,26.115,278,0
IBTF.US,D,20200706,000000,26.09,26.095,26.09,26.095,589,0
IBTF.US,D,20200707,000000,26.11,26.12,26.11,26.12,9492,0
IBTF.US,D,20200708,000000,26.12,26.12,26.105,26.11,620,0
IBTF.US,D,20200709,000000,26.14,26.14,26.13,26.13,215,0
IBTF.US,D,20200710,000000,26.13,26.13,26.115,26.115,2226,0
IBTF.US,D,20200713,000000,26.11,26.12,26.11,26.12,1321,0
IBTF.US,D,20200714,000000,26.15,26.15,26.12,26.12,278,0
IBTF.US,D,20200716,000000,26.16,26.16,26.14,26.14,2773,0
IBTF.US,D,20200720,000000,26.14,26.14,26.13,26.13,842,0
IBTF.US,D,20200721,000000,26.15,26.16,26.15,26.15,4346,0
IBTF.US,D,20200722,000000,26.15,26.15,26.15,26.15,394,0
IBTF.US,D,20200723,000000,26.17,26.17,26.15,26.15,250,0
IBTF.US,D,20200724,000000,26.16,26.16,26.14,26.15,360,0
IBTF.US,D,20200727,000000,26.15,26.15,26.13,26.13,616,0
IBTF.US,D,20200728,000000,26.16,26.16,26.16,26.16,299,0
IBTF.US,D,20200730,000000,26.2,26.2,26.19,26.2,725,0
IBTF.US,D,20200731,000000,26.2,26.22,26.2,26.22,330,0
IBTF.US,D,20200803,000000,26.19,26.2,26.19,26.2,228,0
IBTF.US,D,20200804,000000,26.24,26.24,26.235,26.235,288,0
IBTF.US,D,20200805,000000,26.19,26.21,26.19,26.2,624,0
IBTF.US,D,20200807,000000,26.21,26.21,26.19,26.19,702,0
IBTF.US,D,20200810,000000,26.17,26.18,26.17,26.18,204,0
IBTF.US,D,20200812,000000,26.12,26.12,26.11,26.11,187,0
IBTF.US,D,20200813,000000,26.12,26.12,26.09,26.09,765,0
IBTF.US,D,20200814,000000,26.12,26.12,26.11,26.11,802,0
IBTF.US,D,20200817,000000,26.14,26.14,26.12,26.12,537,0
IBTF.US,D,20200818,000000,26.15,26.15,26.14,26.14,472,0
IBTF.US,D,20200819,000000,26.15,26.15,26.122,26.122,436,0
IBTF.US,D,20200820,000000,26.15,26.16,26.15,26.15,719,0
IBTF.US,D,20200821,000000,26.16,26.16,26.15,26.15,254,0
IBTF.US,D,20200824,000000,26.14,26.14,26.13,26.13,583,0
