<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTG.US,D,20200302,000000,25.331,25.331,25.256,25.256,11934,0
IBTG.US,D,20200303,000000,25.391,25.59,25.371,25.5,5414,0
IBTG.US,D,20200304,000000,25.53,25.53,25.53,25.53,600,0
IBTG.US,D,20200305,000000,25.62,25.62,25.62,25.62,300,0
IBTG.US,D,20200306,000000,25.88,25.88,25.766,25.766,1247,0
IBTG.US,D,20200309,000000,26.11,26.11,25.93,25.93,8429,0
IBTG.US,D,20200310,000000,25.855,25.9,25.69,25.69,6315,0
IBTG.US,D,20200311,000000,25.75,25.75,25.56,25.56,57930,0
IBTG.US,D,20200312,000000,25.7,25.845,25.321,25.451,28277,0
IBTG.US,D,20200313,000000,25.471,26,25.381,25.432,311099,0
IBTG.US,D,20200316,000000,25.72,25.84,25.66,25.8,23473,0
IBTG.US,D,20200317,000000,25.745,25.77,25.411,25.411,5242,0
IBTG.US,D,20200318,000000,25.331,25.411,25.111,25.206,7271,0
IBTG.US,D,20200319,000000,25.271,25.421,25.251,25.251,3953,0
IBTG.US,D,20200320,000000,25.421,25.6,25.421,25.6,4605,0
IBTG.US,D,20200323,000000,25.87,25.93,25.87,25.93,1087,0
IBTG.US,D,20200324,000000,25.78,25.79,25.74,25.758,3115,0
IBTG.US,D,20200325,000000,25.82,25.82,25.76,25.785,23133,0
IBTG.US,D,20200327,000000,25.929,26.026,25.929,26.026,454,0
IBTG.US,D,20200330,000000,26.13,27.714,26.042,26.06,256686,0
IBTG.US,D,20200331,000000,26.15,26.16,26.111,26.12,5540,0
IBTG.US,D,20200401,000000,26.17,28.154,26.07,26.112,106885,0
IBTG.US,D,20200402,000000,26.14,26.14,26.095,26.095,1608,0
IBTG.US,D,20200403,000000,26.07,26.23,26.07,26.128,2277,0
IBTG.US,D,20200406,000000,26.01,26.031,26.01,26.01,638,0
IBTG.US,D,20200407,000000,25.97,25.97,25.93,25.93,278,0
IBTG.US,D,20200408,000000,25.94,25.98,25.93,25.94,2701,0
IBTG.US,D,20200409,000000,26,26.03,25.993,26.007,1311,0
IBTG.US,D,20200413,000000,25.95,25.95,25.95,25.95,539,0
IBTG.US,D,20200414,000000,26.04,26.04,26.006,26.006,494,0
IBTG.US,D,20200415,000000,26.18,26.18,26.14,26.159,932,0
IBTG.US,D,20200416,000000,26.18,26.2,26.14,26.155,1647,0
IBTG.US,D,20200417,000000,26.19,26.19,26.12,26.12,905,0
IBTG.US,D,20200420,000000,26.14,26.17,26.14,26.155,3490,0
IBTG.US,D,20200421,000000,26.23,26.23,26.195,26.195,490,0
IBTG.US,D,20200422,000000,26.16,26.16,26.138,26.138,1032,0
IBTG.US,D,20200424,000000,26.17,26.17,26.14,26.14,754,0
IBTG.US,D,20200427,000000,26.09,26.1,26.05,26.065,860,0
IBTG.US,D,20200428,000000,26.08,26.14,26.08,26.14,631,0
IBTG.US,D,20200429,000000,26.12,26.19,26.12,26.146,1456,0
IBTG.US,D,20200430,000000,26.19,26.19,26.114,26.114,2010,0
IBTG.US,D,20200501,000000,26.16,26.16,26.114,26.114,284,0
IBTG.US,D,20200504,000000,26.13,26.13,26.12,26.12,798,0
IBTG.US,D,20200505,000000,26.13,26.13,26.125,26.125,529,0
IBTG.US,D,20200506,000000,26.07,26.08,26.055,26.075,2221,0
IBTG.US,D,20200507,000000,26.07,26.2,26.07,26.189,983,0
IBTG.US,D,20200508,000000,26.2,26.2,26.146,26.146,592,0
IBTG.US,D,20200511,000000,26.13,26.13,26.1,26.1,841,0
IBTG.US,D,20200512,000000,26.14,26.14,26.14,26.14,222,0
IBTG.US,D,20200513,000000,26.17,26.21,26.17,26.18,1054,0
IBTG.US,D,20200514,000000,26.23,26.23,26.205,26.205,1574,0
IBTG.US,D,20200515,000000,26.17,26.2,26.17,26.195,584,0
IBTG.US,D,20200518,000000,26.17,26.19,26.095,26.095,3444,0
IBTG.US,D,20200521,000000,26.155,26.17,26.148,26.15,1731,0
IBTG.US,D,20200522,000000,26.19,26.19,26.175,26.175,1247,0
IBTG.US,D,20200526,000000,26.11,26.16,26.11,26.155,609,0
IBTG.US,D,20200527,000000,26.176,26.18,26.17,26.17,631,0
IBTG.US,D,20200528,000000,26.17,26.17,26.15,26.15,716,0
IBTG.US,D,20200529,000000,26.18,26.196,26.18,26.196,1176,0
IBTG.US,D,20200601,000000,26.19,26.19,26.185,26.185,487,0
IBTG.US,D,20200603,000000,26.09,26.09,26.065,26.065,1398,0
IBTG.US,D,20200605,000000,25.9,25.921,25.9,25.921,681,0
IBTG.US,D,20200608,000000,25.9,25.95,25.9,25.95,780,0
IBTG.US,D,20200609,000000,26.002,26.02,25.996,26.005,685,0
IBTG.US,D,20200610,000000,26.095,26.14,26.095,26.14,565,0
