<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTH.US,D,20200302,000000,25.43,25.43,25.37,25.37,2707,0
IBTH.US,D,20200303,000000,25.42,25.7,25.42,25.64,7721,0
IBTH.US,D,20200304,000000,25.68,25.68,25.59,25.59,4313,0
IBTH.US,D,20200305,000000,25.71,25.71,25.71,25.71,801,0
IBTH.US,D,20200306,000000,26.02,26.02,25.92,25.927,2649,0
IBTH.US,D,20200309,000000,26.369,26.369,26.169,26.169,12990,0
IBTH.US,D,20200310,000000,26.07,26.119,25.86,25.86,7226,0
IBTH.US,D,20200311,000000,25.95,25.95,25.77,25.77,16855,0
IBTH.US,D,20200312,000000,25.78,26.04,25.7,25.74,36298,0
IBTH.US,D,20200313,000000,25.57,25.7,25.55,25.58,9697,0
IBTH.US,D,20200316,000000,25.58,25.89,25.425,25.425,6027,0
IBTH.US,D,20200317,000000,25.58,25.86,25.52,25.52,5016,0
IBTH.US,D,20200318,000000,25.4,25.4,25.4,25.4,1101,0
IBTH.US,D,20200319,000000,25.35,25.35,25.35,25.35,1506,0
IBTH.US,D,20200320,000000,25.63,25.685,25.59,25.685,316,0
IBTH.US,D,20200323,000000,26,26,26,26,117,0
IBTH.US,D,20200324,000000,25.98,25.98,25.98,25.98,117,0
IBTH.US,D,20200330,000000,26.349,27.583,26.163,26.174,290835,0
IBTH.US,D,20200331,000000,26.229,26.309,26.229,26.237,2995,0
IBTH.US,D,20200401,000000,26.319,27.804,26.289,26.289,85468,0
IBTH.US,D,20200402,000000,26.289,26.289,26.249,26.274,1756,0
IBTH.US,D,20200403,000000,26.259,26.388,26.209,26.279,1286,0
IBTH.US,D,20200406,000000,26.279,26.279,26.169,26.169,983,0
IBTH.US,D,20200408,000000,26.045,26.057,26.045,26.057,257,0
IBTH.US,D,20200409,000000,26.144,26.159,26.09,26.109,1544,0
IBTH.US,D,20200413,000000,26.119,26.119,26.06,26.06,1296,0
IBTH.US,D,20200414,000000,26.09,26.099,26.09,26.099,677,0
IBTH.US,D,20200415,000000,26.189,26.279,26.189,26.279,952,0
IBTH.US,D,20200416,000000,26.299,26.359,26.289,26.289,2536,0
IBTH.US,D,20200417,000000,26.339,26.339,26.259,26.264,632,0
IBTH.US,D,20200420,000000,26.289,26.314,26.289,26.314,1121,0
IBTH.US,D,20200421,000000,26.359,26.387,26.349,26.368,611,0
IBTH.US,D,20200422,000000,26.259,26.269,26.259,26.269,602,0
IBTH.US,D,20200423,000000,26.259,26.269,26.259,26.269,646,0
IBTH.US,D,20200424,000000,26.279,26.348,26.269,26.314,729,0
IBTH.US,D,20200427,000000,26.244,26.249,26.189,26.199,1210,0
IBTH.US,D,20200428,000000,26.229,26.299,26.229,26.299,808,0
IBTH.US,D,20200429,000000,26.299,26.349,26.274,26.294,1248,0
IBTH.US,D,20200430,000000,26.299,26.329,26.262,26.262,1273,0
IBTH.US,D,20200501,000000,26.269,26.269,26.239,26.249,880,0
IBTH.US,D,20200504,000000,26.229,26.279,26.219,26.269,884,0
IBTH.US,D,20200505,000000,26.199,26.254,26.199,26.254,603,0
IBTH.US,D,20200506,000000,26.149,26.199,26.149,26.194,888,0
IBTH.US,D,20200507,000000,26.299,26.339,26.299,26.324,1009,0
IBTH.US,D,20200511,000000,26.229,26.229,26.212,26.212,333,0
IBTH.US,D,20200512,000000,26.259,26.264,26.259,26.264,322,0
IBTH.US,D,20200513,000000,26.349,26.349,26.319,26.319,404,0
IBTH.US,D,20200514,000000,26.379,26.379,26.344,26.344,715,0
