<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTI.US,D,20200302,000000,25.531,25.531,25.491,25.491,702,0
IBTI.US,D,20200303,000000,25.75,25.88,25.71,25.71,14797,0
IBTI.US,D,20200304,000000,25.74,25.74,25.7,25.7,5316,0
IBTI.US,D,20200305,000000,25.84,25.89,25.84,25.89,902,0
IBTI.US,D,20200306,000000,26.219,26.219,26.123,26.123,5477,0
IBTI.US,D,20200309,000000,26.638,26.638,26.403,26.403,11334,0
IBTI.US,D,20200310,000000,26.259,26.368,26,26,7974,0
IBTI.US,D,20200311,000000,26.119,26.129,25.85,25.91,17151,0
IBTI.US,D,20200312,000000,25.99,26.134,25.72,25.72,26281,0
IBTI.US,D,20200313,000000,25.571,25.75,25.551,25.575,5516,0
IBTI.US,D,20200316,000000,25.97,26.124,25.92,26.124,22612,0
IBTI.US,D,20200317,000000,25.75,25.75,25.591,25.591,6018,0
IBTI.US,D,20200318,000000,25.451,25.451,25.153,25.183,3390,0
IBTI.US,D,20200319,000000,25.391,25.521,25.351,25.351,6238,0
IBTI.US,D,20200320,000000,25.68,25.72,25.68,25.72,2427,0
IBTI.US,D,20200323,000000,26.139,26.169,26.139,26.169,722,0
IBTI.US,D,20200325,000000,25.96,25.97,25.96,25.97,400,0
IBTI.US,D,20200327,000000,26.189,26.308,26.189,26.308,186,0
IBTI.US,D,20200330,000000,26.498,26.615,26.324,26.324,244189,0
IBTI.US,D,20200331,000000,26.448,26.598,26.393,26.393,5510,0
IBTI.US,D,20200401,000000,26.538,28.044,26.474,26.474,85451,0
IBTI.US,D,20200402,000000,26.518,26.518,26.438,26.464,1629,0
IBTI.US,D,20200403,000000,26.478,26.618,26.428,26.488,2106,0
IBTI.US,D,20200406,000000,26.373,26.418,26.308,26.353,1105,0
IBTI.US,D,20200408,000000,26.249,26.249,26.239,26.239,413,0
IBTI.US,D,20200409,000000,26.318,26.318,26.268,26.283,1332,0
IBTI.US,D,20200415,000000,26.498,26.498,26.491,26.491,531,0
IBTI.US,D,20200416,000000,26.538,26.538,26.512,26.512,454,0
IBTI.US,D,20200417,000000,26.558,26.558,26.457,26.457,760,0
IBTI.US,D,20200420,000000,26.498,26.518,26.498,26.518,758,0
IBTI.US,D,20200421,000000,26.598,26.598,26.578,26.593,336,0
IBTI.US,D,20200424,000000,26.548,26.558,26.533,26.533,457,0
IBTI.US,D,20200427,000000,26.448,26.458,26.448,26.458,581,0
IBTI.US,D,20200429,000000,26.558,26.558,26.468,26.494,847,0
IBTI.US,D,20200430,000000,26.578,26.578,26.467,26.488,2773,0
IBTI.US,D,20200504,000000,26.453,26.468,26.453,26.463,446,0
IBTI.US,D,20200505,000000,26.468,26.468,26.448,26.448,433,0
IBTI.US,D,20200506,000000,26.353,26.368,26.353,26.368,571,0
IBTI.US,D,20200507,000000,26.518,26.518,26.506,26.508,1149,0
IBTI.US,D,20200508,000000,26.498,26.498,26.498,26.498,424,0
IBTI.US,D,20200511,000000,26.378,26.378,26.369,26.369,327,0
IBTI.US,D,20200512,000000,26.418,26.453,26.418,26.453,258,0
IBTI.US,D,20200513,000000,26.528,26.528,26.498,26.498,292,0
IBTI.US,D,20200518,000000,26.378,26.378,26.368,26.368,220,0
IBTI.US,D,20200521,000000,26.448,26.448,26.448,26.448,373,0
IBTI.US,D,20200522,000000,26.508,26.508,26.493,26.493,273,0
IBTI.US,D,20200526,000000,26.438,26.443,26.438,26.443,201,0
IBTI.US,D,20200528,000000,26.458,26.458,26.438,26.438,455,0
IBTI.US,D,20200529,000000,26.523,26.528,26.518,26.528,955,0
IBTI.US,D,20200601,000000,26.488,26.493,26.478,26.493,592,0
IBTI.US,D,20200603,000000,26.328,26.328,26.313,26.313,1636,0
IBTI.US,D,20200604,000000,26.216,26.224,26.216,26.224,1546,0
IBTI.US,D,20200608,000000,26.109,26.149,26.109,26.116,700,0
IBTI.US,D,20200609,000000,26.209,26.209,26.204,26.204,412,0
IBTI.US,D,20200610,000000,26.307,26.382,26.307,26.382,428,0
IBTI.US,D,20200612,000000,26.458,26.458,26.413,26.413,416,0
IBTI.US,D,20200616,000000,26.383,26.383,26.337,26.353,3221,0
IBTI.US,D,20200617,000000,26.338,26.388,26.338,26.382,726,0
IBTI.US,D,20200618,000000,26.443,26.443,26.433,26.433,556,0
IBTI.US,D,20200622,000000,26.438,26.438,26.418,26.427,765,0
IBTI.US,D,20200623,000000,26.398,26.408,26.398,26.408,290,0
IBTI.US,D,20200624,000000,26.468,26.468,26.463,26.463,326,0
IBTI.US,D,20200626,000000,26.548,26.548,26.537,26.537,205,0
IBTI.US,D,20200630,000000,26.578,26.578,26.518,26.528,957,0
IBTI.US,D,20200702,000000,26.478,26.488,26.478,26.488,646,0
IBTI.US,D,20200708,000000,26.518,26.518,26.508,26.512,871,0
IBTI.US,D,20200709,000000,26.528,26.528,26.528,26.528,577,0
IBTI.US,D,20200710,000000,26.598,26.598,26.528,26.528,1053,0
IBTI.US,D,20200713,000000,26.518,26.518,26.518,26.518,1114,0
IBTI.US,D,20200715,000000,26.548,26.588,26.548,26.548,1308,0
IBTI.US,D,20200717,000000,26.568,26.568,26.567,26.567,229,0
IBTI.US,D,20200720,000000,26.563,26.578,26.563,26.573,689,0
IBTI.US,D,20200721,000000,26.598,26.618,26.598,26.606,60311,0
IBTI.US,D,20200722,000000,26.608,26.608,26.606,26.606,2272,0
IBTI.US,D,20200723,000000,26.628,26.648,26.628,26.628,15835,0
IBTI.US,D,20200724,000000,26.628,26.628,26.623,26.623,231,0
IBTI.US,D,20200727,000000,26.618,26.618,26.578,26.578,856,0
IBTI.US,D,20200728,000000,26.618,26.647,26.618,26.647,692,0
IBTI.US,D,20200729,000000,26.648,26.668,26.648,26.668,595,0
IBTI.US,D,20200730,000000,26.708,26.718,26.698,26.713,2735,0
IBTI.US,D,20200731,000000,26.728,26.728,26.727,26.727,515,0
IBTI.US,D,20200803,000000,26.678,26.678,26.678,26.678,524,0
IBTI.US,D,20200804,000000,26.758,26.768,26.758,26.768,290,0
IBTI.US,D,20200805,000000,26.728,26.728,26.698,26.698,734,0
IBTI.US,D,20200806,000000,26.768,26.768,26.718,26.718,702,0
IBTI.US,D,20200807,000000,26.698,26.698,26.672,26.672,832,0
IBTI.US,D,20200810,000000,26.708,26.708,26.638,26.638,698,0
IBTI.US,D,20200811,000000,26.538,26.582,26.518,26.578,1048,0
IBTI.US,D,20200812,000000,26.498,26.52,26.468,26.52,2161,0
IBTI.US,D,20200813,000000,26.448,26.448,26.433,26.433,1018,0
IBTI.US,D,20200814,000000,26.488,26.498,26.468,26.468,820,0
IBTI.US,D,20200817,000000,26.508,26.508,26.508,26.508,284,0
IBTI.US,D,20200819,000000,26.528,26.528,26.514,26.514,360,0
IBTI.US,D,20200820,000000,26.578,26.588,26.578,26.588,981,0
IBTI.US,D,20200824,000000,26.588,26.598,26.558,26.558,612,0
IBTI.US,D,20200826,000000,26.468,26.498,26.468,26.498,563,0
