<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTJ.US,D,20200302,000000,25.462,25.462,25.402,25.402,804,0
IBTJ.US,D,20200303,000000,25.422,25.826,25.422,25.641,16866,0
IBTJ.US,D,20200304,000000,25.701,25.701,25.661,25.661,704,0
IBTJ.US,D,20200305,000000,25.791,25.864,25.791,25.864,550,0
IBTJ.US,D,20200306,000000,26.279,26.299,26.169,26.171,6226,0
IBTJ.US,D,20200309,000000,26.797,26.797,26.538,26.538,16372,0
IBTJ.US,D,20200310,000000,26.354,26.489,26.049,26.049,22086,0
IBTJ.US,D,20200311,000000,26.149,26.149,25.9,25.9,16361,0
IBTJ.US,D,20200312,000000,26.099,26.189,25.741,25.778,32557,0
IBTJ.US,D,20200313,000000,25.671,27.773,25.502,25.502,326075,0
IBTJ.US,D,20200316,000000,25.989,26.175,25.871,26.175,15777,0
IBTJ.US,D,20200317,000000,26.059,26.069,25.581,25.581,4939,0
IBTJ.US,D,20200318,000000,25.263,25.502,24.984,25.131,24392,0
IBTJ.US,D,20200319,000000,25.104,25.414,25.104,25.134,8211,0
IBTJ.US,D,20200320,000000,25.591,25.771,25.581,25.771,2936,0
IBTJ.US,D,20200323,000000,26.079,26.219,26.079,26.194,2722,0
IBTJ.US,D,20200324,000000,26.009,26.019,25.914,25.984,3184,0
IBTJ.US,D,20200325,000000,26.109,26.109,25.949,25.949,2064,0
IBTJ.US,D,20200326,000000,26.089,26.089,26.069,26.069,616,0
IBTJ.US,D,20200327,000000,26.181,26.354,26.181,26.333,522,0
IBTJ.US,D,20200330,000000,26.538,26.737,26.336,26.336,254127,0
IBTJ.US,D,20200331,000000,26.479,26.627,26.453,26.469,7689,0
IBTJ.US,D,20200401,000000,26.588,27.156,26.479,26.523,91092,0
IBTJ.US,D,20200402,000000,26.598,26.598,26.498,26.498,1287,0
IBTJ.US,D,20200403,000000,26.558,26.657,26.524,26.538,3954,0
IBTJ.US,D,20200406,000000,26.489,26.489,26.369,26.429,1056,0
IBTJ.US,D,20200407,000000,26.419,26.419,26.199,26.284,1484,0
IBTJ.US,D,20200408,000000,26.234,26.299,26.234,26.249,601,0
IBTJ.US,D,20200409,000000,26.289,26.339,26.254,26.275,2229,0
IBTJ.US,D,20200413,000000,26.219,26.289,26.219,26.219,1507,0
IBTJ.US,D,20200414,000000,26.289,26.289,26.239,26.272,2925,0
IBTJ.US,D,20200415,000000,26.538,26.541,26.538,26.541,544,0
IBTJ.US,D,20200416,000000,26.598,26.598,26.568,26.575,1501,0
IBTJ.US,D,20200417,000000,26.617,26.617,26.508,26.508,1582,0
IBTJ.US,D,20200420,000000,26.548,26.588,26.548,26.583,3772,0
