<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTK.US,D,20200724,000000,25.057,25.057,25.057,25.057,2006,0
IBTK.US,D,20200728,000000,25.087,25.087,25.087,25.087,200,0
IBTK.US,D,20200730,000000,25.187,25.187,25.187,25.187,803,0
IBTK.US,D,20200813,000000,24.848,24.858,24.848,24.848,604,0
IBTK.US,D,20200819,000000,24.977,24.977,24.927,24.927,705,0
IBTK.US,D,20200827,000000,24.798,24.798,24.773,24.773,500,0
IBTK.US,D,20200903,000000,25.037,25.037,25.037,25.037,1103,0
IBTK.US,D,20200924,000000,24.947,24.947,24.947,24.947,100,0
IBTK.US,D,20201005,000000,24.748,24.748,24.748,24.748,204,0
IBTK.US,D,20201006,000000,24.678,24.718,24.678,24.718,301,0
IBTK.US,D,20201102,000000,24.558,24.558,24.528,24.528,2108,0
IBTK.US,D,20201127,000000,24.587,24.588,24.587,24.588,100,0
IBTK.US,D,20201208,000000,24.449,24.449,24.419,24.419,203,0
IBTK.US,D,20201209,000000,24.359,24.359,24.359,24.359,305,0
IBTK.US,D,20201211,000000,24.489,24.489,24.488,24.489,445,0
IBTK.US,D,20201215,000000,24.479,24.479,24.479,24.479,1,0
IBTK.US,D,20201216,000000,24.429,24.429,24.429,24.429,1,0
IBTK.US,D,20201217,000000,24.419,24.419,24.419,24.419,2,0
IBTK.US,D,20210104,000000,24.459,24.459,24.443,24.443,402,0
IBTK.US,D,20210106,000000,24.359,24.359,24.359,24.359,2,0
IBTK.US,D,20210108,000000,24.109,24.109,24.109,24.109,1,0
IBTK.US,D,20210111,000000,23.989,23.999,23.974,23.974,7366,0
IBTK.US,D,20210113,000000,24,24.065,23.999,24.065,5960,0
IBTK.US,D,20210114,000000,24.099,24.099,24.049,24.049,521,0
IBTK.US,D,20210119,000000,24.059,24.074,23.999,24.074,1446,0
IBTK.US,D,20210128,000000,24.179,24.179,24.162,24.162,1899,0
IBTK.US,D,20210203,000000,24.009,24.009,23.994,23.994,796,0
IBTK.US,D,20210208,000000,23.939,23.939,23.909,23.928,691,0
IBTK.US,D,20210219,000000,23.6,23.605,23.6,23.605,114,0
IBTK.US,D,20210225,000000,23.35,23.35,23.211,23.211,1339,0
IBTK.US,D,20210226,000000,23.321,23.47,23.321,23.47,7701,0
IBTK.US,D,20210301,000000,23.35,23.39,23.35,23.39,1733,0
IBTK.US,D,20210302,000000,23.42,23.42,23.4,23.41,9722,0
IBTK.US,D,20210304,000000,23.316,23.316,23.17,23.17,865,0
IBTK.US,D,20210305,000000,23.071,23.171,23.061,23.171,2060,0
IBTK.US,D,20210308,000000,23.06,23.06,23.041,23.041,368,0
IBTK.US,D,20210310,000000,23.181,23.222,23.181,23.222,114,0
IBTK.US,D,20210312,000000,23.001,23.031,22.994,23.011,4949,0
IBTK.US,D,20210315,000000,23.07,23.071,23.041,23.041,3258,0
IBTK.US,D,20210316,000000,23.101,23.101,23.034,23.034,2156,0
IBTK.US,D,20210318,000000,22.801,22.826,22.8,22.826,825,0
IBTK.US,D,20210319,000000,22.801,22.812,22.761,22.812,1831,0
IBTK.US,D,20210324,000000,22.961,23.061,22.961,23.061,464,0
IBTK.US,D,20210325,000000,23.071,23.071,23.071,23.071,246,0
IBTK.US,D,20210401,000000,22.851,22.909,22.851,22.909,500,0
IBTK.US,D,20210405,000000,22.781,22.828,22.781,22.828,302,0
IBTK.US,D,20210412,000000,22.931,22.933,22.931,22.933,501,0
IBTK.US,D,20210413,000000,23.031,23.031,23.031,23.031,554,0
IBTK.US,D,20210415,000000,23.136,23.205,23.136,23.179,8078,0
IBTK.US,D,20210416,000000,23.136,23.141,23.116,23.116,870,0
IBTK.US,D,20210422,000000,23.191,23.191,23.191,23.191,400,0
IBTK.US,D,20210426,000000,23.151,23.151,23.146,23.146,1855,0
IBTK.US,D,20210504,000000,23.131,23.131,23.131,23.131,308,0
IBTK.US,D,20210510,000000,23.191,23.191,23.107,23.107,149,0
IBTK.US,D,20210512,000000,22.971,22.971,22.949,22.949,211,0
IBTK.US,D,20210513,000000,23.021,23.031,23.021,23.031,3504,0
IBTK.US,D,20210517,000000,23.071,23.081,23.071,23.071,2352,0
