<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICLN.US,D,20080625,000000,40.585,41.142,40.585,40.98,2615,0
ICLN.US,D,20080626,000000,46.592,46.601,39.6,39.656,12486,0
ICLN.US,D,20080627,000000,39.921,39.921,38.903,38.955,9875,0
ICLN.US,D,20080630,000000,39.43,39.579,39.026,39.026,21921,0
ICLN.US,D,20080701,000000,39.003,39.003,37.328,37.899,19047,0
ICLN.US,D,20080702,000000,37.685,37.685,36.9,36.9,8502,0
ICLN.US,D,20080703,000000,42.685,42.685,36.285,36.893,7626,0
ICLN.US,D,20080707,000000,37.36,37.437,37.219,37.219,3242,0
ICLN.US,D,20080708,000000,37.462,37.462,36.373,37.242,15585,0
ICLN.US,D,20080709,000000,37.103,37.608,36.972,36.972,5163,0
ICLN.US,D,20080710,000000,36.938,37.374,36.583,37.298,1291,0
ICLN.US,D,20080711,000000,37.462,37.756,37.141,37.474,5348,0
ICLN.US,D,20080714,000000,38.03,38.269,37.756,38.233,28551,0
ICLN.US,D,20080715,000000,37.905,37.905,36.784,37.576,15528,0
ICLN.US,D,20080716,000000,37.576,38.441,37.576,38.441,5451,0
ICLN.US,D,20080717,000000,39.212,39.282,38.495,38.52,5961,0
ICLN.US,D,20080718,000000,38.356,38.356,38.124,38.194,6137,0
ICLN.US,D,20080721,000000,38.637,38.948,38.459,38.932,22102,0
ICLN.US,D,20080722,000000,39.198,40.23,37.975,38.208,12204,0
ICLN.US,D,20080723,000000,38.529,38.551,38.144,38.177,6345,0
ICLN.US,D,20080724,000000,37.685,37.685,36.223,36.473,8275,0
ICLN.US,D,20080725,000000,36.712,36.9,36.355,36.9,3416,0
ICLN.US,D,20080728,000000,36.316,36.915,36.316,36.666,24056,0
ICLN.US,D,20080729,000000,36.938,37.678,36.855,37.525,24602,0
ICLN.US,D,20080730,000000,38.144,38.433,38.059,38.396,4536,0
ICLN.US,D,20080731,000000,38.411,38.52,36.893,38.006,3991,0
ICLN.US,D,20080801,000000,38.256,38.256,37.313,37.335,5828,0
ICLN.US,D,20080804,000000,37.623,37.623,36.583,36.583,4285,0
ICLN.US,D,20080805,000000,36.347,36.658,36.309,36.395,1996,0
ICLN.US,D,20080806,000000,36.44,36.83,36.277,36.801,5055,0
ICLN.US,D,20080807,000000,37.002,37.002,36.658,36.784,7734,0
ICLN.US,D,20080808,000000,36.41,36.41,36.006,36.144,6275,0
ICLN.US,D,20080811,000000,36.193,36.239,35.6,35.6,3092,0
ICLN.US,D,20080812,000000,35.501,36.162,35.501,35.817,3010,0
ICLN.US,D,20080813,000000,35.809,35.997,35.577,35.997,4803,0
ICLN.US,D,20080814,000000,36.061,36.083,35.912,35.912,1517,0
ICLN.US,D,20080815,000000,36.316,36.863,36.316,36.863,5095,0
ICLN.US,D,20080818,000000,37.134,37.186,36.388,36.388,3179,0
ICLN.US,D,20080819,000000,36.503,36.666,36.44,36.658,2212,0
ICLN.US,D,20080820,000000,36.813,37.78,36.813,37.631,6584,0
ICLN.US,D,20080821,000000,38.34,38.613,38.333,38.598,16212,0
ICLN.US,D,20080822,000000,38.809,38.995,38.675,38.978,7697,0
ICLN.US,D,20080825,000000,38.863,38.94,38.247,38.317,5978,0
ICLN.US,D,20080826,000000,38.433,38.433,37.934,38.006,5691,0
ICLN.US,D,20080827,000000,38.372,38.986,38.372,38.823,7791,0
ICLN.US,D,20080828,000000,41.252,41.252,38.894,39.203,3010,0
ICLN.US,D,20080829,000000,39.354,39.354,38.924,38.94,6746,0
ICLN.US,D,20080902,000000,38.823,38.823,37.298,37.298,4444,0
ICLN.US,D,20080903,000000,37.186,37.186,36.013,36.013,7294,0
ICLN.US,D,20080904,000000,35.85,35.85,34.357,34.573,30410,0
ICLN.US,D,20080905,000000,34.384,34.384,33.319,34.277,4953,0
ICLN.US,D,20080908,000000,34.783,34.813,33.661,33.912,4570,0
ICLN.US,D,20080909,000000,33.414,33.414,30.805,30.805,24475,0
ICLN.US,D,20080910,000000,30.657,31.202,30.268,31,16302,0
ICLN.US,D,20080911,000000,30.627,30.983,29.783,30.666,21774,0
ICLN.US,D,20080912,000000,31.124,32.292,31.124,32.104,6972,0
ICLN.US,D,20080915,000000,32.198,32.198,29.902,30.455,6524,0
ICLN.US,D,20080916,000000,30.983,30.983,29.359,29.902,6501,0
ICLN.US,D,20080917,000000,31.713,34.301,29.061,29.902,9968,0
ICLN.US,D,20080918,000000,30.682,30.682,28.866,30.532,6215,0
ICLN.US,D,20080919,000000,33.78,34.549,32.286,33.473,46419,0
ICLN.US,D,20080922,000000,34.392,34.392,32.525,32.525,18725,0
ICLN.US,D,20080923,000000,32.307,32.517,31.264,31.474,18899,0
ICLN.US,D,20080924,000000,32.205,32.641,32.205,32.269,3688,0
ICLN.US,D,20080925,000000,32.682,32.984,32.58,32.876,6468,0
ICLN.US,D,20080926,000000,32.828,32.828,31.023,31.366,10631,0
ICLN.US,D,20080929,000000,33.399,33.399,16.349,27.815,25363,0
ICLN.US,D,20080930,000000,27.815,28.354,27.603,28.336,10942,0
ICLN.US,D,20081001,000000,29.748,29.748,28.407,28.851,5516,0
ICLN.US,D,20081002,000000,29.061,29.061,26.141,26.335,17720,0
ICLN.US,D,20081003,000000,26.702,27.715,25.947,25.947,8404,0
ICLN.US,D,20081006,000000,24.857,24.857,21.642,23.153,19512,0
ICLN.US,D,20081007,000000,22.218,22.599,20.638,20.675,12802,0
ICLN.US,D,20081008,000000,26.095,26.095,18.533,20.162,55427,0
ICLN.US,D,20081009,000000,20.194,20.453,18.558,18.869,18407,0
ICLN.US,D,20081010,000000,19.025,19.993,16.893,18.708,33123,0
ICLN.US,D,20081013,000000,21.386,23.206,20.202,21.954,35671,0
ICLN.US,D,20081014,000000,21.938,26.001,21.828,22.179,22942,0
ICLN.US,D,20081015,000000,22.404,22.404,18.869,19.003,22266,0
ICLN.US,D,20081016,000000,19.564,20.062,18.264,19.634,16431,0
ICLN.US,D,20081017,000000,20.071,20.461,19.854,20.071,7040,0
ICLN.US,D,20081020,000000,20.841,20.964,20.194,20.941,14602,0
ICLN.US,D,20081021,000000,21.757,21.757,20.125,20.125,12078,0
ICLN.US,D,20081022,000000,19.421,19.782,17.174,17.586,17933,0
ICLN.US,D,20081023,000000,23.983,23.983,15.576,16.03,15077,0
ICLN.US,D,20081024,000000,15.532,15.532,13.98,15.172,17509,0
ICLN.US,D,20081027,000000,15.567,15.567,13.832,13.832,11409,0
ICLN.US,D,20081028,000000,14.379,14.404,13.203,14.379,8047,0
ICLN.US,D,20081029,000000,14.658,15.912,14.658,15.327,16928,0
ICLN.US,D,20081030,000000,15.758,18.107,15.758,16.908,20467,0
ICLN.US,D,20081031,000000,16.854,17.174,16.308,17.082,4937,0
ICLN.US,D,20081103,000000,17.75,19.082,17.75,19.025,16725,0
ICLN.US,D,20081104,000000,21.346,22.133,20.732,21.518,44845,0
ICLN.US,D,20081105,000000,23.484,23.484,18.607,18.752,38994,0
ICLN.US,D,20081106,000000,18.285,18.285,16.501,16.704,52355,0
ICLN.US,D,20081107,000000,17.001,17.844,17.001,17.58,284975,0
ICLN.US,D,20081110,000000,20.747,20.747,17.027,17.291,299722,0
ICLN.US,D,20081111,000000,16.908,16.908,15.857,16.139,600052,0
ICLN.US,D,20081112,000000,15.693,15.693,13.655,13.655,482324,0
ICLN.US,D,20081113,000000,13.709,15.469,13.669,15.469,80955,0
ICLN.US,D,20081114,000000,15.92,15.92,14.404,14.768,65434,0
ICLN.US,D,20081117,000000,14.556,14.854,14.198,14.448,33166,0
ICLN.US,D,20081118,000000,14.215,14.606,13.381,13.816,19459,0
ICLN.US,D,20081119,000000,13.624,13.824,12.331,12.331,13355,0
ICLN.US,D,20081120,000000,12.004,12.004,10.501,10.501,36577,0
ICLN.US,D,20081121,000000,11.101,11.227,10.697,11.218,27071,0
ICLN.US,D,20081124,000000,11.793,13.274,11.793,13.071,25114,0
ICLN.US,D,20081125,000000,13.824,13.832,12.946,13.811,7588,0
ICLN.US,D,20081126,000000,13.336,14.908,13.336,14.598,29563,0
ICLN.US,D,20081128,000000,14.848,14.977,14.738,14.886,8817,0
ICLN.US,D,20081201,000000,16.308,16.308,12.97,12.97,14106,0
ICLN.US,D,20081202,000000,13.74,14.848,13.381,14.667,18729,0
ICLN.US,D,20081203,000000,13.918,14.418,13.31,14.121,28290,0
ICLN.US,D,20081204,000000,14.022,14.456,13.771,13.771,21492,0
ICLN.US,D,20081205,000000,14.139,14.139,13.164,14.139,23803,0
ICLN.US,D,20081208,000000,14.729,15.102,14.692,14.876,22206,0
ICLN.US,D,20081209,000000,15.525,16.659,13.786,13.786,18622,0
ICLN.US,D,20081210,000000,14.404,14.404,13.84,14.13,15387,0
ICLN.US,D,20081211,000000,14.505,14.629,13.881,13.999,18386,0
ICLN.US,D,20081212,000000,14.191,14.598,13.592,14.175,42676,0
ICLN.US,D,20081215,000000,14.876,14.876,13.662,14.058,8695,0
ICLN.US,D,20081216,000000,14.139,15.056,14.139,14.987,28642,0
ICLN.US,D,20081217,000000,15.492,16.154,14.432,15.903,46886,0
ICLN.US,D,20081218,000000,16.217,16.217,15.46,15.507,19924,0
ICLN.US,D,20081219,000000,16.361,16.361,15.327,15.405,28655,0
ICLN.US,D,20081222,000000,15.751,15.833,14.705,15.134,21852,0
ICLN.US,D,20081223,000000,15.787,15.787,15.257,15.257,9460,0
ICLN.US,D,20081224,000000,15.195,15.299,15.035,15.187,13743,0
ICLN.US,D,20081226,000000,15.359,15.437,15.195,15.414,5397,0
ICLN.US,D,20081229,000000,16.187,16.187,15.344,15.469,18682,0
ICLN.US,D,20081230,000000,15.366,17.516,15.366,16.169,56460,0
ICLN.US,D,20081231,000000,16.791,16.791,16.355,16.613,28097,0
ICLN.US,D,20090102,000000,16.785,17.571,16.697,17.54,22791,0
ICLN.US,D,20090105,000000,17.765,18.364,17.283,17.991,40389,0
ICLN.US,D,20090106,000000,18.248,18.34,17.399,17.726,44549,0
ICLN.US,D,20090107,000000,17.997,17.997,16.536,16.678,24132,0
ICLN.US,D,20090108,000000,17.464,17.464,16.495,17.212,17818,0
ICLN.US,D,20090109,000000,17.492,17.648,16.964,17.128,17757,0
ICLN.US,D,20090112,000000,17.315,17.315,15.833,15.903,24647,0
ICLN.US,D,20090113,000000,16.169,16.169,15.335,15.525,30864,0
ICLN.US,D,20090114,000000,15.532,15.532,14.379,14.675,46726,0
ICLN.US,D,20090115,000000,14.463,15.399,14.37,15.009,27024,0
ICLN.US,D,20090116,000000,15.937,15.981,15.017,15.545,43278,0
ICLN.US,D,20090120,000000,15.516,15.516,14.308,14.363,20555,0
ICLN.US,D,20090121,000000,14.784,14.784,14.207,14.768,40944,0
ICLN.US,D,20090122,000000,17.337,17.337,13.99,14.388,7501,0
ICLN.US,D,20090123,000000,16.576,16.576,13.443,14.37,15749,0
ICLN.US,D,20090126,000000,14.007,15.699,14.007,14.543,24289,0
ICLN.US,D,20090127,000000,14.917,15.035,14.613,14.839,11139,0
ICLN.US,D,20090128,000000,15.291,15.452,15.172,15.265,24321,0
ICLN.US,D,20090129,000000,15.304,15.304,14.621,14.815,82369,0
ICLN.US,D,20090130,000000,15.102,15.92,14.682,15.743,17290,0
ICLN.US,D,20090202,000000,14.7,14.7,13.897,14.261,37233,0
ICLN.US,D,20090203,000000,14.613,14.629,13.592,14.379,13241,0
ICLN.US,D,20090204,000000,14.713,15.017,14.488,14.955,15683,0
ICLN.US,D,20090205,000000,14.924,15.082,14.497,14.964,22553,0
ICLN.US,D,20090206,000000,15.274,15.318,14.955,15.095,33955,0
ICLN.US,D,20090209,000000,17.78,17.78,14.636,15.881,33045,0
ICLN.US,D,20090210,000000,15.717,15.857,15.002,15.026,13916,0
ICLN.US,D,20090211,000000,15.492,15.492,14.589,14.861,16307,0
ICLN.US,D,20090212,000000,14.939,15.041,14.183,14.551,17897,0
ICLN.US,D,20090213,000000,14.917,14.964,14.682,14.886,7601,0
ICLN.US,D,20090217,000000,14.908,14.93,13.864,14.147,75828,0
ICLN.US,D,20090218,000000,14.295,14.295,13.545,13.631,67531,0
ICLN.US,D,20090219,000000,13.631,14.183,13.336,13.336,15627,0
ICLN.US,D,20090220,000000,13.108,13.108,12.325,12.705,24660,0
ICLN.US,D,20090223,000000,12.705,12.885,12.077,12.098,16462,0
ICLN.US,D,20090224,000000,12.417,12.993,12.036,12.844,15594,0
ICLN.US,D,20090225,000000,13.172,13.172,12.068,12.261,18565,0
