<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDLB.US,D,20151113,000000,21.282,21.282,21.282,21.282,1493,0
IDLB.US,D,20151123,000000,21.751,21.751,21.751,21.751,456,0
IDLB.US,D,20151124,000000,21.647,21.788,21.647,21.788,24259,0
IDLB.US,D,20151125,000000,21.725,21.788,21.725,21.788,58638,0
IDLB.US,D,20151130,000000,21.751,21.751,21.699,21.743,29435,0
IDLB.US,D,20151201,000000,21.892,21.917,21.892,21.917,5045400,0
IDLB.US,D,20151202,000000,21.91,21.91,21.744,21.778,20425,0
IDLB.US,D,20151203,000000,21.717,21.733,21.647,21.647,2258,0
IDLB.US,D,20151204,000000,21.751,21.874,21.725,21.77,41967,0
IDLB.US,D,20151207,000000,21.674,21.743,21.63,21.63,58294,0
IDLB.US,D,20151208,000000,21.422,21.499,21.351,21.37,180327,0
IDLB.US,D,20151209,000000,21.491,21.516,21.204,21.248,7588,0
IDLB.US,D,20151210,000000,21.332,21.341,21.248,21.248,3794,0
IDLB.US,D,20151211,000000,20.95,21.135,20.899,20.918,88302,0
IDLB.US,D,20151214,000000,21.092,21.179,20.885,21.179,97177,0
IDLB.US,D,20151215,000000,21.188,21.188,21.083,21.154,15524,0
IDLB.US,D,20151216,000000,21.232,21.917,20.935,21.459,108652,0
IDLB.US,D,20151217,000000,21.379,21.45,21.195,21.195,48634,0
IDLB.US,D,20151218,000000,21.174,21.294,21.174,21.235,112472,0
IDLB.US,D,20151221,000000,21.327,21.354,21.128,21.25,9050,0
IDLB.US,D,20151222,000000,21.275,21.453,21.181,21.453,106194,0
IDLB.US,D,20151223,000000,21.453,21.677,21.435,21.677,237426,0
IDLB.US,D,20151224,000000,21.589,21.607,21.335,21.344,96943,0
IDLB.US,D,20151228,000000,21.462,21.512,21.235,21.382,175487,0
IDLB.US,D,20151229,000000,21.669,21.748,21.581,21.581,189348,0
IDLB.US,D,20151230,000000,21.654,21.703,21.556,21.556,24993,0
IDLB.US,D,20151231,000000,21.564,21.589,21.495,21.495,573,0
IDLB.US,D,20160104,000000,20.77,21.174,20.727,21.032,14576,0
IDLB.US,D,20160105,000000,21.065,21.065,20.999,20.999,3637,0
IDLB.US,D,20160106,000000,20.849,20.849,20.605,20.605,13616,0
IDLB.US,D,20160107,000000,20.628,20.699,20.289,20.562,919,0
IDLB.US,D,20160108,000000,20.605,20.605,20.082,20.082,36215,0
IDLB.US,D,20160111,000000,20.368,20.368,20.054,20.16,22683,0
IDLB.US,D,20160112,000000,20.289,20.289,20.133,20.152,1489,0
IDLB.US,D,20160113,000000,20.315,20.437,20.097,20.218,9001,0
IDLB.US,D,20160114,000000,20.071,20.178,20.021,20.169,3146,0
IDLB.US,D,20160115,000000,19.783,19.783,19.488,19.741,2217,0
IDLB.US,D,20160119,000000,19.918,19.918,19.654,19.662,5957,0
IDLB.US,D,20160120,000000,19.286,19.34,19.008,19.147,20195,0
IDLB.US,D,20160121,000000,19.207,19.575,19.198,19.356,7802,0
IDLB.US,D,20160122,000000,19.881,20.011,19.793,20.011,40716,0
IDLB.US,D,20160125,000000,19.766,19.861,19.741,19.861,36015,0
IDLB.US,D,20160126,000000,19.934,20.125,19.934,20.125,29447,0
IDLB.US,D,20160127,000000,19.988,20.218,19.935,20.152,6349,0
IDLB.US,D,20160128,000000,20.15,20.192,19.951,20.021,10319,0
IDLB.US,D,20160129,000000,20.412,20.42,20.412,20.42,2321,0
IDLB.US,D,20160201,000000,20.377,20.39,20.264,20.333,15493,0
IDLB.US,D,20160202,000000,20.213,20.28,19.976,19.994,6675,0
IDLB.US,D,20160203,000000,20.133,20.218,19.967,20.192,33127,0
IDLB.US,D,20160204,000000,20.246,20.491,20.246,20.472,6762,0
IDLB.US,D,20160208,000000,19.637,19.637,19.608,19.608,1052,0
IDLB.US,D,20160209,000000,19.818,19.881,19.549,19.758,16443,0
IDLB.US,D,20160210,000000,19.758,19.758,19.549,19.567,4629,0
IDLB.US,D,20160211,000000,19.46,19.46,19.13,19.277,11093,0
IDLB.US,D,20160212,000000,19.383,19.383,19.383,19.383,2078,0
IDLB.US,D,20160216,000000,19.575,19.671,19.575,19.627,5957,0
IDLB.US,D,20160217,000000,19.889,20.062,19.889,20.062,5198,0
IDLB.US,D,20160218,000000,20.082,20.082,20.082,20.082,1131,0
IDLB.US,D,20160222,000000,20.306,20.306,20.187,20.187,1148,0
IDLB.US,D,20160223,000000,20.12,20.228,20.021,20.021,53576,0
IDLB.US,D,20160224,000000,19.943,20.152,19.838,20.152,9733,0
IDLB.US,D,20160225,000000,20.062,20.297,20.059,20.297,4446,0
IDLB.US,D,20160226,000000,20.152,20.152,20.142,20.142,4211,0
IDLB.US,D,20160301,000000,20.306,20.611,20.306,20.43,2687,0
IDLB.US,D,20160302,000000,20.482,20.682,20.482,20.682,12685,0
IDLB.US,D,20160303,000000,20.664,20.706,20.647,20.693,5317,0
IDLB.US,D,20160304,000000,20.989,20.989,20.849,20.89,26825,0
IDLB.US,D,20160307,000000,20.849,20.849,20.807,20.807,4529,0
IDLB.US,D,20160308,000000,20.865,20.865,20.611,20.611,1126,0
