<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEF.US,D,20050225,000000,70.061,70.163,69.966,70.108,511868,0
IEF.US,D,20050228,000000,69.98,70.084,69.559,69.652,478664,0
IEF.US,D,20050301,000000,69.426,69.544,69.355,69.468,361495,0
IEF.US,D,20050302,000000,69.418,69.526,69.386,69.46,179965,0
IEF.US,D,20050303,000000,69.544,69.584,69.395,69.418,719985,0
IEF.US,D,20050304,000000,69.635,69.81,69.602,69.726,215813,0
IEF.US,D,20050307,000000,69.76,69.853,69.734,69.743,196207,0
IEF.US,D,20050308,000000,69.559,69.566,69.395,69.418,837515,0
IEF.US,D,20050309,000000,69.195,69.195,68.819,68.889,315546,0
IEF.US,D,20050310,000000,68.946,69.153,68.784,69.012,315546,0
IEF.US,D,20050311,000000,68.897,68.946,68.705,68.723,244686,0
IEF.US,D,20050314,000000,68.647,68.889,68.628,68.889,231328,0
IEF.US,D,20050315,000000,69.021,69.021,68.671,68.753,119812,0
IEF.US,D,20050316,000000,68.905,69.178,68.846,68.914,269104,0
IEF.US,D,20050317,000000,69.185,69.277,69.072,69.178,411538,0
IEF.US,D,20050318,000000,69.044,69.063,68.931,69.004,240956,0
IEF.US,D,20050321,000000,68.963,68.988,68.889,68.922,539175,0
IEF.US,D,20050322,000000,69.096,69.162,68.414,68.414,364263,0
IEF.US,D,20050323,000000,68.262,68.628,68.262,68.573,428142,0
IEF.US,D,20050324,000000,68.607,68.697,68.547,68.628,158796,0
IEF.US,D,20050328,000000,68.464,68.49,68.366,68.406,82402,0
IEF.US,D,20050329,000000,68.54,68.697,68.54,68.687,420200,0
IEF.US,D,20050330,000000,68.647,68.856,68.628,68.846,302304,0
IEF.US,D,20050331,000000,69.129,69.185,68.995,69.185,812009,0
IEF.US,D,20050401,000000,69.185,69.217,68.68,69.096,441731,0
IEF.US,D,20050404,000000,69.021,69.268,69.004,69.063,163485,0
IEF.US,D,20050405,000000,69.072,69.153,68.981,69.072,90344,0
IEF.US,D,20050406,000000,69.217,69.277,69.185,69.277,61589,0
IEF.US,D,20050407,000000,69.303,69.443,68.995,69.012,236388,0
IEF.US,D,20050408,000000,68.988,69.096,68.873,69.091,103820,0
IEF.US,D,20050411,000000,69.072,69.294,69.021,69.294,50402,0
IEF.US,D,20050412,000000,69.195,69.661,69.135,69.652,175755,0
IEF.US,D,20050413,000000,69.743,69.791,69.518,69.684,206312,0
IEF.US,D,20050414,000000,69.751,69.87,69.644,69.87,234221,0
IEF.US,D,20050415,000000,70.036,70.327,69.862,70.327,214019,0
IEF.US,D,20050418,000000,70.374,70.398,70.157,70.172,392287,0
IEF.US,D,20050419,000000,70.233,70.587,70.214,70.587,135455,0
IEF.US,D,20050420,000000,70.163,70.587,70.163,70.544,275841,0
IEF.US,D,20050421,000000,70.265,70.407,70.028,70.036,679921,0
IEF.US,D,20050422,000000,70.273,70.381,70.163,70.336,89984,0
IEF.US,D,20050425,000000,70.327,70.366,70.265,70.336,95158,0
IEF.US,D,20050426,000000,70.424,70.433,70.152,70.301,143879,0
IEF.US,D,20050427,000000,70.499,70.641,70.415,70.518,148807,0
IEF.US,D,20050428,000000,70.625,70.951,70.579,70.951,124267,0
IEF.US,D,20050429,000000,70.766,70.989,70.665,70.691,209559,0
IEF.US,D,20050502,000000,70.527,70.587,70.374,70.544,170101,0
IEF.US,D,20050503,000000,70.596,70.691,70.415,70.633,311807,0
IEF.US,D,20050504,000000,70.474,70.682,70.433,70.618,137735,0
IEF.US,D,20050505,000000,70.7,70.933,70.569,70.84,129921,0
IEF.US,D,20050506,000000,70.415,70.499,70.257,70.336,710963,0
IEF.US,D,20050509,000000,70.292,70.344,70.223,70.327,39578,0
IEF.US,D,20050510,000000,70.407,70.596,70.398,70.579,121862,0
IEF.US,D,20050511,000000,70.708,70.849,70.618,70.665,491531,0
IEF.US,D,20050512,000000,70.518,70.781,70.433,70.73,657789,0
IEF.US,D,20050513,000000,70.902,71.006,70.791,70.918,257911,0
IEF.US,D,20050516,000000,71.006,71.022,70.892,70.925,134612,0
IEF.US,D,20050517,000000,71.031,71.104,70.981,71.006,135693,0
IEF.US,D,20050518,000000,71.28,71.337,71.143,71.236,111877,0
IEF.US,D,20050519,000000,71.207,71.28,71.022,71.022,139786,0
IEF.US,D,20050520,000000,71.022,71.067,70.961,71.013,84682,0
IEF.US,D,20050523,000000,71.134,71.396,71.109,71.337,197053,0
IEF.US,D,20050524,000000,71.53,71.573,71.354,71.53,227242,0
IEF.US,D,20050525,000000,71.675,71.675,71.261,71.27,180440,0
IEF.US,D,20050526,000000,71.27,71.449,71.231,71.311,218217,0
IEF.US,D,20050527,000000,71.373,71.439,71.27,71.39,83724,0
IEF.US,D,20050531,000000,71.598,71.764,71.598,71.764,147485,0
IEF.US,D,20050601,000000,71.684,72.028,71.633,71.985,940009,0
IEF.US,D,20050602,000000,71.927,72.071,71.885,71.96,185859,0
IEF.US,D,20050603,000000,72.319,72.328,71.548,71.548,295090,0
IEF.US,D,20050606,000000,71.607,71.79,71.53,71.742,374970,0
IEF.US,D,20050607,000000,71.935,72.003,71.742,71.943,133778,0
IEF.US,D,20050608,000000,71.927,71.943,71.79,71.813,125830,0
IEF.US,D,20050609,000000,71.641,71.797,71.474,71.773,942407,0
IEF.US,D,20050610,000000,71.548,71.548,71.302,71.311,241675,0
IEF.US,D,20050613,000000,71.198,71.231,71.067,71.127,332506,0
IEF.US,D,20050614,000000,71.119,71.119,70.943,71.039,362694,0
IEF.US,D,20050615,000000,70.933,71.013,70.849,71.013,141954,0
IEF.US,D,20050616,000000,70.981,71.244,70.909,71.236,259481,0
IEF.US,D,20050617,000000,71.119,71.236,71.039,71.158,179246,0
IEF.US,D,20050620,000000,70.951,71.049,70.883,71.049,215093,0
IEF.US,D,20050621,000000,71.134,71.294,71.085,71.27,262137,0
IEF.US,D,20050622,000000,71.615,71.877,71.466,71.813,586207,0
IEF.US,D,20050623,000000,71.717,71.773,71.607,71.742,203544,0
IEF.US,D,20050624,000000,71.91,71.96,71.829,71.91,81197,0
IEF.US,D,20050627,000000,71.969,72.037,71.902,71.969,1060664,0
IEF.US,D,20050628,000000,71.877,71.877,71.641,71.667,202102,0
IEF.US,D,20050629,000000,71.854,71.854,71.53,71.641,421406,0
IEF.US,D,20050630,000000,71.641,71.918,71.59,71.885,360293,0
IEF.US,D,20050701,000000,71.498,71.54,70.961,71.049,324809,0
IEF.US,D,20050705,000000,70.84,70.961,70.73,70.766,171059,0
IEF.US,D,20050706,000000,70.874,70.951,70.791,70.918,360530,0
IEF.US,D,20050707,000000,71.231,71.261,71.058,71.076,252505,0
IEF.US,D,20050708,000000,71.143,71.143,70.725,70.823,189827,0
IEF.US,D,20050711,000000,70.625,70.823,70.561,70.791,206066,0
IEF.US,D,20050712,000000,70.682,70.756,70.603,70.609,148807,0
IEF.US,D,20050713,000000,70.609,70.625,70.499,70.544,130287,0
IEF.US,D,20050714,000000,70.587,70.603,70.389,70.449,283904,0
IEF.US,D,20050715,000000,70.398,70.518,70.381,70.466,383507,0
IEF.US,D,20050718,000000,70.442,70.509,70.292,70.351,219777,0
IEF.US,D,20050719,000000,70.366,70.535,70.319,70.449,188382,0
IEF.US,D,20050720,000000,70.466,70.657,70.206,70.587,410334,0
IEF.US,D,20050721,000000,70.327,70.344,70.045,70.061,612560,0
IEF.US,D,20050722,000000,70.265,70.433,70.181,70.389,442812,0
IEF.US,D,20050725,000000,70.336,70.442,70.233,70.265,151213,0
IEF.US,D,20050726,000000,70.282,70.351,70.265,70.319,109235,0
IEF.US,D,20050727,000000,70.181,70.265,70.152,70.214,77710,0
IEF.US,D,20050728,000000,70.273,70.553,70.273,70.527,171895,0
IEF.US,D,20050729,000000,70.327,70.381,70.061,70.099,247575,0
IEF.US,D,20050801,000000,69.818,69.818,69.602,69.734,131966,0
IEF.US,D,20050802,000000,69.726,69.835,69.652,69.67,406121,0
IEF.US,D,20050803,000000,69.776,69.896,69.743,69.845,155912,0
IEF.US,D,20050804,000000,69.853,69.933,69.718,69.791,215693,0
IEF.US,D,20050805,000000,69.5,69.5,69.371,69.426,192596,0
IEF.US,D,20050808,000000,69.402,69.443,69.234,69.242,176597,0
IEF.US,D,20050809,000000,69.286,69.443,69.203,69.443,352832,0
IEF.US,D,20050810,000000,69.526,69.551,69.34,69.41,110550,0
IEF.US,D,20050811,000000,69.492,69.718,69.41,69.701,335147,0
IEF.US,D,20050812,000000,69.743,70.076,69.71,69.986,157105,0
IEF.US,D,20050815,000000,70.009,70.009,69.887,69.896,177079,0
IEF.US,D,20050816,000000,70.108,70.24,70.084,70.223,258401,0
IEF.US,D,20050817,000000,70.099,70.157,69.887,69.957,166494,0
IEF.US,D,20050818,000000,70.099,70.336,70.076,70.327,298095,0
IEF.US,D,20050819,000000,70.152,70.319,70.124,70.282,91426,0
IEF.US,D,20050822,000000,70.189,70.389,70.069,70.344,1524535,0
IEF.US,D,20050823,000000,70.351,70.518,70.292,70.474,108750,0
IEF.US,D,20050824,000000,70.569,70.587,70.389,70.509,96844,0
IEF.US,D,20050825,000000,70.518,70.603,70.433,70.553,243001,0
IEF.US,D,20050826,000000,70.596,70.625,70.359,70.433,120903,0
IEF.US,D,20050829,000000,70.579,70.587,70.398,70.482,212323,0
IEF.US,D,20050830,000000,70.625,70.925,70.561,70.816,203180,0
IEF.US,D,20050831,000000,70.973,71.294,70.973,71.27,348992,0
IEF.US,D,20050901,000000,71.006,71.253,70.973,71.119,292086,0
IEF.US,D,20050902,000000,71.067,71.224,71.013,71.134,86374,0
IEF.US,D,20050906,000000,71.119,71.127,70.849,70.918,171779,0
IEF.US,D,20050907,000000,70.823,70.84,70.596,70.682,150373,0
IEF.US,D,20050908,000000,70.791,70.807,70.641,70.682,318311,0
IEF.US,D,20050909,000000,70.8,70.883,70.682,70.738,95513,0
IEF.US,D,20050912,000000,70.587,70.603,70.389,70.518,124628,0
IEF.US,D,20050913,000000,70.673,70.807,70.665,70.73,145314,0
IEF.US,D,20050914,000000,70.756,70.781,70.544,70.587,129921,0
IEF.US,D,20050915,000000,70.609,70.609,70.282,70.366,117409,0
IEF.US,D,20050916,000000,70.273,70.309,70.045,70.092,270430,0
IEF.US,D,20050919,000000,70.108,70.273,70.053,70.233,244686,0
IEF.US,D,20050920,000000,70.206,70.257,69.98,70.172,149167,0
IEF.US,D,20050921,000000,70.474,70.553,70.424,70.499,122104,0
IEF.US,D,20050922,000000,70.544,70.587,70.449,70.553,150015,0
IEF.US,D,20050923,000000,70.424,70.424,70.157,70.157,121739,0
IEF.US,D,20050926,000000,69.957,70.061,69.905,69.98,83372,0
IEF.US,D,20050927,000000,70.028,70.142,69.845,70.019,112361,0
IEF.US,D,20050928,000000,69.973,70.198,69.924,70.157,85408,0
IEF.US,D,20050929,000000,70.036,70.053,69.948,70.003,139786,0
IEF.US,D,20050930,000000,70.003,70.045,69.76,69.8,175517,0
IEF.US,D,20051003,000000,69.566,69.566,69.277,69.312,166494,0
IEF.US,D,20051004,000000,69.443,69.484,69.312,69.349,181882,0
IEF.US,D,20051005,000000,69.476,69.575,69.395,69.5,156750,0
IEF.US,D,20051006,000000,69.476,69.526,69.378,69.418,262367,0
IEF.US,D,20051007,000000,69.242,69.566,69.211,69.5,72053,0
IEF.US,D,20051010,000000,69.684,69.718,69.443,69.518,51609,0
IEF.US,D,20051011,000000,69.476,69.492,69.303,69.395,127279,0
IEF.US,D,20051012,000000,69.378,69.386,69.081,69.129,167811,0
IEF.US,D,20051013,000000,68.995,69.072,68.905,69.021,364626,0
IEF.US,D,20051014,000000,69.17,69.185,68.819,69.021,161559,0
IEF.US,D,20051017,000000,69.012,69.104,68.897,68.939,184059,0
IEF.US,D,20051018,000000,69.012,69.054,68.946,69.036,98289,0
IEF.US,D,20051019,000000,69.195,69.251,69.081,69.119,81924,0
IEF.US,D,20051020,000000,69.029,69.185,68.963,69.162,134131,0
IEF.US,D,20051021,000000,69.224,69.5,69.217,69.468,111269,0
IEF.US,D,20051024,000000,69.402,69.418,69.096,69.17,412982,0
IEF.US,D,20051025,000000,69.217,69.277,68.76,68.846,229174,0
IEF.US,D,20051026,000000,68.663,68.705,68.515,68.582,178879,0
IEF.US,D,20051027,000000,68.714,68.802,68.582,68.738,295693,0
IEF.US,D,20051028,000000,68.774,68.819,68.515,68.663,943496,0
IEF.US,D,20051031,000000,68.663,68.827,68.655,68.714,148326,0
IEF.US,D,20051101,000000,68.531,68.54,68.347,68.432,173224,0
IEF.US,D,20051102,000000,68.32,68.48,68.238,68.286,103210,0
IEF.US,D,20051103,000000,68.356,68.356,68.032,68.051,242519,0
