<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEI.US,D,20070111,000000,87.153,87.153,87.084,87.084,1250,0
IEI.US,D,20070112,000000,87.048,87.093,87.021,87.093,1718,0
IEI.US,D,20070116,000000,87.003,87.003,87.003,87.003,691,0
IEI.US,D,20070117,000000,87.1,87.1,86.984,86.993,798,0
IEI.US,D,20070118,000000,87.011,87.076,87.011,87.076,7063,0
IEI.US,D,20070119,000000,87.029,87.029,86.958,86.974,2273,0
IEI.US,D,20070122,000000,87.067,87.067,87.021,87.021,1360,0
IEI.US,D,20070123,000000,86.932,86.932,86.898,86.898,1360,0
IEI.US,D,20070124,000000,86.932,86.932,86.932,86.932,1484,0
IEI.US,D,20070125,000000,86.857,86.857,86.758,86.758,2387,0
IEI.US,D,20070126,000000,86.741,86.767,86.695,86.767,1360,0
IEI.US,D,20070129,000000,86.802,86.809,86.714,86.741,3530,0
IEI.US,D,20070130,000000,86.809,86.809,86.783,86.783,441,0
IEI.US,D,20070131,000000,86.865,87.011,86.865,87.011,4103,0
IEI.US,D,20070201,000000,86.924,86.924,86.734,86.741,1826,0
IEI.US,D,20070202,000000,86.758,86.857,86.758,86.783,7747,0
IEI.US,D,20070205,000000,86.898,86.898,86.898,86.898,8089,0
IEI.US,D,20070206,000000,86.865,87.048,86.865,87.048,7517,0
IEI.US,D,20070207,000000,87.109,87.144,87.1,87.144,2510,0
IEI.US,D,20070208,000000,87.126,87.176,87.109,87.176,8550,0
IEI.US,D,20070209,000000,86.984,86.984,86.984,86.984,2273,0
IEI.US,D,20070212,000000,86.974,87.029,86.898,86.915,5697,0
IEI.US,D,20070213,000000,86.974,86.974,86.88,86.88,2161,0
IEI.US,D,20070214,000000,87.057,87.254,87.057,87.245,18909,0
IEI.US,D,20070215,000000,87.357,87.409,87.337,87.384,11277,0
IEI.US,D,20070216,000000,87.4,87.4,87.375,87.392,18572,0
IEI.US,D,20070220,000000,87.357,87.425,87.357,87.384,6153,0
IEI.US,D,20070221,000000,87.409,87.462,87.409,87.462,2161,0
IEI.US,D,20070222,000000,87.328,87.328,87.328,87.328,200,0
IEI.US,D,20070223,000000,87.347,87.559,87.347,87.516,15151,0
IEI.US,D,20070226,000000,87.629,87.686,87.621,87.66,1604,0
IEI.US,D,20070227,000000,87.867,88.26,87.867,88.198,14014,0
IEI.US,D,20070228,000000,88.198,88.198,87.992,88.038,143547,0
IEI.US,D,20070301,000000,87.86,87.974,87.74,87.74,55485,0
IEI.US,D,20070302,000000,87.949,87.983,87.877,87.983,15488,0
IEI.US,D,20070305,000000,88.108,88.116,87.983,88.011,9687,0
IEI.US,D,20070306,000000,87.887,88.029,87.841,87.922,11620,0
IEI.US,D,20070307,000000,87.931,88.046,87.931,88.046,5235,0
IEI.US,D,20070308,000000,88.001,88.065,87.992,88.065,3990,0
IEI.US,D,20070309,000000,87.686,87.779,87.686,87.749,9571,0
IEI.US,D,20070312,000000,87.815,87.931,87.815,87.905,9457,0
IEI.US,D,20070313,000000,88.1,88.26,88.065,88.18,28711,0
IEI.US,D,20070314,000000,88.198,88.287,88.145,88.161,5697,0
