<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEUS.US,D,20071119,000000,38.184,43.597,35.868,35.868,5182,0
IEUS.US,D,20071120,000000,36.115,36.308,36.115,36.137,1221,0
IEUS.US,D,20071121,000000,35.524,35.524,35.524,35.524,128,0
IEUS.US,D,20071126,000000,36.244,36.268,35.655,35.655,1630,0
IEUS.US,D,20071127,000000,36.006,36.115,36.006,36.115,1247,0
IEUS.US,D,20071128,000000,36.085,37.026,36.085,37.026,4281,0
IEUS.US,D,20071129,000000,36.904,36.904,36.764,36.764,6111,0
IEUS.US,D,20071130,000000,36.82,38.338,36.82,37.004,12420,0
IEUS.US,D,20071203,000000,37.011,37.011,36.865,36.865,287,0
IEUS.US,D,20071204,000000,36.445,36.504,36.429,36.429,5420,0
IEUS.US,D,20071205,000000,36.673,36.757,36.673,36.757,5935,0
IEUS.US,D,20071206,000000,44.164,44.164,35.546,36.642,3983,0
IEUS.US,D,20071207,000000,36.359,36.858,36.359,36.834,710,0
IEUS.US,D,20071210,000000,37.048,37.203,37.048,37.203,11926,0
IEUS.US,D,20071211,000000,37.332,37.332,37.188,37.188,5598,0
IEUS.US,D,20071212,000000,37.602,37.602,36.928,37.181,15772,0
IEUS.US,D,20071213,000000,36.466,36.466,36.237,36.374,1108,0
IEUS.US,D,20071214,000000,35.738,35.891,35.578,35.632,29631,0
IEUS.US,D,20071217,000000,34.965,35.139,34.656,34.656,37148,0
IEUS.US,D,20071218,000000,35.125,35.232,35.023,35.078,10956,0
IEUS.US,D,20071219,000000,34.671,36.115,34.604,34.749,57571,0
IEUS.US,D,20071220,000000,34.504,34.856,33.13,34.834,66158,0
IEUS.US,D,20071221,000000,35.163,35.73,35.139,35.261,21274,0
IEUS.US,D,20071224,000000,35.349,35.378,35.295,35.378,4505,0
IEUS.US,D,20071226,000000,35.277,35.546,35.277,35.462,6725,0
IEUS.US,D,20071227,000000,35.601,35.601,35.4,35.431,13802,0
IEUS.US,D,20071228,000000,35.647,35.73,35.647,35.714,4246,0
IEUS.US,D,20071231,000000,35.938,35.938,35.608,35.784,10175,0
IEUS.US,D,20080102,000000,35.938,35.938,35.686,35.686,2909,0
IEUS.US,D,20080103,000000,35.509,35.585,35.454,35.454,4756,0
IEUS.US,D,20080104,000000,35.125,35.125,34.78,34.78,4437,0
IEUS.US,D,20080107,000000,34.397,34.397,34.243,34.243,12211,0
IEUS.US,D,20080108,000000,34.48,34.48,34.09,34.09,7637,0
IEUS.US,D,20080109,000000,33.529,34.965,33.529,33.698,9078,0
IEUS.US,D,20080110,000000,40.568,40.568,33.039,33.408,7983,0
IEUS.US,D,20080111,000000,32.941,33.138,32.724,32.956,8957,0
IEUS.US,D,20080114,000000,33.529,33.529,33.414,33.515,1264,0
IEUS.US,D,20080115,000000,32.71,32.779,32.579,32.687,5374,0
IEUS.US,D,20080116,000000,31.812,31.812,30.487,31.053,30861,0
IEUS.US,D,20080117,000000,31.769,31.858,31.629,31.858,8444,0
IEUS.US,D,20080118,000000,31.59,31.59,31.498,31.507,5737,0
IEUS.US,D,20080122,000000,29.518,30.7,29.214,30.7,74784,0
IEUS.US,D,20080123,000000,29.766,29.766,29.252,29.29,5447,0
IEUS.US,D,20080124,000000,31.053,31.306,31.053,31.237,3501,0
IEUS.US,D,20080125,000000,32.081,32.081,31.413,31.438,5222,0
IEUS.US,D,20080128,000000,31.828,32.891,31.207,31.85,21006,0
IEUS.US,D,20080129,000000,32.203,32.235,32.135,32.144,1698,0
IEUS.US,D,20080130,000000,32.126,32.641,31.928,32.534,20419,0
IEUS.US,D,20080131,000000,31.413,32.28,31.413,32.28,7910,0
IEUS.US,D,20080201,000000,32.558,32.863,32.558,32.739,21424,0
IEUS.US,D,20080204,000000,32.891,32.949,32.871,32.907,2863,0
IEUS.US,D,20080205,000000,31.934,31.988,31.599,31.608,4359,0
IEUS.US,D,20080206,000000,31.666,31.699,31.183,31.183,4854,0
IEUS.US,D,20080207,000000,30.838,30.838,30.762,30.762,2893,0
IEUS.US,D,20080208,000000,30.671,30.871,30.653,30.871,7728,0
IEUS.US,D,20080211,000000,31.006,31.124,31.006,31.114,2670,0
IEUS.US,D,20080212,000000,31.23,31.298,31.038,31.038,24913,0
IEUS.US,D,20080213,000000,31.438,31.812,31.438,31.812,1474,0
IEUS.US,D,20080214,000000,31.967,32.004,31.898,31.898,1224,0
IEUS.US,D,20080215,000000,32.135,32.166,32.052,32.166,3664,0
IEUS.US,D,20080219,000000,32.57,32.71,32.405,32.405,4099,0
IEUS.US,D,20080220,000000,31.921,32.318,31.921,32.211,5050,0
IEUS.US,D,20080221,000000,32.739,32.739,32.633,32.633,1488,0
IEUS.US,D,20080222,000000,32.662,32.662,32.481,32.51,2740,0
IEUS.US,D,20080225,000000,32.793,33.384,32.793,33.384,4581,0
IEUS.US,D,20080226,000000,33.085,33.691,33.085,33.537,2253,0
IEUS.US,D,20080227,000000,33.359,33.791,32.756,33.784,2408,0
IEUS.US,D,20080228,000000,33.852,33.852,33.508,33.644,6223,0
IEUS.US,D,20080229,000000,33.299,33.315,32.949,32.949,17634,0
IEUS.US,D,20080303,000000,32.724,32.901,32.687,32.891,6629,0
IEUS.US,D,20080304,000000,31.828,32.641,31.828,32.633,9872,0
IEUS.US,D,20080305,000000,32.833,33.13,32.656,32.801,5254,0
IEUS.US,D,20080307,000000,32.364,32.558,32.166,32.172,7022,0
IEUS.US,D,20080310,000000,32.502,32.502,31.674,31.683,2571,0
IEUS.US,D,20080311,000000,32.179,32.272,32.144,32.272,458,0
IEUS.US,D,20080312,000000,32.763,32.907,32.67,32.67,3655,0
IEUS.US,D,20080313,000000,32.318,32.785,32.312,32.785,549,0
IEUS.US,D,20080314,000000,32.85,32.85,31.804,32.144,4187,0
IEUS.US,D,20080317,000000,31.215,31.39,31.215,31.39,911,0
IEUS.US,D,20080319,000000,31.798,31.798,31.076,31.091,983,0
IEUS.US,D,20080320,000000,31.315,31.454,31.315,31.454,2356,0
IEUS.US,D,20080324,000000,31.949,32.263,31.949,32.172,1620,0
IEUS.US,D,20080325,000000,32.203,32.304,32.203,32.304,293,0
IEUS.US,D,20080326,000000,32.633,32.633,32.633,32.633,194,0
IEUS.US,D,20080328,000000,33.299,33.299,33.245,33.245,1730,0
IEUS.US,D,20080331,000000,33.367,33.537,33.352,33.431,1427,0
IEUS.US,D,20080401,000000,33.807,34.052,33.807,34.052,1129,0
IEUS.US,D,20080402,000000,33.721,34.151,33.721,34.112,3389,0
IEUS.US,D,20080403,000000,33.5,33.884,33.5,33.884,6373,0
IEUS.US,D,20080404,000000,33.922,33.942,33.828,33.942,5951,0
IEUS.US,D,20080407,000000,34.173,34.173,34.029,34.052,11071,0
IEUS.US,D,20080408,000000,33.552,33.614,31.973,33.614,7685,0
IEUS.US,D,20080409,000000,33.56,33.56,33.414,33.414,1564,0
IEUS.US,D,20080410,000000,33.23,33.341,33.23,33.27,1759,0
IEUS.US,D,20080411,000000,32.949,32.949,32.949,32.949,177,0
IEUS.US,D,20080414,000000,32.971,32.971,32.901,32.907,1146,0
IEUS.US,D,20080415,000000,32.986,33.062,32.986,33.062,749,0
IEUS.US,D,20080416,000000,34.488,34.488,33.599,33.976,4983,0
IEUS.US,D,20080417,000000,33.639,33.852,33.639,33.852,4122,0
IEUS.US,D,20080418,000000,33.899,34.02,33.828,34.004,5037,0
IEUS.US,D,20080421,000000,33.922,34.076,33.784,34.076,4650,0
