<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFGL.US,D,20071119,000000,28.189,28.189,28.011,28.024,3326,0
IFGL.US,D,20071120,000000,28.285,28.319,28.285,28.319,1276,0
IFGL.US,D,20071121,000000,27.572,27.572,27.572,27.572,340,0
IFGL.US,D,20071126,000000,28.372,28.378,28.313,28.378,1769,0
IFGL.US,D,20071127,000000,28.372,29.459,28.077,28.077,73189,0
IFGL.US,D,20071128,000000,28.189,28.295,28.189,28.295,909,0
IFGL.US,D,20071129,000000,28.955,28.977,28.93,28.977,3429,0
IFGL.US,D,20071130,000000,28.988,29.222,28.988,29.222,2109,0
IFGL.US,D,20071203,000000,29.407,29.407,29.384,29.384,1188,0
IFGL.US,D,20071204,000000,29.196,29.196,29.093,29.142,10046,0
IFGL.US,D,20071205,000000,29.401,29.401,29.13,29.216,6020,0
IFGL.US,D,20071206,000000,29.412,29.553,29.401,29.553,25493,0
IFGL.US,D,20071207,000000,29.754,29.793,29.754,29.793,5473,0
IFGL.US,D,20071210,000000,29.567,29.685,29.567,29.685,6091,0
IFGL.US,D,20071211,000000,29.97,30.413,29.919,30.019,22006,0
IFGL.US,D,20071212,000000,29.987,29.987,29.47,29.47,6833,0
IFGL.US,D,20071213,000000,29.341,29.341,28.478,28.513,14733,0
IFGL.US,D,20071214,000000,27.913,27.913,27.69,27.69,2398,0
IFGL.US,D,20071217,000000,30.408,30.408,26.303,26.397,25188,0
IFGL.US,D,20071218,000000,26.456,26.643,26.456,26.543,2253,0
IFGL.US,D,20071219,000000,34.106,34.106,26.67,26.727,12739,0
IFGL.US,D,20071220,000000,28.366,28.366,26.752,26.752,6498,0
IFGL.US,D,20071221,000000,27.119,35.09,26.967,27.207,24799,0
IFGL.US,D,20071224,000000,32.927,33.521,28.236,28.236,13963,0
IFGL.US,D,20071226,000000,31.969,38.349,27.724,27.931,78013,0
IFGL.US,D,20071227,000000,28.695,28.813,27.528,27.629,24376,0
IFGL.US,D,20071228,000000,27.653,27.653,27.207,27.554,40856,0
IFGL.US,D,20071231,000000,28.519,28.519,27.632,27.812,19279,0
IFGL.US,D,20080102,000000,28.107,28.107,27.672,27.696,34298,0
IFGL.US,D,20080103,000000,28.366,28.366,27.354,27.534,25412,0
IFGL.US,D,20080104,000000,27.735,27.908,27.343,27.713,10781,0
IFGL.US,D,20080107,000000,27.047,27.108,26.578,26.689,33432,0
IFGL.US,D,20080108,000000,26.702,26.752,26.407,26.407,8861,0
IFGL.US,D,20080109,000000,26.983,27.047,26.424,26.431,7954,0
IFGL.US,D,20080110,000000,27,27,26.079,26.084,5550,0
IFGL.US,D,20080111,000000,25.525,25.681,25.525,25.589,6484,0
IFGL.US,D,20080114,000000,24.401,25.99,24.401,25.949,6848,0
IFGL.US,D,20080115,000000,25.757,25.757,24.804,24.87,8883,0
IFGL.US,D,20080116,000000,25.222,25.854,24.697,24.724,8740,0
IFGL.US,D,20080117,000000,25.572,25.75,24.193,24.202,20743,0
IFGL.US,D,20080118,000000,26.621,26.621,24.421,24.996,20404,0
IFGL.US,D,20080122,000000,23.938,24.749,23.927,24.682,12468,0
IFGL.US,D,20080123,000000,23.891,24.141,23.66,24.043,27745,0
