<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFV.US,D,20140725,000000,18.497,18.497,17.969,17.977,12263,0
IFV.US,D,20140728,000000,17.895,17.977,17.886,17.952,12436,0
IFV.US,D,20140729,000000,18.083,18.083,17.895,17.895,13293,0
IFV.US,D,20140730,000000,17.914,17.914,17.733,17.809,35768,0
IFV.US,D,20140731,000000,17.715,17.715,17.503,17.503,11690,0
IFV.US,D,20140801,000000,17.458,17.522,17.341,17.435,129995,0
IFV.US,D,20140804,000000,17.671,17.671,17.404,17.512,13019,0
IFV.US,D,20140805,000000,17.503,17.503,17.263,17.331,8142,0
IFV.US,D,20140806,000000,17.286,17.286,17.2,17.244,3996,0
IFV.US,D,20140807,000000,17.286,17.303,17.172,17.182,9872,0
IFV.US,D,20140808,000000,17.172,17.263,17.163,17.263,1776,0
IFV.US,D,20140811,000000,17.425,17.441,17.403,17.404,10660,0
IFV.US,D,20140812,000000,17.475,17.475,17.35,17.404,10984,0
IFV.US,D,20140813,000000,17.681,17.681,17.404,17.475,4006,0
IFV.US,D,20140814,000000,17.566,17.584,17.548,17.584,18614,0
IFV.US,D,20140815,000000,17.637,17.637,17.431,17.557,4990,0
IFV.US,D,20140818,000000,17.753,17.753,17.619,17.733,5151,0
IFV.US,D,20140819,000000,17.733,17.753,17.671,17.698,7928,0
IFV.US,D,20140820,000000,17.698,17.698,17.653,17.681,619,0
IFV.US,D,20140821,000000,17.691,17.698,17.681,17.681,1575,0
IFV.US,D,20140822,000000,17.743,17.743,17.671,17.671,3054,0
IFV.US,D,20140825,000000,17.762,17.834,17.751,17.819,35658,0
IFV.US,D,20140826,000000,17.886,17.886,17.799,17.816,19818,0
IFV.US,D,20140827,000000,17.816,17.887,17.816,17.862,5384,0
IFV.US,D,20140828,000000,17.834,17.834,17.743,17.799,15346,0
IFV.US,D,20140829,000000,17.753,17.789,17.724,17.789,10600,0
IFV.US,D,20140902,000000,17.789,17.789,17.724,17.733,5492,0
IFV.US,D,20140903,000000,17.943,17.987,17.865,17.895,18229,0
IFV.US,D,20140904,000000,17.895,17.895,17.681,17.681,23473,0
IFV.US,D,20140905,000000,17.799,17.799,17.707,17.789,10188,0
IFV.US,D,20140908,000000,17.691,17.733,17.555,17.557,10330,0
IFV.US,D,20140909,000000,17.869,17.869,17.45,17.493,5719,0
IFV.US,D,20140910,000000,17.458,17.557,17.422,17.503,4801,0
IFV.US,D,20140911,000000,17.397,17.422,17.375,17.387,1106357,0
IFV.US,D,20140912,000000,17.295,17.42,17.281,17.378,20688,0
IFV.US,D,20140915,000000,17.368,17.378,17.286,17.286,13976,0
IFV.US,D,20140916,000000,17.645,17.645,17.259,17.404,42640,0
IFV.US,D,20140917,000000,17.387,17.404,17.208,17.303,30579,0
IFV.US,D,20140918,000000,17.809,17.809,17.35,17.458,114848,0
IFV.US,D,20140919,000000,17.373,17.45,17.27,17.303,261055,0
IFV.US,D,20140922,000000,17.192,17.404,17.115,17.145,18742,0
IFV.US,D,20140923,000000,17.117,17.136,17.009,17.017,21163,0
IFV.US,D,20140924,000000,17,17.117,16.935,17.092,34317,0
IFV.US,D,20140925,000000,16.903,16.922,16.786,16.786,20085,0
IFV.US,D,20140926,000000,16.75,16.849,16.705,16.849,13118,0
IFV.US,D,20140929,000000,16.713,16.75,16.678,16.698,33943,0
IFV.US,D,20140930,000000,16.645,16.698,16.645,16.663,7009,0
IFV.US,D,20141001,000000,16.526,16.563,16.399,16.419,564091,0
IFV.US,D,20141002,000000,16.482,16.482,16.286,16.438,32152,0
IFV.US,D,20141003,000000,16.296,16.409,16.296,16.399,48093,0
IFV.US,D,20141006,000000,16.464,16.526,16.341,16.445,52328,0
IFV.US,D,20141007,000000,16.428,16.428,16.196,16.196,15398,0
IFV.US,D,20141008,000000,16.286,16.438,16.02,16.428,534824,0
IFV.US,D,20141009,000000,16.31,16.31,15.959,16,12945,0
IFV.US,D,20141010,000000,15.876,15.876,15.613,15.623,13636,0
IFV.US,D,20141013,000000,15.757,15.782,15.659,15.734,637509,0
IFV.US,D,20141014,000000,15.613,15.74,15.544,15.613,15397,0
IFV.US,D,20141015,000000,15.355,15.569,15.131,15.569,27019,0
IFV.US,D,20141016,000000,15.391,15.588,15.339,15.473,12491,0
IFV.US,D,20141017,000000,15.757,15.821,15.667,15.714,38418,0
IFV.US,D,20141020,000000,15.839,15.902,15.809,15.831,5651,0
IFV.US,D,20141021,000000,16.086,16.153,16.01,16.153,13529,0
IFV.US,D,20141022,000000,16.125,16.147,16.01,16.01,1491,0
IFV.US,D,20141023,000000,16.183,16.196,16.086,16.13,4816,0
IFV.US,D,20141024,000000,16.205,16.261,16.166,16.261,17315,0
IFV.US,D,20141027,000000,16.116,16.144,16.075,16.135,16561,0
IFV.US,D,20141028,000000,16.305,16.371,16.276,16.323,23120,0
IFV.US,D,20141029,000000,16.489,16.489,16.233,16.296,13584,0
IFV.US,D,20141030,000000,16.279,16.507,16.251,16.419,6711,0
IFV.US,D,20141031,000000,16.442,16.625,16.428,16.573,109988,0
IFV.US,D,20141103,000000,16.589,16.617,16.455,16.474,51740,0
IFV.US,D,20141104,000000,16.431,16.507,16.431,16.499,3594,0
IFV.US,D,20141105,000000,16.555,16.563,16.517,16.546,3428,0
IFV.US,D,20141106,000000,16.445,16.486,16.438,16.464,6882,0
IFV.US,D,20141107,000000,16.517,16.517,16.445,16.455,8214,0
IFV.US,D,20141110,000000,16.563,16.597,16.474,16.58,416035,0
