<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGF.US,D,20071212,000000,36.051,36.202,36.003,36.121,3046,0
IGF.US,D,20071213,000000,35.984,36.149,35.984,36.149,969,0
IGF.US,D,20071214,000000,35.889,36.474,35.861,36.202,2908,0
IGF.US,D,20071217,000000,35.716,35.847,35.564,35.659,2908,0
IGF.US,D,20071218,000000,35.847,35.847,35.188,35.404,3046,0
IGF.US,D,20071219,000000,35.514,35.68,35.001,35.188,16196,0
IGF.US,D,20071220,000000,36.605,36.605,35.101,35.394,13844,0
IGF.US,D,20071221,000000,36.061,36.1,35.535,35.99,10387,0
IGF.US,D,20071224,000000,36.235,36.235,35.752,35.867,10662,0
IGF.US,D,20071226,000000,36.272,36.272,35.825,35.969,14121,0
IGF.US,D,20071227,000000,36.467,36.467,35.825,35.932,15644,0
IGF.US,D,20071228,000000,36.01,36.027,35.969,36.01,6230,0
IGF.US,D,20071231,000000,36.33,36.387,36.01,36.387,18276,0
IGF.US,D,20080102,000000,36.227,38.425,36.227,37.234,120730,0
IGF.US,D,20080103,000000,37.884,38.063,36.654,36.857,30872,0
IGF.US,D,20080104,000000,37.457,37.457,35.195,35.578,61613,0
IGF.US,D,20080107,000000,35.998,35.998,35.029,35.312,26445,0
IGF.US,D,20080108,000000,35.867,35.867,35.289,35.289,39735,0
IGF.US,D,20080109,000000,35.318,35.853,35.052,35.527,20490,0
IGF.US,D,20080110,000000,36.01,36.01,35.427,35.578,15366,0
IGF.US,D,20080111,000000,36.835,36.835,34.893,35.016,61475,0
IGF.US,D,20080114,000000,34.408,35.283,34.408,35.283,10662,0
IGF.US,D,20080115,000000,35.283,35.283,34.655,34.762,15505,0
IGF.US,D,20080116,000000,34.668,34.668,33.946,33.946,16615,0
IGF.US,D,20080117,000000,34.633,34.633,33.246,33.326,16196,0
IGF.US,D,20080118,000000,33.222,34.134,33.116,33.332,22429,0
IGF.US,D,20080122,000000,28.997,31.828,28.168,31.828,21187,0
IGF.US,D,20080123,000000,30.927,31.1,30.334,30.747,20629,0
IGF.US,D,20080124,000000,31.915,31.939,31.29,31.788,16473,0
IGF.US,D,20080125,000000,33.261,33.261,32.157,32.157,19381,0
IGF.US,D,20080128,000000,32.567,32.567,31.939,32.344,30872,0
IGF.US,D,20080129,000000,33.296,33.326,32.272,32.646,45276,0
IGF.US,D,20080130,000000,33.05,33.173,32.272,32.97,20490,0
IGF.US,D,20080131,000000,33.622,33.622,32.14,33.375,10937,0
IGF.US,D,20080201,000000,33.852,33.852,33.362,33.505,37106,0
IGF.US,D,20080204,000000,34.214,34.214,33.809,33.916,26029,0
IGF.US,D,20080205,000000,33.622,33.622,32.849,32.885,29216,0
IGF.US,D,20080206,000000,34.249,34.249,32.682,32.682,14398,0
IGF.US,D,20080207,000000,32.214,32.662,32.14,32.437,10248,0
