<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGIB.US,D,20070111,000000,37.86,37.86,37.86,37.86,224,0
IGIB.US,D,20070112,000000,37.808,37.808,37.808,37.808,224,0
IGIB.US,D,20070116,000000,37.847,37.847,37.847,37.847,1558,0
IGIB.US,D,20070118,000000,37.827,37.827,37.827,37.827,1295,0
IGIB.US,D,20070119,000000,37.847,37.847,37.79,37.808,19577,0
IGIB.US,D,20070122,000000,37.839,37.839,37.804,37.835,2366,0
IGIB.US,D,20070123,000000,37.835,37.835,37.808,37.808,2936,0
IGIB.US,D,20070124,000000,37.816,37.827,37.816,37.827,13500,0
IGIB.US,D,20070125,000000,37.823,37.823,37.731,37.738,14811,0
IGIB.US,D,20070126,000000,37.71,37.71,37.681,37.684,1891,0
IGIB.US,D,20070129,000000,37.693,37.693,37.693,37.693,224,0
IGIB.US,D,20070130,000000,37.738,37.738,37.727,37.734,14296,0
IGIB.US,D,20070131,000000,37.76,37.787,37.76,37.787,837,0
IGIB.US,D,20070201,000000,37.703,37.703,37.7,37.7,4251,0
IGIB.US,D,20070202,000000,37.738,37.738,37.738,37.738,224,0
IGIB.US,D,20070206,000000,37.776,37.835,37.776,37.835,14296,0
IGIB.US,D,20070207,000000,37.881,37.881,37.873,37.873,837,0
IGIB.US,D,20070209,000000,37.844,37.852,37.804,37.804,5807,0
IGIB.US,D,20070212,000000,37.842,37.842,37.816,37.823,17192,0
IGIB.US,D,20070214,000000,37.938,37.959,37.933,37.954,2609,0
IGIB.US,D,20070215,000000,38.042,38.054,38.029,38.029,38899,0
IGIB.US,D,20070216,000000,38.046,38.074,38.046,38.07,9792,0
IGIB.US,D,20070220,000000,38.074,38.116,38.074,38.116,16139,0
IGIB.US,D,20070221,000000,38.09,38.109,38.084,38.109,2609,0
IGIB.US,D,20070222,000000,38.058,38.058,38.032,38.032,2609,0
IGIB.US,D,20070223,000000,38.084,38.154,38.084,38.139,172524,0
IGIB.US,D,20070226,000000,38.2,38.216,38.2,38.211,1891,0
IGIB.US,D,20070227,000000,38.274,38.348,38.274,38.344,16139,0
IGIB.US,D,20070228,000000,38.351,38.351,38.281,38.296,17731,0
IGIB.US,D,20070301,000000,38.22,38.225,38.146,38.146,46839,0
IGIB.US,D,20070302,000000,38.105,38.211,38.105,38.2,38094,0
IGIB.US,D,20070305,000000,38.203,38.216,38.203,38.207,16139,0
IGIB.US,D,20070306,000000,38.142,38.196,38.142,38.157,26717,0
IGIB.US,D,20070307,000000,38.162,38.22,38.162,38.193,25664,0
IGIB.US,D,20070308,000000,38.2,38.242,38.177,38.242,9519,0
IGIB.US,D,20070309,000000,38.085,38.167,38.085,38.105,25933,0
IGIB.US,D,20070312,000000,38.149,38.154,38.136,38.142,30698,0
IGIB.US,D,20070313,000000,38.225,38.266,38.216,38.266,3433,0
IGIB.US,D,20070314,000000,38.225,38.258,38.216,38.216,11114,0
IGIB.US,D,20070315,000000,38.177,38.223,38.177,38.216,14010,0
IGIB.US,D,20070316,000000,38.211,38.211,38.207,38.207,503,0
IGIB.US,D,20070319,000000,38.142,38.154,38.142,38.149,4748,0
IGIB.US,D,20070320,000000,38.2,38.2,38.167,38.177,7690,0
IGIB.US,D,20070321,000000,38.149,38.207,38.142,38.207,6624,0
IGIB.US,D,20070322,000000,38.193,38.203,38.157,38.167,9260,0
IGIB.US,D,20070323,000000,38.167,38.167,38.139,38.139,2609,0
IGIB.US,D,20070326,000000,38.116,38.216,38.116,38.185,9260,0
IGIB.US,D,20070327,000000,38.167,38.167,38.146,38.149,5015,0
