<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGOV.US,D,20090129,000000,42.881,43.038,42.881,43.038,2651,0
IGOV.US,D,20090130,000000,42.724,42.724,42.724,42.724,210,0
IGOV.US,D,20090202,000000,42.633,42.633,42.633,42.633,1548,0
IGOV.US,D,20090203,000000,43.015,43.015,42.971,42.971,1437,0
IGOV.US,D,20090204,000000,42.746,42.746,42.733,42.746,1398,0
IGOV.US,D,20090205,000000,42.587,42.587,42.587,42.587,232,0
IGOV.US,D,20090206,000000,44.095,44.095,42.611,42.746,7848,0
IGOV.US,D,20090209,000000,43.106,43.159,43.097,43.159,9734,0
IGOV.US,D,20090210,000000,42.993,42.993,42.993,42.993,1672,0
IGOV.US,D,20090211,000000,42.971,42.971,42.971,42.971,875,0
IGOV.US,D,20090212,000000,42.948,42.948,42.948,42.948,210,0
IGOV.US,D,20090213,000000,42.903,42.903,42.903,42.903,1452,0
IGOV.US,D,20090217,000000,42.209,42.299,41.978,41.982,9764,0
IGOV.US,D,20090218,000000,41.875,42.186,41.875,42.051,648,0
IGOV.US,D,20090219,000000,42.164,42.209,42.164,42.164,5696,0
IGOV.US,D,20090220,000000,41.982,42.702,41.982,42.702,875,0
IGOV.US,D,20090223,000000,42.476,42.476,42.476,42.476,220,0
IGOV.US,D,20090224,000000,42.141,42.299,42.141,42.277,1769,0
IGOV.US,D,20090225,000000,42.072,42.072,42.072,42.072,1225,0
IGOV.US,D,20090226,000000,41.892,41.892,41.892,41.892,210,0
IGOV.US,D,20090227,000000,41.529,41.552,41.258,41.529,16143,0
IGOV.US,D,20090302,000000,41.486,41.486,41.486,41.486,424,0
IGOV.US,D,20090303,000000,41.529,41.529,41.529,41.529,5742,0
IGOV.US,D,20090304,000000,41.127,41.127,41.127,41.127,424,0
IGOV.US,D,20090306,000000,41.756,41.756,41.756,41.756,4763,0
IGOV.US,D,20090309,000000,41.304,41.304,41.127,41.127,5710,0
IGOV.US,D,20090310,000000,41.552,41.78,41.552,41.552,3889,0
IGOV.US,D,20090311,000000,41.688,41.688,41.664,41.664,2197,0
IGOV.US,D,20090312,000000,41.733,41.733,41.733,41.733,210,0
IGOV.US,D,20090316,000000,42.233,42.233,42.114,42.114,3982,0
IGOV.US,D,20090317,000000,42.005,42.072,42.005,42.072,46773,0
IGOV.US,D,20090318,000000,43.195,43.195,43.195,43.195,624,0
IGOV.US,D,20090319,000000,44.225,44.299,44.225,44.299,2649,0
IGOV.US,D,20090320,000000,43.644,43.644,43.644,43.644,648,0
IGOV.US,D,20090323,000000,43.947,44.026,43.947,44.026,1155,0
IGOV.US,D,20090324,000000,43.558,43.558,43.376,43.376,2991,0
IGOV.US,D,20090325,000000,43.376,43.376,43.376,43.376,210,0
IGOV.US,D,20090326,000000,43.644,43.667,43.489,43.489,4499,0
