<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGSB.US,D,20070111,000000,42.311,42.311,42.285,42.285,655,0
IGSB.US,D,20070112,000000,42.285,42.292,42.282,42.282,960,0
IGSB.US,D,20070116,000000,42.295,42.295,42.282,42.289,5199,0
IGSB.US,D,20070117,000000,42.285,42.289,42.259,42.282,4753,0
IGSB.US,D,20070118,000000,42.295,42.295,42.272,42.272,35519,0
IGSB.US,D,20070119,000000,42.289,42.289,42.282,42.282,9224,0
IGSB.US,D,20070122,000000,42.268,42.292,42.268,42.282,7343,0
IGSB.US,D,20070123,000000,42.282,42.311,42.272,42.289,74601,0
IGSB.US,D,20070124,000000,42.292,42.292,42.247,42.272,42388,0
IGSB.US,D,20070125,000000,42.276,42.276,42.256,42.256,12318,0
IGSB.US,D,20070126,000000,42.259,42.259,42.259,42.259,23448,0
IGSB.US,D,20070129,000000,42.259,42.282,42.225,42.225,24396,0
IGSB.US,D,20070130,000000,42.339,42.347,42.276,42.347,17044,0
IGSB.US,D,20070131,000000,42.329,42.339,42.329,42.339,1451,0
IGSB.US,D,20070201,000000,42.361,42.361,42.242,42.242,127415,0
IGSB.US,D,20070202,000000,42.295,42.295,42.276,42.289,12088,0
IGSB.US,D,20070205,000000,42.252,42.289,42.252,42.285,143035,0
IGSB.US,D,20070206,000000,42.259,42.299,42.256,42.256,21548,0
IGSB.US,D,20070207,000000,42.325,42.339,42.325,42.339,42622,0
IGSB.US,D,20070208,000000,42.339,42.347,42.339,42.347,4510,0
IGSB.US,D,20070209,000000,42.334,42.352,42.292,42.292,15155,0
IGSB.US,D,20070212,000000,42.315,42.325,42.306,42.315,10666,0
IGSB.US,D,20070213,000000,42.32,42.32,42.304,42.304,1451,0
IGSB.US,D,20070214,000000,42.334,42.393,42.334,42.352,50434,0
IGSB.US,D,20070215,000000,42.421,42.443,42.405,42.405,37655,0
IGSB.US,D,20070216,000000,42.431,42.447,42.413,42.435,15868,0
IGSB.US,D,20070220,000000,42.476,42.476,42.447,42.447,71054,0
IGSB.US,D,20070221,000000,42.379,42.48,42.379,42.462,38362,0
IGSB.US,D,20070222,000000,42.443,42.455,42.413,42.413,17044,0
IGSB.US,D,20070223,000000,42.462,42.492,42.462,42.476,5447,0
IGSB.US,D,20070226,000000,42.522,42.546,42.522,42.535,30079,0
IGSB.US,D,20070227,000000,42.526,42.667,42.526,42.662,30079,0
IGSB.US,D,20070228,000000,42.628,42.659,42.628,42.652,32209,0
IGSB.US,D,20070301,000000,42.93,42.93,42.339,42.347,16348,0
IGSB.US,D,20070302,000000,42.592,42.592,42.555,42.592,3079,0
IGSB.US,D,20070305,000000,42.628,42.636,42.628,42.636,6390,0
IGSB.US,D,20070306,000000,42.611,42.615,42.551,42.601,34809,0
IGSB.US,D,20070307,000000,42.622,42.662,42.619,42.662,10427,0
IGSB.US,D,20070308,000000,42.574,42.574,42.569,42.574,4255,0
IGSB.US,D,20070309,000000,42.518,42.578,42.518,42.569,22037,0
IGSB.US,D,20070312,000000,42.611,42.611,42.551,42.551,8055,0
IGSB.US,D,20070313,000000,42.628,42.643,42.587,42.592,16348,0
IGSB.US,D,20070314,000000,42.655,42.659,42.628,42.659,4985,0
IGSB.US,D,20070315,000000,42.652,42.655,42.611,42.615,35277,0
IGSB.US,D,20070316,000000,42.636,42.636,42.619,42.619,9224,0
IGSB.US,D,20070319,000000,42.611,42.615,42.602,42.615,6390,0
IGSB.US,D,20070320,000000,42.64,42.648,42.574,42.582,100888,0
IGSB.US,D,20070321,000000,42.628,42.643,42.546,42.643,28178,0
IGSB.US,D,20070322,000000,42.713,42.713,42.569,42.607,7564,0
IGSB.US,D,20070323,000000,42.592,42.602,42.582,42.601,5199,0
IGSB.US,D,20070326,000000,42.582,42.622,42.565,42.619,2365,0
IGSB.US,D,20070327,000000,42.632,42.652,42.628,42.628,6152,0
IGSB.US,D,20070328,000000,42.652,42.667,42.648,42.648,17764,0
IGSB.US,D,20070329,000000,42.64,42.648,42.632,42.64,4753,0
IGSB.US,D,20070330,000000,42.601,42.64,42.546,42.632,29354,0
IGSB.US,D,20070402,000000,42.526,42.671,42.4,42.4,65601,0
IGSB.US,D,20070403,000000,42.409,42.458,42.409,42.417,14208,0
IGSB.US,D,20070404,000000,42.405,42.535,42.405,42.443,135455,0
IGSB.US,D,20070405,000000,42.443,42.476,42.431,42.435,44284,0
IGSB.US,D,20070409,000000,42.379,42.379,42.325,42.379,31968,0
IGSB.US,D,20070410,000000,42.37,42.541,42.37,42.431,69619,0
IGSB.US,D,20070411,000000,42.452,42.458,42.405,42.405,8302,0
IGSB.US,D,20070412,000000,42.443,42.443,42.426,42.426,2855,0
IGSB.US,D,20070413,000000,42.443,42.443,42.343,42.37,6390,0
IGSB.US,D,20070416,000000,42.421,42.435,42.393,42.435,36938,0
IGSB.US,D,20070417,000000,42.443,42.476,42.413,42.476,32923,0
IGSB.US,D,20070418,000000,42.439,42.535,42.439,42.535,46660,0
IGSB.US,D,20070419,000000,42.506,42.541,42.472,42.529,35277,0
IGSB.US,D,20070420,000000,42.546,42.546,42.417,42.502,25353,0
IGSB.US,D,20070423,000000,42.546,42.546,42.492,42.509,30790,0
IGSB.US,D,20070424,000000,42.569,42.569,42.492,42.555,19657,0
IGSB.US,D,20070425,000000,42.546,42.578,42.535,42.569,19657,0
IGSB.US,D,20070426,000000,42.569,42.569,42.506,42.541,18232,0
IGSB.US,D,20070427,000000,42.628,42.628,42.462,42.467,178790,0
IGSB.US,D,20070430,000000,42.546,42.602,42.509,42.56,52815,0
IGSB.US,D,20070501,000000,42.379,42.458,42.339,42.384,45478,0
IGSB.US,D,20070502,000000,42.357,42.405,42.357,42.375,30079,0
IGSB.US,D,20070503,000000,42.361,42.405,42.334,42.389,19657,0
IGSB.US,D,20070504,000000,42.421,42.421,42.352,42.405,69619,0
IGSB.US,D,20070507,000000,42.375,42.431,42.375,42.421,91884,0
IGSB.US,D,20070508,000000,42.384,42.435,42.384,42.405,47840,0
IGSB.US,D,20070509,000000,42.443,42.443,42.384,42.393,34351,0
IGSB.US,D,20070510,000000,42.462,42.462,42.393,42.431,31019,0
IGSB.US,D,20070511,000000,42.506,42.506,42.417,42.426,52578,0
IGSB.US,D,20070514,000000,42.462,42.462,42.384,42.413,11118,0
IGSB.US,D,20070515,000000,42.484,42.484,42.396,42.421,75794,0
IGSB.US,D,20070516,000000,42.506,42.506,42.357,42.357,51870,0
IGSB.US,D,20070517,000000,42.506,42.506,42.329,42.4,14447,0
IGSB.US,D,20070518,000000,42.443,42.443,42.396,42.396,15385,0
IGSB.US,D,20070521,000000,42.379,42.4,42.334,42.4,13026,0
IGSB.US,D,20070522,000000,42.421,42.421,42.361,42.4,40026,0
IGSB.US,D,20070523,000000,42.4,42.413,42.361,42.361,25103,0
IGSB.US,D,20070524,000000,42.389,42.409,42.37,42.405,22037,0
IGSB.US,D,20070525,000000,42.462,42.462,42.225,42.379,83115,0
IGSB.US,D,20070529,000000,42.343,42.384,42.329,42.384,38836,0
IGSB.US,D,20070530,000000,42.443,42.443,42.347,42.37,22037,0
IGSB.US,D,20070531,000000,42.443,42.443,42.32,42.389,31257,0
IGSB.US,D,20070601,000000,42.292,42.292,42.138,42.151,47603,0
IGSB.US,D,20070604,000000,42.188,42.188,42.097,42.138,46891,0
IGSB.US,D,20070605,000000,42.188,42.188,42.126,42.141,8997,0
IGSB.US,D,20070606,000000,42.229,42.229,42.144,42.188,71287,0
IGSB.US,D,20070607,000000,42.208,42.208,42.106,42.144,26279,0
IGSB.US,D,20070608,000000,42.133,42.212,42.089,42.175,47365,0
IGSB.US,D,20070611,000000,42.166,42.166,42.102,42.151,6879,0
IGSB.US,D,20070612,000000,42.188,42.188,42.064,42.085,22723,0
IGSB.US,D,20070613,000000,42.106,42.114,42.085,42.085,15385,0
IGSB.US,D,20070614,000000,42.126,42.126,42.064,42.106,14921,0
IGSB.US,D,20070615,000000,42.106,42.144,42.081,42.144,15629,0
IGSB.US,D,20070618,000000,42.144,42.161,42.144,42.144,15868,0
IGSB.US,D,20070619,000000,42.252,42.252,42.196,42.208,72469,0
IGSB.US,D,20070620,000000,42.252,42.259,42.225,42.229,29844,0
IGSB.US,D,20070621,000000,42.289,42.292,42.184,42.238,47365,0
IGSB.US,D,20070622,000000,42.229,42.247,42.196,42.229,34351,0
IGSB.US,D,20070625,000000,42.264,42.32,42.264,42.282,76023,0
IGSB.US,D,20070626,000000,42.311,42.462,42.276,42.315,328482,0
IGSB.US,D,20070627,000000,42.357,42.389,42.334,42.343,48319,0
IGSB.US,D,20070628,000000,42.357,42.37,42.295,42.32,9701,0
IGSB.US,D,20070629,000000,42.462,42.462,42.343,42.405,30790,0
IGSB.US,D,20070702,000000,42.242,42.242,42.196,42.229,5199,0
IGSB.US,D,20070703,000000,42.272,42.272,42.221,42.252,5915,0
IGSB.US,D,20070705,000000,42.208,42.229,42.133,42.192,13739,0
IGSB.US,D,20070706,000000,42.141,42.141,42.122,42.122,8302,0
IGSB.US,D,20070709,000000,42.148,42.181,42.141,42.171,28417,0
IGSB.US,D,20070710,000000,42.041,42.252,42.041,42.252,11364,0
IGSB.US,D,20070711,000000,42.272,42.272,42.252,42.259,17537,0
IGSB.US,D,20070712,000000,42.334,42.334,42.171,42.216,38836,0
IGSB.US,D,20070713,000000,42.175,42.247,42.175,42.184,13739,0
IGSB.US,D,20070716,000000,42.212,42.234,42.157,42.234,17289,0
IGSB.US,D,20070717,000000,42.292,42.292,42.238,42.256,25353,0
IGSB.US,D,20070718,000000,42.379,42.379,42.234,42.311,63469,0
IGSB.US,D,20070719,000000,42.352,42.352,42.276,42.276,8302,0
IGSB.US,D,20070720,000000,42.285,42.389,42.285,42.37,111544,0
IGSB.US,D,20070723,000000,42.379,42.379,42.343,42.375,7808,0
IGSB.US,D,20070724,000000,42.37,42.384,42.311,42.357,33388,0
IGSB.US,D,20070725,000000,42.37,42.421,42.361,42.361,44052,0
IGSB.US,D,20070726,000000,42.458,42.565,42.37,42.396,88089,0
IGSB.US,D,20070727,000000,42.492,42.526,42.421,42.506,35277,0
IGSB.US,D,20070730,000000,42.462,42.56,42.426,42.489,45478,0
IGSB.US,D,20070731,000000,42.48,42.518,42.396,42.439,26523,0
IGSB.US,D,20070801,000000,42.272,42.315,42.252,42.252,5677,0
IGSB.US,D,20070802,000000,42.252,42.299,42.238,42.289,28660,0
IGSB.US,D,20070803,000000,42.325,42.396,42.289,42.37,9951,0
IGSB.US,D,20070806,000000,42.334,42.357,42.276,42.289,10427,0
IGSB.US,D,20070807,000000,42.259,42.268,42.229,42.229,19184,0
IGSB.US,D,20070808,000000,42.204,42.247,42.196,42.247,29134,0
IGSB.US,D,20070809,000000,42.339,42.339,42.234,42.276,71287,0
