<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IHYF.US,D,20201209,000000,25.044,25.044,24.999,24.999,422,0
IHYF.US,D,20210113,000000,25.251,25.271,25.251,25.256,549,0
IHYF.US,D,20210114,000000,25.331,25.331,25.296,25.296,139,0
IHYF.US,D,20210115,000000,25.331,25.331,25.296,25.296,113,0
IHYF.US,D,20210119,000000,25.36,25.36,25.342,25.342,120,0
IHYF.US,D,20210120,000000,25.4,25.41,25.4,25.41,206,0
IHYF.US,D,20210121,000000,25.4,25.4,25.365,25.365,129,0
IHYF.US,D,20210122,000000,25.292,25.36,25.292,25.341,413,0
IHYF.US,D,20210125,000000,25.36,25.36,25.337,25.337,250,0
IHYF.US,D,20210126,000000,25.351,25.351,25.317,25.317,132,0
IHYF.US,D,20210127,000000,25.282,25.282,25.207,25.207,138,0
IHYF.US,D,20210128,000000,25.36,25.36,25.277,25.277,302,0
IHYF.US,D,20210129,000000,25.282,25.282,25.276,25.276,114,0
IHYF.US,D,20210201,000000,25.312,25.36,25.312,25.347,365,0
IHYF.US,D,20210202,000000,25.356,25.38,25.347,25.347,521,0
IHYF.US,D,20210204,000000,25.41,25.41,25.405,25.405,362,0
IHYF.US,D,20210205,000000,25.46,25.46,25.425,25.425,302,0
IHYF.US,D,20210208,000000,25.45,25.49,25.45,25.47,478,0
IHYF.US,D,20210209,000000,25.45,25.51,25.45,25.475,398,0
IHYF.US,D,20210210,000000,25.48,25.48,25.47,25.47,7860,0
IHYF.US,D,20210211,000000,25.49,25.505,25.49,25.505,7992,0
IHYF.US,D,20210212,000000,25.55,25.555,25.55,25.555,7865,0
IHYF.US,D,20210218,000000,25.49,25.51,25.49,25.51,7877,0
IHYF.US,D,20210219,000000,25.5,25.5,25.49,25.49,7862,0
IHYF.US,D,20210222,000000,25.46,25.465,25.46,25.465,1333,0
IHYF.US,D,20210223,000000,25.47,25.51,25.47,25.51,486,0
IHYF.US,D,20210224,000000,25.46,25.5,25.46,25.5,1217,0
IHYF.US,D,20210226,000000,25.36,25.36,25.356,25.356,9740,0
IHYF.US,D,20210301,000000,25.45,25.46,25.405,25.405,10499,0
IHYF.US,D,20210302,000000,25.4,25.44,25.4,25.415,259917,0
IHYF.US,D,20210303,000000,25.4,25.4,25.395,25.395,8016,0
IHYF.US,D,20210304,000000,25.271,25.346,25.271,25.346,5527,0
IHYF.US,D,20210305,000000,25.41,25.41,25.271,25.356,11644,0
IHYF.US,D,20210308,000000,25.37,25.37,25.269,25.269,870,0
IHYF.US,D,20210310,000000,25.331,25.331,25.316,25.316,674,0
IHYF.US,D,20210312,000000,25.39,25.39,25.37,25.37,6437,0
IHYF.US,D,20210316,000000,25.356,25.356,25.336,25.336,7906,0
IHYF.US,D,20210317,000000,25.331,25.341,25.331,25.341,743,0
IHYF.US,D,20210318,000000,25.251,25.261,25.216,25.216,5228,0
IHYF.US,D,20210319,000000,25.261,25.291,25.211,25.246,4302,0
IHYF.US,D,20210322,000000,25.221,25.221,25.201,25.206,371,0
IHYF.US,D,20210323,000000,25.211,25.211,25.203,25.203,105,0
IHYF.US,D,20210324,000000,25.256,25.256,25.256,25.256,154,0
IHYF.US,D,20210325,000000,25.276,25.351,25.261,25.351,1189,0
IHYF.US,D,20210326,000000,25.36,25.361,25.34,25.361,9136,0
IHYF.US,D,20210329,000000,25.316,25.316,25.316,25.316,108,0
IHYF.US,D,20210330,000000,25.31,25.311,25.262,25.286,154753,0
