<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IJT.US,D,20050225,000000,24.624,24.961,24.556,24.961,273849,0
IJT.US,D,20050228,000000,24.888,24.985,24.634,24.819,270337,0
IJT.US,D,20050301,000000,24.823,24.998,24.796,24.971,196935,0
IJT.US,D,20050302,000000,24.929,25.183,24.875,25.015,286608,0
IJT.US,D,20050303,000000,25.13,25.134,24.809,24.957,126593,0
IJT.US,D,20050304,000000,25.069,25.311,25.002,25.26,285725,0
IJT.US,D,20050307,000000,25.342,25.402,25.211,25.293,240887,0
IJT.US,D,20050308,000000,25.298,25.307,24.989,25.015,202640,0
IJT.US,D,20050309,000000,24.938,25.002,24.688,24.688,320010,0
IJT.US,D,20050310,000000,24.688,24.706,24.386,24.464,352536,0
IJT.US,D,20050311,000000,24.546,24.743,24.464,24.528,185063,0
IJT.US,D,20050314,000000,24.56,24.66,24.51,24.601,280447,0
IJT.US,D,20050315,000000,24.688,24.823,24.491,24.538,254073,0
IJT.US,D,20050316,000000,24.418,24.532,24.343,24.395,269455,0
IJT.US,D,20050317,000000,24.383,24.538,24.287,24.366,530564,0
IJT.US,D,20050318,000000,24.464,24.478,24.269,24.395,270775,0
IJT.US,D,20050321,000000,24.404,24.404,24.156,24.295,116048,0
IJT.US,D,20050322,000000,24.319,24.63,24.237,24.237,197800,0
IJT.US,D,20050323,000000,24.205,24.205,23.871,23.897,545069,0
IJT.US,D,20050324,000000,23.964,24.183,23.964,24.02,277812,0
IJT.US,D,20050328,000000,24.086,24.127,23.964,24.056,218035,0
IJT.US,D,20050329,000000,23.936,24.205,23.559,23.583,684418,0
IJT.US,D,20050330,000000,23.763,23.992,23.736,23.946,233412,0
IJT.US,D,20050331,000000,24.001,24.042,23.871,23.964,203085,0
IJT.US,D,20050401,000000,24.12,24.205,23.778,23.936,1509486,0
IJT.US,D,20050404,000000,23.94,24.052,23.695,23.978,206593,0
IJT.US,D,20050405,000000,24.123,24.156,24.038,24.068,213191,0
IJT.US,D,20050406,000000,24.161,24.346,24.123,24.137,272968,0
IJT.US,D,20050407,000000,24.047,24.273,24.047,24.156,130108,0
IJT.US,D,20050408,000000,24.255,24.255,23.848,23.875,461547,0
IJT.US,D,20050411,000000,23.834,23.853,23.71,23.819,121323,0
IJT.US,D,20050412,000000,23.659,23.964,23.459,23.922,305064,0
IJT.US,D,20050413,000000,23.888,23.897,23.441,23.505,161766,0
IJT.US,D,20050414,000000,23.471,23.546,23.067,23.067,295833,0
IJT.US,D,20050415,000000,22.864,23.054,22.531,22.641,670354,0
