<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMCV.US,D,20050225,000000,18.05,18.094,18.047,18.094,2288,0
IMCV.US,D,20050228,000000,18.104,18.112,17.976,18.066,14845,0
IMCV.US,D,20050301,000000,18.149,18.191,18.117,18.191,7230,0
IMCV.US,D,20050302,000000,18.071,18.21,18.071,18.178,7990,0
IMCV.US,D,20050303,000000,18.149,18.224,18.149,18.224,7230,0
IMCV.US,D,20050304,000000,18.267,18.438,18.267,18.438,12181,0
IMCV.US,D,20050307,000000,18.522,18.538,18.498,18.498,15220,0
IMCV.US,D,20050308,000000,18.494,18.494,18.386,18.453,42634,0
IMCV.US,D,20050309,000000,18.389,18.389,18.27,18.284,38442,0
IMCV.US,D,20050310,000000,18.239,18.239,18.085,18.213,21703,0
IMCV.US,D,20050311,000000,18.239,18.318,18.208,18.208,22069,0
IMCV.US,D,20050314,000000,18.257,18.356,18.257,18.356,14845,0
IMCV.US,D,20050315,000000,18.415,18.415,18.276,18.284,4179,0
IMCV.US,D,20050316,000000,18.188,18.224,18.062,18.074,11797,0
IMCV.US,D,20050317,000000,18.077,18.163,18.077,18.163,16758,0
IMCV.US,D,20050318,000000,18.175,18.175,18.007,18.028,17899,0
IMCV.US,D,20050321,000000,17.997,18.028,17.96,18.015,11415,0
IMCV.US,D,20050322,000000,18.082,18.125,17.889,17.889,14845,0
IMCV.US,D,20050323,000000,17.757,17.821,17.757,17.791,3814,0
IMCV.US,D,20050324,000000,17.9,17.915,17.862,17.902,29305,0
IMCV.US,D,20050328,000000,17.786,17.786,17.733,17.76,23210,0
IMCV.US,D,20050329,000000,17.783,17.796,17.534,17.534,16367,0
IMCV.US,D,20050330,000000,17.67,17.725,17.659,17.689,199831,0
IMCV.US,D,20050331,000000,17.834,17.923,17.834,17.881,7230,0
IMCV.US,D,20050401,000000,18.031,18.064,17.821,17.834,43390,0
IMCV.US,D,20050404,000000,17.805,17.842,17.776,17.842,20565,0
IMCV.US,D,20050405,000000,17.902,17.963,17.902,17.926,14845,0
IMCV.US,D,20050406,000000,17.992,18.036,17.981,18.024,52149,0
IMCV.US,D,20050407,000000,18.015,18.069,18.015,18.069,1520,0
IMCV.US,D,20050408,000000,18.066,18.066,17.955,17.955,12551,0
IMCV.US,D,20050411,000000,17.968,17.968,17.886,17.939,9894,0
IMCV.US,D,20050412,000000,17.853,18.099,17.839,18.071,15220,0
IMCV.US,D,20050413,000000,18.022,18.022,17.85,17.865,16367,0
IMCV.US,D,20050414,000000,17.853,17.853,17.666,17.666,10281,0
IMCV.US,D,20050415,000000,17.524,17.524,17.354,17.43,12551,0
IMCV.US,D,20050418,000000,17.287,17.416,17.287,17.409,12947,0
IMCV.US,D,20050419,000000,17.462,17.59,17.462,17.578,6470,0
IMCV.US,D,20050420,000000,17.537,17.537,17.392,17.407,45297,0
IMCV.US,D,20050421,000000,17.414,17.537,17.39,17.531,2288,0
IMCV.US,D,20050422,000000,17.52,17.565,17.385,17.441,12551,0
IMCV.US,D,20050425,000000,17.59,17.686,17.59,17.62,25497,0
IMCV.US,D,20050426,000000,17.649,17.652,17.529,17.555,24369,0
IMCV.US,D,20050427,000000,17.444,17.587,17.444,17.559,3814,0
IMCV.US,D,20050428,000000,17.438,17.479,17.334,17.334,10644,0
IMCV.US,D,20050429,000000,17.458,17.537,17.289,17.537,37674,0
IMCV.US,D,20050502,000000,17.593,17.666,17.565,17.666,33118,0
IMCV.US,D,20050503,000000,17.661,17.683,17.634,17.634,14082,0
IMCV.US,D,20050504,000000,17.681,17.834,17.681,17.834,17130,0
IMCV.US,D,20050505,000000,17.917,17.93,17.808,17.862,14082,0
IMCV.US,D,20050506,000000,17.881,17.92,17.85,17.875,4567,0
IMCV.US,D,20050509,000000,17.87,17.97,17.87,17.96,26266,0
IMCV.US,D,20050510,000000,17.912,17.928,17.837,17.87,30825,0
IMCV.US,D,20050511,000000,17.883,17.91,17.786,17.91,6849,0
IMCV.US,D,20050512,000000,17.928,17.928,17.673,17.686,19033,0
IMCV.US,D,20050513,000000,17.663,17.663,17.474,17.529,4948,0
