<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INDY.US,D,20091120,000000,23.78,23.78,23.494,23.628,10920,0
INDY.US,D,20091123,000000,24.18,24.293,24.008,24.038,21875,0
INDY.US,D,20091124,000000,24.123,24.18,23.762,23.848,50152,0
INDY.US,D,20091125,000000,24.104,24.17,23.915,24.16,36427,0
INDY.US,D,20091127,000000,23.228,23.494,23.145,23.388,37274,0
INDY.US,D,20091130,000000,23.79,24.17,23.551,23.733,34704,0
INDY.US,D,20091201,000000,24.256,24.361,24.189,24.313,45902,0
INDY.US,D,20091202,000000,24.341,24.341,24.189,24.273,18287,0
INDY.US,D,20091203,000000,24.504,24.504,24.067,24.077,27537,0
INDY.US,D,20091204,000000,24.456,24.551,24.067,24.361,30339,0
INDY.US,D,20091207,000000,24.018,24.018,23.685,23.733,22669,0
INDY.US,D,20091208,000000,23.857,23.867,23.695,23.752,8182,0
INDY.US,D,20091209,000000,23.848,24.008,23.8,24.008,18836,0
INDY.US,D,20091210,000000,24.17,24.264,24.067,24.114,151469,0
INDY.US,D,20091211,000000,24.104,24.104,23.79,23.885,37519,0
INDY.US,D,20091214,000000,23.905,23.905,23.742,23.857,127587,0
INDY.US,D,20091215,000000,23.628,23.628,23.446,23.502,33485,0
INDY.US,D,20091216,000000,23.571,23.695,23.551,23.571,14117,0
INDY.US,D,20091217,000000,23.522,23.522,23.172,23.189,23567,0
INDY.US,D,20091218,000000,23.116,23.125,22.924,23.096,38300,0
INDY.US,D,20091221,000000,23.155,23.172,23.067,23.106,75968,0
INDY.US,D,20091222,000000,23.199,23.331,23.172,23.189,26661,0
INDY.US,D,20091223,000000,23.972,23.972,23.628,23.79,66330,0
INDY.US,D,20091224,000000,23.981,24.067,23.981,23.998,4841,0
INDY.US,D,20091228,000000,24.351,24.351,24.104,24.16,29870,0
INDY.US,D,20091229,000000,24.256,24.447,24.047,24.153,15163,0
INDY.US,D,20091230,000000,24.293,24.293,24.067,24.17,15031,0
INDY.US,D,20091231,000000,24.351,24.351,24.085,24.085,17187,0
INDY.US,D,20100104,000000,24.64,24.896,24.64,24.866,36031,0
INDY.US,D,20100105,000000,25.124,25.124,24.866,25.028,56485,0
INDY.US,D,20100106,000000,25.389,25.389,25.133,25.198,102564,0
INDY.US,D,20100107,000000,25.331,25.331,25.18,25.275,46477,0
INDY.US,D,20100108,000000,25.075,25.198,24.99,25.161,23645,0
INDY.US,D,20100111,000000,25.331,25.331,25.075,25.189,89884,0
INDY.US,D,20100112,000000,24.925,25.018,24.733,24.742,50067,0
INDY.US,D,20100113,000000,25.133,25.18,24.866,25.151,30416,0
INDY.US,D,20100114,000000,25.311,25.311,25.124,25.218,53195,0
INDY.US,D,20100115,000000,25.359,25.359,24.761,24.808,21583,0
INDY.US,D,20100119,000000,25.028,25.246,24.857,25.208,57721,0
INDY.US,D,20100120,000000,25.037,25.037,24.484,24.6,49508,0
INDY.US,D,20100121,000000,24.389,24.389,23.665,23.665,140042,0
INDY.US,D,20100122,000000,23.675,23.675,23.219,23.258,31471,0
INDY.US,D,20100125,000000,23.857,23.857,23.398,23.542,43242,0
INDY.US,D,20100126,000000,23.398,23.398,23.011,23.135,38491,0
INDY.US,D,20100127,000000,23.002,23.002,22.458,22.742,106520,0
INDY.US,D,20100128,000000,22.896,22.896,22.285,22.466,50995,0
INDY.US,D,20100129,000000,22.993,23.096,22.609,22.619,38790,0
INDY.US,D,20100201,000000,22.856,23.125,22.856,23.125,101211,0
INDY.US,D,20100202,000000,22.914,23.048,22.752,23.029,18327,0
INDY.US,D,20100203,000000,23.116,23.369,23.116,23.276,47040,0
INDY.US,D,20100204,000000,22.963,22.963,22.114,22.173,34119,0
INDY.US,D,20100205,000000,22.076,22.086,21.419,21.78,57427,0
INDY.US,D,20100208,000000,22.076,22.153,21.894,21.943,129378,0
INDY.US,D,20100209,000000,22.351,22.56,22.21,22.418,33031,0
INDY.US,D,20100210,000000,22.323,22.342,22.058,22.275,27179,0
