<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INFR.US,D,20170106,000000,21.994,21.994,21.994,21.994,870,0
INFR.US,D,20170109,000000,21.975,22.024,21.808,21.808,7905,0
INFR.US,D,20170110,000000,21.774,21.774,21.774,21.774,120,0
INFR.US,D,20170111,000000,21.877,22.068,21.763,22.059,1389,0
INFR.US,D,20170112,000000,21.904,21.946,21.904,21.946,308,0
INFR.US,D,20170113,000000,22.164,22.164,22.031,22.068,2179,0
INFR.US,D,20170117,000000,22.136,22.336,22.136,22.145,2356,0
INFR.US,D,20170118,000000,22.031,22.031,22.031,22.031,121,0
INFR.US,D,20170119,000000,22.102,22.102,22.102,22.102,892,0
INFR.US,D,20170120,000000,22.466,22.466,22.012,22.012,1077,0
INFR.US,D,20170123,000000,22.024,22.173,22.024,22.173,1638,0
INFR.US,D,20170124,000000,22.319,22.319,22.319,22.319,346,0
INFR.US,D,20170125,000000,22.279,22.449,22.279,22.405,12465,0
INFR.US,D,20170126,000000,22.333,22.346,22.255,22.327,5118,0
INFR.US,D,20170127,000000,22.241,22.336,22.172,22.206,2604,0
INFR.US,D,20170130,000000,21.886,21.886,21.886,21.886,1206,0
INFR.US,D,20170131,000000,22.059,22.173,22.037,22.173,6396,0
INFR.US,D,20170201,000000,22.145,22.145,21.945,22.11,4424,0
INFR.US,D,20170202,000000,22.164,22.182,22.164,22.173,348,0
INFR.US,D,20170203,000000,23.252,23.252,22.346,22.346,694,0
INFR.US,D,20170207,000000,22.243,22.243,22.243,22.243,234,0
INFR.US,D,20170208,000000,22.346,22.458,22.346,22.458,1389,0
INFR.US,D,20170209,000000,22.561,22.561,22.561,22.561,1203,0
INFR.US,D,20170213,000000,22.648,22.67,22.618,22.67,711,0
INFR.US,D,20170215,000000,22.595,22.595,22.554,22.554,627,0
INFR.US,D,20170216,000000,22.674,22.674,22.674,22.674,811,0
INFR.US,D,20170221,000000,22.648,22.785,22.641,22.785,1547,0
INFR.US,D,20170222,000000,22.708,22.759,22.708,22.759,277,0
INFR.US,D,20170223,000000,22.801,22.801,22.783,22.801,920,0
INFR.US,D,20170227,000000,22.777,22.777,22.777,22.777,120,0
INFR.US,D,20170228,000000,22.879,22.879,22.879,22.879,691,0
INFR.US,D,20170301,000000,22.897,22.931,22.858,22.931,1403,0
INFR.US,D,20170302,000000,22.809,22.809,22.809,22.809,120,0
INFR.US,D,20170303,000000,22.777,22.854,22.777,22.854,4165,0
INFR.US,D,20170306,000000,22.733,22.879,22.733,22.879,646,0
INFR.US,D,20170308,000000,22.759,22.759,22.655,22.655,931,0
INFR.US,D,20170309,000000,22.699,22.699,22.575,22.626,4496,0
INFR.US,D,20170310,000000,22.74,22.769,22.671,22.769,8314,0
INFR.US,D,20170313,000000,22.801,22.801,22.764,22.764,464,0
