<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPKW.US,D,20140303,000000,21.686,22.508,21.6,21.616,81259,0
IPKW.US,D,20140304,000000,22.135,22.135,21.952,21.952,19068,0
IPKW.US,D,20140305,000000,22.107,22.107,21.927,21.971,27962,0
IPKW.US,D,20140306,000000,22.197,22.257,22.069,22.144,88212,0
IPKW.US,D,20140307,000000,22.162,22.207,21.943,21.98,19955,0
IPKW.US,D,20140310,000000,22.069,22.099,21.772,21.813,21526,0
IPKW.US,D,20140311,000000,21.814,21.814,21.592,21.592,54119,0
IPKW.US,D,20140312,000000,21.401,21.479,21.401,21.442,8205,0
IPKW.US,D,20140313,000000,21.462,21.462,21.002,21.02,42597,0
IPKW.US,D,20140314,000000,20.966,21.098,20.865,21.054,4867,0
IPKW.US,D,20140317,000000,21.22,21.263,21.158,21.247,13718,0
IPKW.US,D,20140318,000000,21.313,21.365,21.175,21.365,42702,0
IPKW.US,D,20140319,000000,21.384,21.384,21.18,21.18,5421,0
IPKW.US,D,20140320,000000,21.063,21.073,21.027,21.054,3644,0
IPKW.US,D,20140321,000000,21.208,21.208,21.054,21.073,50333,0
IPKW.US,D,20140324,000000,21.23,21.23,21.084,21.125,25010,0
IPKW.US,D,20140325,000000,21.359,21.368,21.21,21.364,5184,0
IPKW.US,D,20140326,000000,21.384,21.523,21.384,21.435,32574,0
IPKW.US,D,20140327,000000,21.633,21.633,21.41,21.53,27766,0
IPKW.US,D,20140328,000000,21.647,21.868,21.647,21.791,18115,0
IPKW.US,D,20140331,000000,21.863,21.903,21.824,21.888,7128,0
IPKW.US,D,20140401,000000,22.05,22.05,21.943,21.99,14802,0
IPKW.US,D,20140402,000000,22.059,22.059,21.943,22.009,9362,0
IPKW.US,D,20140403,000000,21.971,21.971,21.772,21.927,5066,0
IPKW.US,D,20140404,000000,22.083,22.083,21.799,21.823,102087,0
IPKW.US,D,20140407,000000,21.903,21.903,21.711,21.711,5721,0
IPKW.US,D,20140408,000000,21.754,21.772,21.523,21.576,16035,0
IPKW.US,D,20140409,000000,21.952,21.971,21.763,21.971,5993,0
IPKW.US,D,20140410,000000,21.868,21.99,21.659,21.669,6450,0
IPKW.US,D,20140411,000000,21.556,21.616,21.391,21.479,4959,0
IPKW.US,D,20140414,000000,21.286,21.435,21.22,21.304,7356,0
IPKW.US,D,20140415,000000,21.294,21.294,21.135,21.192,26705,0
IPKW.US,D,20140416,000000,21.538,21.547,21.427,21.523,9365,0
IPKW.US,D,20140417,000000,21.592,21.711,21.556,21.694,9742,0
IPKW.US,D,20140421,000000,21.515,21.692,21.515,21.691,5015,0
IPKW.US,D,20140422,000000,21.64,21.729,21.64,21.711,1162,0
IPKW.US,D,20140423,000000,21.724,21.724,21.556,21.616,18338,0
IPKW.US,D,20140424,000000,21.616,21.711,21.616,21.686,39025,0
IPKW.US,D,20140425,000000,21.686,21.686,21.566,21.6,18322,0
IPKW.US,D,20140428,000000,21.641,21.676,21.516,21.649,2360,0
IPKW.US,D,20140429,000000,21.64,21.814,21.64,21.772,4552,0
IPKW.US,D,20140430,000000,21.739,21.763,21.739,21.763,6670,0
IPKW.US,D,20140501,000000,21.772,21.772,21.676,21.729,2577,0
IPKW.US,D,20140502,000000,21.813,21.813,21.763,21.763,601,0
IPKW.US,D,20140505,000000,21.729,21.886,21.729,21.814,3929,0
IPKW.US,D,20140506,000000,21.992,21.995,21.962,21.962,1363,0
IPKW.US,D,20140507,000000,21.95,22.059,21.95,21.992,8616,0
IPKW.US,D,20140508,000000,22.117,22.128,21.913,21.921,9141,0
IPKW.US,D,20140509,000000,21.936,22.024,21.936,22.006,3317,0
IPKW.US,D,20140512,000000,22.078,22.224,22.078,22.215,54140,0
IPKW.US,D,20140513,000000,22.328,22.328,22.207,22.304,10649,0
IPKW.US,D,20140514,000000,22.283,22.292,22.224,22.233,30960,0
