<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISDX.US,D,20180914,000000,23.407,23.497,23.407,23.497,323,0
ISDX.US,D,20180918,000000,24.103,24.103,24.103,24.103,213,0
ISDX.US,D,20181001,000000,24.094,24.094,24.094,24.094,149,0
ISDX.US,D,20181011,000000,23.127,23.127,22.614,22.614,967,0
ISDX.US,D,20181016,000000,22.957,22.957,22.957,22.957,323,0
ISDX.US,D,20181024,000000,22.057,22.057,22.057,22.057,110,0
ISDX.US,D,20181026,000000,22.047,22.047,21.637,21.822,326,0
ISDX.US,D,20181031,000000,22.157,22.177,22.157,22.177,752,0
ISDX.US,D,20181106,000000,22.392,22.392,22.392,22.392,212,0
ISDX.US,D,20181120,000000,21.88,21.88,21.749,21.749,645,0
ISDX.US,D,20181211,000000,21.637,21.637,21.637,21.637,213,0
ISDX.US,D,20181224,000000,20.896,20.896,20.896,20.896,211,0
ISDX.US,D,20190104,000000,21.366,21.366,21.366,21.366,109,0
ISDX.US,D,20190123,000000,21.366,22.088,21.366,22.003,320,0
ISDX.US,D,20190315,000000,23.244,23.244,23.244,23.244,425,0
ISDX.US,D,20190319,000000,23.366,23.459,23.366,23.459,1165,0
ISDX.US,D,20190401,000000,23.459,23.459,23.459,23.459,396,0
ISDX.US,D,20190411,000000,23.724,23.724,23.724,23.724,108,0
ISDX.US,D,20190415,000000,23.733,23.855,23.733,23.855,318,0
ISDX.US,D,20190501,000000,23.658,23.658,23.658,23.658,1697,0
ISDX.US,D,20190502,000000,23.487,23.546,23.421,23.546,67874,0
ISDX.US,D,20190503,000000,23.639,23.639,23.629,23.629,798,0
ISDX.US,D,20190506,000000,23.289,23.366,23.289,23.366,607,0
ISDX.US,D,20190509,000000,22.784,22.784,22.784,22.784,274,0
ISDX.US,D,20190510,000000,22.818,22.978,22.818,22.978,7753,0
ISDX.US,D,20190517,000000,22.949,22.949,22.949,22.949,8975,0
ISDX.US,D,20190520,000000,22.808,22.836,22.808,22.836,1157,0
ISDX.US,D,20190522,000000,22.855,22.855,22.855,22.855,5599,0
ISDX.US,D,20190523,000000,22.704,22.704,22.544,22.544,371,0
ISDX.US,D,20190524,000000,22.771,22.771,22.771,22.771,210,0
ISDX.US,D,20190528,000000,22.836,22.836,22.685,22.685,2383,0
ISDX.US,D,20190603,000000,22.544,22.544,22.544,22.544,166,0
ISDX.US,D,20190604,000000,22.828,22.828,22.828,22.828,142,0
ISDX.US,D,20190610,000000,23.289,23.289,23.272,23.272,3446,0
ISDX.US,D,20190611,000000,23.376,23.376,23.376,23.376,3223,0
ISDX.US,D,20190613,000000,23.205,23.445,23.205,23.445,6634,0
ISDX.US,D,20190614,000000,23.215,23.215,23.121,23.121,9651,0
ISDX.US,D,20190617,000000,23.121,23.121,23.094,23.094,8599,0
ISDX.US,D,20190618,000000,23.336,23.441,23.336,23.441,7889,0
ISDX.US,D,20190619,000000,23.421,23.421,23.414,23.414,6056,0
ISDX.US,D,20190620,000000,23.763,23.763,23.639,23.705,65796,0
ISDX.US,D,20190624,000000,23.677,23.733,23.668,23.733,918,0
ISDX.US,D,20190626,000000,23.62,23.62,23.62,23.62,6427,0
ISDX.US,D,20190701,000000,24.028,24.028,23.866,23.981,39756,0
ISDX.US,D,20190702,000000,23.981,23.981,23.828,23.856,10657,0
ISDX.US,D,20190703,000000,23.981,23.981,23.981,23.981,190,0
ISDX.US,D,20190705,000000,23.819,23.819,23.819,23.819,3887733,0
ISDX.US,D,20190708,000000,23.753,23.763,23.705,23.714,38180,0
ISDX.US,D,20190709,000000,23.598,23.601,23.598,23.601,7541,0
ISDX.US,D,20190710,000000,23.695,23.743,23.693,23.695,4098,0
ISDX.US,D,20190711,000000,23.695,23.717,23.668,23.668,4155,0
ISDX.US,D,20190712,000000,23.695,23.772,23.695,23.772,3844,0
ISDX.US,D,20190715,000000,23.819,23.819,23.757,23.791,2356,0
ISDX.US,D,20190716,000000,23.733,23.733,23.648,23.673,7328,0
ISDX.US,D,20190717,000000,23.63,23.653,23.615,23.625,5515,0
ISDX.US,D,20190718,000000,23.495,23.502,23.495,23.495,11188,0
ISDX.US,D,20190719,000000,23.62,23.679,23.62,23.624,6499,0
ISDX.US,D,20190722,000000,23.705,23.705,23.653,23.686,4284,0
ISDX.US,D,20190723,000000,23.772,23.801,23.754,23.763,12378,0
ISDX.US,D,20190724,000000,23.791,23.796,23.772,23.792,3426,0
ISDX.US,D,20190725,000000,23.668,23.673,23.555,23.573,5309,0
ISDX.US,D,20190726,000000,23.658,23.658,23.648,23.651,3849,0
ISDX.US,D,20190729,000000,23.639,23.655,23.619,23.63,5701,0
ISDX.US,D,20190730,000000,23.467,23.467,23.402,23.419,4596,0
ISDX.US,D,20190731,000000,23.476,23.476,23.231,23.231,10494,0
ISDX.US,D,20190801,000000,23.231,23.359,23.189,23.189,3808,0
ISDX.US,D,20190802,000000,22.879,22.879,22.765,22.822,14244,0
ISDX.US,D,20190805,000000,22.442,22.442,22.309,22.309,8362,0
ISDX.US,D,20190806,000000,22.498,22.498,22.328,22.347,5944,0
ISDX.US,D,20190807,000000,22.396,22.577,22.381,22.528,11154,0
ISDX.US,D,20190808,000000,22.822,22.822,22.748,22.748,49505,0
ISDX.US,D,20190809,000000,22.613,22.671,22.557,22.66,7489,0
ISDX.US,D,20190812,000000,22.547,22.547,22.386,22.442,4788,0
ISDX.US,D,20190813,000000,22.547,22.557,22.538,22.557,9172,0
ISDX.US,D,20190814,000000,22.146,22.176,22.082,22.097,7417,0
ISDX.US,D,20190815,000000,22.092,22.136,22.07,22.092,43692,0
ISDX.US,D,20190816,000000,22.347,22.351,22.29,22.328,9865,0
ISDX.US,D,20190819,000000,22.581,22.581,22.523,22.538,7161,0
ISDX.US,D,20190820,000000,22.423,22.445,22.413,22.439,4035,0
ISDX.US,D,20190821,000000,22.586,22.65,22.586,22.605,9800,0
ISDX.US,D,20190822,000000,22.605,22.65,22.506,22.508,13042,0
ISDX.US,D,20190823,000000,22.391,22.423,22.252,22.304,11072,0
ISDX.US,D,20190826,000000,22.318,22.43,22.318,22.347,5507,0
ISDX.US,D,20190827,000000,22.48,22.48,22.338,22.46,15907,0
ISDX.US,D,20190828,000000,22.396,22.538,22.396,22.451,7715,0
