<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISEM.US,D,20180913,000000,23.582,23.674,23.582,23.674,321,0
ISEM.US,D,20180914,000000,23.777,23.777,23.777,23.777,106,0
ISEM.US,D,20180918,000000,24.328,24.328,24.328,24.328,322,0
ISEM.US,D,20180924,000000,24.563,24.563,24.563,24.563,108,0
ISEM.US,D,20180925,000000,24.328,24.348,24.328,24.348,857,0
ISEM.US,D,20181001,000000,24.814,24.814,24.786,24.786,1072,0
ISEM.US,D,20181005,000000,24.283,24.283,24.283,24.283,142,0
ISEM.US,D,20181010,000000,23.77,23.77,23.498,23.498,321,0
ISEM.US,D,20181016,000000,23.834,23.834,23.834,23.834,107,0
ISEM.US,D,20181024,000000,23.058,23.058,23.021,23.021,214,0
ISEM.US,D,20181026,000000,22.78,22.78,22.78,22.78,321,0
ISEM.US,D,20181105,000000,23.721,23.721,23.721,23.721,430,0
ISEM.US,D,20181107,000000,24.059,24.059,24.059,24.059,106,0
ISEM.US,D,20181109,000000,23.62,23.62,23.115,23.115,749,0
ISEM.US,D,20181112,000000,23.115,23.115,23.115,23.115,106,0
ISEM.US,D,20181116,000000,23.625,23.629,23.625,23.629,214,0
ISEM.US,D,20181127,000000,22.798,22.975,22.798,22.942,1287,0
ISEM.US,D,20181128,000000,23.443,23.443,23.443,23.443,266,0
ISEM.US,D,20181130,000000,23.564,23.564,23.564,23.564,106,0
ISEM.US,D,20181204,000000,24.217,24.217,24.217,24.217,525,0
ISEM.US,D,20181206,000000,23.096,23.096,23.04,23.04,855,0
ISEM.US,D,20181218,000000,22.61,22.619,22.601,22.601,1146,0
ISEM.US,D,20181219,000000,22.629,22.658,22.629,22.648,855,0
ISEM.US,D,20181220,000000,22.331,22.331,22.293,22.331,642,0
ISEM.US,D,20181224,000000,21.888,21.888,21.888,21.888,106,0
ISEM.US,D,20190104,000000,22.471,22.471,22.471,22.471,106,0
ISEM.US,D,20190111,000000,23.326,23.326,23.326,23.326,469,0
ISEM.US,D,20190115,000000,23.368,23.368,23.368,23.368,320,0
ISEM.US,D,20190123,000000,22.471,23.588,22.471,23.513,320,0
ISEM.US,D,20190201,000000,24.507,24.507,24.507,24.507,213,0
ISEM.US,D,20190211,000000,24.07,24.104,24.07,24.083,1100,0
ISEM.US,D,20190222,000000,24.874,24.874,24.874,24.874,106,0
ISEM.US,D,20190225,000000,25.277,25.277,25.268,25.268,317,0
ISEM.US,D,20190227,000000,25.004,25.004,25.004,25.004,106,0
ISEM.US,D,20190228,000000,24.93,24.93,24.93,24.93,107,0
ISEM.US,D,20190306,000000,25.033,25.033,25.033,25.033,213,0
ISEM.US,D,20190307,000000,24.544,24.544,24.385,24.385,428,0
ISEM.US,D,20190308,000000,24.123,24.123,24.123,24.123,106,0
ISEM.US,D,20190311,000000,24.377,24.507,24.377,24.507,428,0
ISEM.US,D,20190315,000000,24.816,24.911,24.816,24.911,1291,0
ISEM.US,D,20190318,000000,25.136,25.324,25.136,25.324,532,0
ISEM.US,D,20190319,000000,25.382,25.382,25.357,25.362,850,0
ISEM.US,D,20190322,000000,25.097,25.097,25.08,25.08,570,0
ISEM.US,D,20190326,000000,24.667,24.667,24.667,24.667,213,0
ISEM.US,D,20190401,000000,25.07,25.07,25.043,25.046,514,0
ISEM.US,D,20190403,000000,25.231,25.231,25.231,25.231,213,0
ISEM.US,D,20190404,000000,25.146,25.146,25.146,25.146,213,0
ISEM.US,D,20190405,000000,25.427,25.427,25.427,25.427,213,0
ISEM.US,D,20190409,000000,25.57,25.57,25.492,25.522,1405,0
ISEM.US,D,20190410,000000,25.56,25.56,25.56,25.56,213,0
ISEM.US,D,20190411,000000,25.55,25.55,25.352,25.352,888,0
ISEM.US,D,20190412,000000,25.352,25.352,25.352,25.352,213,0
ISEM.US,D,20190416,000000,25.231,25.231,25.231,25.231,428,0
ISEM.US,D,20190417,000000,25.492,25.492,25.492,25.492,428,0
ISEM.US,D,20190418,000000,25.306,25.306,25.306,25.306,108,0
ISEM.US,D,20190424,000000,25.097,25.097,25.097,25.097,265,0
ISEM.US,D,20190425,000000,24.806,24.806,24.806,24.806,532,0
ISEM.US,D,20190426,000000,24.901,24.901,24.901,24.901,213,0
ISEM.US,D,20190429,000000,24.967,24.967,24.967,24.967,106,0
ISEM.US,D,20190430,000000,24.901,24.901,24.901,24.901,532,0
ISEM.US,D,20190501,000000,24.967,24.976,24.967,24.976,458,0
ISEM.US,D,20190502,000000,24.75,24.75,24.592,24.696,13306,0
ISEM.US,D,20190503,000000,25.031,25.031,25.031,25.031,128,0
ISEM.US,D,20190506,000000,24.488,24.488,24.347,24.469,1119,0
ISEM.US,D,20190509,000000,23.576,23.576,23.576,23.576,220,0
ISEM.US,D,20190513,000000,23.173,23.173,23.173,23.173,109,0
ISEM.US,D,20190514,000000,23.427,23.427,23.427,23.427,106,0
ISEM.US,D,20190515,000000,23.483,23.501,23.483,23.501,958,0
ISEM.US,D,20190516,000000,23.652,23.737,23.652,23.737,1066,0
ISEM.US,D,20190520,000000,23.032,23.032,23.032,23.032,291,0
ISEM.US,D,20190521,000000,23.21,23.418,23.21,23.418,1066,0
ISEM.US,D,20190523,000000,22.985,22.985,22.873,22.873,850,0
ISEM.US,D,20190528,000000,23.05,23.05,22.911,22.948,1383,0
ISEM.US,D,20190530,000000,23.107,23.107,23.107,23.107,106,0
ISEM.US,D,20190531,000000,23.098,23.182,23.098,23.182,1261,0
ISEM.US,D,20190603,000000,23.455,23.455,23.455,23.455,478,0
ISEM.US,D,20190604,000000,23.333,23.4,23.333,23.4,641,0
ISEM.US,D,20190607,000000,23.39,23.39,23.39,23.39,850,0
ISEM.US,D,20190610,000000,23.614,23.707,23.614,23.707,1069,0
ISEM.US,D,20190613,000000,23.737,23.737,23.718,23.718,406,0
ISEM.US,D,20190614,000000,23.577,23.577,23.577,23.577,106,0
ISEM.US,D,20190617,000000,23.586,23.586,23.586,23.586,2780,0
ISEM.US,D,20190620,000000,24.686,24.686,24.686,24.686,428,0
ISEM.US,D,20190624,000000,24.505,24.505,24.505,24.505,237,0
ISEM.US,D,20190627,000000,24.467,24.467,24.467,24.467,212,0
ISEM.US,D,20190701,000000,25.064,25.064,24.866,24.893,5418,0
ISEM.US,D,20190702,000000,24.875,24.884,24.788,24.837,2824,0
ISEM.US,D,20190705,000000,24.686,24.686,24.686,24.686,720988,0
ISEM.US,D,20190708,000000,24.573,24.573,24.563,24.563,5291,0
ISEM.US,D,20190709,000000,24.429,24.429,24.429,24.429,1377,0
ISEM.US,D,20190710,000000,24.686,24.686,24.573,24.591,1252,0
ISEM.US,D,20190711,000000,24.591,24.591,24.496,24.496,790,0
ISEM.US,D,20190712,000000,24.592,24.614,24.592,24.614,822,0
ISEM.US,D,20190715,000000,24.686,24.686,24.686,24.686,383,0
