<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISHG.US,D,20090128,000000,89.761,89.924,89.761,89.924,2945,0
ISHG.US,D,20090129,000000,88.686,88.686,88.686,88.686,158,0
ISHG.US,D,20090202,000000,87.731,88.006,87.731,88.006,654,0
ISHG.US,D,20090203,000000,88.686,88.686,88.686,88.686,867,0
ISHG.US,D,20090205,000000,88.419,88.419,87.997,88.052,3874,0
ISHG.US,D,20090206,000000,88.016,88.235,87.997,88.235,825,0
ISHG.US,D,20090209,000000,89.005,89.005,89.005,89.005,2183,0
ISHG.US,D,20090211,000000,88.639,88.639,88.639,88.639,154,0
ISHG.US,D,20090212,000000,88.098,88.098,88.098,88.098,1876,0
ISHG.US,D,20090217,000000,87.045,87.045,86.31,86.31,3451,0
ISHG.US,D,20090218,000000,86.356,86.356,86.126,86.126,322,0
ISHG.US,D,20090219,000000,89.761,89.761,86.715,86.724,7195,0
ISHG.US,D,20090220,000000,86.126,87.594,86.126,87.594,832,0
ISHG.US,D,20090224,000000,86.494,86.732,86.494,86.724,1331,0
ISHG.US,D,20090225,000000,86.586,86.586,86.401,86.401,467,0
ISHG.US,D,20090226,000000,86.31,86.31,86.079,86.079,1959,0
ISHG.US,D,20090227,000000,85.85,85.85,85.759,85.759,1441,0
ISHG.US,D,20090302,000000,85.485,85.485,85.438,85.485,3104,0
ISHG.US,D,20090303,000000,85.574,85.574,85.3,85.3,1345,0
ISHG.US,D,20090304,000000,85.071,85.071,85.071,85.071,107,0
ISHG.US,D,20090305,000000,84.842,84.842,84.842,84.842,107,0
ISHG.US,D,20090306,000000,85.943,85.943,85.943,85.943,800,0
ISHG.US,D,20090309,000000,84.933,85.118,84.786,84.786,549,0
ISHG.US,D,20090310,000000,86.033,86.033,85.621,85.621,1284,0
ISHG.US,D,20090311,000000,86.126,86.126,86.079,86.079,425,0
ISHG.US,D,20090312,000000,86.033,86.033,86.033,86.033,528,0
ISHG.US,D,20090313,000000,86.586,86.586,86.126,86.126,2190,0
