<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISTB.US,D,20121025,000000,43.498,43.498,43.498,43.498,1153,0
ISTB.US,D,20121026,000000,43.507,43.507,43.507,43.507,580,0
ISTB.US,D,20121031,000000,43.542,43.542,43.542,43.542,2532,0
ISTB.US,D,20121105,000000,43.577,43.59,43.563,43.563,12995,0
ISTB.US,D,20121106,000000,43.545,43.582,43.545,43.582,6717,0
ISTB.US,D,20121109,000000,43.585,43.585,43.585,43.585,450,0
ISTB.US,D,20121114,000000,43.607,43.607,43.607,43.607,2299,0
ISTB.US,D,20121115,000000,43.607,43.611,43.607,43.607,608,0
ISTB.US,D,20121116,000000,43.624,43.624,43.624,43.624,200,0
ISTB.US,D,20121119,000000,43.577,43.577,43.573,43.573,1878,0
ISTB.US,D,20121120,000000,43.545,43.545,43.523,43.523,6356,0
ISTB.US,D,20121126,000000,43.593,43.593,43.593,43.593,430,0
ISTB.US,D,20121127,000000,43.597,43.597,43.597,43.597,1042,0
ISTB.US,D,20121129,000000,43.567,43.624,43.545,43.549,63533,0
ISTB.US,D,20121204,000000,43.545,43.545,43.537,43.537,28771,0
ISTB.US,D,20121205,000000,43.866,43.866,43.563,43.567,1123,0
ISTB.US,D,20121206,000000,43.523,43.558,43.523,43.558,2344,0
ISTB.US,D,20121210,000000,43.563,43.563,43.512,43.512,12241,0
ISTB.US,D,20121211,000000,43.553,43.553,43.502,43.545,2046,0
ISTB.US,D,20121212,000000,43.553,43.553,43.537,43.537,1375,0
ISTB.US,D,20121213,000000,43.498,43.502,43.498,43.502,450,0
ISTB.US,D,20121214,000000,43.488,43.537,43.488,43.537,7517,0
ISTB.US,D,20121217,000000,43.527,43.527,43.519,43.519,1701,0
ISTB.US,D,20121218,000000,43.488,43.502,43.488,43.488,3850,0
ISTB.US,D,20121219,000000,43.472,43.484,43.472,43.484,2712,0
ISTB.US,D,20121221,000000,43.472,43.48,43.472,43.48,1603,0
ISTB.US,D,20121224,000000,43.472,43.472,43.472,43.472,470,0
ISTB.US,D,20121226,000000,43.462,43.488,43.462,43.479,7938,0
ISTB.US,D,20121227,000000,43.476,43.502,43.466,43.502,14049,0
ISTB.US,D,20121228,000000,43.511,43.511,43.511,43.511,1035,0
ISTB.US,D,20121231,000000,43.522,43.525,43.505,43.505,3693,0
ISTB.US,D,20130103,000000,43.603,43.603,43.502,43.502,5068,0
ISTB.US,D,20130104,000000,43.479,43.479,43.479,43.479,289,0
ISTB.US,D,20130107,000000,43.484,43.488,43.476,43.479,16798,0
ISTB.US,D,20130108,000000,43.444,43.506,43.444,43.506,1679,0
ISTB.US,D,20130109,000000,43.497,43.557,43.497,43.557,27859,0
ISTB.US,D,20130110,000000,43.514,43.514,43.514,43.514,539,0
ISTB.US,D,20130114,000000,43.522,43.522,43.515,43.515,758,0
ISTB.US,D,20130115,000000,43.479,43.531,43.476,43.506,45745,0
ISTB.US,D,20130116,000000,43.497,43.497,43.497,43.497,200,0
ISTB.US,D,20130117,000000,43.511,43.515,43.497,43.497,68338,0
ISTB.US,D,20130118,000000,43.492,43.519,43.492,43.502,1266,0
ISTB.US,D,20130122,000000,43.502,43.502,43.466,43.497,3603,0
ISTB.US,D,20130123,000000,43.494,43.508,43.485,43.485,26239,0
ISTB.US,D,20130124,000000,43.476,43.522,43.472,43.476,14497,0
ISTB.US,D,20130125,000000,43.472,43.472,43.426,43.426,15268,0
ISTB.US,D,20130128,000000,43.421,43.434,43.421,43.43,3826,0
ISTB.US,D,20130130,000000,43.438,43.443,43.43,43.443,1479,0
ISTB.US,D,20130131,000000,43.446,43.552,43.446,43.446,2420,0
ISTB.US,D,20130201,000000,43.466,43.484,43.466,43.466,12114,0
ISTB.US,D,20130206,000000,43.494,43.508,43.494,43.494,1145,0
ISTB.US,D,20130207,000000,43.498,43.528,43.498,43.528,2767,0
ISTB.US,D,20130208,000000,43.515,43.515,43.468,43.48,5850,0
