<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUS.US,D,20180913,000000,23.877,23.877,23.877,23.877,103,0
IUS.US,D,20180918,000000,23.972,24.067,23.972,24.067,532,0
IUS.US,D,20180919,000000,24.016,24.016,24.016,24.016,102,0
IUS.US,D,20181002,000000,24.132,24.132,24.132,24.132,102,0
IUS.US,D,20181011,000000,22.873,22.902,22.619,22.902,1486,0
IUS.US,D,20181015,000000,22.902,23.017,22.892,23.017,635,0
IUS.US,D,20181016,000000,23.187,23.187,23.187,23.187,319,0
IUS.US,D,20181023,000000,22.712,22.712,22.475,22.475,212,0
IUS.US,D,20181025,000000,22.552,22.552,22.552,22.552,212,0
IUS.US,D,20181105,000000,22.761,22.761,22.761,22.761,314,0
IUS.US,D,20181107,000000,23.072,23.196,23.072,23.19,635,0
IUS.US,D,20181114,000000,22.666,22.666,22.666,22.666,102,0
IUS.US,D,20181119,000000,22.666,22.666,22.666,22.666,102,0
IUS.US,D,20181120,000000,22.147,22.147,22.147,22.147,102,0
IUS.US,D,20181206,000000,22.383,22.383,22.147,22.23,1059,0
IUS.US,D,20181217,000000,21.67,21.67,21.433,21.433,313,0
IUS.US,D,20181231,000000,20.796,20.796,20.796,20.796,101,0
IUS.US,D,20190103,000000,20.635,20.635,20.635,20.635,101,0
IUS.US,D,20190107,000000,21.113,21.113,21.113,21.113,101,0
IUS.US,D,20190109,000000,21.59,21.59,21.59,21.59,101,0
IUS.US,D,20190111,000000,21.59,21.59,21.59,21.59,101,0
IUS.US,D,20190115,000000,21.59,21.59,21.59,21.59,211,0
IUS.US,D,20190117,000000,21.59,21.59,21.59,21.59,101,0
IUS.US,D,20190123,000000,21.59,21.59,21.59,21.59,102,0
IUS.US,D,20190208,000000,22.351,22.354,22.351,22.354,211,0
IUS.US,D,20190219,000000,23.132,23.132,23.132,23.132,108,0
IUS.US,D,20190220,000000,23.123,23.161,23.123,23.161,421,0
IUS.US,D,20190311,000000,22.921,22.921,22.921,22.921,522,0
IUS.US,D,20190415,000000,23.842,23.936,23.842,23.919,786,0
IUS.US,D,20190416,000000,24.024,24.034,24.024,24.034,1045,0
