<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUSB.US,D,20140613,000000,42.591,42.591,42.591,42.591,14091,0
IUSB.US,D,20140616,000000,42.642,42.642,42.607,42.625,5161,0
IUSB.US,D,20140617,000000,42.591,42.591,42.591,42.591,1182,0
IUSB.US,D,20140618,000000,42.576,42.62,42.576,42.62,39851,0
IUSB.US,D,20140619,000000,42.633,42.642,42.572,42.572,10004,0
IUSB.US,D,20140620,000000,42.652,42.652,42.625,42.625,1127,0
IUSB.US,D,20140623,000000,42.711,42.711,42.62,42.62,1032,0
IUSB.US,D,20140624,000000,42.638,42.67,42.638,42.67,6811,0
IUSB.US,D,20140625,000000,42.718,42.718,42.714,42.718,5576,0
IUSB.US,D,20140626,000000,42.741,42.746,42.741,42.746,4451,0
IUSB.US,D,20140627,000000,42.767,42.767,42.767,42.767,4735,0
IUSB.US,D,20140630,000000,42.787,42.787,42.787,42.787,4697,0
IUSB.US,D,20140702,000000,42.692,42.692,42.692,42.692,1182,0
IUSB.US,D,20140703,000000,42.546,42.568,42.546,42.568,1057,0
IUSB.US,D,20140709,000000,42.718,42.746,42.718,42.746,18791,0
IUSB.US,D,20140710,000000,42.779,42.787,42.759,42.759,14113,0
IUSB.US,D,20140711,000000,42.829,42.829,42.804,42.804,1518,0
IUSB.US,D,20140714,000000,42.782,42.782,42.733,42.737,9889,0
IUSB.US,D,20140715,000000,42.737,42.759,42.728,42.728,27250,0
IUSB.US,D,20140716,000000,42.737,42.737,42.737,42.737,2414,0
IUSB.US,D,20140717,000000,42.804,42.839,42.779,42.839,35962,0
IUSB.US,D,20140718,000000,42.913,42.913,42.779,42.779,2590,0
IUSB.US,D,20140721,000000,42.802,42.802,42.802,42.802,7051,0
IUSB.US,D,20140722,000000,42.82,42.82,42.82,42.82,1677,0
IUSB.US,D,20140723,000000,42.857,42.865,42.857,42.865,2800,0
IUSB.US,D,20140725,000000,42.839,42.839,42.839,42.839,856,0
IUSB.US,D,20140729,000000,42.829,42.829,42.804,42.804,1134,0
IUSB.US,D,20140730,000000,42.759,42.759,42.759,42.759,716,0
IUSB.US,D,20140731,000000,42.638,42.638,42.612,42.638,1335,0
IUSB.US,D,20140801,000000,42.62,42.721,42.62,42.707,3928,0
IUSB.US,D,20140806,000000,42.763,42.763,42.763,42.763,2376,0
IUSB.US,D,20140807,000000,42.853,42.853,42.853,42.853,1565,0
IUSB.US,D,20140808,000000,42.875,42.898,42.875,42.898,5381,0
