<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUSG.US,D,20050225,000000,16.872,17.059,16.869,17.059,22536,0
IUSG.US,D,20050228,000000,17.028,17.036,16.872,16.943,19778,0
IUSG.US,D,20050301,000000,16.965,17.067,16.965,17.031,8277,0
IUSG.US,D,20050302,000000,16.956,17.142,16.956,17.08,16095,0
IUSG.US,D,20050303,000000,17.13,17.13,16.943,17.002,25064,0
IUSG.US,D,20050304,000000,17.105,17.186,17.08,17.169,38631,0
IUSG.US,D,20050307,000000,17.176,17.307,17.176,17.23,44603,0
IUSG.US,D,20050308,000000,17.262,17.262,17.08,17.089,41391,0
IUSG.US,D,20050309,000000,17.08,17.105,16.965,16.965,10813,0
IUSG.US,D,20050310,000000,17.006,17.049,16.929,16.961,15405,0
IUSG.US,D,20050311,000000,16.997,17.002,16.832,16.862,10348,0
IUSG.US,D,20050314,000000,16.866,16.929,16.832,16.899,31272,0
IUSG.US,D,20050315,000000,16.965,17.006,16.846,16.846,29659,0
IUSG.US,D,20050316,000000,16.788,16.788,16.627,16.654,19312,0
IUSG.US,D,20050317,000000,16.662,16.736,16.641,16.713,30583,0
IUSG.US,D,20050318,000000,16.723,16.723,16.552,16.552,18402,0
IUSG.US,D,20050321,000000,16.658,16.658,16.527,16.599,69436,0
IUSG.US,D,20050322,000000,16.631,16.644,16.499,16.513,6434,0
IUSG.US,D,20050323,000000,16.442,16.575,16.442,16.543,68059,0
IUSG.US,D,20050324,000000,16.518,16.594,16.482,16.505,22536,0
IUSG.US,D,20050328,000000,16.552,16.583,16.492,16.509,36100,0
IUSG.US,D,20050329,000000,16.518,16.594,16.353,16.374,390657,0
IUSG.US,D,20050330,000000,16.396,16.594,16.396,16.594,121176,0
IUSG.US,D,20050331,000000,16.535,16.588,16.499,16.499,36100,0
IUSG.US,D,20050401,000000,16.641,16.641,16.339,16.381,94734,0
IUSG.US,D,20050404,000000,16.37,16.46,16.339,16.46,11037,0
IUSG.US,D,20050405,000000,16.531,16.588,16.505,16.578,23226,0
IUSG.US,D,20050406,000000,16.599,16.676,16.539,16.539,17244,0
IUSG.US,D,20050407,000000,16.547,16.696,16.547,16.689,11727,0
IUSG.US,D,20050408,000000,16.672,16.676,16.547,16.556,97029,0
IUSG.US,D,20050411,000000,16.543,16.561,16.482,16.527,26908,0
IUSG.US,D,20050412,000000,16.531,16.631,16.343,16.622,44839,0
IUSG.US,D,20050413,000000,16.535,16.588,16.405,16.452,21614,0
IUSG.US,D,20050414,000000,16.452,16.452,16.22,16.22,35869,0
IUSG.US,D,20050415,000000,16.18,16.229,16.011,16.068,52657,0
IUSG.US,D,20050418,000000,16.065,16.112,15.98,16.054,422154,0
IUSG.US,D,20050419,000000,16.146,16.176,16.099,16.162,38631,0
IUSG.US,D,20050420,000000,16.122,16.166,15.985,15.985,35183,0
IUSG.US,D,20050421,000000,16.126,16.305,16.073,16.28,48743,0
IUSG.US,D,20050422,000000,16.258,16.258,16.044,16.059,15405,0
IUSG.US,D,20050425,000000,16.18,16.276,16.18,16.224,15180,0
IUSG.US,D,20050426,000000,16.202,16.33,16.132,16.132,226713,0
IUSG.US,D,20050427,000000,16.082,16.216,16.015,16.166,17713,0
IUSG.US,D,20050428,000000,16.126,16.126,16.006,16.011,83459,0
IUSG.US,D,20050429,000000,16.044,16.146,15.931,16.146,23226,0
IUSG.US,D,20050502,000000,16.248,16.248,16.15,16.22,14027,0
IUSG.US,D,20050503,000000,16.248,16.348,16.207,16.289,66219,0
IUSG.US,D,20050504,000000,16.327,16.475,16.327,16.46,85307,0
IUSG.US,D,20050505,000000,16.452,16.509,16.374,16.439,20922,0
IUSG.US,D,20050506,000000,16.535,16.535,16.423,16.423,66219,0
IUSG.US,D,20050509,000000,16.478,16.552,16.46,16.552,33567,0
IUSG.US,D,20050510,000000,16.469,16.509,16.348,16.374,21157,0
IUSG.US,D,20050511,000000,16.414,16.509,16.315,16.488,33567,0
IUSG.US,D,20050512,000000,16.518,16.535,16.386,16.4,22303,0
IUSG.US,D,20050513,000000,16.414,16.482,16.244,16.4,39087,0
IUSG.US,D,20050516,000000,16.366,16.575,16.366,16.575,22766,0
IUSG.US,D,20050517,000000,16.509,16.658,16.465,16.658,5983,0
IUSG.US,D,20050518,000000,16.705,16.881,16.705,16.872,42081,0
IUSG.US,D,20050519,000000,16.872,16.934,16.854,16.925,28738,0
IUSG.US,D,20050520,000000,16.916,16.925,16.832,16.906,34261,0
IUSG.US,D,20050523,000000,16.947,17.031,16.92,16.947,23457,0
IUSG.US,D,20050524,000000,16.978,17.023,16.906,17.002,191997,0
IUSG.US,D,20050525,000000,16.943,16.943,16.851,16.89,581504,0
IUSG.US,D,20050526,000000,17.002,17.071,16.982,17.04,126002,0
IUSG.US,D,20050527,000000,17.059,17.071,17.016,17.044,32650,0
IUSG.US,D,20050531,000000,17.028,17.059,16.943,16.951,22992,0
IUSG.US,D,20050601,000000,16.997,17.169,16.961,17.114,183718,0
IUSG.US,D,20050602,000000,17.098,17.176,17.098,17.176,17022,0
IUSG.US,D,20050603,000000,17.155,17.169,17.01,17.023,105542,0
IUSG.US,D,20050606,000000,17.019,17.067,16.974,17.067,198201,0
IUSG.US,D,20050607,000000,17.067,17.234,17.067,17.071,65994,0
IUSG.US,D,20050608,000000,17.123,17.123,16.974,16.992,236141,0
IUSG.US,D,20050609,000000,16.965,17.098,16.925,17.084,18402,0
IUSG.US,D,20050610,000000,17.049,17.084,16.934,16.988,24376,0
IUSG.US,D,20050613,000000,17.031,17.123,16.978,17.036,16328,0
IUSG.US,D,20050614,000000,17.023,17.13,17.023,17.114,35408,0
IUSG.US,D,20050615,000000,17.134,17.169,17.002,17.123,18619,0
IUSG.US,D,20050616,000000,17.126,17.195,17.126,17.19,108296,0
IUSG.US,D,20050617,000000,17.283,17.288,17.181,17.244,55180,0
IUSG.US,D,20050620,000000,17.114,17.234,17.114,17.23,28738,0
IUSG.US,D,20050621,000000,17.165,17.209,17.165,17.195,9877,0
IUSG.US,D,20050622,000000,17.297,17.297,17.138,17.195,46217,0
IUSG.US,D,20050623,000000,17.199,17.244,17.019,17.023,10567,0
IUSG.US,D,20050624,000000,17.023,17.036,16.866,16.866,65301,0
IUSG.US,D,20050627,000000,16.881,16.881,16.837,16.862,5983,0
IUSG.US,D,20050628,000000,16.881,17.067,16.881,17.04,35183,0
IUSG.US,D,20050629,000000,17.076,17.103,17.028,17.04,18857,0
IUSG.US,D,20050630,000000,17.08,17.089,16.929,16.929,48516,0
IUSG.US,D,20050701,000000,17.006,17.006,16.938,16.961,36100,0
IUSG.US,D,20050705,000000,16.938,17.118,16.916,17.084,34023,0
IUSG.US,D,20050706,000000,17.11,17.118,17.01,17.023,30120,0
IUSG.US,D,20050707,000000,16.885,17.044,16.881,17.044,25754,0
IUSG.US,D,20050708,000000,17.071,17.333,17.071,17.288,25754,0
IUSG.US,D,20050711,000000,17.372,17.464,17.367,17.45,187397,0
