<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUSS.US,D,20180913,000000,24.509,24.509,24.47,24.47,205,0
IUSS.US,D,20180914,000000,24.373,24.47,24.373,24.47,228,0
IUSS.US,D,20180918,000000,24.412,24.412,24.412,24.412,205,0
IUSS.US,D,20180924,000000,24.345,24.345,24.345,24.345,1088,0
IUSS.US,D,20180926,000000,24.278,24.278,24.278,24.278,127,0
IUSS.US,D,20180927,000000,24.179,24.179,24.169,24.169,1088,0
IUSS.US,D,20181004,000000,23.645,23.645,23.645,23.645,101,0
IUSS.US,D,20181005,000000,23.413,23.413,23.413,23.413,177,0
IUSS.US,D,20181009,000000,23.473,23.473,23.473,23.473,101,0
IUSS.US,D,20181010,000000,23.013,23.013,22.724,22.724,1029,0
IUSS.US,D,20181015,000000,22.285,22.48,22.285,22.431,2144,0
IUSS.US,D,20181016,000000,22.917,22.917,22.859,22.859,515,0
IUSS.US,D,20181018,000000,22.431,22.431,22.431,22.431,101,0
IUSS.US,D,20181022,000000,22.431,22.607,22.431,22.607,823,0
IUSS.US,D,20181023,000000,22.141,22.141,21.849,21.849,618,0
IUSS.US,D,20181024,000000,21.625,21.625,21.625,21.625,1030,0
IUSS.US,D,20181026,000000,21.218,21.681,21.171,21.681,1339,0
IUSS.US,D,20181029,000000,21.587,21.596,21.587,21.596,2285,0
IUSS.US,D,20181101,000000,22.323,22.323,22.323,22.323,1137,0
IUSS.US,D,20181102,000000,22.704,22.704,22.208,22.343,4970,0
IUSS.US,D,20181106,000000,22.382,22.382,22.382,22.382,1546,0
IUSS.US,D,20181112,000000,22.382,22.382,22.382,22.382,102,0
IUSS.US,D,20181113,000000,22.189,22.189,22.189,22.189,814,0
IUSS.US,D,20181119,000000,21.868,22.054,21.732,21.966,2961,0
IUSS.US,D,20181120,000000,21.46,21.46,21.46,21.46,101,0
IUSS.US,D,20181128,000000,21.8,21.8,21.8,21.8,101,0
IUSS.US,D,20181206,000000,21.121,21.605,21.121,21.121,1134,0
IUSS.US,D,20181214,000000,20.633,20.633,20.441,20.441,309,0
IUSS.US,D,20181217,000000,20.273,20.273,20.273,20.273,1029,0
IUSS.US,D,20181219,000000,20.004,20.004,20.004,20.004,101,0
IUSS.US,D,20181220,000000,19.684,19.684,19.568,19.568,205,0
IUSS.US,D,20181221,000000,19.362,19.362,19.362,19.362,101,0
IUSS.US,D,20181224,000000,18.934,18.934,18.934,18.934,100,0
IUSS.US,D,20181228,000000,19.626,19.626,19.626,19.626,204,0
IUSS.US,D,20190107,000000,20.055,20.055,20.055,20.055,100,0
IUSS.US,D,20190108,000000,20.496,20.496,20.496,20.496,100,0
IUSS.US,D,20190114,000000,20.838,20.857,20.838,20.857,738,0
IUSS.US,D,20190128,000000,21.354,21.354,21.354,21.354,100,0
IUSS.US,D,20190212,000000,22.166,22.166,22.166,22.166,329,0
IUSS.US,D,20190215,000000,22.661,22.661,22.614,22.614,411,0
IUSS.US,D,20190220,000000,22.74,22.76,22.74,22.76,204,0
IUSS.US,D,20190313,000000,22.496,22.496,22.496,22.496,100,0
IUSS.US,D,20190315,000000,22.496,22.496,22.496,22.496,100,0
IUSS.US,D,20190319,000000,22.363,22.363,22.363,22.363,604,0
IUSS.US,D,20190320,000000,22.193,22.418,22.193,22.28,833,0
IUSS.US,D,20190322,000000,22.232,22.232,22.232,22.232,100,0
IUSS.US,D,20190325,000000,22.017,22.017,22.017,22.017,100,0
IUSS.US,D,20190326,000000,22.223,22.223,22.213,22.213,307,0
IUSS.US,D,20190404,000000,22.476,22.476,22.476,22.476,204,0
IUSS.US,D,20190411,000000,23.003,23.003,23.003,23.003,266,0
IUSS.US,D,20190416,000000,23.052,23.07,23.052,23.07,307,0
IUSS.US,D,20190501,000000,23.121,23.121,23.121,23.121,460,0
IUSS.US,D,20190502,000000,22.994,22.994,22.829,22.965,16885,0
IUSS.US,D,20190503,000000,23.151,23.407,23.151,23.407,953,0
IUSS.US,D,20190509,000000,22.671,22.671,22.671,22.671,372,0
IUSS.US,D,20190515,000000,22.524,22.524,22.524,22.524,100,0
IUSS.US,D,20190516,000000,22.681,22.681,22.681,22.681,101,0
IUSS.US,D,20190520,000000,22.232,22.232,22.232,22.232,188,0
IUSS.US,D,20190524,000000,22.175,22.175,22.175,22.175,100,0
IUSS.US,D,20190528,000000,22.027,22.056,21.841,21.841,7162,0
IUSS.US,D,20190603,000000,21.421,21.421,21.421,21.421,114,0
IUSS.US,D,20190606,000000,21.889,22.027,21.889,22.027,204,0
