<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IUSV.US,D,20050225,000000,23.079,23.341,23.079,23.339,86047,0
IUSV.US,D,20050228,000000,23.31,23.319,23.077,23.208,43767,0
IUSV.US,D,20050301,000000,23.262,23.33,23.253,23.313,60760,0
IUSV.US,D,20050302,000000,23.222,23.407,23.222,23.298,25278,0
IUSV.US,D,20050303,000000,23.401,23.401,23.229,23.361,22642,0
IUSV.US,D,20050304,000000,23.471,23.676,23.471,23.593,223781,0
IUSV.US,D,20050307,000000,23.643,23.711,23.634,23.634,702692,0
IUSV.US,D,20050308,000000,23.634,23.637,23.545,23.564,72833,0
IUSV.US,D,20050309,000000,23.506,23.524,23.222,23.222,64147,0
IUSV.US,D,20050310,000000,23.307,23.307,23.119,23.251,26033,0
IUSV.US,D,20050311,000000,23.322,23.322,23.121,23.143,39997,0
IUSV.US,D,20050314,000000,23.255,23.348,23.211,23.336,46412,0
IUSV.US,D,20050315,000000,23.415,23.452,23.219,23.229,83392,0
IUSV.US,D,20050316,000000,23.098,23.107,22.947,23.015,62642,0
IUSV.US,D,20050317,000000,23.037,23.119,23.033,23.104,63396,0
IUSV.US,D,20050318,000000,23.139,23.139,22.968,23.025,337379,0
IUSV.US,D,20050321,000000,23.088,23.088,22.909,22.997,33585,0
IUSV.US,D,20050322,000000,23.02,23.115,22.715,22.715,41508,0
IUSV.US,D,20050323,000000,22.677,22.717,22.606,22.63,45281,0
IUSV.US,D,20050324,000000,22.581,22.63,22.515,22.587,44537,0
IUSV.US,D,20050328,000000,22.556,22.606,22.494,22.494,450970,0
IUSV.US,D,20050329,000000,22.46,22.604,22.267,22.267,410963,0
IUSV.US,D,20050330,000000,22.411,22.633,22.411,22.633,40768,0
IUSV.US,D,20050331,000000,22.686,22.741,22.668,22.708,55475,0
IUSV.US,D,20050401,000000,22.812,22.921,22.527,22.595,67547,0
IUSV.US,D,20050404,000000,22.595,22.679,22.494,22.625,55097,0
IUSV.US,D,20050405,000000,22.686,22.741,22.658,22.699,106806,0
IUSV.US,D,20050406,000000,22.77,22.863,22.761,22.789,60386,0
IUSV.US,D,20050407,000000,22.855,22.9,22.809,22.9,103397,0
IUSV.US,D,20050408,000000,22.915,22.915,22.699,22.699,65286,0
IUSV.US,D,20050411,000000,22.715,22.727,22.652,22.708,29444,0
IUSV.US,D,20050412,000000,22.581,22.878,22.52,22.84,73215,0
IUSV.US,D,20050413,000000,22.781,22.781,22.507,22.535,56985,0
IUSV.US,D,20050414,000000,22.524,22.53,22.201,22.201,73973,0
IUSV.US,D,20050415,000000,22.166,22.267,21.836,21.883,173231,0
IUSV.US,D,20050418,000000,21.883,22.044,21.803,22.021,458893,0
IUSV.US,D,20050419,000000,22.121,22.221,22.074,22.18,74339,0
IUSV.US,D,20050420,000000,22.196,22.196,21.869,21.887,118123,0
IUSV.US,D,20050421,000000,22.053,22.246,21.966,22.218,203406,0
IUSV.US,D,20050422,000000,22.224,22.276,22,22.166,412099,0
IUSV.US,D,20050425,000000,22.252,22.377,22.252,22.356,72082,0
IUSV.US,D,20050426,000000,22.368,22.397,22.193,22.193,56985,0
IUSV.US,D,20050427,000000,22.091,22.332,22.013,22.261,42270,0
IUSV.US,D,20050428,000000,22.154,22.162,21.992,22.008,167938,0
IUSV.US,D,20050429,000000,22.081,22.199,21.869,22.193,62270,0
IUSV.US,D,20050502,000000,22.273,22.349,22.186,22.349,54722,0
IUSV.US,D,20050503,000000,22.329,22.402,22.203,22.203,74339,0
