<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IXUS.US,D,20121025,000000,39.091,39.138,38.968,39.138,602,0
IXUS.US,D,20121026,000000,38.914,38.914,38.914,38.914,230,0
IXUS.US,D,20121031,000000,38.977,39.081,38.85,38.929,3610,0
IXUS.US,D,20121101,000000,39.234,39.314,39.147,39.307,2361,0
IXUS.US,D,20121102,000000,39.307,39.307,39.048,39.048,3729,0
IXUS.US,D,20121105,000000,38.985,39.01,38.977,39.01,921,0
IXUS.US,D,20121107,000000,38.977,38.977,38.569,38.776,8578,0
IXUS.US,D,20121108,000000,38.569,38.569,38.39,38.39,3727,0
IXUS.US,D,20121109,000000,38.335,38.494,38.281,38.448,6770,0
IXUS.US,D,20121112,000000,38.589,38.589,38.294,38.294,2246,0
IXUS.US,D,20121113,000000,38.294,38.294,38.294,38.294,747,0
IXUS.US,D,20121114,000000,38.077,38.077,37.78,37.78,4347,0
IXUS.US,D,20121115,000000,37.765,37.765,37.765,37.765,375,0
IXUS.US,D,20121116,000000,37.78,37.845,37.33,37.74,2366,0
IXUS.US,D,20121119,000000,38.272,38.519,38.272,38.511,3879,0
IXUS.US,D,20121120,000000,38.448,38.48,38.309,38.48,1757,0
IXUS.US,D,20121126,000000,38.977,39.162,38.977,39.162,1368,0
IXUS.US,D,20121127,000000,39.211,39.211,39.081,39.211,5262,0
IXUS.US,D,20121128,000000,38.801,39.211,38.793,39.211,1112,0
IXUS.US,D,20121129,000000,39.626,39.67,39.548,39.548,3413,0
IXUS.US,D,20121130,000000,39.741,39.741,39.66,39.67,2053,0
IXUS.US,D,20121203,000000,39.83,39.908,39.821,39.821,666,0
IXUS.US,D,20121204,000000,39.861,39.861,39.626,39.788,9092,0
IXUS.US,D,20121205,000000,39.925,40.054,39.797,40.054,8266,0
IXUS.US,D,20121206,000000,40.014,40.062,39.853,39.861,4831,0
IXUS.US,D,20121207,000000,40.11,40.136,39.894,40.093,25272,0
IXUS.US,D,20121210,000000,40.128,40.157,39.998,40.128,4811,0
IXUS.US,D,20121211,000000,40.392,40.416,40.295,40.295,1577,0
IXUS.US,D,20121212,000000,40.502,40.729,40.496,40.496,2053,0
IXUS.US,D,20121213,000000,40.422,40.496,40.263,40.326,2837,0
IXUS.US,D,20121214,000000,40.472,40.68,40.392,40.502,13225,0
IXUS.US,D,20121217,000000,40.366,40.687,40.295,40.624,16604,0
IXUS.US,D,20121218,000000,40.705,40.945,40.705,40.945,4503,0
IXUS.US,D,20121219,000000,41.234,41.234,41.018,41.018,52338,0
IXUS.US,D,20121220,000000,41.179,41.267,41.098,41.179,5651,0
IXUS.US,D,20121221,000000,40.775,40.938,40.697,40.898,10888,0
IXUS.US,D,20121224,000000,40.898,41.057,40.849,40.969,10001,0
IXUS.US,D,20121226,000000,40.976,41.251,40.938,41.098,6221,0
IXUS.US,D,20121227,000000,41.203,41.203,40.865,41.122,9394,0
IXUS.US,D,20121228,000000,40.945,41.098,40.784,40.784,28026,0
IXUS.US,D,20121231,000000,40.961,41.709,40.961,41.709,27838,0
IXUS.US,D,20130102,000000,42.225,42.225,41.871,42.046,22854,0
IXUS.US,D,20130103,000000,41.887,42.449,41.67,41.764,25767,0
IXUS.US,D,20130104,000000,41.7,41.959,41.581,41.917,28904,0
IXUS.US,D,20130107,000000,41.7,41.773,41.542,41.718,81066,0
IXUS.US,D,20130108,000000,41.508,41.662,41.331,41.474,31754,0
IXUS.US,D,20130109,000000,41.676,41.746,41.547,41.691,26881,0
IXUS.US,D,20130110,000000,42.087,42.176,41.965,42.159,15722,0
IXUS.US,D,20130111,000000,42.159,42.167,41.965,42.151,37828,0
IXUS.US,D,20130114,000000,42.078,42.167,42.032,42.167,16555,0
IXUS.US,D,20130115,000000,41.988,42.144,41.959,42.104,13490,0
IXUS.US,D,20130116,000000,41.854,41.988,41.854,41.943,13084,0
IXUS.US,D,20130117,000000,42.216,42.296,42.118,42.288,36459,0
IXUS.US,D,20130118,000000,42.296,42.296,42.096,42.111,21959,0
IXUS.US,D,20130122,000000,42.216,42.296,41.988,42.199,17594,0
IXUS.US,D,20130123,000000,42.151,42.255,41.981,42.118,12571,0
IXUS.US,D,20130124,000000,42.225,42.407,41.894,42.189,57360,0
IXUS.US,D,20130125,000000,42.394,42.544,42.247,42.458,122255,0
IXUS.US,D,20130128,000000,42.376,42.376,42.005,42.032,252960,0
IXUS.US,D,20130129,000000,42.376,42.544,42.296,42.496,66745,0
IXUS.US,D,20130130,000000,42.529,42.595,42.401,42.423,77181,0
IXUS.US,D,20130131,000000,42.401,42.513,42.341,42.376,15007,0
IXUS.US,D,20130201,000000,42.586,42.802,42.529,42.721,31780,0
IXUS.US,D,20130204,000000,42.488,42.488,41.951,42.07,28688,0
