<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JOET.US,D,20201119,000000,24.821,24.891,24.581,24.851,735314,0
JOET.US,D,20201120,000000,24.881,24.921,24.771,24.781,368863,0
JOET.US,D,20201123,000000,24.931,24.981,24.681,24.836,329748,0
JOET.US,D,20201124,000000,24.881,24.951,24.781,24.891,345645,0
JOET.US,D,20201125,000000,24.951,24.986,24.831,24.951,266596,0
JOET.US,D,20201127,000000,25.031,25.191,25.001,25.161,125884,0
JOET.US,D,20201130,000000,25.191,25.211,24.902,25.211,166954,0
JOET.US,D,20201201,000000,25.42,25.48,25.321,25.43,197199,0
JOET.US,D,20201202,000000,25.39,25.39,25.231,25.271,301199,0
JOET.US,D,20201203,000000,25.261,25.43,25.231,25.276,192965,0
JOET.US,D,20201204,000000,25.301,25.55,25.301,25.52,232074,0
JOET.US,D,20201207,000000,25.59,25.6,25.48,25.52,123874,0
JOET.US,D,20201208,000000,25.5,25.67,25.47,25.629,95244,0
JOET.US,D,20201209,000000,25.67,25.67,25.181,25.301,170541,0
JOET.US,D,20201210,000000,25.191,25.351,25.071,25.286,108618,0
JOET.US,D,20201211,000000,25.211,25.28,25.045,25.231,133373,0
JOET.US,D,20201214,000000,25.36,25.65,25.331,25.372,72519,0
JOET.US,D,20201215,000000,25.56,25.61,25.445,25.57,64012,0
JOET.US,D,20201216,000000,25.62,25.73,25.58,25.69,48064,0
JOET.US,D,20201217,000000,25.78,25.95,25.78,25.93,76526,0
JOET.US,D,20201218,000000,26.02,26.03,25.84,26.006,96152,0
JOET.US,D,20201221,000000,25.79,25.86,25.41,25.86,110632,0
JOET.US,D,20201222,000000,25.88,25.93,25.7501,25.9,60823,0
JOET.US,D,20201223,000000,25.93,26.05,25.83,25.83,61739,0
JOET.US,D,20201224,000000,25.8,25.91,25.7702,25.9,38416,0
JOET.US,D,20201228,000000,26.1,26.1,25.91,25.98,72888,0
JOET.US,D,20201229,000000,26.04,26.12,25.801,25.9,81248,0
JOET.US,D,20201230,000000,25.99,26.06,25.96,26.01,141391,0
JOET.US,D,20201231,000000,26.01,26.15,25.88,26.15,52013,0
JOET.US,D,20210104,000000,26.27,26.31,25.48,25.7919,232573,0
JOET.US,D,20210105,000000,25.71,25.955,25.71,25.95,99247,0
JOET.US,D,20210106,000000,25.82,26.2,25.62,26.01,161259,0
JOET.US,D,20210107,000000,26.11,26.53,26.11,26.51,75424,0
JOET.US,D,20210108,000000,26.62,26.7599,26.41,26.6554,174229,0
JOET.US,D,20210111,000000,26.46,26.6599,26.4,26.5536,35459,0
JOET.US,D,20210112,000000,26.59,26.59,26.2795,26.44,54786,0
JOET.US,D,20210113,000000,26.48,26.48,26.315,26.36,52208,0
JOET.US,D,20210114,000000,26.42,26.48,26.2,26.26,189761,0
JOET.US,D,20210115,000000,26.17,26.2384,25.9887,26.15,148183,0
JOET.US,D,20210119,000000,26.31,26.385,26.16,26.35,102435,0
JOET.US,D,20210120,000000,26.49,26.705,26.45,26.67,48893,0
JOET.US,D,20210121,000000,26.68,26.68,26.53,26.6168,41955,0
JOET.US,D,20210122,000000,26.5,26.57,26.4776,26.5039,38166,0
JOET.US,D,20210125,000000,26.5,26.61,26.23,26.52,61563,0
JOET.US,D,20210126,000000,26.58,26.58,26.4,26.41,28940,0
JOET.US,D,20210127,000000,26.16,26.16,25.551,25.71,105649,0
JOET.US,D,20210128,000000,25.85,26.2499,25.85,25.98,32308,0
JOET.US,D,20210129,000000,25.93,25.93,25.3696,25.47,88990,0
JOET.US,D,20210201,000000,25.74,25.98,25.56,25.9587,44661,0
JOET.US,D,20210202,000000,26.1,26.39,26.1,26.3278,38447,0
JOET.US,D,20210203,000000,26.3,26.3,26.025,26.08,181759,0
JOET.US,D,20210204,000000,26.16,26.36,26.08,26.36,62575,0
JOET.US,D,20210205,000000,26.42,26.51,26.41,26.487,80032,0
JOET.US,D,20210208,000000,26.65,26.75,26.625,26.73,52805,0
JOET.US,D,20210209,000000,26.75,26.845,26.7069,26.785,46306,0
JOET.US,D,20210210,000000,26.88,26.93,26.66,26.75,42137,0
JOET.US,D,20210211,000000,26.84,26.9654,26.81,26.92,29545,0
JOET.US,D,20210212,000000,26.84,27.13,26.84,27.13,20645,0
JOET.US,D,20210216,000000,27.22,27.22,26.93,26.955,33759,0
JOET.US,D,20210217,000000,26.8,26.87,26.631,26.87,21348,0
JOET.US,D,20210218,000000,26.66,26.85,26.55,26.7898,48924,0
JOET.US,D,20210219,000000,26.85,26.91,26.69,26.69,33386,0
JOET.US,D,20210222,000000,26.57,26.57,26.21,26.21,70350,0
JOET.US,D,20210223,000000,26,26.19,25.75,26.09,95716,0
JOET.US,D,20210224,000000,25.95,26.31,25.81,26.26,39354,0
JOET.US,D,20210225,000000,26.2,26.23,25.45,25.5756,62979,0
JOET.US,D,20210226,000000,25.77,25.8499,25.45,25.61,58205,0
JOET.US,D,20210301,000000,25.87,26.2499,25.87,26.1799,64407,0
JOET.US,D,20210302,000000,26.2,26.22,25.97,26.01,32065,0
JOET.US,D,20210303,000000,25.96,25.96,25.3,25.3,85736,0
JOET.US,D,20210304,000000,25.24,25.34,24.43,24.7,107949,0
JOET.US,D,20210305,000000,24.95,25.28,24.35,25.2275,123459,0
JOET.US,D,20210308,000000,25.19,25.45,24.94,24.9471,49659,0
JOET.US,D,20210309,000000,25.27,25.67,25.27,25.5115,43549,0
JOET.US,D,20210310,000000,25.69,25.75,25.5,25.53,30046,0
JOET.US,D,20210311,000000,25.73,26.07,25.73,25.99,36615,0
JOET.US,D,20210312,000000,25.8,25.9299,25.65,25.906,33850,0
JOET.US,D,20210315,000000,25.92,26.23,25.92,26.2251,60430,0
JOET.US,D,20210316,000000,26.3,26.3999,26.16,26.1917,27409,0
JOET.US,D,20210317,000000,26,26.2866,25.8735,26.2,24833,0
JOET.US,D,20210318,000000,25.95,26.0724,25.7,25.7209,52598,0
JOET.US,D,20210319,000000,25.75,25.97,25.65,25.8458,27884,0
JOET.US,D,20210322,000000,25.89,26.228,25.84,26.15,25832,0
JOET.US,D,20210323,000000,26.19,26.25,25.94,25.99,22163,0
JOET.US,D,20210324,000000,26.16,26.16,25.83,25.8369,22386,0
JOET.US,D,20210325,000000,25.64,25.9,25.48,25.8859,44103,0
JOET.US,D,20210326,000000,25.95,26.5499,25.9101,26.53,29057,0
JOET.US,D,20210329,000000,26.495,26.56,26.32,26.4633,9527,0
JOET.US,D,20210330,000000,26.41,26.41,26.19,26.2878,15816,0
JOET.US,D,20210331,000000,26.46,26.755,26.46,26.61,32457,0
JOET.US,D,20210401,000000,26.85,27,26.72,26.9777,35876,0
JOET.US,D,20210405,000000,27.16,27.36,27.1301,27.337,32619,0
JOET.US,D,20210406,000000,27.27,27.41,27.215,27.29,64780,0
JOET.US,D,20210407,000000,27.24,27.2532,27.13,27.1599,18452,0
JOET.US,D,20210408,000000,27.31,27.41,27.295,27.376,26888,0
JOET.US,D,20210409,000000,27.3525,27.56,27.34,27.56,31202,0
JOET.US,D,20210412,000000,27.44,27.61,27.425,27.595,10119,0
JOET.US,D,20210413,000000,27.66,27.74,27.58,27.6975,13858,0
JOET.US,D,20210414,000000,27.71,27.805,27.52,27.55,20128,0
JOET.US,D,20210415,000000,27.58,28,27.58,27.9805,23395,0
JOET.US,D,20210416,000000,28.07,28.11,27.9651,28.0799,17194,0
JOET.US,D,20210419,000000,27.98,27.98,27.75,27.8427,12828,0
JOET.US,D,20210420,000000,27.75,27.94,27.65,27.7622,16080,0
JOET.US,D,20210421,000000,27.74,28.0015,27.74,28,19353,0
JOET.US,D,20210422,000000,27.95,28.15,27.795,27.89,20474,0
JOET.US,D,20210423,000000,28.0259,28.2626,27.98,28.2013,13302,0
JOET.US,D,20210426,000000,28.2042,28.3,28.2042,28.2618,49803,0
JOET.US,D,20210427,000000,28.3,28.3,28.1301,28.2119,15983,0
JOET.US,D,20210428,000000,28.13,28.21,28.07,28.0952,19526,0
JOET.US,D,20210429,000000,28.2499,28.2642,28.03,28.2178,16902,0
JOET.US,D,20210430,000000,28,28.1,27.9,27.9204,6813,0
JOET.US,D,20210503,000000,28.06,28.06,27.9001,27.9139,43578,0
JOET.US,D,20210504,000000,27.8,27.8,27.47,27.7393,35356,0
JOET.US,D,20210505,000000,27.94,27.94,27.7025,27.8,64553,0
JOET.US,D,20210506,000000,27.82,27.82,27.5709,27.82,18927,0
JOET.US,D,20210507,000000,27.95,28.18,27.95,28.16,22256,0
JOET.US,D,20210510,000000,28.14,28.14,27.75,27.7754,20118,0
JOET.US,D,20210511,000000,27.4,27.62,27.24,27.5548,28746,0
JOET.US,D,20210512,000000,27.35,27.35,26.82,26.852,37184,0
JOET.US,D,20210513,000000,27.04,27.2848,26.99,27.1773,16345,0
JOET.US,D,20210514,000000,27.37,27.66,27.345,27.5922,12820,0
JOET.US,D,20210517,000000,27.499,27.5,27.3,27.4126,26365,0
JOET.US,D,20210518,000000,27.45,27.5,27.27,27.2745,10175,0
JOET.US,D,20210519,000000,26.9,27.2,26.81,27.16,23884,0
JOET.US,D,20210520,000000,27.35,27.76,27.35,27.6581,12765,0
JOET.US,D,20210521,000000,27.74,27.88,27.6401,27.6458,9647,0
JOET.US,D,20210524,000000,27.845,27.9695,27.835,27.86,15416,0
JOET.US,D,20210525,000000,27.99,28,27.86,27.86,9758,0
JOET.US,D,20210526,000000,27.91,27.99,27.902,27.94,10826,0
JOET.US,D,20210527,000000,28,28.12,27.99,28.0656,15372,0
JOET.US,D,20210528,000000,28.2,28.25,28.1,28.1325,24330,0
JOET.US,D,20210601,000000,28.25,28.28,27.94,27.9672,11382,0
JOET.US,D,20210602,000000,28,28.0347,27.92,27.9389,12645,0
JOET.US,D,20210603,000000,27.77,27.91,27.67,27.85,7804,0
JOET.US,D,20210604,000000,27.98,28.1247,27.98,28.1154,8129,0
JOET.US,D,20210607,000000,28.1,28.1,28,28.0651,45720,0
JOET.US,D,20210608,000000,28.1,28.14,27.9406,28.1,31077,0
JOET.US,D,20210609,000000,28.15,28.15,28,28.0091,15603,0
JOET.US,D,20210610,000000,28.06,28.24,28.06,28.2156,8615,0
JOET.US,D,20210611,000000,28.29,28.36,28.24,28.3339,9609,0
JOET.US,D,20210614,000000,28.32,28.45,28.29,28.4206,15113,0
JOET.US,D,20210615,000000,28.5,28.5,28.3087,28.3379,19282,0
JOET.US,D,20210616,000000,28.39,28.39,28.05,28.26,22668,0
JOET.US,D,20210617,000000,28.04,28.38,28.04,28.34,13000,0
JOET.US,D,20210618,000000,28.07,28.188,28.02,28.06,23270,0
JOET.US,D,20210621,000000,28.1,28.4,28.02,28.385,29883,0
JOET.US,D,20210622,000000,28.44,28.62,28.35,28.59,22109,0
JOET.US,D,20210623,000000,28.63,28.65,28.52,28.56,94817,0
JOET.US,D,20210624,000000,28.77,28.815,28.67,28.76,20416,0
JOET.US,D,20210625,000000,28.8,28.93,28.8,28.89,17456,0
JOET.US,D,20210628,000000,28.99,29.1,28.948,29.1,15935,0
JOET.US,D,20210629,000000,29.09,29.1999,29.09,29.13,15011,0
JOET.US,D,20210630,000000,29.15,29.15,29.041,29.1,10237,0
JOET.US,D,20210701,000000,29.08,29.24,29.08,29.2143,17714,0
JOET.US,D,20210702,000000,29.34,29.42,29.26,29.3911,23124,0
JOET.US,D,20210706,000000,29.45,29.46,29.14,29.34,16285,0
JOET.US,D,20210707,000000,29.42,29.52,29.22,29.491,27727,0
JOET.US,D,20210708,000000,29.11,29.27,28.9401,29.1336,22663,0
JOET.US,D,20210709,000000,29.23,29.51,29.19,29.51,14465,0
JOET.US,D,20210712,000000,29.56,29.62,29.5306,29.5943,27798,0
JOET.US,D,20210713,000000,29.65,29.65,29.425,29.45,11371,0
JOET.US,D,20210714,000000,29.58,29.59,29.31,29.35,35707,0
JOET.US,D,20210715,000000,29.28,29.3699,29.131,29.285,17255,0
JOET.US,D,20210716,000000,29.45,29.46,29.15,29.2,20551,0
JOET.US,D,20210719,000000,28.99,28.99,28.7098,28.88,40536,0
JOET.US,D,20210720,000000,29.03,29.45,28.9647,29.39,17641,0
JOET.US,D,20210721,000000,29.49,29.67,29.4878,29.67,22665,0
JOET.US,D,20210722,000000,29.6,29.75,29.5701,29.7222,18001,0
JOET.US,D,20210723,000000,29.81,30.13,29.81,30.13,35340,0
JOET.US,D,20210726,000000,30.09,30.09,29.91,29.965,19490,0
JOET.US,D,20210727,000000,29.9,29.9,29.6,29.81,13278,0
JOET.US,D,20210728,000000,29.82,29.988,29.8,29.93,30452,0
JOET.US,D,20210729,000000,30,30.3,30,30.25,25546,0
JOET.US,D,20210730,000000,30.16,30.3498,30.01,30.3,50052,0
JOET.US,D,20210802,000000,30.48,30.51,30.26,30.33,56448,0
JOET.US,D,20210803,000000,30.43,30.575,30.2315,30.575,20357,0
JOET.US,D,20210804,000000,30.48,30.8139,30.47,30.67,34237,0
JOET.US,D,20210805,000000,30.72,30.81,30.66,30.7446,21915,0
JOET.US,D,20210806,000000,30.8387,30.84,30.6758,30.7477,16040,0
JOET.US,D,20210809,000000,30.93,30.93,30.65,30.78,32796,0
JOET.US,D,20210810,000000,30.88,30.96,30.7826,30.798,35025,0
JOET.US,D,20210811,000000,30.96,30.96,30.6876,30.87,41761,0
