<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSMD.US,D,20160225,000000,24.836,24.836,24.559,24.796,2945,0
JSMD.US,D,20160226,000000,25.425,25.425,24.974,25.002,1477,0
JSMD.US,D,20160229,000000,25.069,25.069,25.069,25.069,100,0
JSMD.US,D,20160301,000000,25.336,25.336,25.336,25.336,201,0
JSMD.US,D,20160302,000000,25.502,25.59,25.473,25.59,1139,0
JSMD.US,D,20160303,000000,25.785,25.805,25.658,25.805,1519,0
JSMD.US,D,20160304,000000,26.052,26.111,25.964,25.964,2600,0
JSMD.US,D,20160307,000000,26.065,26.121,26.065,26.121,2468,0
JSMD.US,D,20160308,000000,25.874,25.874,25.579,25.579,5705,0
JSMD.US,D,20160309,000000,25.61,25.667,25.61,25.667,1811,0
JSMD.US,D,20160310,000000,25.58,25.58,25.58,25.58,668,0
JSMD.US,D,20160311,000000,26.023,26.023,26.023,26.023,701,0
JSMD.US,D,20160314,000000,26.092,26.092,25.894,26.032,9231,0
JSMD.US,D,20160316,000000,25.628,25.628,25.628,25.628,159,0
JSMD.US,D,20160317,000000,25.884,25.994,25.766,25.994,1465,0
JSMD.US,D,20160318,000000,26.228,26.326,26.228,26.284,1694,0
JSMD.US,D,20160321,000000,26.218,26.218,26.218,26.218,753,0
JSMD.US,D,20160323,000000,26.013,26.013,26.013,26.013,201,0
JSMD.US,D,20160324,000000,25.845,25.845,25.825,25.825,405,0
JSMD.US,D,20160328,000000,25.805,25.805,25.805,25.805,180,0
JSMD.US,D,20160330,000000,26.503,26.503,26.493,26.493,302,0
JSMD.US,D,20160401,000000,26.57,26.57,26.513,26.513,5601,0
JSMD.US,D,20160404,000000,26.68,26.68,26.68,26.68,732,0
JSMD.US,D,20160406,000000,26.229,26.229,26.229,26.229,201,0
JSMD.US,D,20160407,000000,26.522,26.522,26.098,26.098,405,0
JSMD.US,D,20160408,000000,26.61,26.61,26.269,26.269,546,0
JSMD.US,D,20160412,000000,26.309,26.309,26.289,26.289,2031,0
JSMD.US,D,20160413,000000,26.67,26.67,26.67,26.67,100,0
JSMD.US,D,20160414,000000,26.956,27.016,26.956,27.016,1221,0
JSMD.US,D,20160419,000000,27.212,27.212,27.212,27.212,749,0
JSMD.US,D,20160421,000000,27.448,27.448,27.242,27.242,647,0
JSMD.US,D,20160422,000000,27.408,27.448,27.408,27.448,252,0
JSMD.US,D,20160425,000000,27.312,27.312,27.312,27.312,100,0
JSMD.US,D,20160426,000000,27.478,27.478,27.478,27.478,100,0
JSMD.US,D,20160427,000000,27.615,27.665,27.565,27.665,1185,0
JSMD.US,D,20160428,000000,27.497,27.497,27.299,27.348,1986,0
JSMD.US,D,20160429,000000,28.704,28.704,26.759,26.759,9623,0
JSMD.US,D,20160502,000000,26.846,26.846,26.846,26.846,405,0
JSMD.US,D,20160503,000000,26.69,26.69,26.69,26.69,370,0
JSMD.US,D,20160504,000000,26.61,26.61,26.312,26.397,2090,0
JSMD.US,D,20160505,000000,26.397,26.432,26.397,26.432,594,0
JSMD.US,D,20160510,000000,26.7,26.839,26.7,26.839,790,0
JSMD.US,D,20160511,000000,26.71,26.71,26.61,26.63,1119,0
JSMD.US,D,20160512,000000,26.485,26.485,26.232,26.463,2497,0
JSMD.US,D,20160517,000000,26.749,26.749,26.327,26.327,1828,0
JSMD.US,D,20160518,000000,26.318,26.445,26.318,26.322,578,0
JSMD.US,D,20160519,000000,26.132,26.17,26.132,26.16,813,0
JSMD.US,D,20160520,000000,26.66,26.66,26.66,26.66,506,0
JSMD.US,D,20160524,000000,27.259,27.259,27.153,27.153,753,0
JSMD.US,D,20160525,000000,27.388,27.388,27.388,27.388,1147,0
JSMD.US,D,20160526,000000,27.338,27.408,27.338,27.408,1239,0
JSMD.US,D,20160531,000000,27.675,27.763,27.675,27.763,965,0
JSMD.US,D,20160601,000000,27.843,27.843,27.833,27.833,1016,0
JSMD.US,D,20160602,000000,27.85,27.931,27.85,27.931,814,0
JSMD.US,D,20160603,000000,27.987,27.987,27.763,27.873,1016,0
JSMD.US,D,20160606,000000,28.096,28.096,28.096,28.096,110,0
JSMD.US,D,20160607,000000,28.311,28.331,28.149,28.331,3764,0
JSMD.US,D,20160609,000000,28.15,28.261,28.129,28.168,2487,0
JSMD.US,D,20160610,000000,27.753,27.753,27.724,27.724,1773,0
JSMD.US,D,20160613,000000,27.567,27.567,27.493,27.493,661,0
JSMD.US,D,20160614,000000,27.408,27.438,27.286,27.438,4978,0
JSMD.US,D,20160615,000000,27.606,27.606,27.606,27.606,2262,0
JSMD.US,D,20160616,000000,27.2,27.398,27.2,27.378,2870,0
JSMD.US,D,20160617,000000,27.289,27.289,27.259,27.259,2017,0
JSMD.US,D,20160620,000000,27.753,27.753,27.666,27.666,1445,0
JSMD.US,D,20160622,000000,27.635,27.635,27.541,27.541,1455,0
JSMD.US,D,20160623,000000,27.833,27.833,27.733,27.774,2037,0
JSMD.US,D,20160624,000000,27.173,27.173,27.173,27.173,100,0
JSMD.US,D,20160627,000000,26.103,26.103,26.103,26.103,100,0
JSMD.US,D,20160628,000000,26.122,26.455,26.122,26.455,2037,0
JSMD.US,D,20160629,000000,26.936,27.124,26.936,27.124,957,0
JSMD.US,D,20160630,000000,27.248,27.248,27.248,27.248,1025,0
JSMD.US,D,20160701,000000,27.701,27.701,27.604,27.657,2318,0
JSMD.US,D,20160705,000000,27.405,27.405,27.161,27.161,1493,0
