<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JSML.US,D,20160225,000000,24.831,24.831,24.459,24.625,11890,0
JSML.US,D,20160226,000000,25.981,25.981,24.798,24.798,3589,0
JSML.US,D,20160229,000000,24.92,24.98,24.733,24.733,2518,0
JSML.US,D,20160301,000000,24.801,24.999,24.801,24.994,509,0
JSML.US,D,20160302,000000,25.026,25.097,25.026,25.097,615,0
JSML.US,D,20160303,000000,25.349,25.457,25.259,25.457,5513,0
JSML.US,D,20160304,000000,25.651,25.651,25.555,25.565,7316,0
JSML.US,D,20160307,000000,25.585,25.585,25.585,25.585,192,0
JSML.US,D,20160308,000000,25.72,25.72,25.123,25.123,4357,0
JSML.US,D,20160309,000000,25.111,25.173,25.064,25.173,5423,0
JSML.US,D,20160310,000000,24.881,24.881,24.881,24.881,717,0
JSML.US,D,20160311,000000,25.173,25.409,25.173,25.409,1066,0
JSML.US,D,20160314,000000,25.389,25.392,25.379,25.392,509,0
JSML.US,D,20160315,000000,25.173,25.173,25.173,25.173,2105,0
JSML.US,D,20160317,000000,24.911,24.911,24.911,24.911,100,0
JSML.US,D,20160318,000000,25.517,25.555,25.497,25.555,4503,0
JSML.US,D,20160321,000000,25.517,25.575,25.517,25.565,2124,0
JSML.US,D,20160322,000000,25.517,25.585,25.487,25.487,2184,0
JSML.US,D,20160323,000000,25.153,25.153,25.153,25.153,217,0
JSML.US,D,20160324,000000,24.811,24.811,24.787,24.787,607,0
JSML.US,D,20160328,000000,24.94,24.94,24.94,24.94,182,0
JSML.US,D,20160329,000000,25.389,25.69,25.389,25.69,361,0
JSML.US,D,20160331,000000,25.868,25.868,25.851,25.858,786,0
JSML.US,D,20160401,000000,25.726,25.772,25.726,25.772,1059,0
JSML.US,D,20160406,000000,25.742,25.742,25.742,25.742,509,0
JSML.US,D,20160407,000000,25.501,25.538,25.501,25.538,202,0
JSML.US,D,20160408,000000,25.819,25.819,25.677,25.677,306,0
JSML.US,D,20160411,000000,25.405,25.405,25.405,25.405,310,0
JSML.US,D,20160412,000000,25.433,25.513,25.433,25.513,1628,0
JSML.US,D,20160413,000000,25.752,26.203,25.752,26.203,1537,0
JSML.US,D,20160414,000000,26.191,26.191,26.191,26.191,260,0
JSML.US,D,20160415,000000,26.045,26.045,26.045,26.045,135,0
JSML.US,D,20160418,000000,26.25,26.284,26.25,26.284,361,0
JSML.US,D,20160420,000000,26.398,26.414,26.288,26.414,668,0
JSML.US,D,20160421,000000,26.358,26.358,26.259,26.29,1434,0
JSML.US,D,20160422,000000,26.51,26.584,26.348,26.528,1591,0
JSML.US,D,20160425,000000,26.344,26.344,26.339,26.339,423,0
JSML.US,D,20160426,000000,26.477,26.555,26.357,26.535,5670,0
