<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWB.US,D,20111104,000000,16.869,16.996,16.837,16.851,25329,0
KBWB.US,D,20111107,000000,17.006,17.091,16.844,16.979,65581,0
KBWB.US,D,20111108,000000,17.251,17.251,17.21,17.21,12276,0
KBWB.US,D,20111109,000000,16.987,16.996,16.428,16.487,4211812,0
KBWB.US,D,20111110,000000,16.728,16.728,16.72,16.72,6979,0
KBWB.US,D,20111111,000000,16.953,16.996,16.902,16.987,4847489,0
KBWB.US,D,20111114,000000,16.821,16.828,16.446,16.579,271955,0
KBWB.US,D,20111115,000000,16.487,16.736,16.386,16.703,33997,0
KBWB.US,D,20111116,000000,16.53,16.67,16.288,16.305,5439056,0
KBWB.US,D,20111117,000000,16.136,16.136,15.946,15.955,3105726,0
KBWB.US,D,20111118,000000,16.042,16.191,15.989,16.097,1388775,0
KBWB.US,D,20111121,000000,15.815,15.815,15.59,15.655,7601049,0
KBWB.US,D,20111122,000000,15.647,15.647,15.415,15.415,2349,0
KBWB.US,D,20111123,000000,15.183,15.183,14.974,15.029,14440,0
KBWB.US,D,20111128,000000,16.208,16.208,15.235,15.235,19153,0
KBWB.US,D,20111129,000000,15.29,15.431,15.29,15.431,4689,0
KBWB.US,D,20111130,000000,15.869,15.996,15.869,15.986,1387,0
KBWB.US,D,20111201,000000,16.215,16.215,16.215,16.215,8427,0
KBWB.US,D,20111202,000000,16.472,16.828,16.472,16.77,102649,0
KBWB.US,D,20111205,000000,16.869,17.179,16.869,17.179,303723,0
KBWB.US,D,20111206,000000,16.996,16.996,16.837,16.837,1449,0
KBWB.US,D,20111207,000000,16.703,16.703,16.703,16.703,28401,0
KBWB.US,D,20111208,000000,16.851,16.851,16.314,16.363,382755,0
KBWB.US,D,20111209,000000,16.628,16.869,16.618,16.811,39287,0
KBWB.US,D,20111212,000000,16.495,16.547,16.271,16.394,45244,0
KBWB.US,D,20111213,000000,16.594,16.628,15.946,16.136,410702,0
KBWB.US,D,20111214,000000,16.182,16.288,15.98,16.056,37963,0
KBWB.US,D,20111215,000000,16.314,16.348,16.088,16.111,50208,0
KBWB.US,D,20111216,000000,16.065,16.28,15.914,15.946,25390,0
KBWB.US,D,20111219,000000,16.034,16.034,15.491,15.542,28519,0
KBWB.US,D,20111220,000000,15.88,16.262,15.88,16.232,19324,0
KBWB.US,D,20111221,000000,16.154,16.348,16.072,16.297,3733,0
KBWB.US,D,20111222,000000,16.386,16.902,16.386,16.837,13977,0
KBWB.US,D,20111223,000000,16.979,16.987,16.787,16.929,47275,0
KBWB.US,D,20111227,000000,16.961,16.979,16.787,16.802,32328,0
KBWB.US,D,20111228,000000,16.655,16.663,16.48,16.48,23222,0
KBWB.US,D,20111229,000000,16.604,16.851,16.48,16.821,25738,0
KBWB.US,D,20111230,000000,16.735,16.796,16.697,16.703,18023,0
KBWB.US,D,20120103,000000,17.352,17.367,17.225,17.225,8667,0
KBWB.US,D,20120104,000000,17.091,17.391,17.042,17.344,315518,0
KBWB.US,D,20120105,000000,17.358,17.809,17.358,17.725,113956,0
KBWB.US,D,20120106,000000,17.644,17.683,17.504,17.676,328993,0
