<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWD.US,D,20101207,000000,9.958,9.977,9.943,9.943,6176,0
KBWD.US,D,20101208,000000,9.943,9.943,9.902,9.902,3752,0
KBWD.US,D,20101209,000000,9.952,9.977,9.95,9.977,10908,0
KBWD.US,D,20101210,000000,10.045,10.086,10.045,10.077,5338,0
KBWD.US,D,20101213,000000,10.119,10.131,10.114,10.119,13093,0
KBWD.US,D,20101214,000000,10.131,10.139,10.088,10.088,51133,0
KBWD.US,D,20101215,000000,10.124,10.124,10.059,10.086,4440,0
KBWD.US,D,20101217,000000,10.012,10.012,10.012,10.012,4368,0
KBWD.US,D,20101220,000000,10.124,10.124,10.051,10.068,88539,0
KBWD.US,D,20101221,000000,10.107,10.163,10.092,10.156,133419,0
KBWD.US,D,20101222,000000,10.182,10.214,10.166,10.189,128398,0
KBWD.US,D,20101223,000000,10.178,10.217,10.178,10.21,75152,0
KBWD.US,D,20101227,000000,10.204,10.232,10.204,10.224,20501,0
KBWD.US,D,20101228,000000,10.194,10.204,10.189,10.197,21536,0
KBWD.US,D,20101229,000000,10.184,10.223,10.124,10.223,45281,0
KBWD.US,D,20101230,000000,10.225,10.254,10.225,10.248,10194,0
KBWD.US,D,20101231,000000,10.231,10.245,10.212,10.212,16247,0
KBWD.US,D,20110103,000000,10.253,10.291,10.253,10.274,16579,0
KBWD.US,D,20110104,000000,10.172,10.21,9.999,10.025,124387,0
KBWD.US,D,20110105,000000,10.012,10.077,10.001,10.059,26603,0
KBWD.US,D,20110106,000000,10.135,10.135,10.071,10.083,68220,0
KBWD.US,D,20110107,000000,10.107,10.119,10.001,10.054,52668,0
KBWD.US,D,20110110,000000,10.031,10.039,9.99,10.031,39087,0
KBWD.US,D,20110111,000000,10.11,10.11,10.071,10.102,93427,0
KBWD.US,D,20110112,000000,10.31,10.31,10.135,10.144,32582,0
KBWD.US,D,20110113,000000,10.21,10.21,10.107,10.107,41585,0
KBWD.US,D,20110114,000000,10.045,10.156,10.02,10.156,166310,0
KBWD.US,D,20110118,000000,10.163,10.175,10.092,10.175,69438,0
KBWD.US,D,20110119,000000,10.124,10.197,9.97,9.974,35292,0
KBWD.US,D,20110120,000000,9.934,9.937,9.891,9.921,90540,0
KBWD.US,D,20110121,000000,10.005,10.005,9.943,9.95,59810,0
KBWD.US,D,20110124,000000,9.958,10.045,9.952,10.045,16272,0
KBWD.US,D,20110125,000000,10.016,10.028,10.001,10.02,85236,0
KBWD.US,D,20110126,000000,10.025,10.11,10.025,10.092,43059,0
KBWD.US,D,20110127,000000,10.124,10.151,10.107,10.151,12131,0
KBWD.US,D,20110128,000000,10.129,10.129,9.99,9.993,14360,0
KBWD.US,D,20110131,000000,9.983,10.022,9.974,9.992,12694,0
KBWD.US,D,20110201,000000,10.107,10.156,10.107,10.156,5424,0
KBWD.US,D,20110202,000000,10.197,10.197,10.129,10.139,21377,0
KBWD.US,D,20110203,000000,10.151,10.178,10.107,10.166,16264,0
KBWD.US,D,20110204,000000,10.139,10.159,10.124,10.159,22827,0
KBWD.US,D,20110207,000000,10.172,10.224,10.172,10.224,10884,0
KBWD.US,D,20110208,000000,10.201,10.239,10.186,10.239,21835,0
KBWD.US,D,20110209,000000,10.239,10.243,10.214,10.224,194321,0
KBWD.US,D,20110210,000000,10.194,10.204,10.178,10.186,49601,0
KBWD.US,D,20110211,000000,10.194,10.267,10.194,10.267,10437,0
KBWD.US,D,20110214,000000,10.38,10.38,10.236,10.274,71566,0
KBWD.US,D,20110215,000000,10.163,10.172,10.124,10.131,17202,0
KBWD.US,D,20110216,000000,10.159,10.236,10.159,10.172,13453,0
KBWD.US,D,20110218,000000,10.267,10.27,10.226,10.248,20842,0
KBWD.US,D,20110222,000000,10.274,10.274,10.077,10.077,51440,0
KBWD.US,D,20110223,000000,10.114,10.114,9.981,10.045,62983,0
KBWD.US,D,20110224,000000,10.119,10.119,10.039,10.094,3710,0
KBWD.US,D,20110225,000000,10.144,10.224,10.135,10.21,32066,0
KBWD.US,D,20110228,000000,10.287,10.301,10.231,10.254,21225,0
KBWD.US,D,20110301,000000,10.365,10.365,10.152,10.152,39151,0
KBWD.US,D,20110302,000000,10.191,10.191,10.129,10.157,13971,0
KBWD.US,D,20110303,000000,10.237,10.288,10.237,10.271,6372,0
KBWD.US,D,20110304,000000,10.268,10.268,10.191,10.191,11901,0
KBWD.US,D,20110307,000000,10.248,10.248,10.151,10.151,17864,0
KBWD.US,D,20110308,000000,10.204,10.259,10.204,10.236,7099,0
KBWD.US,D,20110309,000000,10.26,10.268,10.227,10.237,10908,0
KBWD.US,D,20110310,000000,10.211,10.211,10.124,10.124,15903,0
KBWD.US,D,20110311,000000,10.077,10.115,10.068,10.115,15433,0
KBWD.US,D,20110314,000000,10.068,10.098,10.025,10.065,9821,0
KBWD.US,D,20110315,000000,9.83,10.036,9.83,9.98,52107,0
KBWD.US,D,20110316,000000,9.948,10.007,9.883,9.901,58846,0
KBWD.US,D,20110317,000000,9.949,9.995,9.936,9.949,34110,0
KBWD.US,D,20110318,000000,9.948,10.001,9.948,10.001,27733,0
KBWD.US,D,20110321,000000,10.092,10.14,10.092,10.136,38753,0
KBWD.US,D,20110322,000000,10.092,10.092,10.005,10.016,25570,0
KBWD.US,D,20110323,000000,10.005,10.102,9.1645,10.051,58565,0
KBWD.US,D,20110324,000000,10.102,10.102,10.054,10.071,51106,0
KBWD.US,D,20110325,000000,10.151,10.151,10.081,10.13,4922,0
KBWD.US,D,20110328,000000,10.094,10.119,10.02,10.031,25287,0
KBWD.US,D,20110329,000000,10.039,10.077,10.025,10.036,52479,0
KBWD.US,D,20110330,000000,10.086,10.115,10.083,10.115,23602,0
KBWD.US,D,20110331,000000,10.122,10.134,10.094,10.134,11960,0
KBWD.US,D,20110401,000000,10.112,10.211,10.112,10.186,23296,0
KBWD.US,D,20110404,000000,10.206,10.234,10.199,10.234,52701,0
KBWD.US,D,20110405,000000,10.233,10.271,10.219,10.239,60650,0
KBWD.US,D,20110406,000000,10.263,10.297,10.26,10.297,20446,0
KBWD.US,D,20110407,000000,10.268,10.275,10.19,10.211,23362,0
KBWD.US,D,20110408,000000,10.151,10.19,10.076,10.097,11625,0
KBWD.US,D,20110411,000000,10.039,10.16,10.039,10.107,25378,0
KBWD.US,D,20110412,000000,10.094,10.102,9.995,9.995,44462,0
KBWD.US,D,20110413,000000,10.036,10.086,9.98,10.005,30202,0
KBWD.US,D,20110414,000000,9.951,10.065,9.951,10.065,13835,0
