<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWP.US,D,20101216,000000,20.249,20.249,20.227,20.227,5020,0
KBWP.US,D,20101221,000000,20.21,20.21,20.21,20.21,2507,0
KBWP.US,D,20101222,000000,20.38,20.386,20.38,20.386,5145,0
KBWP.US,D,20101223,000000,20.386,20.403,20.386,20.403,2507,0
KBWP.US,D,20101227,000000,20.449,20.449,20.393,20.393,1507,0
KBWP.US,D,20101228,000000,20.403,20.403,20.38,20.38,1507,0
KBWP.US,D,20110106,000000,20.516,20.572,20.38,20.38,3766,0
KBWP.US,D,20110119,000000,20.272,20.272,20.272,20.272,377,0
KBWP.US,D,20110120,000000,20.13,20.21,20.13,20.21,1378,0
KBWP.US,D,20110126,000000,20.714,20.714,20.704,20.704,1042,0
KBWP.US,D,20110128,000000,20.759,20.759,20.759,20.759,1256,0
KBWP.US,D,20110208,000000,20.864,20.935,20.864,20.935,502,0
KBWP.US,D,20110209,000000,20.935,20.935,20.926,20.926,627,0
KBWP.US,D,20110215,000000,20.848,20.864,20.848,20.856,856,0
KBWP.US,D,20110216,000000,20.926,20.926,20.926,20.926,438,0
KBWP.US,D,20110218,000000,21.109,21.183,21.109,21.183,627,0
KBWP.US,D,20110222,000000,20.951,20.951,20.926,20.926,377,0
KBWP.US,D,20110224,000000,20.507,20.507,20.507,20.507,249,0
KBWP.US,D,20110225,000000,20.663,20.663,20.663,20.663,124,0
KBWP.US,D,20110303,000000,20.894,20.894,20.887,20.887,627,0
KBWP.US,D,20110311,000000,20.249,20.249,20.249,20.249,502,0
KBWP.US,D,20110314,000000,20.321,20.403,20.321,20.38,627,0
KBWP.US,D,20110317,000000,20.054,20.054,20.054,20.054,627,0
KBWP.US,D,20110321,000000,20.189,20.189,20.167,20.181,5020,0
KBWP.US,D,20110324,000000,20.195,20.195,20.195,20.195,199,0
KBWP.US,D,20110325,000000,20.296,20.296,20.296,20.296,2507,0
KBWP.US,D,20110331,000000,20.804,20.813,20.715,20.813,881,0
KBWP.US,D,20110401,000000,20.887,20.887,20.887,20.887,1507,0
KBWP.US,D,20110404,000000,21.064,21.183,21.064,21.064,751,0
KBWP.US,D,20110425,000000,20.729,20.729,20.729,20.729,712,0
KBWP.US,D,20110428,000000,21.308,21.308,21.308,21.308,124,0
KBWP.US,D,20110429,000000,21.396,21.396,21.363,21.371,377,0
KBWP.US,D,20110502,000000,21.271,21.271,21.271,21.271,249,0
KBWP.US,D,20110511,000000,21.143,21.158,21.143,21.158,2507,0
KBWP.US,D,20110518,000000,20.941,20.951,20.941,20.951,1570,0
KBWP.US,D,20110523,000000,20.775,20.791,20.775,20.791,2886,0
KBWP.US,D,20110524,000000,20.069,20.729,20.069,20.672,1757,0
KBWP.US,D,20110527,000000,20.693,20.693,20.693,20.693,124,0
KBWP.US,D,20110602,000000,20.54,20.54,20.54,20.54,2507,0
KBWP.US,D,20110615,000000,19.918,19.918,19.918,19.918,124,0
KBWP.US,D,20110623,000000,19.732,19.732,19.732,19.732,1252,0
KBWP.US,D,20110630,000000,20.23,20.23,20.23,20.23,1252,0
KBWP.US,D,20110718,000000,19.592,19.592,19.592,19.592,124,0
KBWP.US,D,20110719,000000,19.438,19.71,19.438,19.71,2753,0
KBWP.US,D,20110728,000000,19.721,19.721,19.721,19.721,136,0
KBWP.US,D,20110805,000000,18.526,18.526,18.526,18.526,216,0
KBWP.US,D,20110809,000000,18.014,18.014,18.014,18.014,124,0
KBWP.US,D,20110815,000000,18.58,18.58,18.58,18.58,248,0
KBWP.US,D,20110825,000000,17.671,17.701,17.671,17.701,749,0
KBWP.US,D,20110923,000000,17.05,17.302,17.05,17.302,7348,0
KBWP.US,D,20111020,000000,18.883,18.883,18.883,18.883,622,0
KBWP.US,D,20111021,000000,19.647,19.647,19.647,19.647,375,0
KBWP.US,D,20111026,000000,19.905,19.912,19.905,19.912,1367,0
KBWP.US,D,20111102,000000,20.147,20.147,19.705,19.751,1993,0
KBWP.US,D,20111103,000000,19.967,19.976,19.751,19.929,2281,0
KBWP.US,D,20111109,000000,20.219,20.219,20.031,20.031,995,0
KBWP.US,D,20111215,000000,20.008,20.008,20.008,20.008,247,0
KBWP.US,D,20111216,000000,19.983,19.983,19.983,19.983,244,0
KBWP.US,D,20120106,000000,20.762,20.779,20.762,20.779,2469,0
KBWP.US,D,20120119,000000,21.005,21.064,21.005,21.064,244,0
KBWP.US,D,20120123,000000,21.257,21.257,21.064,21.064,2595,0
KBWP.US,D,20120201,000000,21.184,21.201,21.184,21.194,7405,0
KBWP.US,D,20120203,000000,21.51,21.51,21.51,21.51,123,0
KBWP.US,D,20120206,000000,21.438,21.438,21.438,21.438,244,0
KBWP.US,D,20120221,000000,21.735,21.833,21.735,21.792,35552,0
KBWP.US,D,20120305,000000,21.645,21.645,21.645,21.645,136,0
KBWP.US,D,20120312,000000,21.792,21.792,21.792,21.792,519,0
KBWP.US,D,20120315,000000,22.126,22.192,22.126,22.192,4588,0
KBWP.US,D,20120319,000000,22.145,22.25,22.096,22.178,28546,0
KBWP.US,D,20120321,000000,22.196,22.196,22.105,22.105,4800,0
KBWP.US,D,20120322,000000,21.918,21.918,21.918,21.918,1230,0
KBWP.US,D,20120323,000000,21.925,22.038,21.925,22.023,2830,0
KBWP.US,D,20120403,000000,22.21,22.21,22.21,22.21,123,0
KBWP.US,D,20120412,000000,22.151,22.151,22.151,22.151,243,0
KBWP.US,D,20120430,000000,22.721,22.814,22.118,22.814,9473,0
KBWP.US,D,20120510,000000,23.947,23.947,23.146,23.154,371,0
KBWP.US,D,20120514,000000,23.102,23.102,23.102,23.102,426,0
KBWP.US,D,20120516,000000,22.94,22.94,22.94,22.94,1230,0
KBWP.US,D,20120517,000000,22.763,22.763,22.763,22.763,123,0
KBWP.US,D,20120518,000000,22.356,22.356,22.356,22.356,123,0
KBWP.US,D,20120521,000000,22.382,22.382,22.382,22.382,371,0
KBWP.US,D,20120530,000000,22.618,22.618,22.618,22.618,603,0
KBWP.US,D,20120601,000000,22.399,22.399,22.399,22.399,494,0
KBWP.US,D,20120620,000000,22.814,22.814,22.814,22.814,123,0
KBWP.US,D,20120702,000000,23.103,23.111,23.103,23.111,613,0
KBWP.US,D,20120713,000000,22.834,22.834,22.834,22.834,123,0
KBWP.US,D,20120716,000000,22.899,22.899,22.899,22.899,123,0
KBWP.US,D,20120717,000000,22.821,22.821,22.821,22.821,567,0
KBWP.US,D,20120724,000000,22.182,22.182,22.182,22.182,390,0
KBWP.US,D,20120731,000000,22.474,22.474,22.474,22.474,123,0
KBWP.US,D,20120810,000000,22.834,22.834,22.834,22.834,243,0
KBWP.US,D,20120820,000000,23.197,23.25,23.12,23.244,7376,0
KBWP.US,D,20120827,000000,23.111,23.197,23.111,23.171,1817,0
KBWP.US,D,20120905,000000,23.215,23.215,23.215,23.215,243,0
KBWP.US,D,20120907,000000,23.564,23.564,23.442,23.476,1201,0
KBWP.US,D,20120924,000000,22.853,24.129,22.853,24.129,242,0
KBWP.US,D,20120925,000000,24.267,24.267,24.196,24.196,732,0
KBWP.US,D,20120927,000000,23.778,23.917,23.778,23.917,428,0
KBWP.US,D,20121002,000000,24.219,24.219,24.219,24.219,268,0
KBWP.US,D,20121003,000000,24.252,24.252,24.252,24.252,122,0
KBWP.US,D,20121009,000000,24.443,24.443,24.443,24.443,369,0
KBWP.US,D,20121015,000000,24.443,24.443,24.443,24.443,489,0
KBWP.US,D,20121016,000000,24.805,24.949,24.805,24.949,924,0
KBWP.US,D,20121018,000000,25.605,25.605,25.605,25.605,610,0
KBWP.US,D,20121022,000000,25.369,25.369,25.369,25.369,122,0
KBWP.US,D,20121023,000000,25.236,25.236,25.236,25.236,122,0
KBWP.US,D,20121024,000000,25.244,25.276,24.989,25.267,2316,0
KBWP.US,D,20121025,000000,25.309,25.309,25.309,25.309,610,0
KBWP.US,D,20121026,000000,24.989,24.989,24.989,24.989,643,0
KBWP.US,D,20121031,000000,25.409,25.409,24.701,24.876,1281,0
KBWP.US,D,20121102,000000,24.165,24.165,24.165,24.165,423,0
KBWP.US,D,20121106,000000,24.468,24.468,24.285,24.285,242,0
KBWP.US,D,20121108,000000,24.285,24.285,24.285,24.285,242,0
KBWP.US,D,20121112,000000,24.292,24.292,24.292,24.292,1649,0
KBWP.US,D,20121113,000000,24.082,24.082,23.966,23.966,14088,0
KBWP.US,D,20121114,000000,23.966,23.983,23.754,23.754,1820,0
KBWP.US,D,20121120,000000,24.301,24.301,24.301,24.301,122,0
KBWP.US,D,20121121,000000,24.327,24.327,24.327,24.327,1247,0
KBWP.US,D,20121126,000000,24.327,24.327,24.327,24.327,242,0
KBWP.US,D,20121129,000000,24.828,24.847,24.828,24.828,3257,0
KBWP.US,D,20121213,000000,24.989,25.04,24.589,25.04,1059,0
KBWP.US,D,20121218,000000,25.35,25.35,25.016,25.016,11331,0
KBWP.US,D,20121219,000000,25.385,25.385,25.267,25.267,526,0
KBWP.US,D,20121224,000000,24.895,24.978,24.895,24.978,1436,0
KBWP.US,D,20121227,000000,24.895,24.895,24.621,24.656,1119,0
KBWP.US,D,20121231,000000,24.844,24.844,24.844,24.844,2991,0
KBWP.US,D,20130102,000000,24.85,25.19,24.85,25.19,1436,0
KBWP.US,D,20130103,000000,25.254,25.254,25.254,25.254,120,0
