<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWR.US,D,20111104,000000,19.3,19.403,19.216,19.256,13467,0
KBWR.US,D,20111107,000000,19.274,19.582,19.128,19.582,80581,0
KBWR.US,D,20111108,000000,19.783,21.03,19.5,19.507,18910,0
KBWR.US,D,20111109,000000,19.582,19.582,19.325,19.325,8775,0
KBWR.US,D,20111111,000000,19.444,19.46,19.419,19.419,24668,0
KBWR.US,D,20111114,000000,19.233,19.362,19.005,19.005,376941,0
KBWR.US,D,20111115,000000,19.005,19.372,18.812,19.355,35222,0
KBWR.US,D,20111116,000000,19.201,19.636,19.105,19.135,131453,0
KBWR.US,D,20111117,000000,19.362,19.403,19.097,19.097,47703,0
KBWR.US,D,20111118,000000,19.031,19.088,19.023,19.088,9147,0
KBWR.US,D,20111121,000000,18.61,18.61,18.61,18.61,125,0
KBWR.US,D,20111125,000000,17.721,18.075,17.679,17.721,19773,0
KBWR.US,D,20111128,000000,18.327,18.327,18.27,18.27,21601,0
KBWR.US,D,20111130,000000,19.014,19.541,19.014,19.541,70740,0
KBWR.US,D,20111201,000000,19.556,19.574,19.216,19.216,20391,0
KBWR.US,D,20111202,000000,19.444,19.881,19.444,19.855,1728,0
KBWR.US,D,20111205,000000,19.793,19.841,19.793,19.833,2597,0
KBWR.US,D,20111208,000000,19.768,19.768,19.224,19.233,42269,0
KBWR.US,D,20111209,000000,19.582,19.972,19.493,19.887,23850,0
KBWR.US,D,20111212,000000,19.5,19.628,19.386,19.621,38679,0
KBWR.US,D,20111213,000000,19.92,19.937,19.128,19.265,69797,0
KBWR.US,D,20111214,000000,19.153,19.452,19.065,19.128,57440,0
KBWR.US,D,20111215,000000,19.46,19.507,19.317,19.436,47952,0
KBWR.US,D,20111216,000000,19.542,19.928,19.403,19.477,139701,0
KBWR.US,D,20111219,000000,19.726,19.726,19.031,19.112,12111,0
KBWR.US,D,20111220,000000,19.507,19.928,19.507,19.903,24592,0
KBWR.US,D,20111221,000000,19.833,20.164,19.768,20.164,144708,0
KBWR.US,D,20111222,000000,20.457,20.793,20.372,20.543,26325,0
KBWR.US,D,20111223,000000,20.543,20.593,20.408,20.439,70496,0
KBWR.US,D,20111227,000000,20.31,20.648,20.259,20.617,32534,0
KBWR.US,D,20111228,000000,20.559,20.559,20.173,20.182,13345,0
KBWR.US,D,20111229,000000,20.495,20.586,20.439,20.559,17695,0
KBWR.US,D,20111230,000000,20.43,20.538,20.296,20.296,14830,0
KBWR.US,D,20120103,000000,21.071,21.071,20.737,20.81,22244,0
KBWR.US,D,20120104,000000,20.658,20.962,20.495,20.886,26201,0
KBWR.US,D,20120105,000000,20.675,21.475,20.667,21.304,44247,0
KBWR.US,D,20120106,000000,20.956,21.296,20.948,21.248,151005,0
KBWR.US,D,20120109,000000,21.345,21.53,21.19,21.52,19207,0
KBWR.US,D,20120110,000000,21.831,21.97,21.684,21.684,12804,0
KBWR.US,D,20120111,000000,21.645,21.645,21.4,21.548,12592,0
KBWR.US,D,20120112,000000,21.698,21.816,21.482,21.782,115828,0
KBWR.US,D,20120113,000000,21.454,21.698,21.445,21.66,54688,0
KBWR.US,D,20120117,000000,21.993,21.993,21.497,21.617,17290,0
KBWR.US,D,20120119,000000,21.63,21.645,21.497,21.565,185217,0
