<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBWY.US,D,20101207,000000,13.132,13.274,13.132,13.225,16487,0
KBWY.US,D,20101208,000000,13.225,13.225,13.054,13.054,4974,0
KBWY.US,D,20101209,000000,12.987,12.993,12.96,12.96,6130,0
KBWY.US,D,20101210,000000,12.972,13.08,12.972,13.06,4031,0
KBWY.US,D,20101213,000000,13.108,13.108,13.054,13.054,1917,0
KBWY.US,D,20101214,000000,13.065,13.065,12.87,12.876,15699,0
KBWY.US,D,20101215,000000,12.794,12.794,12.794,12.794,395,0
KBWY.US,D,20101217,000000,12.773,12.773,12.773,12.773,395,0
KBWY.US,D,20101221,000000,13.108,13.16,13.108,13.16,7118,0
KBWY.US,D,20101222,000000,13.303,13.303,13.303,13.303,1156,0
KBWY.US,D,20101229,000000,13.466,13.466,13.466,13.466,746,0
KBWY.US,D,20101230,000000,13.57,13.57,13.57,13.57,746,0
KBWY.US,D,20101231,000000,13.532,13.55,13.496,13.496,11850,0
KBWY.US,D,20110103,000000,13.636,13.694,13.636,13.694,991,0
KBWY.US,D,20110104,000000,13.663,13.672,13.331,13.331,68967,0
KBWY.US,D,20110105,000000,13.421,13.421,13.296,13.398,17721,0
KBWY.US,D,20110106,000000,13.573,13.573,13.291,13.296,27916,0
KBWY.US,D,20110107,000000,13.296,13.296,13.199,13.274,8422,0
KBWY.US,D,20110110,000000,13.36,13.36,13.206,13.311,25867,0
KBWY.US,D,20110111,000000,13.206,13.206,13.206,13.206,182,0
KBWY.US,D,20110113,000000,13.278,13.278,13.278,13.278,504,0
KBWY.US,D,20110114,000000,13.274,13.291,13.23,13.284,25376,0
KBWY.US,D,20110118,000000,13.313,13.313,13.235,13.249,3976,0
KBWY.US,D,20110119,000000,13.254,13.265,13.17,13.17,11632,0
KBWY.US,D,20110120,000000,13.16,13.242,13.16,13.199,8055,0
KBWY.US,D,20110121,000000,13.181,13.181,13.181,13.181,395,0
KBWY.US,D,20110124,000000,13.225,13.321,13.225,13.303,4136,0
KBWY.US,D,20110125,000000,13.249,13.367,13.249,13.367,1308,0
KBWY.US,D,20110126,000000,13.476,13.479,13.46,13.479,5203,0
KBWY.US,D,20110127,000000,13.603,13.616,13.603,13.616,3829,0
KBWY.US,D,20110131,000000,13.479,13.479,13.479,13.479,1996,0
KBWY.US,D,20110201,000000,13.479,13.561,13.479,13.561,4228,0
KBWY.US,D,20110202,000000,13.532,13.536,13.505,13.505,3240,0
KBWY.US,D,20110203,000000,13.471,13.471,13.471,13.471,951,0
KBWY.US,D,20110204,000000,13.402,13.46,13.383,13.444,7122,0
KBWY.US,D,20110207,000000,13.526,13.55,13.526,13.55,2989,0
KBWY.US,D,20110208,000000,13.55,13.636,13.55,13.636,3207,0
KBWY.US,D,20110209,000000,13.625,13.641,13.582,13.582,23550,0
KBWY.US,D,20110210,000000,13.631,13.631,13.631,13.631,361,0
KBWY.US,D,20110211,000000,13.61,13.729,13.61,13.712,8528,0
KBWY.US,D,20110214,000000,13.729,13.75,13.694,13.732,8844,0
KBWY.US,D,20110215,000000,13.658,13.681,13.636,13.636,5090,0
KBWY.US,D,20110216,000000,13.667,13.739,13.652,13.652,6458,0
KBWY.US,D,20110218,000000,13.803,13.821,13.795,13.795,3970,0
KBWY.US,D,20110222,000000,13.8,13.8,13.603,13.603,4911,0
KBWY.US,D,20110223,000000,13.603,13.603,13.488,13.488,8614,0
KBWY.US,D,20110224,000000,13.557,13.557,13.362,13.455,44205,0
KBWY.US,D,20110225,000000,13.526,13.667,13.512,13.667,31991,0
KBWY.US,D,20110228,000000,13.842,13.957,13.842,13.957,5859,0
KBWY.US,D,20110301,000000,13.926,13.926,13.681,13.681,7484,0
KBWY.US,D,20110302,000000,13.484,13.527,13.479,13.527,1715,0
KBWY.US,D,20110303,000000,13.611,13.637,13.611,13.623,5004,0
KBWY.US,D,20110304,000000,13.499,13.506,13.45,13.45,6485,0
KBWY.US,D,20110307,000000,13.434,13.499,13.402,13.465,8096,0
KBWY.US,D,20110308,000000,13.688,13.712,13.573,13.685,6058,0
KBWY.US,D,20110309,000000,13.627,13.633,13.627,13.633,943,0
KBWY.US,D,20110310,000000,13.416,13.426,13.416,13.426,2393,0
KBWY.US,D,20110311,000000,13.416,13.595,13.416,13.416,2873,0
KBWY.US,D,20110314,000000,13.387,13.408,13.353,13.408,11508,0
KBWY.US,D,20110315,000000,13.152,13.336,13.152,13.277,14202,0
KBWY.US,D,20110316,000000,13.253,13.253,13.046,13.046,5909,0
KBWY.US,D,20110317,000000,13.181,13.181,13.17,13.17,3806,0
KBWY.US,D,20110318,000000,13.072,13.205,13.072,13.205,2236,0
KBWY.US,D,20110321,000000,13.421,13.434,13.372,13.434,3091,0
KBWY.US,D,20110322,000000,13.313,13.313,13.313,13.313,394,0
KBWY.US,D,20110323,000000,13.283,13.295,13.264,13.264,2861,0
KBWY.US,D,20110325,000000,13.327,13.468,13.327,13.436,7311,0
KBWY.US,D,20110328,000000,13.712,13.712,13.398,13.398,5151,0
KBWY.US,D,20110329,000000,13.29,13.29,13.29,13.29,3806,0
KBWY.US,D,20110330,000000,13.537,13.648,13.537,13.623,14565,0
KBWY.US,D,20110331,000000,13.676,13.676,13.676,13.676,767,0
KBWY.US,D,20110401,000000,13.738,13.738,13.661,13.676,1812,0
KBWY.US,D,20110404,000000,13.77,13.77,13.758,13.758,463,0
KBWY.US,D,20110405,000000,13.784,13.846,13.779,13.802,20368,0
KBWY.US,D,20110406,000000,13.837,13.866,13.833,13.866,3108,0
KBWY.US,D,20110407,000000,13.731,13.731,13.71,13.71,2940,0
KBWY.US,D,20110408,000000,13.645,13.678,13.576,13.576,2915,0
KBWY.US,D,20110411,000000,13.643,13.643,13.643,13.643,732,0
KBWY.US,D,20110412,000000,13.654,13.658,13.616,13.616,1331,0
KBWY.US,D,20110413,000000,13.558,13.558,13.527,13.558,7634,0
KBWY.US,D,20110414,000000,13.669,13.712,13.664,13.712,3827,0
KBWY.US,D,20110415,000000,13.904,13.919,13.875,13.919,3378,0
KBWY.US,D,20110418,000000,13.768,13.79,13.731,13.773,21661,0
KBWY.US,D,20110419,000000,13.875,13.908,13.84,13.899,3484,0
KBWY.US,D,20110420,000000,15.145,15.145,14.006,14.006,3577,0
KBWY.US,D,20110421,000000,14.048,14.119,14.048,14.119,17778,0
KBWY.US,D,20110425,000000,14.079,14.124,14.032,14.103,68892,0
KBWY.US,D,20110426,000000,14.267,14.267,14.254,14.254,1056,0
KBWY.US,D,20110427,000000,14.272,14.337,14.272,14.337,3690,0
