<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEJI.US,D,20210225,000000,24.95,24.95,22.95,22.96,24603,0
KEJI.US,D,20210226,000000,22.68,22.78,22.55,22.55,11681,0
KEJI.US,D,20210301,000000,23.32,23.59,23.3,23.5371,7749,0
KEJI.US,D,20210302,000000,23.36,23.36,23.2029,23.21,4281,0
KEJI.US,D,20210303,000000,23.3,23.3,22.6775,22.6775,43050,0
KEJI.US,D,20210304,000000,22.14,22.14,21.34,21.3519,22180,0
KEJI.US,D,20210305,000000,21.63,21.63,21.02,21.39,12738,0
KEJI.US,D,20210308,000000,20.63,20.63,20.0345,20.0345,10478,0
KEJI.US,D,20210309,000000,20.27,20.72,20.27,20.67,8513,0
KEJI.US,D,20210310,000000,20.74,20.74,20.42,20.438,1760,0
KEJI.US,D,20210311,000000,21.03,21.36,21.03,21.3425,8107,0
KEJI.US,D,20210312,000000,20.7,20.79,20.7,20.79,1705,0
KEJI.US,D,20210315,000000,20.12,20.3038,20.12,20.3038,2690,0
KEJI.US,D,20210316,000000,20.43,20.579,20.43,20.562,3179,0
KEJI.US,D,20210317,000000,20.39,20.6876,20.39,20.6876,643,0
KEJI.US,D,20210318,000000,20.61,20.63,20.475,20.475,2428,0
KEJI.US,D,20210319,000000,20.18,20.319,20.15,20.3105,6275,0
KEJI.US,D,20210322,000000,20.31,20.41,20.262,20.34,17257,0
KEJI.US,D,20210323,000000,20.01,20.06,20,20.02,6153,0
KEJI.US,D,20210324,000000,19.51,19.51,19.1707,19.1707,7162,0
KEJI.US,D,20210325,000000,19.19,19.41,19.19,19.3557,5862,0
KEJI.US,D,20210326,000000,19.65,19.9684,19.6401,19.9684,4564,0
KEJI.US,D,20210329,000000,19.66,19.66,19.5999,19.6423,3076,0
KEJI.US,D,20210330,000000,19.85,20.08,19.85,20.04,3891,0
KEJI.US,D,20210331,000000,20,20.15,20,20.089,7712,0
KEJI.US,D,20210401,000000,20.32,20.64,20.32,20.5511,4687,0
KEJI.US,D,20210405,000000,20.71,20.71,20.6063,20.62,1891,0
KEJI.US,D,20210406,000000,20.62,20.81,20.62,20.81,1001,0
KEJI.US,D,20210407,000000,20.37,21.005,20.1,20.32,4131,0
KEJI.US,D,20210408,000000,20.51,20.51,20.44,20.49,1269,0
KEJI.US,D,20210409,000000,20.2,20.2,20.08,20.13,5327,0
KEJI.US,D,20210412,000000,19.86,19.86,19.68,19.73,7073,0
KEJI.US,D,20210413,000000,19.77,19.88,19.77,19.88,2212,0
KEJI.US,D,20210414,000000,20.18,20.18,20.12,20.12,1313,0
KEJI.US,D,20210415,000000,20.24,20.24,20.12,20.12,1277,0
KEJI.US,D,20210416,000000,20.06,20.12,20.05,20.0513,2122,0
KEJI.US,D,20210419,000000,20.68,20.69,20.58,20.5851,995,0
KEJI.US,D,20210420,000000,20.67,20.67,20.49,20.49,2716,0
KEJI.US,D,20210421,000000,20.61,20.755,20.61,20.755,340,0
KEJI.US,D,20210422,000000,20.81,20.865,20.7839,20.7839,1406,0
KEJI.US,D,20210423,000000,21.15,21.28,21.15,21.265,2361,0
KEJI.US,D,20210426,000000,20.91,20.94,20.81,20.9086,5069,0
KEJI.US,D,20210427,000000,20.95,20.95,20.82,20.8395,1843,0
KEJI.US,D,20210428,000000,21.13,21.14,20.56,21.1017,503,0
KEJI.US,D,20210429,000000,21.13,21.13,20.94,20.955,910,0
KEJI.US,D,20210430,000000,20.9,20.905,20.845,20.8456,3204,0
KEJI.US,D,20210503,000000,20.781,20.8062,20.781,20.785,695,0
KEJI.US,D,20210504,000000,20.62,20.62,20.501,20.505,2116,0
KEJI.US,D,20210505,000000,20.53,20.53,20.5,20.505,812,0
KEJI.US,D,20210506,000000,20.39,20.39,20.19,20.225,2680,0
KEJI.US,D,20210507,000000,19.93,19.9301,19.85,19.8909,3058,0
KEJI.US,D,20210510,000000,19.76,19.76,19.4496,19.4496,985,0
KEJI.US,D,20210511,000000,19.28,19.58,19.28,19.521,2020,0
KEJI.US,D,20210512,000000,19.6,19.6193,19.3584,19.3584,1141,0
KEJI.US,D,20210513,000000,19.35,19.4,19.18,19.2275,4252,0
KEJI.US,D,20210514,000000,19.51,19.71,19.51,19.7048,2929,0
KEJI.US,D,20210517,000000,20.01,20.0934,20.01,20.0934,6361,0
KEJI.US,D,20210518,000000,20.175,20.26,20.1558,20.1558,790,0
KEJI.US,D,20210519,000000,20.15,20.29,20.13,20.2549,8765,0
KEJI.US,D,20210520,000000,20.44,20.44,20.4055,20.4055,203,0
KEJI.US,D,20210521,000000,20.39,20.39,20.242,20.242,588,0
KEJI.US,D,20210524,000000,20.4794,20.4794,20.4326,20.4326,294,0
KEJI.US,D,20210525,000000,20.98,20.98,20.935,20.935,530,0
KEJI.US,D,20210526,000000,20.9,20.9,20.86,20.8901,1410,0
KEJI.US,D,20210527,000000,20.96,21.01,20.96,21.01,195,0
KEJI.US,D,20210601,000000,21.55,21.63,21.48,21.5825,2630,0
KEJI.US,D,20210602,000000,21.49,21.49,21.49,21.49,1168,0
KEJI.US,D,20210603,000000,21.04,21.04,20.96,20.9855,766,0
KEJI.US,D,20210604,000000,21.26,21.26,21.26,21.26,538,0
KEJI.US,D,20210607,000000,20.98,21.05,20.95,21.05,2722,0
KEJI.US,D,20210608,000000,20.96,20.96,20.95,20.95,204,0
KEJI.US,D,20210610,000000,21.42,21.545,21.42,21.545,1608,0
KEJI.US,D,20210611,000000,21.51,21.51,21.51,21.51,237,0
KEJI.US,D,20210614,000000,21.51,21.53,21.47,21.4878,983,0
KEJI.US,D,20210615,000000,21.51,21.51,21.42,21.42,1234,0
KEJI.US,D,20210616,000000,20.9,20.9,20.816,20.822,1636,0
KEJI.US,D,20210617,000000,21.03,21.139,21.03,21.135,1294,0
KEJI.US,D,20210618,000000,21.32,21.32,21.25,21.31,1577,0
KEJI.US,D,20210621,000000,21.42,21.42,21.33,21.33,958,0
KEJI.US,D,20210622,000000,21.3699,21.37,21.335,21.37,733,0
KEJI.US,D,20210623,000000,21.64,21.7,21.64,21.685,1146,0
KEJI.US,D,20210624,000000,21.84,21.94,21.82,21.9089,3881,0
KEJI.US,D,20210625,000000,22.1558,22.1878,22.1558,22.1878,493,0
KEJI.US,D,20210628,000000,22.44,22.48,22.3901,22.4,2212,0
KEJI.US,D,20210629,000000,22.44,22.48,22.44,22.48,1068,0
KEJI.US,D,20210630,000000,22.46,22.46,22.421,22.421,530,0
KEJI.US,D,20210701,000000,22.35,22.35,22.28,22.28,249,0
KEJI.US,D,20210702,000000,21.9,21.9,21.9,21.9,697,0
KEJI.US,D,20210706,000000,21.34,21.44,21.28,21.285,3259,0
KEJI.US,D,20210707,000000,21.66,21.66,21.48,21.49,2289,0
KEJI.US,D,20210708,000000,21.0201,21.22,21.0201,21.22,2895,0
KEJI.US,D,20210709,000000,21.505,21.64,21.5,21.64,583,0
KEJI.US,D,20210712,000000,21.9,21.9,21.9,21.9,234,0
KEJI.US,D,20210713,000000,22.08,22.11,22.08,22.11,2038,0
KEJI.US,D,20210714,000000,22.055,22.055,21.97,21.97,1540,0
KEJI.US,D,20210715,000000,22.08,22.08,22.08,22.08,240,0
KEJI.US,D,20210716,000000,21.81,21.81,21.63,21.63,1544,0
KEJI.US,D,20210719,000000,21.42,21.42,21.32,21.3624,1987,0
KEJI.US,D,20210720,000000,21.335,21.423,21.335,21.3833,927,0
KEJI.US,D,20210721,000000,21.58,21.58,21.58,21.58,393,0
KEJI.US,D,20210722,000000,21.4028,21.45,21.4028,21.45,426,0
KEJI.US,D,20210723,000000,21.03,21.03,20.57,20.625,3827,0
KEJI.US,D,20210726,000000,19.86,20,19.78,19.78,3803,0
KEJI.US,D,20210727,000000,18.95,18.95,18.62,18.9399,8461,0
KEJI.US,D,20210728,000000,19.45,20.11,19.45,20.11,6424,0
KEJI.US,D,20210729,000000,20.1515,20.1515,20.13,20.13,860,0
KEJI.US,D,20210730,000000,19.94,20.08,19.94,20.08,1984,0
KEJI.US,D,20210802,000000,20.23,20.349,20.21,20.2712,1061,0
KEJI.US,D,20210803,000000,20.11,20.11,19.985,20.03,2227,0
KEJI.US,D,20210804,000000,20.4,20.51,20.4,20.51,1852,0
KEJI.US,D,20210805,000000,20.29,20.29,20.201,20.2347,588,0
KEJI.US,D,20210809,000000,20.0844,20.13,20.0844,20.0982,816,0
KEJI.US,D,20210810,000000,20.11,20.11,20.11,20.11,204,0
KEJI.US,D,20210811,000000,20.1471,20.1471,20.1471,20.1471,174,0
KEJI.US,D,20210812,000000,19.72,19.74,19.71,19.71,1368,0
KEJI.US,D,20210813,000000,19.65,19.68,19.63,19.68,1243,0
KEJI.US,D,20210816,000000,19.42,19.42,19.231,19.2762,1113,0
KEJI.US,D,20210817,000000,18.77,18.795,18.69,18.795,1530,0
KEJI.US,D,20210818,000000,18.87,18.87,18.87,18.87,245,0
KEJI.US,D,20210819,000000,18.74,18.74,18.74,18.74,242,0
KEJI.US,D,20210820,000000,18.4499,18.4499,18.35,18.35,399,0
KEJI.US,D,20210823,000000,18.66,18.8591,18.66,18.8591,4079,0
KEJI.US,D,20210824,000000,19.3,19.3,19.3,19.3,271,0
KEJI.US,D,20210825,000000,19.19,19.25,19.16,19.25,2251,0
KEJI.US,D,20210826,000000,18.9,18.985,18.841,18.985,999,0
KEJI.US,D,20210827,000000,18.8986,18.955,18.8986,18.955,400,0
KEJI.US,D,20210830,000000,18.94,19.14,18.94,19.14,1384,0
KEJI.US,D,20210831,000000,19.17,19.17,19.17,19.17,464,0
KEJI.US,D,20210901,000000,19.14,19.445,19.14,19.445,1081,0
