<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRMA.US,D,20160714,000000,14.438,14.438,14.438,14.438,2128,0
KRMA.US,D,20160715,000000,14.409,14.409,14.324,14.324,2115138,0
KRMA.US,D,20160718,000000,14.377,14.377,14.377,14.377,332,0
KRMA.US,D,20160719,000000,14.346,14.346,14.346,14.346,925,0
KRMA.US,D,20160720,000000,14.398,14.446,14.398,14.419,1845,0
KRMA.US,D,20160721,000000,14.475,14.475,14.372,14.372,1549,0
KRMA.US,D,20160722,000000,14.371,14.448,14.371,14.448,2993,0
KRMA.US,D,20160725,000000,14.419,14.419,14.416,14.416,562,0
KRMA.US,D,20160726,000000,14.474,14.493,14.474,14.475,3239,0
KRMA.US,D,20160727,000000,14.503,14.513,14.417,14.493,2054,0
KRMA.US,D,20160728,000000,14.448,14.448,14.423,14.423,1331,0
KRMA.US,D,20160729,000000,14.479,14.513,14.479,14.508,3848,0
KRMA.US,D,20160801,000000,14.466,14.522,14.381,14.466,7614,0
KRMA.US,D,20160802,000000,14.391,14.391,14.291,14.291,7159,0
KRMA.US,D,20160803,000000,14.298,14.367,14.298,14.367,777,0
KRMA.US,D,20160804,000000,14.412,14.412,14.412,14.412,3001,0
KRMA.US,D,20160805,000000,14.532,14.532,14.532,14.532,252,0
KRMA.US,D,20160808,000000,14.553,14.559,14.553,14.559,425,0
KRMA.US,D,20160809,000000,14.597,14.597,14.559,14.559,585,0
KRMA.US,D,20160810,000000,14.532,14.532,14.49,14.49,1116,0
KRMA.US,D,20160811,000000,14.625,14.655,14.577,14.64,9539,0
KRMA.US,D,20160812,000000,14.585,14.634,14.585,14.634,6762,0
KRMA.US,D,20160815,000000,14.728,14.736,14.688,14.718,3009,0
KRMA.US,D,20160816,000000,14.655,14.665,14.635,14.635,715,0
KRMA.US,D,20160817,000000,14.588,14.617,14.559,14.617,9003,0
KRMA.US,D,20160818,000000,14.645,14.675,14.639,14.675,4146,0
KRMA.US,D,20160819,000000,14.687,14.699,14.687,14.699,1580,0
KRMA.US,D,20160823,000000,14.733,14.733,14.733,14.733,725,0
KRMA.US,D,20160824,000000,14.802,14.802,14.64,14.64,3407,0
KRMA.US,D,20160825,000000,14.652,14.652,14.652,14.652,170,0
KRMA.US,D,20160826,000000,14.712,14.755,14.629,14.629,380,0
KRMA.US,D,20160829,000000,14.758,14.758,14.731,14.733,673,0
KRMA.US,D,20160830,000000,14.708,14.708,14.708,14.708,266,0
KRMA.US,D,20160831,000000,14.655,14.655,14.604,14.649,3440,0
KRMA.US,D,20160901,000000,14.601,14.601,14.601,14.601,193,0
KRMA.US,D,20160902,000000,14.728,14.728,14.674,14.674,1856,0
KRMA.US,D,20160906,000000,14.699,14.699,14.699,14.699,639,0
KRMA.US,D,20160907,000000,14.699,14.699,14.699,14.699,341,0
KRMA.US,D,20160908,000000,14.668,14.691,14.655,14.691,1454,0
KRMA.US,D,20160909,000000,14.559,14.559,14.353,14.353,1820,0
KRMA.US,D,20160912,000000,14.344,14.522,14.344,14.51,2185,0
KRMA.US,D,20160913,000000,14.428,14.428,14.259,14.269,2084,0
KRMA.US,D,20160914,000000,14.314,14.314,14.241,14.249,5330,0
KRMA.US,D,20160915,000000,14.314,14.4,14.314,14.394,968,0
KRMA.US,D,20160916,000000,14.304,14.334,14.299,14.334,1439,0
KRMA.US,D,20160919,000000,14.39,14.39,14.39,14.39,1762,0
KRMA.US,D,20160920,000000,14.4,14.4,14.372,14.381,639,0
KRMA.US,D,20160921,000000,14.431,14.463,14.38,14.463,1496,0
KRMA.US,D,20160922,000000,14.584,14.598,14.584,14.598,1031,0
KRMA.US,D,20160923,000000,14.587,14.587,14.587,14.587,349,0
KRMA.US,D,20160926,000000,14.466,14.493,14.421,14.458,1675,0
KRMA.US,D,20160927,000000,14.522,14.522,14.522,14.522,320,0
KRMA.US,D,20160928,000000,14.549,14.549,14.549,14.549,1399,0
KRMA.US,D,20160929,000000,14.607,14.607,14.54,14.54,485,0
KRMA.US,D,20160930,000000,14.549,14.635,14.545,14.635,532,0
KRMA.US,D,20161003,000000,14.635,14.635,14.569,14.569,659,0
KRMA.US,D,20161004,000000,14.578,14.578,14.522,14.522,447,0
KRMA.US,D,20161005,000000,14.559,14.625,14.559,14.625,320,0
KRMA.US,D,20161006,000000,14.509,14.509,14.509,14.509,160,0
KRMA.US,D,20161007,000000,14.549,14.549,14.519,14.519,280,0
KRMA.US,D,20161010,000000,14.585,14.585,14.585,14.585,193,0
KRMA.US,D,20161011,000000,14.559,14.559,14.291,14.291,3981,0
KRMA.US,D,20161012,000000,14.324,14.39,14.324,14.39,1462,0
KRMA.US,D,20161013,000000,14.188,14.353,14.188,14.353,2542,0
KRMA.US,D,20161014,000000,14.39,14.39,14.324,14.334,1451,0
KRMA.US,D,20161017,000000,14.259,14.259,14.259,14.259,425,0
KRMA.US,D,20161018,000000,14.314,14.344,14.314,14.324,1980,0
KRMA.US,D,20161019,000000,14.39,14.4,14.371,14.4,5497,0
KRMA.US,D,20161020,000000,14.372,14.372,14.297,14.344,1719,0
KRMA.US,D,20161021,000000,14.278,14.381,14.269,14.354,1764,0
KRMA.US,D,20161024,000000,15.066,15.066,14.354,14.381,11351,0
KRMA.US,D,20161026,000000,14.249,14.314,14.232,14.232,2643,0
KRMA.US,D,20161027,000000,14.22,14.24,14.202,14.202,3598,0
KRMA.US,D,20161028,000000,14.269,14.324,14.269,14.314,940,0
KRMA.US,D,20161031,000000,14.288,14.288,14.287,14.287,405,0
KRMA.US,D,20161101,000000,14.138,14.138,14.13,14.13,3697,0
KRMA.US,D,20161102,000000,14.118,14.118,14.079,14.079,1293,0
KRMA.US,D,20161103,000000,13.996,14.015,13.977,13.977,1624,0
KRMA.US,D,20161104,000000,14.043,14.043,14.043,14.043,436,0
KRMA.US,D,20161107,000000,14.225,14.255,14.22,14.22,2197,0
KRMA.US,D,20161108,000000,14.245,14.341,14.245,14.341,1185,0
KRMA.US,D,20161109,000000,14.324,14.532,14.23,14.503,4797,0
KRMA.US,D,20161110,000000,14.549,14.549,14.513,14.513,2101,0
KRMA.US,D,20161111,000000,14.486,14.578,14.486,14.578,815,0
KRMA.US,D,20161114,000000,14.645,14.645,14.613,14.645,1423,0
KRMA.US,D,20161115,000000,14.597,14.679,14.597,14.679,4169,0
KRMA.US,D,20161117,000000,14.718,14.746,14.708,14.746,6116,0
KRMA.US,D,20161118,000000,14.699,14.736,14.699,14.736,1666,0
KRMA.US,D,20161121,000000,14.807,14.832,14.803,14.832,2362,0
KRMA.US,D,20161122,000000,14.819,14.862,14.819,14.862,1280,0
KRMA.US,D,20161123,000000,14.893,14.893,14.872,14.875,535,0
KRMA.US,D,20161125,000000,14.963,14.963,14.963,14.963,484,0
KRMA.US,D,20161128,000000,14.916,14.925,14.9,14.906,2939,0
KRMA.US,D,20161129,000000,14.906,14.925,14.906,14.916,1236,0
KRMA.US,D,20161130,000000,14.879,14.919,14.874,14.874,611,0
KRMA.US,D,20161201,000000,14.822,14.822,14.79,14.79,702,0
KRMA.US,D,20161202,000000,14.888,14.888,14.803,14.86,5840,0
KRMA.US,D,20161205,000000,14.959,14.959,14.916,14.916,1925,0
KRMA.US,D,20161206,000000,14.92,14.973,14.92,14.953,2899,0
KRMA.US,D,20161207,000000,15.039,15.226,15.039,15.179,7558,0
KRMA.US,D,20161209,000000,15.358,15.358,15.313,15.358,6235,0
KRMA.US,D,20161212,000000,15.368,15.368,15.31,15.32,21811,0
KRMA.US,D,20161213,000000,15.414,15.442,15.368,15.395,15169,0
KRMA.US,D,20161214,000000,15.363,15.368,15.226,15.246,1485,0
KRMA.US,D,20161215,000000,15.358,15.358,15.284,15.298,3687,0
KRMA.US,D,20161216,000000,15.274,15.283,15.236,15.236,4062,0
KRMA.US,D,20161219,000000,15.282,15.292,15.246,15.281,4830,0
KRMA.US,D,20161220,000000,15.338,15.358,15.301,15.301,1808,0
KRMA.US,D,20161221,000000,15.326,15.326,15.32,15.32,279,0
KRMA.US,D,20161222,000000,15.241,15.244,15.236,15.241,3135,0
KRMA.US,D,20161223,000000,15.254,15.268,15.246,15.268,1809,0
KRMA.US,D,20161227,000000,15.329,15.338,15.31,15.311,2601,0
KRMA.US,D,20161228,000000,15.18,15.18,15.162,15.162,599,0
KRMA.US,D,20161229,000000,15.18,15.19,15.146,15.146,2744,0
KRMA.US,D,20161230,000000,15.163,15.163,15.163,15.163,217,0
KRMA.US,D,20170103,000000,15.174,15.183,15.123,15.183,5987,0
KRMA.US,D,20170104,000000,15.326,15.326,15.312,15.312,722,0
KRMA.US,D,20170105,000000,15.281,15.281,15.232,15.232,863,0
KRMA.US,D,20170106,000000,15.256,15.351,15.248,15.351,1782,0
KRMA.US,D,20170109,000000,15.241,15.254,15.228,15.228,1073,0
KRMA.US,D,20170111,000000,15.322,15.322,15.281,15.297,907,0
KRMA.US,D,20170112,000000,15.223,15.292,15.223,15.277,2454,0
KRMA.US,D,20170117,000000,15.316,15.316,15.266,15.266,855,0
KRMA.US,D,20170118,000000,15.32,15.32,15.306,15.306,543,0
KRMA.US,D,20170119,000000,15.352,15.355,15.273,15.273,1851,0
KRMA.US,D,20170120,000000,15.276,15.304,15.276,15.298,3208,0
KRMA.US,D,20170123,000000,15.315,15.315,15.315,15.315,292,0
KRMA.US,D,20170124,000000,15.361,15.436,15.361,15.436,576,0
KRMA.US,D,20170125,000000,15.552,15.552,15.527,15.532,1296,0
KRMA.US,D,20170126,000000,15.508,15.508,15.508,15.508,283,0
KRMA.US,D,20170127,000000,15.486,15.486,15.486,15.486,106,0
KRMA.US,D,20170130,000000,15.341,15.38,15.324,15.356,2870,0
KRMA.US,D,20170131,000000,15.323,15.351,15.313,15.351,1944,0
KRMA.US,D,20170201,000000,15.355,15.38,15.326,15.38,2917,0
KRMA.US,D,20170202,000000,15.323,15.389,15.323,15.389,649,0
KRMA.US,D,20170203,000000,15.513,15.521,15.507,15.507,1951,0
KRMA.US,D,20170206,000000,15.549,15.549,15.449,15.449,1839,0
KRMA.US,D,20170207,000000,15.486,15.486,15.469,15.469,489,0
KRMA.US,D,20170209,000000,15.627,15.674,15.627,15.674,5429,0
KRMA.US,D,20170210,000000,15.712,15.74,15.712,15.722,4166,0
KRMA.US,D,20170213,000000,15.778,15.778,15.76,15.76,1916,0
KRMA.US,D,20170214,000000,15.798,15.844,15.798,15.844,599,0
KRMA.US,D,20170215,000000,15.873,15.903,15.873,15.903,2310,0
KRMA.US,D,20170216,000000,15.928,15.928,15.882,15.891,1404,0
KRMA.US,D,20170217,000000,15.908,15.908,15.908,15.908,412,0
KRMA.US,D,20170221,000000,16.048,16.083,16.048,16.074,4364,0
KRMA.US,D,20170222,000000,16.071,16.08,16.057,16.057,1721,0
KRMA.US,D,20170223,000000,16.061,16.061,16.002,16.002,925,0
KRMA.US,D,20170224,000000,15.944,16.035,15.944,16.035,2050,0
KRMA.US,D,20170228,000000,16.061,16.061,15.999,16.01,1830,0
KRMA.US,D,20170301,000000,16.223,16.239,16.223,16.225,2053,0
KRMA.US,D,20170302,000000,16.154,16.154,16.093,16.093,1688,0
KRMA.US,D,20170303,000000,16.147,16.147,16.075,16.111,1061,0
KRMA.US,D,20170306,000000,16.1,16.1,16.016,16.039,9227,0
KRMA.US,D,20170307,000000,15.992,16.006,15.964,15.964,3680,0
KRMA.US,D,20170308,000000,15.997,15.997,15.997,15.997,352,0
KRMA.US,D,20170309,000000,15.933,15.986,15.914,15.914,4510,0
KRMA.US,D,20170313,000000,16.006,16.016,16.006,16.016,944,0
KRMA.US,D,20170314,000000,15.95,15.964,15.95,15.958,1288,0
KRMA.US,D,20170315,000000,16.076,16.137,16.076,16.127,1614,0
KRMA.US,D,20170316,000000,16.128,16.128,16.077,16.077,1303,0
KRMA.US,D,20170317,000000,16.058,16.113,16.058,16.083,3002,0
KRMA.US,D,20170320,000000,16.048,16.048,16.043,16.043,1541,0
KRMA.US,D,20170321,000000,16.043,16.043,15.863,15.885,3317,0
KRMA.US,D,20170322,000000,15.812,15.865,15.789,15.85,2305,0
KRMA.US,D,20170323,000000,15.882,15.958,15.835,15.865,3687,0
KRMA.US,D,20170324,000000,15.948,15.948,15.932,15.932,644,0
KRMA.US,D,20170327,000000,15.75,15.873,15.75,15.873,2483,0
KRMA.US,D,20170328,000000,15.958,15.996,15.948,15.996,920,0
KRMA.US,D,20170329,000000,15.986,15.986,15.986,15.986,424,0
KRMA.US,D,20170330,000000,16.003,16.035,15.996,16.016,6500,0
KRMA.US,D,20170331,000000,16.02,16.02,16.019,16.019,768,0
KRMA.US,D,20170403,000000,15.906,15.922,15.906,15.922,337,0
KRMA.US,D,20170404,000000,15.873,15.92,15.873,15.92,1530,0
KRMA.US,D,20170405,000000,15.989,15.993,15.858,15.865,881,0
KRMA.US,D,20170406,000000,15.912,15.942,15.885,15.885,1170,0
KRMA.US,D,20170410,000000,15.967,15.967,15.925,15.948,2284,0
KRMA.US,D,20170411,000000,15.911,15.928,15.865,15.928,744,0
KRMA.US,D,20170412,000000,15.928,15.928,15.873,15.882,3415,0
KRMA.US,D,20170413,000000,15.891,15.891,15.778,15.778,2490,0
KRMA.US,D,20170417,000000,15.865,15.891,15.837,15.876,4084,0
KRMA.US,D,20170418,000000,15.76,15.855,15.76,15.855,2936,0
KRMA.US,D,20170419,000000,15.873,15.911,15.835,15.845,14899,0
KRMA.US,D,20170420,000000,15.938,16.026,15.928,16.026,3270,0
KRMA.US,D,20170421,000000,15.938,15.976,15.938,15.976,6987,0
KRMA.US,D,20170424,000000,16.11,16.137,16.086,16.128,1079,0
KRMA.US,D,20170425,000000,16.214,16.233,16.167,16.22,7406,0
KRMA.US,D,20170426,000000,16.237,16.291,16.237,16.243,3775,0
KRMA.US,D,20170427,000000,16.291,16.291,16.23,16.28,1237,0
KRMA.US,D,20170428,000000,16.232,16.232,16.177,16.196,1197,0
KRMA.US,D,20170501,000000,16.299,16.299,16.204,16.214,2490,0
KRMA.US,D,20170502,000000,16.212,16.223,16.205,16.214,2265,0
KRMA.US,D,20170503,000000,16.243,16.243,16.195,16.243,2397,0
KRMA.US,D,20170504,000000,16.236,16.262,16.236,16.262,1109,0
KRMA.US,D,20170505,000000,16.291,16.311,16.284,16.311,1401,0
KRMA.US,D,20170508,000000,16.422,16.422,16.299,16.318,2286,0
KRMA.US,D,20170509,000000,16.347,16.347,16.291,16.328,3082,0
KRMA.US,D,20170510,000000,16.375,16.375,16.35,16.35,1937,0
KRMA.US,D,20170511,000000,16.337,16.347,16.231,16.318,20317,0
KRMA.US,D,20170512,000000,16.223,16.252,16.223,16.244,6530,0
KRMA.US,D,20170515,000000,16.328,16.343,16.328,16.337,2733,0
KRMA.US,D,20170516,000000,16.291,16.308,16.263,16.287,7287,0
KRMA.US,D,20170517,000000,16.243,16.243,16.016,16.016,9631,0
KRMA.US,D,20170518,000000,15.958,16.12,15.958,16.061,5686,0
KRMA.US,D,20170519,000000,16.233,16.243,16.22,16.225,2666,0
KRMA.US,D,20170522,000000,16.128,16.281,16.128,16.274,3601,0
KRMA.US,D,20170523,000000,16.297,16.299,16.272,16.282,2923,0
KRMA.US,D,20170524,000000,16.308,16.318,16.308,16.308,4899,0
KRMA.US,D,20170525,000000,16.416,16.451,16.413,16.413,4993,0
KRMA.US,D,20170526,000000,16.424,16.441,16.409,16.413,6580,0
KRMA.US,D,20170530,000000,16.422,16.422,16.394,16.413,1049,0
KRMA.US,D,20170531,000000,16.461,16.461,16.375,16.434,3746,0
KRMA.US,D,20170601,000000,16.522,16.593,16.522,16.547,4282,0
KRMA.US,D,20170602,000000,16.595,16.678,16.593,16.671,3901,0
KRMA.US,D,20170605,000000,16.619,16.641,16.591,16.624,3033,0
KRMA.US,D,20170606,000000,16.555,16.558,16.51,16.525,3540,0
KRMA.US,D,20170607,000000,16.551,16.551,16.535,16.535,848,0
KRMA.US,D,20170608,000000,16.583,16.602,16.538,16.538,5932,0
KRMA.US,D,20170609,000000,16.631,16.644,16.605,16.644,2167,0
KRMA.US,D,20170612,000000,16.622,16.622,16.566,16.573,10433,0
KRMA.US,D,20170613,000000,16.651,16.698,16.651,16.698,5747,0
KRMA.US,D,20170614,000000,16.678,16.678,16.62,16.62,3816,0
KRMA.US,D,20170615,000000,16.607,16.607,16.607,16.607,897,0
KRMA.US,D,20170616,000000,16.564,16.564,16.564,16.564,1480,0
KRMA.US,D,20170619,000000,16.727,16.745,16.713,16.713,2123,0
KRMA.US,D,20170620,000000,16.736,16.736,16.641,16.641,3723,0
KRMA.US,D,20170621,000000,16.708,16.708,16.599,16.599,3083,0
KRMA.US,D,20170622,000000,16.671,16.671,16.564,16.641,5843,0
KRMA.US,D,20170623,000000,16.669,16.673,16.661,16.671,1144,0
KRMA.US,D,20170626,000000,16.708,16.726,16.683,16.709,4504,0
KRMA.US,D,20170627,000000,16.661,16.684,16.564,16.564,5490,0
KRMA.US,D,20170628,000000,16.602,16.718,16.602,16.679,3961,0
KRMA.US,D,20170629,000000,16.736,16.736,16.519,16.519,4523,0
KRMA.US,D,20170630,000000,16.62,16.641,16.577,16.634,871,0
KRMA.US,D,20170703,000000,16.727,16.727,16.702,16.718,1319,0
KRMA.US,D,20170705,000000,16.718,16.718,16.631,16.641,2883,0
KRMA.US,D,20170706,000000,16.651,16.651,16.49,16.49,2332,0
KRMA.US,D,20170707,000000,16.519,16.602,16.519,16.602,1526,0
KRMA.US,D,20170710,000000,16.593,16.593,16.564,16.565,1707,0
KRMA.US,D,20170711,000000,16.564,16.583,16.555,16.581,9193,0
KRMA.US,D,20170712,000000,16.661,16.698,16.661,16.698,6073,0
KRMA.US,D,20170713,000000,16.722,16.727,16.686,16.71,2691,0
KRMA.US,D,20170714,000000,16.764,16.831,16.745,16.802,15549,0
KRMA.US,D,20170717,000000,16.84,16.849,16.821,16.831,9104,0
KRMA.US,D,20170718,000000,16.831,16.831,16.78,16.802,7644,0
KRMA.US,D,20170719,000000,16.831,16.869,16.809,16.83,7361,0
KRMA.US,D,20170720,000000,16.865,16.879,16.849,16.863,4457,0
KRMA.US,D,20170721,000000,16.813,16.849,16.798,16.849,4072,0
KRMA.US,D,20170724,000000,16.897,16.897,16.808,16.827,20937,0
KRMA.US,D,20170725,000000,16.894,16.907,16.876,16.879,5652,0
KRMA.US,D,20170726,000000,16.845,16.859,16.821,16.849,2327,0
KRMA.US,D,20170727,000000,16.897,16.897,16.75,16.77,2021,0
KRMA.US,D,20170728,000000,16.816,16.821,16.794,16.821,4606,0
KRMA.US,D,20170731,000000,16.897,16.897,16.808,16.808,3361,0
