<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDEM.US,D,20200218,000000,50.633,50.662,50.535,50.545,6591,0
LDEM.US,D,20200219,000000,50.867,50.915,50.843,50.849,3971,0
LDEM.US,D,20200220,000000,50.408,50.408,49.803,50.052,6457,0
LDEM.US,D,20200221,000000,49.92,49.999,49.769,49.816,5037,0
LDEM.US,D,20200224,000000,47.91,48.065,47.91,48.065,1397,0
LDEM.US,D,20200225,000000,48.602,48.602,47.646,47.685,2387,0
LDEM.US,D,20200226,000000,48.085,48.085,47.997,47.997,661,0
LDEM.US,D,20200227,000000,47.432,47.5,47.094,47.422,1057,0
LDEM.US,D,20200228,000000,45.206,46.564,45.206,46.564,452,0
LDEM.US,D,20200302,000000,46.7,47.36,46.7,47.36,610,0
LDEM.US,D,20200304,000000,47.725,47.763,47.725,47.763,272,0
LDEM.US,D,20200305,000000,47.576,47.626,46.926,46.926,1295,0
LDEM.US,D,20200306,000000,46.045,46.171,46.045,46.171,365,0
LDEM.US,D,20200309,000000,43.203,43.284,42.942,43.061,693,0
LDEM.US,D,20200310,000000,44.937,45.048,44.937,45.048,816,0
LDEM.US,D,20200311,000000,43.021,43.205,43.021,43.205,1136,0
LDEM.US,D,20200312,000000,39.682,39.682,38.98,38.98,1404,0
LDEM.US,D,20200316,000000,36.852,37.701,36.438,36.438,2355,0
LDEM.US,D,20200317,000000,36.764,38.326,36.764,38.326,3131,0
LDEM.US,D,20200318,000000,35.378,35.378,34.768,35.29,2085,0
LDEM.US,D,20200319,000000,35.583,35.583,35.32,35.32,1104,0
LDEM.US,D,20200320,000000,37.447,37.447,35.646,35.678,3131,0
LDEM.US,D,20200323,000000,34.656,35.115,34.656,34.728,3462,0
LDEM.US,D,20200324,000000,36.54,36.854,36.516,36.854,2022,0
LDEM.US,D,20200325,000000,38.794,38.794,38.268,38.268,1539,0
LDEM.US,D,20200326,000000,38.98,39.555,38.98,39.555,1018,0
LDEM.US,D,20200327,000000,37.847,37.847,37.78,37.82,407,0
LDEM.US,D,20200402,000000,37.886,37.886,37.75,37.855,3800,0
LDEM.US,D,20200403,000000,37.057,37.121,36.984,37.121,342,0
LDEM.US,D,20200406,000000,38.521,39.082,38.521,39.082,475,0
LDEM.US,D,20200407,000000,40.161,40.18,39.545,39.565,1628,0
LDEM.US,D,20200413,000000,40.05,40.181,40.05,40.181,273,0
LDEM.US,D,20200416,000000,40.2,40.204,40.15,40.204,676,0
LDEM.US,D,20200417,000000,40.991,41.018,40.882,40.981,2668,0
LDEM.US,D,20200420,000000,40.639,40.688,40.639,40.688,380,0
LDEM.US,D,20200421,000000,39.614,39.624,39.614,39.624,277,0
LDEM.US,D,20200422,000000,40.61,40.61,40.61,40.61,112,0
LDEM.US,D,20200423,000000,41.028,41.225,40.521,40.521,12840,0
LDEM.US,D,20200424,000000,40.297,40.297,40.297,40.297,102,0
LDEM.US,D,20200427,000000,41.048,41.048,41.048,41.048,221,0
LDEM.US,D,20200430,000000,41.644,41.644,41.626,41.634,1049,0
LDEM.US,D,20200501,000000,40.678,40.678,40.385,40.385,2438,0
LDEM.US,D,20200504,000000,40.688,40.932,40.614,40.755,1355,0
LDEM.US,D,20200507,000000,41.028,41.185,41.028,41.105,1519,0
