<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDSF.US,D,20190107,000000,19.334,19.334,19.334,19.334,420,0
LDSF.US,D,20190109,000000,19.42,19.42,19.334,19.334,1882,0
LDSF.US,D,20190111,000000,19.352,19.38,19.334,19.362,3657,0
LDSF.US,D,20190114,000000,19.353,19.353,19.353,19.353,323,0
LDSF.US,D,20190115,000000,19.344,19.344,19.315,19.334,12160,0
LDSF.US,D,20190116,000000,19.334,19.335,19.334,19.335,1168,0
LDSF.US,D,20190117,000000,19.353,19.362,19.353,19.362,7009,0
LDSF.US,D,20190118,000000,19.352,19.352,19.345,19.345,7909,0
LDSF.US,D,20190122,000000,19.361,19.361,19.361,19.361,188,0
LDSF.US,D,20190123,000000,19.381,19.381,19.345,19.371,4740,0
LDSF.US,D,20190124,000000,19.38,20.548,19.365,19.396,24775,0
LDSF.US,D,20190125,000000,19.371,19.401,19.371,19.396,9231,0
LDSF.US,D,20190129,000000,19.381,19.381,19.381,19.381,1899,0
LDSF.US,D,20190130,000000,19.391,19.391,19.391,19.391,521,0
LDSF.US,D,20190131,000000,19.362,19.362,19.362,19.362,1408,0
LDSF.US,D,20190201,000000,19.407,19.421,19.401,19.421,7988,0
LDSF.US,D,20190204,000000,19.422,19.451,19.416,19.431,17218,0
LDSF.US,D,20190205,000000,19.421,19.441,19.421,19.441,17314,0
LDSF.US,D,20190206,000000,19.44,19.514,19.421,19.469,27477,0
LDSF.US,D,20190207,000000,19.514,19.514,19.458,19.478,18107,0
LDSF.US,D,20190208,000000,19.638,19.638,19.421,19.487,66893,0
LDSF.US,D,20190211,000000,19.484,19.484,19.46,19.484,6034,0
LDSF.US,D,20190212,000000,19.484,19.494,19.455,19.494,45976,0
LDSF.US,D,20190213,000000,19.478,19.478,19.451,19.46,17287,0
LDSF.US,D,20190214,000000,19.522,19.552,19.494,19.504,38604,0
LDSF.US,D,20190215,000000,19.494,19.532,19.494,19.508,36980,0
LDSF.US,D,20190219,000000,19.514,19.522,19.511,19.522,51629,0
LDSF.US,D,20190220,000000,19.494,19.522,19.478,19.522,12452,0
LDSF.US,D,20190221,000000,19.638,20.019,19.494,19.504,117803,0
LDSF.US,D,20190222,000000,19.494,19.532,19.494,19.522,2860,0
LDSF.US,D,20190225,000000,19.658,19.658,19.504,19.561,6075,0
LDSF.US,D,20190226,000000,19.589,19.589,19.542,19.577,20019,0
LDSF.US,D,20190227,000000,19.571,19.589,19.543,19.589,2219,0
LDSF.US,D,20190228,000000,19.589,19.589,19.557,19.561,11541,0
LDSF.US,D,20190301,000000,19.688,19.688,19.552,19.571,25310,0
LDSF.US,D,20190304,000000,19.678,19.678,19.563,19.609,55574,0
LDSF.US,D,20190305,000000,19.588,19.589,19.552,19.574,24794,0
LDSF.US,D,20190306,000000,19.555,19.589,19.553,19.589,15845,0
LDSF.US,D,20190307,000000,19.57,19.58,19.557,19.565,20354,0
LDSF.US,D,20190308,000000,19.531,19.561,19.517,19.561,6923,0
LDSF.US,D,20190311,000000,19.552,19.552,19.551,19.552,5819,0
LDSF.US,D,20190312,000000,19.561,19.561,19.514,19.561,17155,0
LDSF.US,D,20190313,000000,19.688,19.688,19.567,19.567,32946,0
LDSF.US,D,20190314,000000,19.57,19.589,19.532,19.574,50581,0
LDSF.US,D,20190315,000000,19.583,19.589,19.571,19.589,26833,0
LDSF.US,D,20190318,000000,19.589,19.599,19.573,19.575,56301,0
LDSF.US,D,20190319,000000,19.599,19.599,19.584,19.584,23074,0
LDSF.US,D,20190320,000000,19.698,19.698,19.585,19.628,11970,0
LDSF.US,D,20190321,000000,19.629,19.629,19.61,19.61,8258,0
LDSF.US,D,20190322,000000,19.571,19.698,19.561,19.561,24850,0
LDSF.US,D,20190325,000000,19.638,19.638,19.552,19.552,2921,0
LDSF.US,D,20190326,000000,19.619,19.619,19.582,19.582,22590,0
LDSF.US,D,20190327,000000,19.618,19.618,19.576,19.609,40962,0
LDSF.US,D,20190328,000000,19.608,19.629,19.608,19.626,1980,0
LDSF.US,D,20190329,000000,19.599,19.599,19.584,19.584,18507,0
LDSF.US,D,20190401,000000,19.638,19.638,19.561,19.638,568,0
LDSF.US,D,20190402,000000,19.615,19.678,19.615,19.658,33855,0
LDSF.US,D,20190403,000000,19.609,19.648,19.589,19.648,9493,0
LDSF.US,D,20190404,000000,19.638,19.655,19.609,19.651,1643,0
LDSF.US,D,20190405,000000,19.688,19.688,19.671,19.671,2349,0
LDSF.US,D,20190408,000000,19.688,19.688,19.688,19.688,9052,0
LDSF.US,D,20190409,000000,19.698,19.698,19.688,19.69,31148,0
