<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEGR.US,D,20180125,000000,28.708,28.747,28.497,28.529,88881,0
LEGR.US,D,20180126,000000,28.603,28.965,28.557,28.965,139860,0
LEGR.US,D,20180129,000000,28.955,29.05,28.859,29.05,99130,0
LEGR.US,D,20180130,000000,28.747,28.747,28.32,28.366,93278,0
LEGR.US,D,20180131,000000,28.45,28.585,28.45,28.509,61994,0
LEGR.US,D,20180201,000000,28.376,28.528,28.281,28.389,51697,0
LEGR.US,D,20180202,000000,28.044,28.12,27.584,27.598,56690,0
LEGR.US,D,20180205,000000,27.324,27.485,26.29,26.458,64005,0
LEGR.US,D,20180206,000000,26.014,27.077,25.937,27,43681,0
LEGR.US,D,20180207,000000,26.906,27.153,26.796,26.867,34667,0
LEGR.US,D,20180208,000000,26.848,26.886,25.796,25.796,30223,0
LEGR.US,D,20180209,000000,26.241,26.441,25.427,26.388,25895,0
LEGR.US,D,20180212,000000,26.612,26.753,26.518,26.644,40706,0
LEGR.US,D,20180213,000000,26.554,26.782,26.507,26.763,19542,0
LEGR.US,D,20180214,000000,26.593,27.368,26.593,27.347,23397,0
LEGR.US,D,20180215,000000,27.676,27.74,27.357,27.714,43073,0
LEGR.US,D,20180216,000000,27.657,27.887,27.607,27.707,106969,0
LEGR.US,D,20180220,000000,27.514,27.75,27.504,27.561,31196,0
LEGR.US,D,20180221,000000,27.703,27.874,27.475,27.481,23162,0
LEGR.US,D,20180222,000000,27.561,27.627,27.325,27.325,31949,0
LEGR.US,D,20180223,000000,27.769,28.015,27.68,27.987,26489,0
LEGR.US,D,20180226,000000,28.204,28.366,28.093,28.338,48911,0
LEGR.US,D,20180227,000000,28.376,28.47,28.159,28.159,28656,0
LEGR.US,D,20180228,000000,28.233,28.241,27.988,27.988,25465,0
LEGR.US,D,20180301,000000,27.912,27.912,27.232,27.514,22205,0
LEGR.US,D,20180302,000000,27.189,27.798,27.179,27.779,43342,0
LEGR.US,D,20180305,000000,27.657,28.126,27.657,28.083,27050,0
LEGR.US,D,20180306,000000,28.291,28.441,28.233,28.351,27735,0
LEGR.US,D,20180307,000000,28.204,28.567,28.204,28.527,40128,0
LEGR.US,D,20180308,000000,28.68,28.737,28.475,28.594,29196,0
LEGR.US,D,20180309,000000,28.775,28.831,28.67,28.831,40496,0
LEGR.US,D,20180312,000000,28.821,28.955,28.821,28.917,32003,0
LEGR.US,D,20180313,000000,29.174,29.174,28.641,28.641,13762,0
LEGR.US,D,20180314,000000,28.794,28.794,28.519,28.577,18631,0
LEGR.US,D,20180315,000000,28.708,28.821,28.613,28.706,12488,0
LEGR.US,D,20180316,000000,28.821,28.866,28.756,28.794,22992,0
LEGR.US,D,20180319,000000,28.756,28.756,28.376,28.509,27897,0
LEGR.US,D,20180320,000000,28.489,28.603,28.489,28.577,18166,0
LEGR.US,D,20180321,000000,28.46,28.69,28.46,28.533,21434,0
LEGR.US,D,20180322,000000,28.018,28.17,27.726,27.726,21867,0
LEGR.US,D,20180323,000000,27.696,27.81,27.163,27.173,22809,0
LEGR.US,D,20180326,000000,27.688,27.804,27.405,27.801,9899,0
LEGR.US,D,20180327,000000,27.981,27.981,27.151,27.25,23177,0
LEGR.US,D,20180328,000000,27.098,27.35,27.021,27.221,36290,0
LEGR.US,D,20180329,000000,27.212,27.669,27.212,27.583,13784,0
LEGR.US,D,20180402,000000,27.449,27.468,26.734,26.932,26598,0
LEGR.US,D,20180403,000000,26.938,27.173,26.889,27.08,5484,0
LEGR.US,D,20180404,000000,26.577,27.268,26.557,27.266,101245,0
LEGR.US,D,20180405,000000,27.497,27.497,27.288,27.327,9423,0
LEGR.US,D,20180406,000000,27.156,27.284,26.765,26.865,147337,0
LEGR.US,D,20180409,000000,27.048,27.355,27.048,27.241,7492,0
LEGR.US,D,20180410,000000,27.42,27.576,27.317,27.576,10147,0
LEGR.US,D,20180411,000000,27.368,27.524,27.368,27.368,8504,0
LEGR.US,D,20180412,000000,27.527,27.743,27.527,27.673,13451,0
LEGR.US,D,20180413,000000,27.85,27.85,27.39,27.468,9200,0
LEGR.US,D,20180416,000000,27.601,27.63,27.474,27.585,8172,0
LEGR.US,D,20180417,000000,27.782,28.037,27.782,28.024,21615,0
LEGR.US,D,20180418,000000,28.057,28.188,27.996,28.141,38330,0
LEGR.US,D,20180419,000000,27.944,28.001,27.729,27.821,9146,0
LEGR.US,D,20180420,000000,27.696,27.696,27.482,27.522,9015,0
LEGR.US,D,20180423,000000,27.43,27.659,27.43,27.43,18519,0
