<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMBS.US,D,20141107,000000,42.887,42.887,42.887,42.887,1177,0
LMBS.US,D,20141113,000000,43.016,43.06,43.016,43.06,370,0
LMBS.US,D,20141114,000000,42.912,42.912,42.912,42.912,466,0
LMBS.US,D,20141124,000000,43.198,43.24,43.198,43.24,466,0
LMBS.US,D,20141125,000000,43.303,43.303,43.303,43.303,100,0
LMBS.US,D,20141202,000000,43.094,43.094,43.094,43.094,208,0
LMBS.US,D,20141204,000000,43.367,43.367,43.367,43.367,279,0
LMBS.US,D,20141205,000000,42.948,42.948,42.948,42.948,240,0
LMBS.US,D,20141211,000000,43.232,43.232,43.232,43.232,240,0
LMBS.US,D,20141215,000000,43.49,43.49,43.347,43.347,459,0
LMBS.US,D,20141217,000000,43.257,43.409,43.257,43.257,366,0
LMBS.US,D,20141218,000000,43.185,43.215,43.185,43.215,1018,0
LMBS.US,D,20141226,000000,43.407,43.425,43.407,43.417,562,0
LMBS.US,D,20150106,000000,43.747,43.747,43.747,43.747,237,0
LMBS.US,D,20150107,000000,43.444,43.444,43.444,43.444,100,0
LMBS.US,D,20150112,000000,43.622,43.622,43.622,43.622,165,0
LMBS.US,D,20150128,000000,43.433,43.433,43.433,43.433,100,0
LMBS.US,D,20150203,000000,43.457,43.457,43.457,43.457,100,0
LMBS.US,D,20150205,000000,43.522,43.522,43.522,43.522,150,0
LMBS.US,D,20150206,000000,43.243,43.244,43.243,43.244,234,0
LMBS.US,D,20150209,000000,43.566,43.566,43.565,43.565,234,0
LMBS.US,D,20150217,000000,43.557,43.557,43.557,43.557,100,0
LMBS.US,D,20150220,000000,43.599,43.599,43.599,43.599,366,0
LMBS.US,D,20150223,000000,43.628,43.628,43.628,43.628,100,0
LMBS.US,D,20150225,000000,43.609,43.609,43.609,43.609,176,0
LMBS.US,D,20150226,000000,43.519,43.519,43.483,43.483,1165,0
LMBS.US,D,20150227,000000,43.509,43.617,43.509,43.617,441,0
LMBS.US,D,20150303,000000,43.554,43.572,43.554,43.572,232,0
LMBS.US,D,20150304,000000,43.572,43.572,43.572,43.572,366,0
LMBS.US,D,20150305,000000,43.687,43.687,43.687,43.687,100,0
LMBS.US,D,20150306,000000,43.474,43.528,43.411,43.464,1032,0
LMBS.US,D,20150309,000000,43.627,43.662,43.627,43.662,1032,0
LMBS.US,D,20150312,000000,43.753,43.913,43.737,43.888,2783,0
LMBS.US,D,20150316,000000,43.679,43.679,43.679,43.679,100,0
LMBS.US,D,20150317,000000,43.563,43.563,43.563,43.563,366,0
LMBS.US,D,20150320,000000,43.898,43.907,43.763,43.888,1498,0
LMBS.US,D,20150323,000000,43.788,43.788,43.788,43.788,100,0
LMBS.US,D,20150330,000000,43.76,43.805,43.76,43.76,1853,0
LMBS.US,D,20150331,000000,43.796,43.823,43.796,43.823,1282,0
LMBS.US,D,20150401,000000,43.676,43.796,43.668,43.668,1161,0
LMBS.US,D,20150406,000000,43.92,43.93,43.92,43.93,930,0
LMBS.US,D,20150408,000000,43.805,43.911,43.805,43.839,1853,0
LMBS.US,D,20150409,000000,43.742,43.742,43.676,43.676,648,0
LMBS.US,D,20150410,000000,43.887,43.887,43.858,43.858,231,0
LMBS.US,D,20150414,000000,43.76,43.83,43.76,43.83,465,0
LMBS.US,D,20150416,000000,43.684,43.684,43.684,43.684,348,0
LMBS.US,D,20150417,000000,43.642,43.642,43.642,43.642,231,0
LMBS.US,D,20150420,000000,43.684,43.684,43.684,43.684,880,0
LMBS.US,D,20150421,000000,43.794,43.803,43.784,43.794,1028,0
LMBS.US,D,20150422,000000,43.648,43.648,43.612,43.612,2547,0
LMBS.US,D,20150423,000000,43.682,43.837,43.682,43.74,928,0
LMBS.US,D,20150428,000000,43.648,43.698,43.541,43.541,18258,0
LMBS.US,D,20150429,000000,43.69,43.69,43.69,43.69,564,0
LMBS.US,D,20150430,000000,43.665,43.723,43.665,43.723,1028,0
LMBS.US,D,20150501,000000,43.767,43.794,43.767,43.775,10285,0
LMBS.US,D,20150505,000000,43.856,43.856,43.821,43.821,5542,0
LMBS.US,D,20150507,000000,44.015,44.039,43.996,44.039,572,0
LMBS.US,D,20150508,000000,44.092,44.092,44.049,44.049,464,0
LMBS.US,D,20150511,000000,43.928,43.972,43.894,43.918,2307,0
LMBS.US,D,20150512,000000,44.005,44.022,43.937,43.937,23835,0
LMBS.US,D,20150513,000000,43.945,43.945,43.937,43.937,230,0
LMBS.US,D,20150515,000000,43.865,43.91,43.865,43.91,10300,0
LMBS.US,D,20150518,000000,43.821,43.821,43.821,43.821,318,0
