<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LVHD.US,D,20151231,000000,21.073,21.107,21.031,21.031,6500,0
LVHD.US,D,20160104,000000,20.733,20.752,20.666,20.666,588,0
LVHD.US,D,20160105,000000,20.776,20.872,20.733,20.872,5790,0
LVHD.US,D,20160106,000000,20.6,20.855,20.6,20.821,1036,0
LVHD.US,D,20160107,000000,20.616,20.616,20.471,20.471,561,0
LVHD.US,D,20160108,000000,20.473,20.492,20.311,20.311,2660,0
LVHD.US,D,20160111,000000,20.345,20.345,20.345,20.345,4962,0
LVHD.US,D,20160112,000000,21.487,21.487,20.296,20.311,9183,0
LVHD.US,D,20160113,000000,20.389,20.389,20.389,20.389,1036,0
LVHD.US,D,20160114,000000,20.151,20.151,20.151,20.151,119,0
LVHD.US,D,20160115,000000,19.958,19.958,19.896,19.896,1506,0
LVHD.US,D,20160119,000000,20.058,20.058,20.023,20.049,2248,0
LVHD.US,D,20160121,000000,19.66,19.83,19.66,19.83,595,0
LVHD.US,D,20160122,000000,19.984,20.143,19.969,20.143,1951,0
LVHD.US,D,20160126,000000,20.225,20.225,20.04,20.225,1064,0
LVHD.US,D,20160127,000000,20.38,20.38,20.165,20.165,498,0
LVHD.US,D,20160128,000000,20.335,20.429,20.335,20.429,1488,0
LVHD.US,D,20160129,000000,20.649,20.863,20.616,20.863,10997,0
LVHD.US,D,20160201,000000,21.004,21.022,20.795,21.022,15894,0
LVHD.US,D,20160202,000000,20.715,20.836,20.686,20.795,5782,0
LVHD.US,D,20160203,000000,20.726,21.004,20.726,20.945,8362,0
LVHD.US,D,20160204,000000,20.996,21.022,20.98,21.022,3191,0
LVHD.US,D,20160205,000000,21.191,21.191,20.937,20.963,14470,0
LVHD.US,D,20160208,000000,20.733,20.872,20.593,20.872,7446,0
LVHD.US,D,20160209,000000,20.743,20.775,20.649,20.775,1870,0
LVHD.US,D,20160210,000000,20.743,20.744,20.743,20.744,356,0
LVHD.US,D,20160211,000000,20.483,20.509,20.353,20.509,3849,0
LVHD.US,D,20160212,000000,20.539,20.64,20.539,20.64,1272,0
