<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBB.US,D,20070316,000000,79.283,79.29,79.283,79.29,239,0
MBB.US,D,20070320,000000,79.385,79.385,79.385,79.385,100,0
MBB.US,D,20070321,000000,79.379,79.499,79.379,79.482,13172,0
MBB.US,D,20070322,000000,79.461,79.461,79.379,79.379,990,0
MBB.US,D,20070323,000000,79.265,79.454,79.265,79.385,2112,0
MBB.US,D,20070326,000000,79.385,79.402,79.385,79.394,6579,0
MBB.US,D,20070327,000000,79.402,79.402,79.346,79.356,1614,0
MBB.US,D,20070328,000000,79.402,79.402,79.346,79.346,5212,0
MBB.US,D,20070329,000000,79.241,79.241,79.241,79.241,1988,0
MBB.US,D,20070330,000000,79.298,79.324,79.283,79.283,8567,0
MBB.US,D,20070402,000000,79.199,79.199,79.16,79.16,239,0
MBB.US,D,20070403,000000,79.135,79.215,79.085,79.16,33169,0
MBB.US,D,20070404,000000,79.224,79.224,79.16,79.16,4101,0
MBB.US,D,20070405,000000,79.16,79.199,79.16,79.199,616,0
MBB.US,D,20070409,000000,79.092,79.135,79.092,79.135,3850,0
MBB.US,D,20070410,000000,79.135,79.184,79.135,79.184,381,0
MBB.US,D,20070411,000000,79.057,79.057,79.038,79.047,616,0
MBB.US,D,20070412,000000,79.047,79.047,79.007,79.014,2730,0
MBB.US,D,20070413,000000,79.007,79.007,78.92,78.92,2857,0
MBB.US,D,20070416,000000,79.092,79.092,79.092,79.092,2484,0
MBB.US,D,20070417,000000,79.241,79.241,79.241,79.241,381,0
MBB.US,D,20070418,000000,79.314,79.342,79.256,79.333,1740,0
MBB.US,D,20070419,000000,79.418,79.591,79.333,79.379,31926,0
MBB.US,D,20070420,000000,79.306,79.324,79.199,79.199,616,0
MBB.US,D,20070423,000000,79.283,79.402,79.283,79.394,8073,0
MBB.US,D,20070424,000000,79.402,79.47,79.402,79.47,6833,0
MBB.US,D,20070425,000000,79.47,79.499,79.454,79.454,2609,0
MBB.US,D,20070426,000000,79.333,79.346,79.333,79.346,990,0
MBB.US,D,20070427,000000,79.324,79.324,79.306,79.306,381,0
MBB.US,D,20070430,000000,79.426,79.47,79.426,79.461,1361,0
MBB.US,D,20070501,000000,79.224,79.224,78.946,79.129,6215,0
MBB.US,D,20070502,000000,79.129,79.16,79.129,79.135,12174,0
MBB.US,D,20070503,000000,79.129,79.144,79.022,79.047,4972,0
MBB.US,D,20070504,000000,79.116,79.241,79.116,79.241,22977,0
MBB.US,D,20070507,000000,79.241,79.241,79.16,79.241,2234,0
MBB.US,D,20070508,000000,79.241,79.324,79.241,79.324,1862,0
MBB.US,D,20070509,000000,79.199,79.199,79.116,79.116,9561,0
MBB.US,D,20070510,000000,79.241,79.248,79.233,79.248,3602,0
MBB.US,D,20070511,000000,79.283,79.283,79.167,79.167,2484,0
MBB.US,D,20070514,000000,79.129,79.129,79.129,79.129,3105,0
MBB.US,D,20070515,000000,79.16,79.224,79.129,79.129,8073,0
MBB.US,D,20070516,000000,79.129,79.16,79.129,79.16,873,0
MBB.US,D,20070517,000000,79.076,79.076,79.007,79.007,1614,0
MBB.US,D,20070518,000000,79.092,79.092,78.444,78.444,4101,0
MBB.US,D,20070521,000000,78.804,78.845,78.804,78.845,990,0
MBB.US,D,20070522,000000,78.905,78.92,78.316,78.797,9194,0
MBB.US,D,20070523,000000,78.845,78.888,78.685,78.734,11433,0
MBB.US,D,20070524,000000,78.693,78.734,78.494,78.734,20122,0
MBB.US,D,20070525,000000,78.734,78.734,78.693,78.693,494,0
MBB.US,D,20070529,000000,78.693,78.693,78.612,78.685,9700,0
MBB.US,D,20070530,000000,78.775,78.775,78.702,78.726,990,0
MBB.US,D,20070531,000000,78.595,78.637,78.557,78.628,6338,0
MBB.US,D,20070601,000000,78.259,78.259,78.067,78.107,12174,0
MBB.US,D,20070604,000000,78.251,78.251,78.148,78.148,2356,0
MBB.US,D,20070605,000000,78.171,78.171,77.938,78.036,19369,0
MBB.US,D,20070606,000000,77.962,77.996,77.962,77.978,10437,0
MBB.US,D,20070607,000000,77.785,77.785,77.501,77.501,47942,0
MBB.US,D,20070608,000000,77.377,77.697,77.238,77.697,4101,0
MBB.US,D,20070611,000000,77.377,77.446,77.377,77.425,4972,0
MBB.US,D,20070612,000000,77.254,77.254,76.94,76.94,71053,0
MBB.US,D,20070613,000000,76.964,77.146,76.964,77.146,2857,0
MBB.US,D,20070614,000000,77.162,77.199,77.113,77.138,10814,0
MBB.US,D,20070615,000000,77.12,77.387,77.12,77.387,11172,0
MBB.US,D,20070618,000000,77.303,77.667,77.303,77.462,10561,0
MBB.US,D,20070619,000000,77.807,77.807,77.667,77.807,9700,0
MBB.US,D,20070620,000000,77.688,77.712,77.548,77.597,6082,0
MBB.US,D,20070621,000000,77.469,77.517,77.415,77.415,6457,0
MBB.US,D,20070622,000000,77.295,77.469,77.272,77.469,13172,0
MBB.US,D,20070625,000000,77.658,77.688,77.649,77.673,13413,0
MBB.US,D,20070626,000000,77.752,77.752,77.64,77.68,10437,0
MBB.US,D,20070627,000000,77.799,77.799,77.73,77.73,10437,0
