<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCEF.US,D,20160930,000000,17.557,17.557,17.534,17.543,1835,0
MCEF.US,D,20161003,000000,17.476,17.476,17.476,17.476,100,0
MCEF.US,D,20161005,000000,17.35,17.35,17.35,17.35,1144,0
MCEF.US,D,20161007,000000,17.386,17.386,17.316,17.36,1052,0
MCEF.US,D,20161012,000000,17.201,17.201,17.201,17.201,795,0
MCEF.US,D,20161014,000000,17.002,17.002,16.912,16.912,1490,0
MCEF.US,D,20161017,000000,16.751,16.751,16.751,16.751,100,0
MCEF.US,D,20161019,000000,16.902,16.94,16.902,16.94,1609,0
MCEF.US,D,20161026,000000,16.894,16.894,16.894,16.894,100,0
MCEF.US,D,20161031,000000,16.662,16.662,16.662,16.662,1141,0
MCEF.US,D,20161104,000000,16.697,16.697,16.697,16.697,299,0
MCEF.US,D,20161108,000000,16.742,16.742,16.715,16.715,2287,0
MCEF.US,D,20161111,000000,16.13,16.171,16.13,16.162,1195,0
MCEF.US,D,20161116,000000,16.075,16.075,16.075,16.075,1141,0
MCEF.US,D,20161117,000000,16.005,16.005,15.995,15.995,1486,0
MCEF.US,D,20161118,000000,15.918,15.918,15.906,15.918,2182,0
MCEF.US,D,20161122,000000,16.047,16.047,16.047,16.047,639,0
MCEF.US,D,20161123,000000,15.962,15.962,15.962,15.962,1371,0
MCEF.US,D,20161128,000000,16.005,16.005,16.005,16.005,3134,0
MCEF.US,D,20161130,000000,15.884,15.884,15.884,15.884,2341,0
MCEF.US,D,20161201,000000,15.787,15.787,15.787,15.787,579,0
MCEF.US,D,20161202,000000,15.751,15.787,15.723,15.787,4948,0
MCEF.US,D,20161205,000000,15.787,15.787,15.787,15.787,2170,0
MCEF.US,D,20161206,000000,15.952,15.952,15.925,15.925,791,0
MCEF.US,D,20161207,000000,16.141,16.182,16.141,16.182,445,0
MCEF.US,D,20161208,000000,16.131,16.131,16.131,16.131,1165,0
MCEF.US,D,20161209,000000,16.094,16.094,16.026,16.026,33471,0
MCEF.US,D,20161213,000000,16.031,16.094,16.031,16.094,32841,0
MCEF.US,D,20161214,000000,16.172,16.172,16.165,16.165,916,0
MCEF.US,D,20161215,000000,16.005,16.031,16.005,16.029,7985,0
MCEF.US,D,20161216,000000,16.022,16.047,16.022,16.047,3425,0
MCEF.US,D,20161219,000000,16.085,16.085,16.053,16.057,4352,0
MCEF.US,D,20161222,000000,16.094,16.102,16.085,16.094,3975,0
MCEF.US,D,20161227,000000,16.076,16.111,16.076,16.111,309276,0
MCEF.US,D,20161228,000000,16.057,17.901,16.057,16.222,46419,0
MCEF.US,D,20170104,000000,16.386,16.436,16.293,16.293,131293,0
MCEF.US,D,20170105,000000,16.27,16.358,16.27,16.358,63132,0
MCEF.US,D,20170106,000000,16.311,16.34,16.288,16.34,3865,0
MCEF.US,D,20170109,000000,16.403,16.403,16.403,16.403,12252,0
MCEF.US,D,20170110,000000,16.439,16.439,16.412,16.435,9291,0
MCEF.US,D,20170113,000000,16.429,16.444,16.421,16.436,706,0
MCEF.US,D,20170119,000000,16.385,16.385,16.385,16.385,100,0
MCEF.US,D,20170120,000000,16.316,16.316,16.316,16.316,1213,0
MCEF.US,D,20170125,000000,16.344,16.358,16.344,16.358,4824,0
MCEF.US,D,20170126,000000,16.32,16.32,16.32,16.32,3168,0
MCEF.US,D,20170201,000000,16.471,16.471,16.285,16.285,5030,0
MCEF.US,D,20170202,000000,16.429,16.429,16.377,16.377,21432,0
MCEF.US,D,20170203,000000,16.393,16.393,16.393,16.393,97710,0
MCEF.US,D,20170208,000000,16.535,16.544,16.52,16.52,4431,0
MCEF.US,D,20170209,000000,16.517,16.517,16.517,16.517,125,0
MCEF.US,D,20170214,000000,16.403,16.403,16.39,16.39,2727,0
MCEF.US,D,20170215,000000,16.377,16.393,16.358,16.358,8780,0
MCEF.US,D,20170216,000000,16.33,16.33,16.33,16.33,18355,0
MCEF.US,D,20170221,000000,16.368,16.377,16.342,16.377,8716,0
MCEF.US,D,20170222,000000,16.412,16.412,16.382,16.393,5202,0
MCEF.US,D,20170223,000000,16.445,16.453,16.436,16.445,2145,0
MCEF.US,D,20170228,000000,16.43,16.507,16.43,16.507,4400,0
MCEF.US,D,20170303,000000,16.302,16.321,16.302,16.321,489,0
MCEF.US,D,20170307,000000,16.311,16.311,16.281,16.293,1446,0
MCEF.US,D,20170308,000000,16.17,16.18,16.17,16.17,3166,0
MCEF.US,D,20170310,000000,16.029,16.029,16.003,16.029,2660,0
MCEF.US,D,20170313,000000,16.083,16.083,16.038,16.046,1299,0
MCEF.US,D,20170315,000000,16.061,16.127,16.061,16.127,786,0
MCEF.US,D,20170316,000000,16.119,16.119,16.119,16.119,2375,0
MCEF.US,D,20170320,000000,16.261,16.261,16.247,16.248,2851,0
MCEF.US,D,20170321,000000,16.27,16.285,16.27,16.285,72584,0
MCEF.US,D,20170322,000000,16.292,16.311,16.286,16.286,2822,0
MCEF.US,D,20170323,000000,16.34,16.34,16.34,16.34,1124,0
MCEF.US,D,20170324,000000,16.318,16.318,16.318,16.318,1363,0
MCEF.US,D,20170327,000000,16.34,16.393,16.34,16.386,4441,0
MCEF.US,D,20170328,000000,16.387,16.403,16.387,16.389,35612,0
MCEF.US,D,20170329,000000,16.43,16.43,16.43,16.43,211,0
MCEF.US,D,20170331,000000,16.393,16.464,16.377,16.464,12489,0
MCEF.US,D,20170403,000000,16.491,16.491,16.482,16.482,386,0
MCEF.US,D,20170405,000000,16.445,16.445,16.445,16.445,181118,0
MCEF.US,D,20170412,000000,16.669,16.696,16.669,16.696,1234,0
